Date,Open,High,Low,Close,Volume,Adj Close
2007-09-11,999.0,999.0,913.0,977.45,18596200,171.75
2007-09-12,985.0,994.5,957.65,963.55,3754200,169.3
2007-09-13,965.0,969.4,936.95,944.6,1628200,165.97
2007-09-14,950.0,1014.8,945.0,969.6,5299100,170.37
2007-09-17,975.0,992.85,964.0,967.0,938900,169.91
2007-09-18,969.5,977.9,953.3,956.9,562500,168.14
2007-09-19,969.0,992.7,962.3,966.7,812700,169.86
2007-09-20,974.0,992.0,958.6,978.25,942700,171.89
2007-09-21,978.0,1008.9,973.0,991.9,1217500,174.29
2007-09-24,990.0,1085.0,988.0,1066.2,1925000,187.34
2007-09-25,1063.0,1063.0,976.25,1017.05,1164800,178.7
2007-09-26,1029.4,1038.0,997.0,1003.8,188700,176.38
2007-09-27,1014.0,1020.5,1005.0,1016.35,127100,178.58
2007-09-28,1019.2,1106.0,1011.0,1084.6,886200,190.57
2007-10-01,1090.0,1107.0,1055.0,1064.75,198800,187.09
2007-10-03,1079.0,1146.0,1050.5,1086.7,357200,190.94
2007-10-04,1092.0,1125.0,1066.0,1093.95,183400,192.22
2007-10-05,1110.0,1125.0,1091.3,1099.15,140900,193.13
2007-10-08,1118.0,1118.0,1080.0,1102.15,176600,193.66
2007-10-09,1090.0,1130.0,1051.0,1113.85,98900,195.71
2007-10-10,1122.0,1244.0,1122.0,1220.35,479900,214.43
2007-10-11,1239.0,1283.0,1205.0,1232.1,209900,216.49
2007-10-12,1239.0,1289.9,1212.0,1241.25,154300,218.1
2007-10-15,1244.0,1282.5,1231.0,1246.85,93300,219.08
2007-10-16,1240.0,1312.0,1230.15,1309.7,214900,230.13
2007-10-17,1031.0,1248.0,1030.0,1199.8,170300,210.82
2007-10-18,1224.0,1310.0,1160.0,1173.7,202500,206.23
2007-10-19,1205.0,1219.0,1085.2,1102.35,70700,193.69
2007-10-22,1099.0,1100.0,1030.0,1049.65,79300,184.43
2007-10-23,1099.0,1137.0,1080.0,1100.65,62300,193.39
2007-10-24,1149.0,1149.0,1100.0,1108.55,43800,194.78
2007-10-25,1120.0,1150.9,1111.0,1116.85,35900,196.24
2007-10-26,1144.0,1197.5,1105.0,1189.65,92200,209.03
2007-10-29,1210.0,1245.0,1180.0,1185.65,52100,208.33
2007-10-30,1186.0,1200.0,1110.0,1110.0,43200,195.04
2007-10-31,1101.0,1160.0,1080.0,1089.35,56600,191.41
2007-11-01,1102.0,1140.0,1100.0,1113.45,32900,195.64
2007-11-02,1080.0,1145.0,1080.0,1116.95,41600,196.26
2007-11-05,1100.0,1231.0,1100.0,1205.0,106400,211.73
2007-11-06,1211.0,1215.0,1185.0,1193.0,94000,209.62
2007-11-07,1260.0,1298.0,1207.0,1255.9,162200,220.67
2007-11-08,1196.0,1339.0,1175.0,1279.15,131000,224.76
2007-11-09,1280.0,1335.0,1270.0,1275.0,24000,224.03
2007-11-12,1255.0,1410.0,1226.0,1392.2,201000,244.62
2007-11-13,1355.0,1491.0,1355.0,1402.2,167100,246.38
2007-11-14,1439.0,1465.0,1390.0,1428.45,54400,250.99
2007-11-15,1450.0,1714.1,1402.0,1714.1,303600,301.18
2007-11-16,1755.0,1950.0,1641.0,1668.65,443600,293.2
2007-11-19,1717.0,1717.0,1625.0,1644.5,86500,288.95
2007-11-20,1629.8,1768.0,1566.0,1587.8,130100,278.99
2007-11-21,1620.0,1645.0,1460.0,1501.2,133000,263.77
2007-11-22,1550.0,1559.0,1381.15,1482.6,60800,260.51
2007-11-23,1502.0,1625.0,1500.0,1605.35,88600,282.07
2007-11-26,1689.9,1689.9,1605.0,1668.4,42900,293.15
2007-11-27,1650.0,1669.95,1625.0,1656.45,30700,291.05
2007-11-28,1699.9,1725.0,1640.05,1658.55,27600,291.42
2007-11-29,1697.0,1697.0,1658.0,1671.2,34400,293.64
2007-11-30,1625.0,1799.0,1625.0,1718.95,68900,302.03
2007-12-03,1759.9,1779.0,1680.0,1744.05,28600,306.45
2007-12-04,1725.1,1767.0,1700.0,1732.1,28100,304.35
2007-12-05,1730.25,1810.0,1730.25,1772.15,81600,311.38
2007-12-06,1827.0,1920.0,1785.0,1882.15,137300,330.71
2007-12-07,1908.0,1919.0,1810.0,1829.85,41200,321.52
2007-12-10,1868.0,1909.9,1851.0,1871.5,41800,328.84
2007-12-11,1888.0,1948.65,1855.1,1872.85,53400,329.08
2007-12-12,1867.0,1900.0,1775.3,1809.05,33900,317.87
2007-12-13,1860.8,1880.0,1750.0,1777.1,49700,312.25
2007-12-14,1810.0,1820.0,1750.0,1765.35,19600,310.19
2007-12-17,1810.0,1810.0,1695.6,1712.6,23400,300.92
2007-12-18,1690.0,1733.0,1680.0,1704.0,25100,299.41
2007-12-19,1742.0,1758.0,1635.0,1670.0,49500,293.43
2007-12-20,1750.0,1750.0,1640.0,1640.0,17700,288.16
2007-12-24,1724.0,1725.0,1671.0,1715.95,13400,301.51
2007-12-26,1735.0,1788.0,1718.0,1767.65,29300,310.59
2007-12-27,1795.0,1795.0,1741.0,1775.05,14400,311.89
2007-12-28,1740.0,1784.0,1740.0,1761.8,13500,309.56
2007-12-31,1789.5,1895.0,1780.0,1846.0,42300,324.36
2008-01-01,1800.0,1864.0,1800.0,1840.65,13200,323.42
2008-01-02,1850.0,2004.0,1842.0,1925.45,104600,338.32
2008-01-03,1901.0,2234.0,1890.0,2109.55,286200,370.67
2008-01-04,2125.0,2270.0,2110.0,2157.95,104800,379.17
2008-01-07,2149.5,2174.0,2050.0,2054.75,73200,361.04
2008-01-08,2165.0,2200.0,1950.0,2095.85,86400,368.26
2008-01-09,2150.0,2160.0,2045.0,2068.9,83200,363.52
2008-01-10,2111.0,2249.75,1900.0,1958.45,179800,344.12
2008-01-11,1993.0,2060.0,1895.0,1934.85,121000,339.97
2008-01-14,1950.0,1979.9,1904.85,1920.35,25300,337.42
2008-01-15,1920.35,1959.0,1850.0,1874.3,22600,329.33
2008-01-16,1919.0,1925.0,1839.0,1862.45,34500,327.25
2008-01-17,1875.0,1895.0,1825.0,1842.05,36700,323.66
2008-01-18,1835.0,1842.0,1752.0,1768.0,31400,310.65
2008-01-21,1710.0,1749.0,1414.45,1536.5,100800,269.98
2008-01-22,1235.0,1490.0,1229.25,1254.5,38700,220.43
2008-01-23,1300.0,1418.95,1260.0,1338.9,67200,235.26
2008-01-24,1420.0,1540.0,1380.0,1473.85,157000,258.97
2008-01-25,1529.0,1529.0,1400.0,1446.2,77500,254.11
2008-01-28,1330.0,1487.0,1330.0,1444.55,19700,253.82
2008-01-29,1470.0,1470.0,1397.0,1408.35,21500,247.46
2008-01-30,1386.0,1430.0,1348.0,1367.75,69100,240.33
2008-01-31,1342.0,1348.85,1300.0,1321.95,17000,232.28
2008-02-01,1305.0,1350.0,1275.0,1288.75,20600,226.44
2008-02-04,1348.0,1349.0,1265.0,1278.05,43900,224.56
2008-02-05,1271.0,1285.0,1225.25,1230.6,31300,216.23
2008-02-06,1210.0,1210.0,1151.0,1176.0,35800,206.63
2008-02-07,1186.0,1230.0,1110.0,1121.9,43800,197.13
2008-02-08,1125.0,1125.0,1025.05,1051.0,47300,184.67
2008-02-11,961.0,1169.0,928.0,995.5,52800,174.92
2008-02-12,995.0,1034.0,907.05,917.8,34000,161.27
2008-02-13,990.0,991.0,935.0,950.0,83000,166.92
2008-02-14,1005.0,1020.0,960.0,975.55,34300,171.41
2008-02-15,990.0,1038.0,960.0,1010.1,39000,177.48
2008-02-18,1035.0,1080.0,1022.0,1048.0,79300,184.14
2008-02-19,1035.0,1117.0,1032.15,1044.7,28000,183.56
2008-02-20,1030.0,1049.0,980.0,992.85,18600,174.45
2008-02-21,1004.0,1023.9,995.05,1000.8,26200,175.85
2008-02-22,996.0,996.0,965.0,970.95,15600,170.6
2008-02-25,989.0,993.95,940.0,945.0,12100,166.04
2008-02-26,959.0,999.0,959.0,971.45,18200,170.69
2008-02-27,985.0,1034.0,952.0,963.25,27400,169.25
2008-02-28,963.0,974.0,954.0,958.1,8900,168.35
2008-02-29,960.0,966.9,898.0,918.7,26100,161.42
2008-03-03,905.0,905.0,840.0,858.7,27600,150.88
2008-03-04,869.0,880.0,810.0,819.3,42200,143.96
2008-03-05,800.1,830.0,781.05,786.9,28200,138.27
2008-03-07,780.0,780.0,740.0,760.3,37200,133.59
2008-03-10,740.0,740.0,685.0,699.6,85100,122.93
2008-03-11,694.1,728.0,686.0,709.55,527900,124.67
2008-03-12,731.0,753.0,675.0,690.55,309400,121.34
2008-03-13,676.6,680.05,605.0,615.0,234600,108.06
2008-03-14,616.0,659.0,571.0,632.9,81300,111.21
2008-03-17,610.0,630.0,585.0,590.65,42000,103.78
2008-03-18,599.0,619.0,539.0,597.5,214200,104.99
2008-03-19,630.0,630.0,563.3,580.1,176500,101.93
2008-03-24,590.0,590.0,515.0,571.0,140000,100.33
2008-03-25,580.0,629.8,544.0,613.25,307200,107.75
2008-03-26,621.0,640.0,591.0,630.1,410000,110.71
2008-03-27,612.0,658.0,611.5,644.65,340800,113.27
2008-03-28,624.0,708.0,624.0,688.75,376900,121.02
2008-03-31,691.0,695.0,660.3,672.2,182900,118.11
2008-04-01,687.0,704.0,635.0,639.5,148300,112.37
2008-04-02,695.0,700.0,605.6,621.4,90100,109.19
2008-04-03,625.0,635.0,607.0,611.55,40300,107.45
2008-04-04,610.0,632.0,575.0,587.5,150700,103.23
2008-04-07,595.0,599.0,542.0,557.45,177700,97.95
2008-04-08,559.0,599.0,559.0,577.05,258700,101.39
2008-04-09,570.0,620.0,570.0,604.2,154700,106.16
2008-04-10,600.0,679.7,595.0,650.05,772800,114.22
2008-04-11,658.9,685.0,652.2,657.5,111400,115.53
2008-04-15,678.95,708.0,649.0,683.8,157600,120.15
2008-04-16,698.0,779.25,690.0,755.2,700400,132.7
2008-04-17,765.0,794.0,732.1,741.55,304200,130.3
2008-04-21,756.0,787.0,750.0,752.55,221100,132.23
2008-04-22,760.5,815.0,747.0,757.9,736600,133.17
2008-04-23,765.0,771.4,669.8,739.95,224400,130.02
2008-04-24,750.0,777.0,735.0,750.8,358200,131.92
2008-04-25,760.0,769.95,745.2,756.1,104600,132.85
2008-04-28,762.0,812.8,751.65,803.8,464800,141.23
2008-04-29,811.0,835.0,771.05,779.3,410900,136.93
2008-04-30,792.0,826.0,781.2,819.45,292500,143.98
2008-05-02,827.4,847.8,802.0,832.8,212400,146.33
2008-05-05,830.0,885.0,830.0,866.05,277100,152.17
2008-05-06,866.05,883.7,830.05,839.25,224800,147.46
2008-05-07,845.0,875.0,820.3,863.9,124700,151.79
2008-05-08,864.0,864.0,831.0,849.3,28400,149.23
2008-05-09,840.0,877.0,801.0,812.45,83700,142.75
2008-05-12,810.0,810.0,750.0,762.5,107200,133.98
2008-05-13,774.95,793.9,770.0,780.3,88100,137.11
2008-05-14,789.95,789.95,763.0,781.9,24400,141.0
2008-05-15,788.0,827.1,788.0,819.85,93800,147.84
2008-05-16,830.0,840.0,804.0,828.95,142000,149.49
2008-05-20,814.0,850.0,813.0,835.45,85200,150.66
2008-05-21,825.0,833.0,820.05,826.85,23000,149.11
2008-05-22,825.0,827.5,810.0,811.7,15700,146.37
2008-05-23,819.7,826.95,790.0,808.55,36400,145.81
2008-05-26,807.0,825.0,765.0,772.1,28400,139.23
2008-05-27,779.95,789.0,750.1,758.55,24100,136.79
2008-05-28,722.8,800.0,722.8,795.0,43500,143.36
2008-05-29,779.0,798.0,742.0,748.25,33100,134.93
2008-05-30,759.0,767.95,734.0,735.0,15900,132.54
2008-06-02,745.0,756.95,711.05,716.1,18600,129.14
2008-06-03,680.0,740.0,675.0,713.0,23200,128.58
2008-06-04,710.0,730.0,681.1,707.95,40900,127.67
2008-06-05,705.0,736.9,665.0,727.95,41800,131.27
2008-06-06,739.0,769.0,724.0,762.45,83200,137.49
2008-06-09,718.0,725.0,702.0,709.95,20800,128.03
2008-06-10,690.0,719.65,688.45,695.9,12600,125.49
