Date,Open,High,Low,Close,Volume,Adj Close
1999-04-16,4.5,4.5,4.5,4.5,400,0.3699
1999-04-19,5.0,6.2375,4.75,5.5,206000,0.4521
1999-04-20,5.9375,5.9375,5.375,5.9375,1567200,0.4881
1999-04-21,6.0,6.4,6.0,6.4,670000,0.5261
1999-04-22,6.65,6.7375,6.125,6.7375,1775200,0.5539
1999-04-26,7.175,7.175,6.2,6.2,222000,0.5097
1999-04-28,6.4875,6.675,6.0,6.4125,324400,0.5271
1999-04-29,6.25,6.5,6.15,6.275,180000,0.5158
1999-05-03,6.1875,6.55,6.1875,6.5,36800,0.5343
1999-05-04,6.05,7.0125,6.05,6.9375,114800,0.5703
1999-05-05,6.75,6.9875,6.65,6.65,94400,0.5467
1999-05-06,6.675,6.95,6.5625,6.6,679200,0.5426
1999-05-07,6.75,6.875,6.5125,6.65,178000,0.5467
1999-05-11,7.5,7.7375,7.4375,7.7375,1950400,0.6361
1999-05-12,8.25,8.25,7.325,7.525,1309600,0.6186
1999-05-13,7.7375,7.9625,7.5,7.7,502400,0.633
1999-05-14,7.5,7.775,7.5,7.675,259600,0.6309
1999-05-17,8.2375,8.2375,7.45,7.5,100000,0.6165
1999-05-18,7.25,7.9375,7.25,7.7625,456000,0.6381
1999-05-19,7.5,7.9375,7.5,7.8375,90000,0.6443
1999-05-20,7.5375,8.125,7.525,8.0,425600,0.6576
1999-05-21,8.2,8.2,7.5875,7.775,273600,0.6391
1999-05-24,8.0,8.0625,7.75,7.9375,284800,0.6525
1999-05-25,8.0625,8.125,7.8,8.125,14800,0.6679
1999-05-26,8.15,8.15,7.5125,7.6125,17600,0.6258
1999-05-27,7.7125,7.75,7.5,7.5,68800,0.6165
1999-05-28,7.5,7.5,6.9125,7.2375,460400,0.595
1999-05-31,7.0,7.0625,6.6625,6.6625,798000,0.5477
1999-06-01,6.65,6.6875,6.25,6.25,1254400,0.5138
1999-06-02,6.325,6.4875,6.25,6.375,655600,0.5241
1999-06-03,6.6,6.875,6.25,6.25,378400,0.5138
1999-06-04,5.875,6.7375,5.875,6.7375,553200,0.5539
1999-06-07,7.0125,7.1,6.75,6.75,250000,0.5549
1999-06-08,6.75,7.25,6.625,7.125,3638800,0.5857
1999-06-09,7.25,7.6875,7.25,7.6875,2280600,0.632
1999-06-10,8.2,8.3,8.0,8.3,4437800,0.6823
1999-06-11,8.95,8.95,8.6875,8.95,3573600,0.7357
1999-06-14,9.25,9.6625,8.5,9.6625,1040800,0.7943
1999-06-15,10.125,10.375,9.125,9.875,2349800,0.8118
1999-06-16,9.95,10.0,9.3,9.775,376800,0.8036
1999-06-17,10.2375,10.55,10.225,10.55,433000,0.8673
1999-06-18,11.2125,11.3875,10.75,11.125,687300,0.9145
1999-06-21,11.25,11.9625,10.625,10.625,675900,0.8734
1999-06-22,10.9875,10.9875,10.0,10.225,300600,0.8405
1999-06-23,9.8875,10.25,9.4125,9.525,840200,0.783
1999-06-24,10.1375,10.2375,9.0125,9.625,1448900,0.7912
1999-06-25,9.375,10.15,9.05,9.2125,768900,0.7573
1999-06-28,9.25,9.875,9.25,9.75,230600,0.8015
1999-06-29,9.875,10.4375,9.7875,10.025,729100,0.8241
1999-06-30,10.125,10.8125,9.75,10.8125,927800,0.8888
1999-07-01,10.625,10.975,10.125,10.25,481500,0.8426
1999-07-02,10.5,10.8125,10.0,10.0,1479600,0.822
1999-07-05,10.75,10.75,10.15,10.375,564700,0.8529
1999-07-06,10.6125,10.975,10.4875,10.8125,394400,0.8888
1999-07-07,11.0,11.3125,10.7625,10.875,839500,0.894
1999-07-08,11.375,11.7375,10.9,11.7375,832300,0.9649
1999-07-09,12.5,12.6625,12.5,12.6625,297000,1.0409
