Date,Open,High,Low,Close,Volume,Adj Close
2006-11-21,480.0,623.8,480.0,593.2,31204300,142.9723
2006-11-22,603.8,613.7,550.0,586.6,19811200,141.3816
2006-11-23,590.0,627.5,590.0,614.3,14287400,148.0578
2006-11-24,618.0,619.4,575.1,583.4,6795700,140.6103
2006-11-27,585.0,612.8,565.2,601.752,8885800,145.0335
2006-11-28,594.348,602.0,577.248,595.4,4380900,143.5025
2006-11-29,604.848,634.0,604.848,619.248,9644300,149.2504
2006-11-30,622.9,643.8,613.048,629.7,7149200,151.7695
2006-12-01,632.0,646.9,627.6,632.652,3449900,152.481
2006-12-04,635.1,636.452,597.048,603.452,1900200,145.4432
2006-12-05,604.5,615.0,592.0,596.348,3133000,143.731
2006-12-06,599.9,613.9,586.248,590.652,2359700,142.3582
2006-12-07,594.7,606.348,585.248,596.348,2851700,143.731
2006-12-08,595.0,605.0,577.2,581.752,1370500,140.2131
2006-12-11,580.0,590.0,535.0,558.6,1500100,134.633
2006-12-12,558.6,568.8,512.0,536.5,1508100,129.3065
2006-12-13,538.0,549.0,516.048,532.348,1359400,128.3058
2006-12-14,543.3,549.4,536.0,542.4,690800,130.7286
2006-12-15,548.0,579.0,545.1,574.952,2358600,138.5742
2006-12-18,580.0,584.7,547.0,565.6,1762500,136.3202
2006-12-19,560.0,569.0,550.0,564.348,984100,136.0184
2006-12-20,579.9,590.0,557.0,576.348,1930300,138.9107
2006-12-21,574.7,602.8,560.248,586.548,1888200,141.369
2006-12-22,594.7,616.8,588.0,594.7,1463800,143.3338
2006-12-26,595.0,612.0,587.4,592.1,723700,142.7072
2006-12-27,597.5,605.0,585.0,589.1,464300,141.9841
2006-12-28,595.0,597.7,567.0,571.652,414600,137.7788
2006-12-29,577.248,586.0,575.0,580.452,395100,139.8998
2007-01-02,585.4,594.0,577.8,586.5,340600,141.3575
2007-01-03,596.8,631.0,592.0,616.348,3789500,148.5514
2007-01-04,619.9,680.0,618.0,661.048,7358500,159.3249
2007-01-05,662.8,701.7,660.048,689.4,4088900,166.1583
2007-01-08,684.0,738.848,684.0,726.6,3715900,175.1242
2007-01-09,733.2,746.348,674.5,681.452,3283200,164.2427
2007-01-10,682.0,689.0,655.5,675.152,1806200,162.7243
2007-01-11,682.0,700.0,673.0,696.8,1219100,167.9418
2007-01-12,700.0,700.0,675.1,677.6,568500,163.3143
2007-01-15,681.0,686.9,671.1,673.048,393700,162.2172
2007-01-16,679.952,721.9,673.0,695.7,1462700,167.6767
2007-01-17,699.8,702.3,684.2,687.9,674300,165.7968
2007-01-18,694.6,718.348,690.3,694.152,829300,167.3036
2007-01-19,700.0,702.452,677.848,682.248,359600,164.4345
2007-01-22,689.7,712.0,675.0,698.752,286200,168.4123
2007-01-23,701.0,727.9,701.0,708.048,614500,170.6528
2007-01-24,716.0,734.0,708.0,726.348,397900,175.0635
2007-01-25,740.0,755.0,725.0,733.8,811200,176.8595
2007-01-29,736.152,749.0,717.0,738.1,371700,177.8959
2007-01-31,750.0,750.0,686.152,695.248,453100,167.5678
2007-02-01,700.0,704.9,681.1,685.0,254000,165.0978
2007-02-02,689.9,743.0,686.0,732.1,733300,176.4498
2007-02-05,731.9,734.752,714.0,719.048,252900,173.304
2007-02-06,721.1,738.7,720.0,723.8,335300,174.4493
2007-02-07,730.0,730.0,700.5,704.6,95700,169.8218
2007-02-08,710.752,746.0,708.0,741.248,569800,178.6546
2007-02-09,742.5,749.0,690.3,700.348,210300,168.797
2007-02-12,701.0,710.0,636.548,651.4,178500,156.9996
2007-02-13,650.0,679.9,637.1,644.6,190200,155.3607
2007-02-14,646.0,646.0,620.0,632.752,100000,152.5051
2007-02-15,650.0,665.0,650.0,657.248,101900,158.4091
2007-02-19,658.248,674.7,654.0,661.7,129700,159.4821
2007-02-20,664.5,667.8,646.0,650.848,605000,156.8666
2007-02-21,652.0,675.0,652.0,661.548,102000,159.4454
2007-02-22,673.9,678.0,633.0,642.5,63100,154.8545
2007-02-23,658.9,658.9,597.048,606.348,99400,146.1412
2007-02-26,607.0,655.0,602.1,646.652,139500,155.8552
2007-02-27,655.548,673.0,638.048,667.7,125600,160.9282
2007-02-28,612.1,686.0,590.0,657.4,290900,158.4457
2007-03-01,669.0,680.0,652.0,670.952,144300,161.712
2007-03-02,667.0,684.0,646.5,653.6,99400,157.5298
2007-03-05,650.0,672.0,630.548,642.7,284000,154.9027
2007-03-06,654.0,672.0,624.2,644.3,194900,155.2884
2007-03-07,650.0,668.0,626.5,636.752,417600,153.4692
2007-03-08,642.0,647.0,610.152,624.248,73900,150.4554
2007-03-09,632.4,653.0,630.0,636.8,75100,153.4807
2007-03-12,636.0,656.0,636.0,653.3,38300,157.4575
2007-03-13,644.4,673.8,644.4,669.752,47700,161.4228
2007-03-14,631.0,657.952,631.0,650.7,26300,156.8309
2007-03-15,652.0,757.952,652.0,676.1,1581500,162.9527
2007-03-16,682.4,718.0,682.4,703.952,555900,169.6656
2007-03-19,709.9,748.848,698.0,737.952,870500,177.8602
2007-03-20,740.0,778.0,727.5,733.348,1086700,176.7506
2007-03-21,738.0,748.0,691.1,695.6,516100,167.6526
2007-03-22,700.0,715.1,691.1,694.752,186500,167.4482
2007-03-23,699.0,712.5,677.5,684.248,235400,164.9166
2007-03-26,688.0,697.9,675.0,683.652,90500,164.7729
2007-03-28,650.248,683.9,650.248,672.4,104400,162.061
2007-03-29,683.9,688.0,673.1,683.048,47800,164.6273
2007-03-30,691.0,705.0,674.0,678.752,109600,163.5919
2007-04-02,675.0,702.0,665.0,675.452,110600,162.7966
2007-04-03,689.752,690.0,665.0,678.248,103000,163.4705
2007-04-04,685.0,693.0,674.0,677.3,41500,163.242
2007-04-05,680.0,680.0,667.0,669.1,28300,161.2656
2007-04-09,678.0,699.0,676.0,677.848,86000,163.3741
2007-04-10,679.9,712.152,678.152,686.452,270100,165.4478
2007-04-11,691.0,732.348,688.0,725.652,597300,174.8957
2007-04-12,719.452,737.3,710.0,728.048,201100,175.4732
2007-04-13,735.0,772.0,722.048,756.848,479900,182.4145
2007-04-16,770.0,823.0,762.0,799.5,653100,192.6945
2007-04-17,809.5,809.5,771.348,777.548,191500,187.4036
2007-04-18,785.0,787.0,762.0,766.7,101800,184.789
2007-04-19,740.0,760.0,740.0,745.7,33300,179.7277
2007-04-20,766.0,775.0,730.048,732.248,144700,176.4855
2007-04-23,739.0,748.5,710.0,714.348,74900,172.1712
2007-04-24,728.0,748.0,705.0,733.952,99800,176.8962
2007-04-25,730.0,738.5,715.3,719.848,64000,173.4968
2007-04-26,732.0,737.4,721.0,732.1,190000,176.4498
2007-04-27,722.0,729.0,712.248,716.752,22500,172.7506
2007-04-30,720.0,790.0,710.0,778.752,183900,187.6938
2007-05-03,785.0,811.0,752.248,765.6,271900,184.5239
2007-05-04,776.8,776.9,745.348,748.5,68100,180.4025
2007-05-07,758.752,775.0,743.048,751.952,49800,181.2345
2007-05-08,745.048,885.0,745.0,824.048,3493600,198.611
2007-05-09,830.0,832.0,781.652,789.248,998600,190.2235
2007-05-10,796.7,844.8,796.7,809.6,1718500,195.1287
2007-05-11,802.7,824.0,775.248,802.848,445100,193.5014
2007-05-14,815.0,823.4,804.048,807.6,147400,194.6467
2007-05-15,809.9,812.1,799.5,800.3,110000,192.8873
2007-05-16,805.0,817.0,800.0,800.8,82600,193.0078
2007-05-17,809.952,839.0,800.0,804.048,256700,193.7906
2007-05-18,805.0,820.0,795.048,800.348,127500,192.8988
2007-05-21,814.7,818.952,802.0,806.4,67100,194.3575
2007-05-22,810.0,829.0,803.152,810.5,162400,195.3457
2007-05-23,815.0,824.9,781.0,791.548,136900,190.7779
2007-05-24,804.0,818.0,790.0,802.0,166600,193.297
2007-05-25,796.9,814.5,790.0,797.8,88200,192.2847
2007-05-28,800.0,816.9,786.952,792.548,60300,191.0189
2007-05-29,798.0,833.7,786.548,825.4,349200,198.9369
2007-05-30,823.3,837.2,795.1,800.548,309300,192.947
2007-05-31,815.6,820.0,802.348,804.9,64900,193.996
2007-06-01,203.75,208.5,202.525,206.1,141700,49.674
2007-06-04,830.0,875.0,817.0,862.548,865600,207.8902
2007-06-05,854.348,882.7,830.0,835.048,733200,201.2622
2007-06-06,836.1,848.8,809.0,817.152,118400,196.9489
2007-06-07,802.2,835.0,802.2,809.152,139500,195.0208
2007-06-08,810.952,819.0,800.0,810.752,239000,195.4064
2007-06-11,840.0,840.0,811.4,814.348,43500,196.2731
