Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,730.05,730.05,729.0,730.05,0,1.27
2000-01-04,745.0,788.4,745.0,788.4,0,1.372
2000-01-05,844.4,851.45,825.0,851.45,0,1.482
2000-01-06,919.55,919.55,910.0,919.55,0,1.6
2000-01-07,919.0,939.0,850.0,915.0,0,1.592
2000-01-10,945.0,987.75,945.0,952.5,0,1.657
2000-01-11,962.0,962.0,877.0,881.5,0,1.534
2000-01-12,890.0,910.0,860.1,870.1,0,1.514
2000-01-13,875.0,897.0,835.0,835.0,0,1.453
2000-01-14,771.0,800.05,770.0,790.5,0,1.376
2000-01-17,826.0,849.0,780.0,788.0,0,1.371
2000-01-18,815.0,828.5,780.0,800.0,0,1.392
2000-01-19,818.0,863.95,818.0,863.85,0,1.503
2000-01-20,878.0,919.95,865.0,890.0,0,1.549
2000-01-21,920.0,922.0,840.0,870.0,0,1.514
2000-01-24,849.0,889.0,835.0,839.0,0,1.46
2000-01-25,820.0,835.0,791.0,799.25,0,1.391
2000-01-27,815.0,815.0,741.0,760.65,0,1.324
2000-01-28,760.0,799.0,740.0,742.0,0,1.291
2000-01-31,795.0,801.35,750.0,750.0,0,1.305
2000-02-01,750.0,800.0,750.0,800.0,0,1.392
2000-02-02,800.0,860.0,800.0,854.0,0,1.486
2000-02-03,862.0,910.0,860.0,900.0,0,1.566
2000-02-04,890.0,910.0,835.0,877.4,0,1.527
2000-02-07,915.0,930.0,898.0,930.0,0,1.618
2000-02-08,915.0,940.0,905.0,920.0,0,1.601
2000-02-09,870.0,928.0,850.0,862.9,0,1.502
2000-02-10,868.0,868.0,810.0,821.0,0,1.429
2000-02-11,840.0,886.65,825.25,886.65,0,1.543
2000-02-14,920.0,920.0,840.0,861.0,0,1.498
2000-02-15,856.0,860.0,816.0,825.0,0,1.436
2000-02-16,820.0,829.95,795.0,795.0,0,1.383
2000-02-17,825.0,840.0,804.5,830.0,0,1.444
2000-02-18,811.0,844.95,770.0,810.1,0,1.41
2000-02-21,845.0,847.0,803.0,808.0,0,1.406
2000-02-22,829.0,829.0,798.0,800.0,0,1.392
2000-02-23,800.0,800.0,751.8,751.9,0,1.308
2000-02-24,752.0,780.0,722.0,723.5,0,1.259
2000-02-25,725.0,725.0,665.65,670.0,0,1.166
2000-02-28,651.0,665.0,640.1,643.0,0,1.119
2000-02-29,611.0,628.0,591.6,591.6,0,1.029
2000-03-01,590.0,624.0,570.0,620.7,0,1.08
2000-03-02,635.0,645.0,610.0,620.0,0,1.079
2000-03-03,608.0,615.0,570.6,570.6,0,0.993
2000-03-06,616.2,616.2,590.0,600.0,0,1.044
2000-03-07,613.0,614.5,553.0,560.0,0,0.974
2000-03-08,560.0,585.0,520.0,582.5,0,1.014
2000-03-09,580.0,580.0,540.0,580.0,0,1.009
2000-03-10,541.0,599.0,541.0,578.65,0,1.007
2000-03-13,585.0,620.0,570.0,570.0,0,0.992
2000-03-14,561.0,594.0,535.0,535.95,0,0.933
2000-03-15,575.0,575.0,535.0,535.25,0,0.931
2000-03-16,520.05,578.0,520.05,540.0,0,0.94
2000-03-21,528.0,528.0,527.0,527.0,0,0.917
2000-03-22,550.0,569.0,543.0,543.4,0,0.946
2000-03-23,580.0,586.85,532.0,577.9,0,1.006
2000-03-24,560.0,595.0,560.0,565.0,0,0.983
2000-03-28,576.0,610.0,576.0,608.65,0,1.059
2000-03-29,650.0,650.0,605.0,635.0,0,1.105
2000-03-30,601.0,630.0,590.0,600.0,0,1.044
2000-03-31,595.0,604.0,582.0,585.4,0,1.019
2000-04-03,551.0,600.0,540.1,595.0,0,1.035
2000-04-04,548.1,550.0,547.45,547.45,0,0.953
2000-04-05,550.0,570.0,540.0,545.0,0,0.948
2000-04-06,545.0,545.0,520.0,540.0,0,0.94
2000-04-07,580.0,583.15,555.0,566.0,0,0.985
2000-04-10,611.0,611.0,580.0,604.9,0,1.053
2000-04-11,653.0,653.0,600.0,653.0,0,1.136
2000-04-12,690.0,690.0,620.0,623.9,0,1.086
2000-04-13,590.0,601.0,590.0,600.0,0,1.044
2000-04-17,555.0,575.0,555.0,575.0,0,1.001
2000-04-18,580.0,580.0,531.0,535.5,0,0.932
2000-04-19,555.0,555.0,525.0,525.0,0,0.914
2000-04-20,500.0,549.0,483.05,520.05,0,0.905
2000-04-24,525.0,540.0,510.0,512.0,0,0.891
2000-04-25,498.0,508.0,481.0,508.0,0,0.884
2000-04-26,274.3,274.3,270.0,270.0,0,0.94
2000-04-27,290.0,290.0,248.45,271.95,0,0.946
2000-04-28,251.25,251.25,250.2,250.2,0,0.871
2000-05-02,241.0,241.0,235.5,235.5,0,0.82
2000-05-03,250.0,250.0,230.0,230.0,0,0.8
2000-05-04,244.0,245.0,244.0,245.0,0,0.853
2000-05-05,255.0,264.55,250.0,264.55,0,0.921
2000-05-08,265.0,266.0,243.4,243.4,0,0.847
2000-05-09,243.0,262.0,241.0,253.1,0,0.881
2000-05-10,240.0,245.0,240.0,245.0,0,0.853
2000-05-11,240.0,245.0,234.0,240.0,0,0.835
2000-05-12,259.0,259.0,233.0,233.0,0,0.811
2000-05-15,240.0,240.0,240.0,240.0,0,0.835
2000-05-16,240.0,240.0,225.0,230.0,0,0.8
2000-05-17,248.35,255.0,221.0,252.4,0,0.878
2000-05-18,241.0,246.0,232.5,236.0,0,0.821
2000-05-19,238.0,238.0,220.4,222.8,0,0.775
2000-05-22,226.0,235.0,226.0,228.0,0,0.794
2000-05-23,235.0,235.0,230.0,230.0,0,0.8
2000-05-24,222.0,235.0,220.0,235.0,0,0.818
2000-05-26,222.0,222.0,221.5,221.5,0,0.771
2000-05-29,225.0,230.0,223.0,224.0,0,0.78
2000-05-30,224.0,250.85,224.0,241.6,0,0.841
2000-05-31,260.9,260.9,250.0,250.0,0,0.87
2000-06-01,250.0,250.0,240.0,240.0,0,0.835
2000-06-02,242.5,242.5,225.1,240.0,0,0.835
2000-06-05,259.15,259.15,245.0,245.0,0,0.853
2000-06-06,250.0,250.0,249.45,250.0,0,0.87
2000-06-07,251.05,251.05,248.0,249.0,0,0.867
2000-06-08,254.9,254.9,240.0,245.0,0,0.853
2000-06-09,248.0,248.0,243.0,243.0,0,0.846
2000-06-12,240.0,241.0,230.0,238.45,0,0.83
2000-06-13,239.0,239.0,239.0,239.0,0,0.832
2000-06-14,241.0,244.0,235.0,236.05,0,0.822
2000-06-15,246.0,254.9,241.0,252.3,0,0.878
2000-06-16,245.1,258.0,233.0,235.7,0,0.82
2000-06-19,250.0,250.0,245.0,248.05,0,0.863
2000-06-20,253.0,259.5,250.0,255.0,0,0.887
2000-06-21,263.0,263.0,250.0,251.05,0,0.874
2000-06-22,269.0,269.0,260.0,265.9,0,0.925
2000-06-23,280.0,280.0,266.0,266.5,0,0.928
2000-06-26,266.0,266.0,250.1,260.0,0,0.905
2000-06-27,260.0,260.0,260.0,260.0,0,0.905
2000-06-28,259.0,259.0,256.5,256.75,0,0.894
2000-06-29,260.0,260.1,255.0,255.0,0,0.887
2000-06-30,275.0,285.55,235.0,284.8,0,0.991
2000-07-03,275.0,298.5,270.0,275.15,0,0.958
2000-07-04,272.0,272.0,265.0,266.0,0,0.926
2000-07-05,280.0,280.0,255.25,255.25,0,0.888
2000-07-06,250.0,254.0,250.0,250.0,0,0.87
2000-07-10,265.0,265.0,242.15,242.15,0,0.843
2000-07-11,243.0,247.35,239.0,240.0,0,0.835
2000-07-12,245.25,246.0,240.0,240.0,0,0.835
2000-07-13,248.0,250.0,236.05,250.0,0,0.87
2000-07-14,246.95,248.0,236.15,237.0,0,0.825
2000-07-17,238.0,238.0,230.0,235.0,0,0.818
2000-07-18,235.0,238.0,235.0,235.05,0,0.818
2000-07-19,235.0,235.0,223.0,225.35,0,0.784
2000-07-20,233.0,238.0,225.0,225.0,0,0.783
2000-07-21,230.0,240.0,218.0,221.25,0,0.77
2000-07-24,210.55,215.0,204.0,210.0,0,0.731
2000-07-25,219.95,238.9,215.0,238.9,0,0.831
2000-07-26,258.0,258.0,240.0,240.0,0,0.835
2000-07-27,235.0,248.0,235.0,244.0,0,0.849
2000-07-28,245.0,249.0,245.0,248.05,0,0.863
2000-07-31,242.0,242.0,235.0,235.0,0,0.818
2000-08-01,241.95,242.0,241.95,242.0,0,0.842
2000-08-02,244.95,248.25,225.3,231.5,0,0.806
2000-08-03,228.0,228.0,226.0,227.6,0,0.792
2000-08-04,225.0,225.0,213.0,217.7,0,0.758
2000-08-07,201.1,208.0,198.0,200.65,0,0.698
2000-08-08,200.9,210.0,200.9,203.1,0,0.707
2000-08-09,205.0,215.0,202.0,215.0,0,0.748
2000-08-10,230.0,230.0,205.0,205.0,0,0.713
2000-08-11,199.0,211.0,199.0,200.0,0,0.696
2000-08-14,196.0,205.0,196.0,205.0,0,0.713
2000-08-16,191.05,202.0,191.05,199.95,0,0.696
2000-08-17,200.0,205.0,198.0,201.0,0,0.7
2000-08-18,200.0,202.0,200.0,201.4,0,0.701
2000-08-21,214.0,216.0,200.0,200.0,0,0.696
2000-08-22,201.0,205.0,198.0,199.5,0,0.694
2000-08-23,201.0,207.0,199.5,199.5,0,0.694
2000-08-24,197.0,201.0,197.0,198.0,0,0.689
2000-08-25,201.0,201.0,190.0,190.0,0,0.661
2000-08-28,200.0,200.0,196.0,200.0,0,0.696
2000-08-29,200.0,201.0,200.0,201.0,0,0.7
2000-08-30,199.0,200.0,199.0,200.0,0,0.696
2000-08-31,201.0,207.5,191.0,200.05,0,0.696
