Date,Open,High,Low,Close,Volume,Adj Close
2012-04-13,142.5004,145.4996,138.5246,142.1246,778600,5.9413
2012-04-16,142.2,142.2,138.0004,139.05,348200,5.8128
2012-04-17,139.05,139.05,135.1496,136.4254,339000,5.7031
2012-04-18,138.0004,143.1754,135.0754,143.1754,364000,5.9852
2012-04-19,141.6746,150.3,141.6746,150.3,541400,6.2831
2012-04-20,156.7496,156.7496,146.25,147.2996,201400,6.1577
2012-04-23,146.3996,147.0004,142.875,145.125,118900,6.0667
2012-04-24,144.8246,149.9996,144.0,148.8004,226900,6.2204
2012-04-25,148.5,151.5004,147.4504,150.75,250600,6.3019
2012-04-26,153.1496,153.1496,145.4996,147.0746,483500,6.1482
2012-04-27,148.5,148.5,141.975,143.775,125700,6.0103
2012-04-30,144.0,146.1004,142.5004,144.3746,62400,6.0354
2012-05-01,144.1496,144.1496,144.1496,144.1496,0,6.026
2012-05-02,144.0,144.1496,140.9996,141.3,56900,5.9068
2012-05-03,141.3,142.3496,137.8496,139.275,71600,5.8222
2012-05-04,138.375,138.9746,133.5004,135.0754,230400,5.6466
2012-05-07,137.8496,137.8496,131.9996,135.1496,118800,5.6497
2012-05-08,135.7504,139.5,135.0,138.2996,63100,5.7814
2012-05-09,138.0746,138.6,133.65,135.0,80000,5.6435
2012-05-10,135.5996,137.5504,131.625,131.85,124600,5.5118
2012-05-11,132.075,134.2496,129.0004,129.825,120700,5.4272
2012-05-14,131.9254,131.9254,127.6504,128.475,38400,5.3707
2012-05-15,127.575,131.9254,126.675,128.3254,27400,5.3645
2012-05-16,129.0004,129.0004,121.8004,124.1246,43900,5.1889
2012-05-17,128.25,128.25,119.8496,120.6754,124900,5.0447
2012-05-18,120.2996,122.625,118.2746,121.4246,76800,5.076
2012-05-21,120.4504,122.7004,120.4504,121.8746,18000,5.0948
2012-05-22,122.2504,124.5004,120.7496,121.8746,115600,5.0948
2012-05-23,122.2504,122.625,120.15,121.5754,17200,5.0823
2012-05-24,120.15,124.425,118.4996,123.075,32300,5.145
2012-05-25,122.9996,123.3754,120.7496,121.1996,67100,5.0666
2012-05-28,122.9996,122.9996,121.1254,121.5,542300,5.0791
2012-05-29,123.3754,126.5254,123.3754,125.0246,48300,5.2265
2012-05-30,127.4996,136.8754,127.4996,132.075,212800,5.5212
2012-05-31,130.3504,132.75,129.9004,132.525,42000,5.54
2012-06-01,132.6004,133.1246,129.0004,131.4,38800,5.493
2012-06-04,127.575,131.85,127.125,129.0746,28800,5.3958
2012-06-05,127.6504,131.625,127.575,128.5504,17600,5.3739
2012-06-06,120.0746,130.8746,120.0746,128.25,33400,5.3613
2012-06-07,129.7496,131.175,127.7246,129.9746,20100,5.4334
2012-06-08,130.275,130.5,124.7254,126.1496,58500,5.2735
2012-06-11,129.0004,130.1254,127.6504,127.9496,36800,5.3488
2012-06-12,127.4996,130.3504,126.3004,128.5504,16200,5.3739
2012-06-13,128.7,130.8004,128.5504,130.1254,28300,5.4397
2012-06-14,129.7496,129.9004,125.2496,125.775,31800,5.2578
2012-06-15,128.1746,129.0004,127.575,128.1004,9100,5.3551
2012-06-18,128.25,131.0996,126.0,126.45,19500,5.2861
2012-06-19,128.25,128.925,125.6254,126.9754,3400,5.308
2012-06-20,127.6504,131.9996,127.4996,131.0996,66100,5.4804
2012-06-21,131.0996,134.6996,131.0996,133.425,82100,5.5776
2012-06-22,133.3496,140.4,132.8996,138.2996,246300,5.7814
2012-06-25,140.85,146.25,139.5754,140.4,223700,5.8692
2012-06-26,140.9996,142.875,138.0004,140.3246,68500,5.8661
2012-06-27,139.8004,142.5004,138.0746,139.5,20000,5.8316
2012-06-28,139.5,142.5004,139.5,141.3,48600,5.9068
2012-06-29,139.8004,144.675,139.8004,141.3754,58100,5.91
2012-07-02,140.9996,142.425,139.5,139.8746,63000,5.8473
2012-07-03,140.85,144.0,138.2254,142.5004,134800,5.957
2012-07-04,144.675,145.4996,141.075,143.9246,64400,6.0166
2012-07-05,144.0,154.4996,144.0,149.9996,1553900,6.2705
2012-07-06,150.2246,150.75,147.0004,149.9254,156200,6.2674
2012-07-09,149.9254,154.2004,149.9254,152.2496,3589600,6.3646
2012-07-10,155.3254,155.3254,150.1504,151.1246,77200,6.3176
2012-07-11,153.7504,162.0,150.3754,152.0246,2341000,6.3552
2012-07-12,149.9996,155.7754,149.9996,151.875,317600,6.3489
2012-07-13,153.0,154.2004,150.1504,152.4746,182600,6.374
2012-07-16,154.2746,158.85,153.225,156.4504,706800,6.5402
2012-07-17,157.5,158.7004,150.1504,150.8254,168700,6.305
2012-07-18,150.1504,152.1,147.0004,149.7004,80800,6.258
2012-07-19,151.5004,155.25,147.2254,152.4004,151900,6.3709
2012-07-20,151.5004,153.5254,148.5,150.525,78200,6.2925
2012-07-23,151.5004,151.5004,145.4996,150.1504,222800,6.2768
2012-07-24,149.9996,150.75,147.2996,147.7496,80100,6.1765
2012-07-25,148.05,148.05,140.4754,146.6246,108800,6.1294
2012-07-26,146.25,147.7496,141.525,142.3496,54900,5.9507
2012-07-27,144.0,144.7504,136.4996,140.2504,53100,5.863
2012-07-30,139.8746,146.1004,139.8746,144.5254,194300,6.0417
2012-07-31,141.8254,144.0754,141.075,142.5004,23600,5.957
2012-08-01,144.0,145.9496,141.75,143.775,86800,6.0103
2012-08-02,143.2496,144.7504,142.7254,143.6996,13300,6.0072
2012-08-03,142.5004,146.3996,139.8004,144.45,15300,6.0385
2012-08-06,143.2496,145.4996,142.5004,144.0754,7700,6.0229
2012-08-07,143.9246,147.0004,143.9246,146.5504,22800,6.1263
2012-08-08,147.7496,151.425,144.7504,145.35,51600,6.0762
2012-08-09,144.0,147.6,144.0,144.1496,7000,6.026
2012-08-10,145.4996,148.1254,144.1496,146.3996,12700,6.12
2012-08-13,147.0004,149.2504,142.7254,144.8246,146000,6.0542
2012-08-14,143.4004,143.4004,140.2504,141.075,66400,5.8974
2012-08-15,141.075,141.075,141.075,141.075,0,5.8974
2012-08-16,141.975,143.1,141.75,141.8254,17300,5.9288
2012-08-17,143.55,143.6996,139.725,142.425,23700,5.9539
2012-08-20,142.425,142.425,142.425,142.425,0,5.9539
2012-08-21,138.9004,146.8496,138.9004,143.6996,22000,6.0072
2012-08-22,145.125,145.125,142.65,143.6254,18100,6.0041
2012-08-23,146.25,146.25,144.0,145.4996,15800,6.0824
2012-08-24,144.0754,145.4996,144.0,144.9,26600,6.0573
2012-08-27,144.0754,144.1496,142.65,143.2496,19800,5.9883
2012-08-28,141.1504,143.9246,141.1504,143.0246,8900,5.9789
2012-08-29,142.875,146.25,140.9996,142.875,40300,5.9727
2012-08-30,138.0004,139.8746,135.1496,139.3504,29500,8.0415
2012-08-31,137.3996,140.5496,136.6504,137.475,16300,7.9333
2012-09-03,137.475,139.05,137.3996,138.6754,129400,8.0026
2012-09-04,136.7246,140.625,136.4254,140.0996,95200,8.0847
2012-09-05,138.2254,140.85,137.25,138.825,35500,8.0112
2012-09-06,138.7496,140.4754,137.8496,138.7496,108200,8.0068
2012-09-07,140.9996,145.4996,138.6754,141.3754,132700,8.1584
2012-09-10,140.9996,140.9996,139.5,140.4,26400,8.1021
2012-09-11,140.9254,141.525,140.7004,141.075,14300,8.141
2012-09-12,142.425,151.9504,140.9996,148.5754,149500,8.5739
2012-09-13,149.0254,154.35,145.575,146.925,131500,8.4786
2012-09-14,147.15,151.5004,144.3004,145.35,50900,8.3877
2012-09-17,147.0004,152.6996,144.45,150.75,81600,8.6993
2012-09-18,148.95,152.8504,148.95,151.5746,77700,8.7469
2012-09-19,151.5746,151.5746,151.5746,151.5746,0,8.7469
2012-09-20,149.9996,151.5004,149.9996,151.425,48800,8.7383
2012-09-21,151.425,152.9246,149.9996,149.9996,184700,8.656
2012-09-24,152.6996,155.25,150.75,153.3746,108100,8.8508
2012-09-25,151.7996,154.2004,149.9996,153.225,99000,8.8422
2012-09-26,150.8254,164.7,150.8254,155.5504,544000,8.9764
2012-09-27,158.85,158.9254,155.3254,156.15,171700,9.011
2012-09-28,157.5,159.3754,149.9996,155.7,319200,8.985
2012-10-01,157.5,167.7004,154.4996,164.1004,864900,9.4698
2012-10-02,164.1004,164.1004,164.1004,164.1004,0,9.4698
