Date,Open,High,Low,Close,Volume,Adj Close
2000-02-01,95.0,95.0,92.5,92.5,600,44.017
2000-02-02,92.5,97.25,92.5,93.0,0,44.255
2000-02-03,93.0,95.0,92.5,92.55,100,44.04
2000-02-04,97.0,97.0,93.0,96.5,200,45.92
2000-02-08,93.0,93.0,93.0,93.0,100,44.255
2000-02-09,93.0,93.0,93.0,93.0,0,44.255
2000-02-10,93.475,95.0,92.5,92.5,200,44.017
2000-02-11,92.5,95.0,92.5,95.0,100,45.206
2000-02-16,92.0,92.0,92.0,92.0,0,43.779
2000-02-17,19.7,19.7,19.7,19.7,300,9.374
2000-02-18,19.7,19.7,19.7,19.7,0,9.374
2000-02-21,189.0,189.0,189.0,189.0,0,89.937
2000-02-22,180.0,184.0,180.0,182.0,200,86.606
2000-02-23,174.5,174.5,174.5,174.5,0,83.037
2000-02-24,175.0,175.0,174.0,174.0,0,82.799
2000-02-25,180.0,180.0,180.0,180.0,0,85.654
2000-02-28,19.7,19.7,19.7,19.7,0,9.374
2000-02-29,19.7,19.7,19.7,19.7,0,9.374
2000-03-01,180.0,180.0,180.0,180.0,400,85.654
2000-03-02,166.0,166.5,166.0,166.0,100,78.992
2000-03-03,179.0,179.0,179.0,179.0,0,85.178
2000-03-06,175.0,175.0,175.0,175.0,0,83.275
2000-03-07,18.5,18.85,18.5,18.85,100,8.97
2000-03-08,18.95,18.95,18.95,18.95,0,9.017
2000-03-09,18.95,18.95,18.95,18.95,0,9.017
2000-03-10,18.95,18.95,18.95,18.95,0,9.017
2000-03-13,18.95,18.95,18.95,18.95,0,9.017
2000-03-14,18.95,18.95,18.95,18.95,0,9.017
2000-03-15,18.95,18.95,18.95,18.95,0,9.017
2000-03-16,18.95,18.95,18.95,18.95,0,9.017
2000-03-17,18.95,18.95,18.95,18.95,0,9.017
2000-03-20,18.95,18.95,18.95,18.95,0,9.017
2000-03-21,18.95,18.95,18.95,18.95,0,9.017
2000-03-22,18.95,18.95,18.95,18.95,0,9.017
2000-03-23,18.95,18.95,18.95,18.95,0,9.017
2000-03-24,18.95,18.95,18.95,18.95,0,9.017
2000-03-27,18.95,18.95,18.95,18.95,0,9.017
2000-03-28,18.95,18.95,18.95,18.95,0,9.017
2000-03-29,18.95,18.95,18.95,18.95,0,9.017
2000-03-30,18.95,18.95,18.95,18.95,0,9.017
2000-03-31,18.95,18.95,18.95,18.95,0,9.017
2000-04-03,18.95,18.95,18.95,18.95,0,9.017
2000-04-04,18.95,18.95,18.95,18.95,0,9.017
2000-04-05,18.95,18.95,18.95,18.95,0,9.017
2000-04-06,18.95,18.95,18.95,18.95,0,9.017
2000-04-07,18.95,18.95,18.95,18.95,0,9.017
2000-04-10,18.95,18.95,18.95,18.95,0,9.017
2000-04-11,18.95,18.95,18.95,18.95,0,9.017
2000-04-12,18.95,18.95,18.95,18.95,0,9.017
2000-04-13,18.9,18.9,18.9,18.9,100,8.994
2000-04-14,18.9,18.9,18.9,18.9,0,8.994
2000-04-17,18.9,18.9,18.9,18.9,0,8.994
2000-04-18,18.9,18.9,18.9,18.9,0,8.994
2000-04-19,18.9,18.9,18.9,18.9,0,8.994
2000-04-20,18.9,18.9,18.9,18.9,0,8.994
2000-04-21,18.9,18.9,18.9,18.9,0,8.994
2000-04-24,18.9,18.9,18.9,18.9,0,8.994
2000-04-25,18.9,18.9,18.9,18.9,0,8.994
2000-04-26,165.0,165.0,165.0,165.0,0,78.516
2000-04-27,18.9,18.9,18.9,18.9,0,8.994
2000-04-28,165.0,165.0,165.0,165.0,200,78.516
2000-05-01,18.9,18.9,18.9,18.9,0,8.994
2000-05-02,18.9,18.9,18.9,18.9,0,8.994
2000-05-03,18.9,18.9,18.9,18.9,0,8.994
2000-05-04,152.5,152.5,152.5,152.5,200,72.568
2000-05-05,164.65,164.65,164.65,164.65,0,78.35
2000-05-08,18.9,18.9,18.9,18.9,0,8.994
2000-05-09,152.5,152.5,152.5,152.5,200,72.568
2000-05-10,142.5,142.5,142.5,142.5,200,67.809
