Date,Open,High,Low,Close,Volume,Adj Close
2000-02-22,8.05,9.2,7.3,9.2,849300,9.08
2000-02-23,9.9,11.15,9.6,10.3,1057900,10.17
2000-02-24,10.95,11.1,10.5,11.1,495800,10.96
2000-02-25,11.15,11.15,10.25,11.15,458000,11.01
2000-02-28,12.0,12.0,10.3,10.6,283000,10.46
2000-02-29,11.0,11.0,9.8,9.8,225800,9.68
2000-03-01,9.0,10.2,8.0,9.6,124400,9.48
2000-03-02,9.95,10.7,8.5,8.95,174600,8.84
2000-03-03,8.0,8.0,7.0,7.6,121400,7.5
2000-03-06,8.1,8.95,7.55,7.8,109000,7.7
2000-03-07,8.45,8.45,6.5,7.35,74300,7.26
2000-03-08,7.45,7.45,6.0,6.55,91600,6.47
2000-03-09,6.8,6.8,5.5,6.0,56100,5.92
2000-03-10,6.5,7.0,5.1,5.65,83300,5.58
2000-03-13,5.65,5.65,5.65,5.65,0,5.58
2000-03-14,6.0,6.35,5.5,5.9,22000,5.82
2000-03-15,5.75,6.5,5.5,6.5,32700,6.42
2000-03-16,6.65,6.9,5.7,5.75,44000,5.68
2000-03-17,5.75,5.75,5.75,5.75,0,5.68
2000-03-20,5.75,5.75,5.75,5.75,0,5.68
2000-03-21,6.45,6.45,5.25,5.55,26100,5.48
2000-03-22,5.75,5.9,5.4,5.75,7300,5.68
2000-03-23,5.55,5.55,5.0,5.0,32000,4.94
2000-03-24,4.9,4.9,4.0,4.25,18100,4.2
2000-03-27,5.0,5.3,4.0,4.15,114000,4.1
2000-03-28,4.4,4.4,3.85,4.0,110200,3.95
2000-03-29,4.3,4.7,3.8,3.8,79800,3.75
2000-03-30,4.0,4.15,3.5,3.5,137200,3.46
2000-03-31,3.5,4.35,3.5,4.35,178300,4.29
2000-04-03,5.4,5.4,4.95,5.25,60000,5.18
2000-04-04,5.15,5.15,3.95,3.95,120900,3.9
2000-04-05,3.7,4.5,3.7,4.4,21600,4.34
2000-04-06,4.25,4.45,3.35,4.15,72000,4.1
2000-04-07,4.0,4.75,4.0,4.45,45700,4.39
2000-04-10,4.8,5.0,4.5,4.6,22500,4.54
2000-04-11,4.6,4.6,4.6,4.6,0,4.54
2000-04-12,4.85,4.9,4.5,4.5,11400,4.44
2000-04-13,4.35,4.5,3.85,4.0,39300,3.95
2000-04-14,4.0,4.0,4.0,4.0,0,3.95
2000-04-17,3.6,4.4,3.6,3.9,7200,3.85
2000-04-18,4.1,4.4,3.95,4.0,12700,3.95
2000-04-19,3.95,4.05,3.7,3.75,36100,3.7
2000-04-20,3.95,3.95,3.4,3.6,51600,3.55
2000-04-21,3.6,3.6,3.6,3.6,0,3.55
2000-04-24,3.6,3.6,3.6,3.6,0,3.55
2000-04-25,3.55,3.75,3.35,3.75,23300,3.7
2000-04-26,3.75,3.75,3.75,3.75,0,3.7
2000-04-27,4.2,4.2,3.5,3.8,22100,3.75
2000-04-28,3.8,3.9,3.6,3.8,25600,3.75
2000-05-01,3.8,3.8,3.8,3.8,0,3.75
2000-05-02,3.75,3.75,3.25,3.25,7000,3.21
2000-05-03,3.25,3.25,3.25,3.25,0,3.21
2000-05-04,3.4,3.55,3.3,3.3,23300,3.26
2000-05-05,3.3,3.3,3.3,3.3,0,3.26
2000-05-08,3.7,3.95,3.4,3.55,16300,3.5
2000-05-09,3.55,3.55,3.55,3.55,0,3.5
2000-05-10,3.3,3.6,3.25,3.6,7500,3.55
2000-05-11,3.3,3.5,3.25,3.4,6100,3.36
2000-05-12,3.3,3.3,3.1,3.1,14700,3.06
2000-05-15,3.05,3.05,3.05,3.05,1300,3.01
2000-05-16,3.35,3.35,3.2,3.35,18500,3.31
