Date,Open,High,Low,Close,Volume,Adj Close
1997-08-28,134.4,134.4,134.4,134.4,5000,2.92104
1997-08-29,42.0,42.0,39.9,39.9,2000,0.86718
1997-09-05,49.8,49.8,49.8,49.8,1000,1.08235
1997-09-15,39.0,39.3,39.0,39.3,3000,0.85414
2001-01-31,39.3,39.3,36.3,36.3,6000,0.78894
2001-02-01,39.15,39.15,39.15,39.15,50000,0.85088
2001-02-02,42.15,42.15,42.15,42.15,4000,0.91608
2001-02-05,45.45,45.45,45.45,45.45,5000,0.98781
2001-02-06,49.05,49.05,49.05,49.05,5000,1.06605
2001-02-07,52.8,52.8,52.8,52.8,5000,1.14755
2001-02-08,56.85,56.85,56.85,56.85,5000,1.23557
2001-02-09,61.35,61.35,61.35,61.35,10000,1.33338
2001-02-12,66.15,66.15,66.15,66.15,10000,1.4377
2001-02-13,71.4,71.4,71.4,71.4,10000,1.5518
2001-02-14,76.95,76.95,66.45,76.95,73000,1.67242
2001-02-15,82.95,82.95,82.95,82.95,25000,1.80283
2001-02-16,89.55,89.55,89.55,89.55,1000,1.94627
2001-02-20,96.6,96.6,96.6,96.6,1000,2.0995
2001-02-23,104.25,104.25,104.25,104.25,85000,2.26576
2001-02-26,112.5,112.5,99.0,109.5,25000,2.37986
2001-02-27,116.85,116.85,102.75,106.5,12000,2.31466
2001-02-28,105.0,105.0,105.0,105.0,2000,2.28206
2001-03-01,106.5,107.4,105.0,105.0,18000,2.28206
2001-03-02,113.25,113.25,96.9,96.9,52000,2.10602
2001-03-05,97.2,97.2,97.2,97.2,1000,2.11254
2001-03-13,90.0,90.0,89.55,89.55,2000,1.94627
2001-03-16,83.25,83.25,83.25,83.25,1000,1.80935
2001-03-19,78.0,78.0,76.65,76.65,10000,1.6659
2001-03-20,70.65,70.65,70.65,70.65,1000,1.5355
2001-03-21,74.7,74.7,69.0,69.3,10000,1.50616
2001-03-22,64.05,66.0,63.9,66.0,50000,1.43444
2001-03-23,66.0,66.0,60.75,61.05,109000,1.32686
2001-03-26,61.2,61.2,56.25,56.25,100000,1.22253
2001-03-27,53.25,53.25,51.9,51.9,75000,1.12799
2001-03-28,55.95,55.95,55.95,55.95,22000,1.21601
2001-03-29,60.3,60.3,57.0,57.15,20000,1.24209
2001-03-30,60.0,61.65,60.0,61.65,64000,1.3399
2001-04-02,63.6,63.6,63.6,63.6,1000,1.38228
2001-04-03,67.5,67.5,67.5,67.5,1000,1.46704
2001-04-06,63.9,63.9,63.9,63.9,7000,1.3888
2001-04-09,68.25,68.25,68.25,68.25,1000,1.48334
2001-04-11,73.35,73.35,73.35,73.35,1000,1.59418
2001-04-16,76.35,76.5,69.0,69.0,5000,1.49964
2001-04-19,67.5,67.5,67.5,67.5,1000,1.46704
2001-04-20,69.0,72.75,69.0,72.75,2000,1.58114
2001-04-23,78.45,78.45,78.45,78.45,1000,1.70502
2001-04-25,72.3,72.3,72.3,72.3,1000,1.57136
2001-04-26,75.0,75.0,75.0,75.0,2000,1.63004
2001-04-27,72.0,72.0,72.0,72.0,1000,1.56484
2001-04-30,66.3,66.3,66.3,66.3,1000,1.44096
2001-05-14,71.55,71.55,71.55,71.55,1000,1.55506
2001-05-15,77.1,77.1,77.1,77.1,1000,1.67568
2001-05-16,83.1,83.1,83.1,83.1,1000,1.80609
2001-05-17,89.7,89.7,89.4,89.4,5000,1.94301
2001-05-18,96.45,96.45,90.0,96.45,13000,2.09624
2001-05-21,102.0,103.95,102.0,103.95,4000,2.25924
2001-05-22,112.2,112.2,102.0,106.5,9000,2.31466
2001-05-23,109.5,114.75,105.0,109.5,15000,2.37986
2001-05-24,102.3,102.3,100.8,100.8,14000,2.19078
2001-05-25,99.0,99.0,92.85,92.85,19000,2.01799
2001-05-29,99.9,99.9,99.9,99.9,1000,2.17122
2001-05-30,107.85,107.85,107.85,107.85,1000,2.344
2001-05-31,99.3,99.3,99.3,99.3,1000,2.15818
2001-06-01,91.5,91.5,91.5,91.5,1000,1.98865
2001-06-04,84.75,84.75,84.75,84.75,1000,1.84195
2001-06-05,84.75,84.75,84.75,84.75,1000,1.84195
2001-06-06,84.75,91.5,84.75,91.5,6000,1.98865
2001-06-07,93.0,93.0,91.5,91.5,4000,1.98865
2001-06-08,96.0,96.0,95.85,96.0,11000,2.08645
2001-06-18,88.35,90.0,88.35,90.0,5000,1.95605
2001-06-21,84.0,84.0,84.0,84.0,1000,1.82565
2001-06-22,77.4,77.4,77.4,77.4,6000,1.6822
2001-06-29,75.0,75.0,75.0,75.0,3000,1.63004
2001-07-05,81.0,81.0,81.0,81.0,1000,1.76045
2001-07-11,87.45,87.45,87.45,87.45,1000,1.90063
2001-07-18,90.0,90.0,90.0,90.0,2000,1.95605
2001-07-19,97.05,97.2,97.05,97.2,3000,2.11254
2001-07-20,96.0,96.0,89.55,89.7,4000,1.94953
2001-07-25,90.15,96.0,90.15,96.0,7000,2.08645
2001-07-26,93.3,93.3,93.3,93.3,2000,2.02777
2001-07-27,99.0,99.0,99.0,99.0,5000,2.15166
2001-07-30,102.0,102.0,102.0,102.0,2000,2.21686
2001-07-31,102.0,102.0,102.0,102.0,2000,2.21686
2001-08-02,97.5,97.5,96.0,96.0,10000,2.08645
2001-08-03,96.0,96.0,96.0,96.0,3000,2.08645
2001-08-07,96.0,96.0,96.0,96.0,1000,2.08645
2001-08-13,96.0,96.0,96.0,96.0,1000,2.08645
2001-08-14,96.0,96.0,96.0,96.0,1000,2.08645
2001-08-24,103.65,103.65,103.65,103.65,5000,2.25272
2001-08-31,95.4,95.4,95.4,95.4,5000,2.07341
2001-09-06,88.2,102.9,88.2,102.9,11000,2.23642
2001-09-07,109.5,109.5,109.5,109.5,1000,2.37986
2001-09-10,100.95,100.95,100.8,100.8,5000,2.19078
2001-09-12,108.0,108.0,92.85,106.5,10000,2.31466
2001-09-20,98.1,98.1,98.1,98.1,1000,2.1321
2001-09-21,90.3,90.3,90.3,90.3,3000,1.96257
2001-09-26,97.5,97.5,97.5,97.5,3000,2.11906
2001-09-28,89.85,89.85,89.85,89.85,1000,1.95279
2001-10-01,82.8,96.9,82.8,96.9,2000,2.10602
2001-10-03,89.25,89.25,89.25,89.25,1000,1.93975
2001-10-04,82.65,96.0,82.2,96.0,9000,2.08645
2001-10-11,88.35,88.35,88.35,88.35,1000,1.92019
2001-10-12,84.0,84.0,81.3,82.2,3000,1.78653
2001-10-17,88.5,88.65,88.5,88.65,6000,1.92671
2001-11-08,87.0,87.0,87.0,87.0,1000,1.89085
2001-11-09,81.0,81.0,81.0,81.0,1000,1.76045
2001-11-19,74.55,74.55,74.55,74.55,2000,1.62026
2001-11-28,80.4,80.4,80.4,80.4,1000,1.74741
2001-11-29,86.7,86.7,86.7,86.7,2000,1.88433
2001-12-03,93.6,93.6,90.0,90.0,6000,1.95605
2001-12-05,87.15,97.2,87.15,97.2,2000,2.11254
2001-12-06,96.0,96.0,96.0,96.0,2000,2.08645
2001-12-07,90.0,90.0,88.35,88.35,3000,1.92019
2001-12-19,81.75,81.75,81.75,81.75,10000,1.77675
2001-12-21,88.2,88.2,88.2,88.2,1000,1.91693
2002-01-02,72.0,72.0,72.0,72.0,1000,1.56484
2002-05-20,28.8,28.8,28.8,28.8,3000,0.62594
2002-05-24,34.5501,34.5501,34.5501,34.5501,3000,0.75091
2002-05-27,41.4501,41.4501,41.4501,41.4501,3000,0.90087
2002-05-29,45.5499,45.5499,45.5499,45.5499,3000,0.98998
2002-05-31,50.1,50.1,50.1,50.1,3000,1.08887
2002-06-04,55.1001,55.1001,55.1001,55.1001,3000,1.19754
2002-06-05,60.6,60.6,60.6,60.6,63000,1.31707
2002-06-06,66.6501,66.6501,66.6501,66.6501,3000,1.44857
2002-06-07,73.2999,73.2999,73.2999,73.2999,6000,1.59309
2002-06-10,80.6001,80.6001,80.6001,80.6001,3000,1.75176
2002-06-11,84.6,84.6,84.6,84.6,3000,1.83869
2002-06-12,88.8,88.8,88.8,88.8,30000,1.92997
2002-06-13,93.2001,93.2001,93.2001,93.2001,3000,2.0256
2002-06-14,97.8501,97.8501,97.8501,97.8501,3000,2.12666
2002-06-17,102.6999,102.6999,102.6999,102.6999,45000,2.23207
2002-06-18,107.7999,107.7999,107.7999,107.7999,15000,2.34291
2002-06-19,113.1501,113.1501,113.1501,113.1501,3000,2.45919
2002-06-20,118.8,118.8,118.8,118.8,6000,2.58199
2002-06-21,124.7001,124.7001,124.7001,124.7001,15000,2.71022
2002-06-24,130.8999,130.8999,125.0001,130.7001,129000,2.84062
2002-06-25,137.1999,137.1999,124.2,124.2,81000,2.69935
2002-06-26,117.9999,117.9999,117.9999,117.9999,48000,2.5646
2002-06-27,112.1499,112.1499,112.1499,112.1499,24000,2.43746
2002-06-28,106.5501,106.5501,106.5501,106.5501,45000,2.31575
2002-07-01,110.9001,110.9001,110.85,110.9001,81000,2.41029
2002-07-03,116.4,116.4,116.4,116.4,6000,2.52983
2002-07-04,122.1999,122.1999,122.1999,122.1999,3000,2.65588
2002-07-05,128.3001,128.3001,125.99999,128.3001,141000,2.78846
2002-07-08,134.69999,134.69999,122.0001,122.0001,42000,2.65154
2002-07-09,116.4999,116.4999,115.95,115.95,27000,2.52005
2002-07-10,110.1999,110.4999,110.1999,110.1999,114000,2.39507
2002-07-11,105.0501,114.0,105.0501,108.0501,30000,2.34835
2002-07-12,111.9999,113.4501,111.9999,113.4501,51000,2.46571
2002-07-15,110.0001,110.0001,107.7999,107.7999,36000,2.34291
2002-07-16,111.9999,113.1501,111.9999,113.0001,24000,2.45593
2002-07-17,107.4,107.4,107.4,107.4,3000,2.33422
2002-07-19,108.0,108.0,108.0,108.0,3000,2.34726
