Date,Open,High,Low,Close,Volume,Adj Close
2000-07-04,8.38,8.38,8.38,8.38,1000,4.55
2000-07-05,8.38,8.38,8.38,8.38,0,4.55
2000-07-06,8.6,8.9,8.6,8.9,2500,4.83
2000-07-07,8.9,8.9,8.9,8.9,0,4.83
2000-07-10,8.9,8.9,8.9,8.9,0,4.83
2000-07-11,8.9,8.9,8.9,8.9,0,4.83
2000-07-12,8.9,8.9,8.9,8.9,0,4.83
2000-07-13,8.9,8.9,8.9,8.9,0,4.83
2000-07-14,7.92,7.92,7.92,7.92,500,4.3
2000-07-17,7.88,7.88,7.88,7.88,500,4.28
2000-07-18,7.88,7.88,7.88,7.88,0,4.28
2000-07-19,7.88,7.88,7.88,7.88,0,4.28
2000-07-20,7.99,8.0,7.99,8.0,3000,4.35
2000-07-21,7.4,7.4,7.37,7.4,3000,4.02
2000-07-24,7.4,7.4,7.4,7.4,0,4.02
2000-07-25,7.36,7.36,7.36,7.36,500,4.0
2000-07-26,7.36,7.36,7.36,7.36,0,4.0
2000-07-27,7.36,7.36,7.36,7.36,0,4.0
2000-07-28,7.36,7.36,7.36,7.36,0,4.0
2000-07-31,7.4,7.4,7.4,7.4,500,4.02
2000-08-01,7.4,7.4,7.4,7.4,0,4.02
2000-08-02,7.4,7.4,7.4,7.4,0,4.02
2000-08-03,7.99,7.99,7.7,7.7,1500,4.18
2000-08-04,7.48,7.48,7.13,7.13,1000,3.87
2000-08-07,7.13,7.13,7.13,7.13,0,3.87
2000-08-08,7.13,7.13,7.13,7.13,0,3.87
2000-08-09,7.13,7.13,7.13,7.13,0,3.87
2000-08-10,7.69,7.69,7.69,7.69,1500,4.18
2000-08-11,7.71,7.82,7.6,7.6,6000,4.13
2000-08-14,7.6,7.6,7.6,7.6,3000,4.13
2000-08-15,7.6,7.6,7.6,7.6,0,4.13
2000-08-16,7.6,7.6,7.6,7.6,0,4.13
2000-08-17,7.6,7.6,7.6,7.6,1000,4.13
2000-08-18,7.2,7.49,7.0,7.25,5500,3.94
2000-08-21,7.25,7.25,7.25,7.25,0,3.94
2000-08-22,7.82,7.82,7.82,7.82,1000,4.25
2000-08-23,7.82,7.82,7.82,7.82,0,4.25
2000-08-24,7.61,7.61,7.6,7.6,3500,4.13
2000-08-25,8.18,8.2,8.18,8.2,3000,4.45
2000-08-28,8.2,8.2,8.2,8.2,0,4.45
2000-08-29,8.79,8.8,8.79,8.79,1000,4.77
2000-08-30,8.79,8.8,8.79,8.8,400,4.78
2000-08-31,8.8,8.8,8.8,8.8,100,4.78
2000-09-01,8.8,8.8,8.8,8.8,0,4.78
2000-09-04,8.8,8.8,8.8,8.8,0,4.78
2000-09-05,8.8,8.8,8.8,8.8,0,4.78
2000-09-06,8.8,8.8,8.8,8.8,0,4.78
2000-09-07,8.8,8.8,8.8,8.8,0,4.78
2000-09-08,9.47,9.48,9.47,9.48,300,5.15
2000-09-11,10.0,10.0,10.0,10.0,2500,5.43
2000-09-12,10.4,10.76,10.4,10.76,500,5.84
2000-09-13,9.9,9.9,9.9,9.9,1000,5.38
2000-09-14,10.59,10.6,10.59,10.6,1000,5.76
2000-09-15,9.9,9.9,9.9,9.9,0,5.38
2000-09-18,9.9,9.9,9.9,9.9,0,5.38
2000-09-19,9.9,9.9,9.9,9.9,0,5.38
2000-09-20,9.9,9.9,9.9,9.9,0,5.38
2000-09-21,9.9,9.9,9.9,9.9,0,5.38
2000-09-22,10.38,10.38,10.38,10.38,500,5.64
2000-09-25,10.38,10.38,10.38,10.38,0,5.64
2000-09-26,10.38,10.38,10.38,10.38,0,5.64
2000-09-27,10.38,10.38,10.38,10.38,0,5.64
2000-09-28,10.38,10.38,10.38,10.38,0,5.64
2000-09-29,10.38,10.38,10.38,10.38,0,5.64
2000-10-02,10.38,10.38,10.38,10.38,0,5.64
2000-10-03,10.38,10.38,10.38,10.38,0,5.64
2000-10-04,10.38,10.38,10.38,10.38,0,5.64
2000-10-05,10.38,10.38,10.38,10.38,0,5.64
2000-10-06,9.65,9.65,9.65,9.65,1500,5.24
2000-10-09,9.65,9.65,9.65,9.65,0,5.24
2000-10-10,9.65,9.65,9.65,9.65,0,5.24
2000-10-11,9.0,9.0,9.0,9.0,3500,4.89
2000-10-12,9.0,9.0,9.0,9.0,0,4.89
2000-10-13,9.0,9.0,9.0,9.0,0,4.89
2000-10-16,9.0,9.0,9.0,9.0,0,4.89
2000-10-17,9.0,9.0,9.0,9.0,0,4.89
2000-10-18,9.0,9.0,9.0,9.0,0,4.89
2000-10-19,9.0,9.0,9.0,9.0,0,4.89
2000-10-20,9.0,9.0,9.0,9.0,0,4.89
2000-10-23,9.0,9.0,9.0,9.0,0,4.89
2000-10-24,9.0,9.0,9.0,9.0,0,4.89
2000-10-25,9.0,9.0,9.0,9.0,0,4.89
2000-10-26,9.0,9.0,9.0,9.0,0,4.89
2000-10-27,9.0,9.0,9.0,9.0,0,4.89
2000-10-30,9.3,9.3,9.3,9.3,500,5.05
2000-10-31,9.3,9.3,9.3,9.3,0,5.05
2000-11-01,9.3,9.3,9.3,9.3,0,5.05
2000-11-02,9.3,9.3,9.3,9.3,0,5.05
