Date,Open,High,Low,Close,Volume,Adj Close
2002-06-28,274.5,280.125,247.525,249.725,826000,99.357
2002-07-01,252.0,260.5,246.75,257.6,662500,102.49
2002-07-02,250.275,260.0,250.275,257.075,145600,102.281
2002-07-03,255.0,272.925,255.0,271.525,725900,108.03
2002-07-04,274.0,277.5,262.0,264.75,641200,105.335
2002-07-05,266.95,268.25,262.75,266.8,123300,106.15
2002-07-08,270.75,271.5,266.5,268.7,78300,106.906
2002-07-09,255.075,267.9,255.075,266.225,31600,105.922
2002-07-10,267.0,267.975,256.725,257.6,30900,102.49
2002-07-11,256.0,257.975,252.0,252.55,60500,100.481
2002-07-12,257.5,259.375,251.275,257.275,51100,102.361
2002-07-15,258.5,258.5,248.5,253.725,39700,100.948
2002-07-16,251.775,257.5,251.0,254.875,38900,101.406
2002-07-17,251.5,254.95,250.75,251.5,28400,100.063
2002-07-18,256.25,258.0,252.55,256.425,15900,102.022
2002-07-19,256.5,256.5,250.325,251.075,8100,99.894
2002-07-22,250.25,250.25,241.0,242.45,12100,96.462
2002-07-23,245.5,245.5,235.75,243.325,31300,96.81
2002-07-24,243.0,243.0,225.025,226.45,42600,90.096
2002-07-25,240.0,244.0,233.0,235.575,69600,93.727
2002-07-26,229.0,231.5,225.0,225.475,43200,89.709
2002-07-29,227.5,228.925,216.525,227.85,18000,90.653
2002-07-30,237.225,242.4,227.5,229.975,96900,91.499
2002-07-31,232.5,234.425,223.05,231.475,52000,92.096
2002-08-01,234.0,244.85,231.775,241.85,46300,96.224
2002-08-02,234.5,249.9,233.0,248.3,49800,98.79
2002-08-05,252.5,252.5,245.0,247.225,26600,98.362
2002-08-06,242.5,250.0,241.55,247.45,13400,98.452
2002-08-07,250.575,252.5,243.0,245.45,14200,97.656
2002-08-08,247.5,248.825,241.55,243.5,8300,96.88
2002-08-09,252.0,253.0,245.5,246.75,27400,98.173
2002-08-12,500.0,503.0,496.1,498.75,8200,198.435
2002-08-13,501.5,502.0,495.05,500.8,14900,199.251
2002-08-14,499.0,500.0,491.1,497.85,3700,198.077
2002-08-16,502.0,525.9,502.0,519.45,70100,206.671
2002-08-19,523.75,527.0,517.7,522.2,23200,207.765
2002-08-20,525.0,532.0,522.5,526.5,33700,209.476
