Date,Open,High,Low,Close,Volume,Adj Close
2012-12-27,135.5,154.75,135.5,149.0,28612700,141.07
2012-12-28,149.0,154.3,145.65,147.2,2740800,139.37
2012-12-31,147.05,153.25,145.0,149.7,1711800,141.73
2013-01-01,150.6,167.9,150.6,165.15,4535100,156.36
2013-01-02,167.3,179.4,165.6,175.5,5777400,166.16
2013-01-03,175.0,184.8,175.0,183.3,3533300,173.55
2013-01-04,185.5,189.35,182.9,187.5,2535000,177.52
2013-01-07,188.4,194.9,180.6,181.9,2802900,172.22
2013-01-08,183.2,186.4,176.2,177.95,2095400,168.48
2013-01-09,178.6,180.45,174.3,175.75,1458900,166.4
2013-01-10,177.0,177.7,165.5,166.4,1390700,157.54
2013-01-11,166.0,167.2,155.1,156.0,2173000,147.7
2013-01-14,157.0,173.6,155.7,172.25,2748000,163.08
2013-01-15,172.5,176.3,166.5,169.0,1879400,160.01
2013-01-16,170.0,170.0,162.6,163.7,842900,154.99
2013-01-17,165.0,167.8,162.5,164.45,661500,155.7
2013-01-18,166.0,166.15,160.75,161.35,471200,152.76
2013-01-21,162.5,164.65,159.25,160.4,511800,151.86
2013-01-22,159.6,162.0,155.2,155.65,539300,147.37
2013-01-23,156.7,162.9,155.0,161.4,1192000,152.81
2013-01-24,162.8,162.8,153.1,153.85,975600,145.66
2013-01-25,154.4,159.2,152.45,157.8,554200,149.4
2013-01-28,158.5,166.5,157.1,161.8,1064100,153.19
2013-01-29,161.7,164.4,159.3,161.95,486300,153.33
2013-01-30,161.5,163.0,157.1,158.0,293200,149.59
2013-01-31,158.45,161.3,156.5,160.05,280000,151.53
2013-02-01,161.95,165.35,158.5,159.55,484500,151.06
2013-02-04,160.95,161.75,155.05,155.75,238600,147.46
2013-02-05,154.25,157.5,150.05,152.0,558800,143.91
2013-02-06,153.1,154.85,140.15,141.9,885800,134.35
2013-02-07,140.1,143.8,134.0,142.3,1917800,134.73
2013-02-08,142.5,143.6,138.2,139.45,429500,132.03
2013-02-11,140.0,141.8,118.05,124.35,2174600,117.73
2013-02-12,125.0,133.2,122.75,132.2,1301500,125.16
2013-02-13,132.5,141.9,132.3,140.35,963000,132.88
2013-02-14,141.1,141.55,136.5,140.2,430800,132.74
2013-02-15,139.4,140.9,136.95,139.2,260500,131.79
2013-02-18,140.2,142.75,138.0,140.05,322500,132.6
2013-02-19,140.0,142.5,138.5,141.7,208900,134.16
2013-02-20,142.1,143.3,140.1,141.6,313700,134.06
2013-02-21,140.1,140.65,135.8,136.75,258700,129.47
2013-02-22,137.35,141.9,136.2,140.65,219700,133.17
2013-02-25,140.1,141.55,130.1,133.15,484700,126.06
2013-02-26,133.0,133.1,122.0,125.1,589700,118.44
2013-02-27,126.0,128.5,115.9,126.0,436300,119.29
2013-02-28,127.0,127.0,111.75,114.6,745700,108.5
2013-03-01,115.05,118.05,106.1,108.75,561900,102.96
2013-03-04,111.25,112.3,105.3,108.5,271500,102.73
2013-03-05,109.8,126.0,108.5,121.3,1492900,114.84
2013-03-06,123.0,134.5,122.0,132.05,1488000,125.02
2013-03-07,130.3,132.55,125.0,127.25,598900,120.48
2013-03-08,128.35,128.35,121.6,123.1,453100,116.55
2013-03-11,124.2,127.4,122.55,123.65,443200,117.07
2013-03-12,124.65,126.35,120.15,123.45,362000,116.88
2013-03-13,122.75,123.85,120.1,120.55,683500,114.13
2013-03-14,120.0,122.7,116.55,118.55,300300,112.24
2013-03-15,119.4,121.5,116.25,117.0,283200,110.77
2013-03-18,116.8,117.7,114.3,115.9,172000,109.73
2013-03-19,116.9,119.6,105.75,111.7,568500,105.76
2013-03-20,112.0,112.75,107.4,107.95,280400,102.21
2013-03-21,108.4,111.0,102.55,105.1,298000,99.51
2013-03-22,105.0,109.4,104.95,106.65,226600,100.97
2013-03-25,109.3,112.45,108.2,109.6,300100,103.77
2013-03-26,109.5,112.4,108.15,109.9,136700,104.05
2013-03-27,109.9,109.9,109.9,109.9,0,104.05
2013-03-28,110.45,114.8,109.2,113.3,232200,107.27
2013-03-29,113.3,113.3,113.3,113.3,0,107.27
2013-04-01,116.5,125.5,114.0,123.45,387600,116.88
2013-04-02,122.85,123.65,120.55,121.95,149500,115.46
2013-04-03,122.25,125.0,118.0,119.2,207500,112.86
2013-04-04,118.75,118.75,112.25,112.85,129300,106.84
2013-04-05,114.0,114.0,108.1,109.1,134500,103.29
2013-04-08,110.0,111.0,108.6,109.25,89300,103.44
2013-04-09,110.45,113.2,108.9,109.65,87700,103.81
2013-04-10,110.65,110.9,107.5,109.55,76100,103.72
2013-04-11,110.1,110.95,109.2,109.7,59700,103.86
2013-04-12,109.4,109.4,107.5,107.95,47100,102.21
2013-04-15,106.9,107.25,99.0,101.85,322200,96.43
2013-04-16,101.1,107.55,97.0,102.5,468700,97.05
2013-04-17,105.9,105.9,99.2,100.2,195300,94.87
2013-04-18,101.45,103.9,100.0,101.6,239700,96.19
2013-04-19,101.6,101.6,101.6,101.6,0,96.19
2013-04-22,101.7,105.25,101.7,104.65,296300,99.08
2013-04-23,105.5,109.05,105.5,106.05,187100,100.41
2013-04-24,106.05,106.05,106.05,106.05,0,100.41
2013-04-25,106.95,119.7,106.0,112.4,783700,106.42
