Date,Open,High,Low,Close,Volume,Adj Close
2004-03-26,16.5,17.1,14.55,14.65,7359100,12.36
2004-03-29,14.75,14.95,14.45,14.55,2551800,12.28
2004-03-30,14.65,15.15,14.6,14.75,1416400,12.45
2004-03-31,14.8,15.0,14.65,14.75,958800,12.45
2004-04-01,14.85,15.38,14.8,15.24,1491600,12.86
2004-04-02,15.3,17.2,15.3,16.91,6081600,14.27
2004-04-05,17.5,20.1,17.01,19.04,14962400,16.07
2004-04-06,20.0,20.74,19.0,19.72,9188400,16.64
2004-04-07,20.0,20.28,19.41,19.98,7208800,16.86
2004-04-08,20.09,20.1,19.4,19.73,4100000,16.65
2004-04-12,20.0,22.05,19.8,21.15,10410500,17.85
2004-04-13,21.39,21.5,20.15,20.79,4580800,17.54
2004-04-15,21.19,21.6,20.66,21.15,4158300,17.85
2004-04-16,21.45,22.1,21.15,21.95,4836000,18.52
2004-04-19,25.2,26.75,24.96,25.8,14265900,21.77
2004-04-20,26.09,26.3,24.4,24.82,7626000,20.94
2004-04-21,24.69,25.5,24.29,25.24,4402300,21.3
2004-04-22,25.3,25.45,24.75,24.92,2698000,21.03
2004-04-23,25.2,25.5,24.07,24.28,2879300,20.49
2004-04-27,24.05,24.25,21.0,22.11,3878800,18.66
2004-04-28,22.45,23.35,21.55,23.09,4416300,19.48
2004-04-29,22.98,24.09,22.9,23.59,3476000,19.91
2004-04-30,23.6,24.09,23.0,23.13,2330500,19.52
2004-05-03,23.2,23.2,21.7,22.3,3213000,18.82
2004-05-04,22.55,23.7,22.5,23.3,2039700,19.66
2004-05-05,23.65,23.9,23.2,23.65,1893700,19.96
2004-05-06,24.45,24.65,24.05,24.3,1796800,20.5
2004-05-07,24.55,24.55,23.5,24.0,2687300,20.25
2004-05-10,23.5,24.0,22.55,23.9,1774100,20.17
2004-05-11,23.45,23.45,22.5,22.65,1745200,19.11
2004-05-12,22.7,23.5,21.5,23.2,2419700,19.58
2004-05-13,22.0,24.25,21.5,23.2,3287900,19.58
2004-05-14,23.35,23.35,20.5,21.1,3842300,17.8
2004-05-17,21.0,21.0,16.9,20.1,4672900,16.96
2004-05-18,20.0,22.1,19.55,21.9,2487100,18.48
2004-05-19,22.0,23.7,22.0,23.55,3474200,19.87
2004-05-20,24.2,24.3,23.5,23.65,2280500,19.96
2004-05-21,23.3,24.65,22.5,23.65,4300100,19.96
2004-05-24,24.2,24.5,23.6,23.65,1700900,19.96
2004-05-25,23.75,23.95,23.15,23.7,1095800,20.0
2004-05-26,23.95,24.2,23.6,23.6,695100,19.91
2004-05-27,23.65,24.25,23.6,23.65,2302000,19.96
2004-05-28,23.45,23.95,23.0,23.25,1456400,19.62
2004-05-31,23.15,23.25,22.25,22.85,1940900,19.28
2004-06-01,23.4,23.9,23.0,23.65,1557600,19.96
2004-06-02,23.8,24.0,23.6,23.65,601900,19.96
2004-06-03,24.0,24.0,22.8,23.0,1163200,19.41
2004-06-04,22.8,23.2,22.6,22.95,605800,19.37
2004-06-07,23.1,23.15,22.7,22.95,632400,19.37
2004-06-08,23.0,23.25,22.6,22.65,340400,19.11
2004-06-09,22.8,22.9,22.5,22.55,303300,19.03
2004-06-10,22.6,22.7,22.4,22.5,271100,18.99
2004-06-11,22.6,22.65,22.0,22.15,594200,18.69
2004-06-14,21.9,22.95,21.5,21.9,417900,18.48
2004-06-15,21.65,22.3,21.55,21.65,297400,18.27
2004-06-16,22.0,22.3,21.1,21.25,475700,17.93
2004-06-17,21.65,21.65,21.0,21.1,331100,17.8
2004-06-18,21.15,21.4,21.0,21.25,342000,17.93
2004-06-21,21.05,21.35,20.95,21.05,240000,17.76
2004-06-22,20.9,21.0,20.4,20.6,405100,17.38
2004-06-23,20.5,20.7,19.4,19.55,456300,16.5
2004-06-24,19.6,20.0,18.9,19.5,494000,16.45
2004-06-25,19.6,20.6,19.3,20.25,525300,17.09
2004-06-28,20.55,20.65,20.25,20.4,246300,17.21
2004-06-29,20.6,21.9,20.4,21.65,826900,18.27
2004-06-30,22.0,22.4,21.3,21.55,343600,18.18
2004-07-01,21.95,22.0,21.25,21.55,129300,18.18
2004-07-02,21.7,22.25,21.25,22.1,595200,18.65
2004-07-05,21.55,22.3,21.25,22.05,332000,18.61
2004-07-06,22.0,22.1,21.65,22.0,290500,18.56
2004-07-07,22.1,22.4,22.0,22.0,250300,18.56
2004-07-08,22.2,22.35,21.1,21.45,509000,18.1
2004-07-09,21.4,21.95,20.75,21.6,336300,18.23
2004-07-12,21.45,22.05,21.45,21.65,188600,18.27
2004-07-13,21.9,21.9,21.4,21.55,167800,18.18
2004-07-14,21.5,21.75,21.3,21.45,180400,18.1
2004-07-15,21.5,22.0,21.4,21.8,230000,18.39
2004-07-16,22.05,22.4,21.8,22.05,430700,18.61
2004-07-19,22.0,22.4,21.9,22.1,443300,18.65
2004-07-20,22.25,22.25,21.8,21.9,231600,18.48
2004-07-21,22.1,22.15,21.8,21.9,173200,18.48
2004-07-22,22.1,23.6,21.95,23.1,2271200,19.49
2004-07-23,23.45,24.1,22.85,23.5,2456600,19.83
2004-07-26,23.5,23.6,22.75,22.9,744800,19.32
2004-07-27,23.15,23.2,22.3,22.45,366600,18.94
2004-07-28,22.65,22.65,22.05,22.2,222000,18.73
2004-07-29,22.4,23.6,22.4,22.85,769100,19.28
2004-07-30,22.25,23.0,22.0,22.1,691000,18.65
2004-08-02,22.1,23.35,21.6,22.95,1451600,19.37
2004-08-03,23.35,23.8,22.7,22.95,2375800,19.37
2004-08-04,22.05,23.0,22.05,22.25,683200,18.77
2004-08-05,22.5,22.7,22.1,22.4,541200,18.9
2004-08-06,22.5,22.7,22.1,22.2,648800,18.73
2004-08-09,22.1,22.5,22.0,22.25,412700,18.77
2004-08-10,22.25,22.45,22.0,22.1,286200,18.65
2004-08-11,22.15,22.25,21.55,21.65,367800,18.27
2004-08-12,21.9,22.05,21.4,21.5,313300,18.14
2004-08-13,21.6,21.75,21.15,21.55,243400,18.18
2004-08-16,21.6,22.25,21.55,21.95,332600,18.52
2004-08-17,22.1,22.9,22.0,22.8,922800,19.24
2004-08-18,22.8,22.9,21.9,22.0,350000,18.56
2004-08-19,22.5,22.6,21.85,21.9,361300,18.48
2004-08-20,21.9,22.45,21.85,22.15,410500,18.69
2004-08-23,22.4,22.4,21.45,21.5,287900,18.14
2004-08-24,21.7,23.15,21.65,23.0,1416700,19.41
2004-08-25,23.3,25.05,22.5,24.5,6489100,20.67
2004-08-26,25.0,25.0,23.65,23.8,2383300,20.08
2004-08-27,24.0,24.2,23.45,23.65,890000,19.96
2004-08-30,23.8,24.2,23.7,23.75,589700,20.04
2004-08-31,23.9,24.45,23.65,24.25,909100,20.46
2004-09-01,24.35,25.1,24.1,24.2,1621400,20.42
2004-09-02,24.4,25.65,24.0,25.4,4010600,21.43
2004-09-03,25.35,25.7,24.75,25.45,2797900,21.47
2004-09-06,25.45,25.65,24.8,24.9,798400,21.01
2004-09-07,25.1,25.2,24.65,24.75,406400,20.88
2004-09-08,24.6,25.1,24.55,24.9,636600,21.01
2004-09-09,25.0,25.05,24.15,24.3,348600,20.5
2004-09-10,24.35,24.75,24.2,24.3,244900,20.5
