Date,Open,High,Low,Close,Volume,Adj Close
2010-10-27,190.0,209.0,188.15,192.55,15573800,182.79
2010-10-28,194.8,205.7,191.1,198.95,2639900,188.86
2010-10-29,197.0,206.0,195.0,198.3,1307800,188.24
2010-11-01,200.1,232.0,197.25,216.4,581700,205.43
2010-11-02,217.1,217.1,202.55,203.8,608200,193.47
2010-11-03,205.0,209.1,204.5,205.1,310600,194.7
2010-11-04,204.2,215.6,202.1,206.3,455400,195.84
2010-11-05,209.1,209.1,205.15,205.95,20800,195.51
2010-11-08,207.5,210.3,200.0,203.15,192300,192.85
2010-11-09,203.2,205.0,198.7,200.3,51600,190.14
2010-11-10,202.0,204.8,199.25,199.85,65600,189.72
2010-11-11,202.0,202.3,192.25,194.1,50500,184.26
2010-11-12,195.0,200.0,191.05,193.1,73900,183.31
2010-11-15,195.0,198.0,192.95,197.35,41500,187.34
2010-11-16,197.0,197.35,186.0,188.0,30200,178.47
2010-11-18,190.0,191.5,172.05,184.05,83200,174.72
2010-11-19,184.5,184.5,175.0,179.8,635700,170.68
2010-11-22,180.0,180.5,172.0,173.15,32600,164.37
2010-11-23,172.1,183.4,164.1,165.9,39500,157.49
2010-11-24,166.0,168.3,152.1,157.85,34500,149.85
2010-11-25,161.0,166.9,152.1,162.2,241500,153.98
2010-11-26,160.9,164.5,149.0,160.15,97400,152.03
2010-11-29,160.0,164.9,154.15,161.9,81000,153.69
2010-11-30,154.15,174.95,154.15,168.45,100300,159.91
2010-12-01,174.65,176.8,168.9,173.9,140300,165.08
2010-12-02,176.0,191.0,175.3,186.85,101600,177.38
2010-12-03,187.95,196.0,186.0,191.9,83400,182.17
2010-12-06,194.3,195.0,184.25,186.45,39700,177.0
2010-12-07,185.25,199.95,180.0,185.35,68300,175.95
2010-12-08,185.9,188.2,175.1,176.6,16300,167.64
2010-12-09,174.3,177.8,164.5,167.85,7500,159.34
2010-12-10,161.0,178.8,155.1,170.65,15500,162.0
2010-12-13,179.9,180.0,171.0,172.6,6500,163.85
2010-12-14,170.5,176.0,155.0,171.65,203300,162.95
2010-12-15,168.3,172.0,155.25,162.7,29700,154.45
2010-12-16,163.4,166.7,157.0,159.7,10100,151.6
2010-12-20,160.0,174.9,158.3,171.9,25200,163.18
2010-12-21,170.1,176.9,168.1,168.8,13600,160.24
2010-12-22,167.85,169.95,165.0,165.95,2600,157.53
2010-12-23,169.8,175.0,164.0,171.85,18900,163.14
2010-12-24,168.25,169.45,166.5,169.05,8500,160.48
2010-12-27,168.05,171.0,161.05,163.75,5600,155.45
2010-12-28,165.0,165.2,163.1,164.4,6000,156.06
2010-12-29,166.8,167.7,165.0,166.5,5000,158.06
2010-12-30,165.2,169.9,140.05,168.55,21200,160.0
2010-12-31,170.4,172.9,168.1,172.9,3800,164.13
2011-01-03,176.0,176.0,165.85,167.75,5700,159.24
2011-01-04,166.5,170.0,160.0,160.65,24900,152.5
2011-01-05,190.0,190.0,157.0,159.15,12000,151.08
2011-01-06,161.0,161.0,158.05,159.15,5300,151.08
2011-01-07,160.4,160.4,150.6,154.5,8400,146.67
2011-01-10,155.0,155.0,145.9,146.9,6700,139.45
2011-01-11,151.0,151.0,140.25,143.0,7900,135.75
2011-01-12,143.0,152.0,140.05,143.4,7200,136.13
2011-01-13,144.0,144.0,141.25,141.5,5200,134.32
2011-01-14,140.1,143.8,139.05,140.5,2800,133.38
2011-01-17,140.5,142.15,135.05,136.5,135500,129.58
2011-01-18,139.35,139.4,135.0,135.6,1600,128.72
2011-01-19,137.8,141.0,135.05,139.0,135800,131.95
2011-01-20,140.0,146.0,138.2,143.35,18100,136.08
2011-01-21,144.15,146.9,143.2,144.65,3600,137.32
2011-01-24,144.1,163.0,144.1,157.7,47700,149.7
2011-01-25,158.55,158.55,152.1,153.9,17800,146.1
2011-01-27,157.0,161.0,145.0,151.15,40300,143.49
2011-01-28,156.0,156.5,147.0,152.75,9800,145.0
2011-01-31,149.0,153.7,146.2,149.4,3600,141.82
2011-02-01,150.1,153.0,142.05,144.65,3900,137.32
2011-02-02,148.7,150.0,138.0,139.65,2100,132.57
2011-02-03,137.1,139.95,130.5,136.3,4300,129.39
2011-02-04,137.95,137.95,128.5,131.95,8100,125.26
2011-02-07,133.95,133.95,124.0,125.2,3800,118.85
2011-02-08,126.3,132.9,126.3,127.7,33200,121.22
2011-02-09,127.0,130.0,115.0,117.4,6300,111.45
2011-02-10,122.0,128.95,119.1,124.0,5700,117.71
2011-02-11,128.95,129.85,112.8,126.5,5900,120.09
2011-02-14,129.0,132.0,127.0,127.95,10500,121.46
2011-02-15,135.0,135.0,128.0,128.1,1200,121.6
2011-02-16,129.9,130.0,125.1,125.75,400,119.37
2011-02-17,126.0,130.95,120.5,121.15,5600,115.01
2011-02-18,123.9,129.5,123.9,125.6,10900,119.23
2011-02-21,122.8,130.85,122.8,129.4,7100,122.84
2011-02-22,127.0,128.0,123.05,125.55,600,119.18
2011-02-23,127.0,129.0,125.05,127.2,2100,120.75
2011-02-24,125.05,127.75,121.0,121.8,1000,115.62
2011-02-25,121.0,121.0,116.8,118.0,1600,112.02
2011-02-28,118.7,120.25,113.0,116.2,1000,110.31
2011-03-01,117.0,123.0,117.0,121.65,1600,115.48
2011-03-03,120.0,120.0,113.1,116.45,8900,110.55
2011-03-04,117.15,118.95,116.0,116.5,2300,110.59
2011-03-07,117.0,117.0,114.25,116.8,500,110.88
2011-03-08,117.1,117.1,113.0,114.25,5400,108.46
2011-03-09,114.1,114.5,112.1,113.6,900,107.84
2011-03-10,113.9,116.0,113.2,114.5,7400,108.69
2011-03-11,113.5,114.5,110.3,111.95,1700,106.27
2011-03-14,110.0,115.0,110.0,111.15,2000,105.51
2011-03-15,110.0,111.5,109.0,109.0,38000,103.47
2011-03-16,110.0,112.95,107.0,108.1,3400,102.62
2011-03-17,109.2,115.4,109.2,112.5,62200,106.8
2011-03-18,112.1,112.85,104.0,108.1,54700,102.62
2011-03-21,108.0,109.75,106.9,108.2,4600,102.71
2011-03-22,108.0,109.95,108.0,108.95,4300,103.43
2011-03-23,109.25,126.6,109.25,120.9,44500,114.77
2011-03-24,120.8,145.05,119.0,141.55,156300,134.37
2011-03-25,141.0,147.0,132.8,134.25,96700,127.44
2011-03-28,135.75,137.8,128.05,130.7,11800,124.07
2011-03-29,127.1,127.5,122.0,125.7,12700,119.33
2011-03-30,129.8,129.8,124.05,127.5,8100,121.03
2011-03-31,125.1,129.9,123.0,125.0,8500,118.66
2011-04-01,134.75,134.75,126.15,129.55,15800,122.98
2011-04-04,128.75,130.85,126.0,128.2,1200,121.7
2011-04-05,128.1,129.85,122.4,124.6,11200,118.28
2011-04-06,126.95,126.95,124.0,124.35,4300,118.04
2011-04-07,123.4,139.35,123.4,136.6,53700,129.67
2011-04-08,138.4,148.0,138.0,144.75,74700,137.41
