Date,Open,High,Low,Close,Volume,Adj Close
2004-04-07,31.1,46.35,27.75,44.65,40468600,33.61
2004-04-08,47.95,47.95,41.5,42.0,15040200,31.62
2004-04-12,42.55,48.2,42.2,45.05,11115400,33.91
2004-04-13,45.7,45.7,43.4,44.2,3751100,33.27
2004-04-15,44.3,47.35,43.4,45.25,6971900,34.06
2004-04-16,45.5,49.65,45.5,48.95,11149100,36.85
2004-04-19,58.7,61.0,54.65,55.15,23616800,41.52
2004-04-20,55.6,55.75,51.1,51.6,9810300,38.85
2004-04-21,51.6,54.0,50.7,53.1,7005400,39.97
2004-04-22,54.05,54.7,52.8,53.4,4547200,40.2
2004-04-23,53.5,56.65,51.75,52.45,5703200,39.48
2004-04-27,51.5,52.0,47.8,48.55,5487700,36.55
2004-04-28,48.45,50.15,47.75,49.2,4527700,37.04
2004-04-29,49.0,51.45,48.6,49.85,4468100,37.53
2004-04-30,49.85,51.2,48.4,48.9,2253700,36.81
2004-05-03,48.65,49.25,45.0,47.45,2774300,35.72
2004-05-04,48.3,50.5,48.0,49.15,1843000,37.0
2004-05-05,49.7,52.2,49.1,51.4,4301300,38.69
2004-05-06,52.3,53.6,52.1,52.8,3267900,39.75
2004-05-07,53.3,53.3,50.35,51.1,3096800,38.47
2004-05-10,49.9,51.95,49.1,51.25,2935300,38.58
2004-05-11,50.1,50.65,48.1,48.55,1955700,36.55
2004-05-12,49.1,50.4,48.6,49.35,1848300,37.15
2004-05-13,41.3,53.75,41.3,52.3,4574000,39.37
2004-05-14,52.8,53.2,47.5,48.45,3297800,36.47
2004-05-17,48.45,48.45,38.8,39.9,1974700,30.04
2004-05-18,40.0,46.9,40.0,46.25,2829300,34.82
2004-05-19,48.0,49.45,46.75,48.35,1646600,36.4
2004-05-20,51.0,51.0,47.55,48.05,1373600,36.17
2004-05-21,48.0,48.5,46.25,47.2,1101200,35.53
2004-05-24,48.85,49.45,47.8,48.1,1046500,36.21
2004-05-25,48.5,48.5,46.8,47.05,825300,35.42
2004-05-26,47.5,49.35,47.5,48.6,1442900,36.59
2004-05-27,49.0,53.0,47.65,51.25,6706300,38.58
2004-05-28,50.0,53.35,49.6,52.6,5466800,39.6
2004-05-31,52.4,52.5,47.6,49.4,3606000,37.19
2004-06-01,49.5,52.15,49.45,50.95,1890100,38.36
2004-06-02,51.5,51.9,50.55,50.9,664100,38.32
2004-06-03,51.4,51.8,48.8,49.6,1204400,37.34
2004-06-04,49.6,51.7,48.8,50.8,1616400,38.24
2004-06-07,51.5,51.65,50.05,50.4,593900,37.94
2004-06-08,51.25,51.25,50.0,50.1,436700,37.72
2004-06-09,50.7,50.7,49.65,49.85,476700,37.53
2004-06-10,49.8,50.6,49.5,49.6,259100,37.34
2004-06-11,50.0,51.3,49.25,49.55,737600,37.3
2004-06-14,49.5,50.0,48.55,49.3,522300,37.11
2004-06-15,48.5,50.2,47.6,47.85,511600,36.02
2004-06-16,48.7,49.1,47.6,47.8,305700,35.98
2004-06-17,48.6,48.85,46.55,47.1,531500,35.46
2004-06-18,47.6,47.7,45.35,46.15,696100,34.74
2004-06-21,46.45,47.0,45.75,46.15,434400,34.74
2004-06-22,46.25,46.45,44.4,44.9,467700,33.8
2004-06-23,45.35,45.85,42.55,43.0,423200,32.37
2004-06-24,43.1,43.5,42.0,43.2,293900,32.52
2004-06-25,42.8,46.85,42.3,46.35,836200,34.89
2004-06-28,46.8,47.3,46.4,46.65,286900,35.12
2004-06-29,46.4,47.4,45.5,46.75,303100,35.81
2004-06-30,47.2,48.75,47.0,47.2,425800,36.15
2004-07-01,47.9,48.6,47.6,48.05,434100,36.8
2004-07-02,48.0,48.65,47.0,48.1,243100,36.84
2004-07-05,48.4,48.4,47.7,48.05,190100,36.8
2004-07-06,48.4,50.35,48.0,49.85,1235000,38.18
2004-07-07,50.4,51.75,49.6,50.45,1200700,38.64
2004-07-08,50.85,53.4,49.5,50.3,2255500,38.53
2004-07-09,49.9,50.3,46.0,49.35,330800,37.8
2004-07-12,50.0,50.5,48.0,48.9,158000,37.45
2004-07-13,49.45,49.75,48.2,48.5,101700,37.15
2004-07-14,49.0,50.0,47.8,48.1,158700,36.84
2004-07-15,48.5,48.9,48.0,48.55,104700,37.19
2004-07-16,49.0,50.6,48.5,50.3,427400,38.53
2004-07-19,50.7,52.1,49.8,50.1,779800,38.37
2004-07-20,50.4,50.45,48.9,49.1,216500,37.61
2004-07-21,49.85,50.6,49.4,50.0,343900,38.3
2004-07-22,51.2,54.6,50.15,53.9,3230700,41.28
2004-07-23,54.85,56.95,54.5,55.95,3311300,42.85
2004-07-26,55.75,55.85,52.65,53.05,1006500,40.63
2004-07-27,53.3,53.9,50.55,50.7,851500,38.83
2004-07-28,51.0,51.0,48.0,48.25,1928500,36.96
2004-07-29,48.7,49.7,48.0,48.4,1373400,37.07
2004-07-30,48.8,50.75,48.65,49.65,1329500,38.03
2004-08-02,49.2,50.95,49.2,50.2,850600,38.45
2004-08-03,50.45,51.7,49.8,50.1,1604700,38.37
2004-08-04,50.1,50.2,49.0,49.1,447400,37.61
2004-08-05,49.5,50.3,49.3,49.8,350200,38.14
2004-08-06,50.5,51.5,49.7,50.15,1254800,38.41
2004-08-09,49.95,49.95,49.1,49.5,416400,37.91
2004-08-10,49.9,50.6,49.5,49.65,545400,38.03
2004-08-11,49.95,50.65,48.1,48.4,923100,37.07
2004-08-12,48.25,49.25,47.5,47.8,539400,36.61
2004-08-13,48.0,48.45,47.4,47.7,405100,36.54
2004-08-16,48.0,48.15,47.5,47.85,233100,36.65
2004-08-17,48.35,49.5,48.15,48.75,390100,37.34
2004-08-18,49.0,49.25,47.4,47.6,341900,36.46
2004-08-19,47.8,48.25,47.25,47.65,248800,36.5
2004-08-20,47.8,48.75,47.2,47.75,346600,36.57
2004-08-23,48.05,48.15,45.7,46.4,275000,35.54
2004-08-24,46.35,50.15,46.2,49.8,1046300,38.14
2004-08-25,50.45,54.4,49.95,53.05,5415500,40.63
2004-08-26,53.4,53.75,51.9,52.3,1242300,40.06
2004-08-27,52.5,53.4,51.4,52.0,873500,39.83
2004-08-30,52.9,53.4,52.25,52.45,684400,40.17
2004-08-31,52.7,54.8,52.4,54.35,1564100,41.63
2004-09-01,54.65,55.65,53.15,53.45,1427200,40.94
2004-09-02,54.25,58.0,52.75,56.4,5256100,43.2
2004-09-03,57.1,58.45,56.25,57.2,2793400,43.81
2004-09-06,57.5,58.6,56.55,56.9,1556500,43.58
2004-09-07,57.1,57.3,55.5,55.75,686300,42.7
2004-09-08,56.2,57.65,55.6,56.55,1258000,43.31
2004-09-09,56.9,57.95,55.65,56.05,1209100,42.93
2004-09-10,56.55,57.2,56.0,56.3,719000,43.12
2004-09-13,56.7,56.95,55.55,55.75,477000,42.7
2004-09-14,56.1,56.1,54.3,54.5,409900,41.74
2004-09-15,55.05,56.7,53.8,56.25,1445900,43.08
2004-09-16,56.5,56.75,55.75,56.3,918100,43.12
2004-09-17,56.65,57.0,55.25,55.6,639200,42.59
2004-09-20,55.8,56.95,55.1,55.35,415900,42.4
2004-09-21,55.35,57.45,55.35,56.7,849200,43.43
2004-09-22,57.4,58.0,56.55,56.9,1075400,43.58
2004-09-23,57.0,57.35,55.8,56.0,395800,42.89
2004-09-24,56.1,56.85,55.4,55.85,323400,42.78
2004-09-27,55.8,56.6,55.5,55.65,204100,42.62
2004-09-28,57.0,58.45,56.0,57.3,1849000,43.89
2004-09-29,57.5,57.7,56.35,56.75,661200,43.47
2004-09-30,57.0,57.6,56.3,56.45,334600,43.24
2004-10-01,56.8,57.4,56.3,56.8,284300,43.51
2004-10-04,57.25,58.0,57.1,57.4,473400,43.97
2004-10-05,57.65,57.65,56.5,56.8,394300,43.51
2004-10-06,57.0,60.2,56.75,58.1,2397100,44.5
2004-10-07,58.7,60.0,58.35,58.85,1177900,45.08
2004-10-08,59.4,59.7,58.5,58.7,774900,44.96
2004-10-11,58.8,58.8,56.5,56.85,243900,43.54
2004-10-12,57.2,57.3,55.4,55.55,251000,42.55
2004-10-14,55.9,55.9,54.9,55.2,186200,42.28
2004-10-15,55.1,56.5,55.0,55.2,226900,42.28
2004-10-18,55.6,55.75,54.6,54.85,158100,42.01
2004-10-19,55.0,55.7,54.6,55.25,263300,42.32
2004-10-20,55.2,55.8,54.5,54.6,122200,41.82
2004-10-21,55.0,55.6,54.4,54.8,169800,41.97
2004-10-25,55.1,55.1,52.75,52.9,120500,40.52
2004-10-26,53.0,53.9,52.4,52.8,148900,40.44
2004-10-27,53.2,53.9,52.9,53.4,139800,40.9
2004-10-28,53.9,54.0,51.0,51.3,289300,39.29
2004-10-29,53.0,53.0,51.65,52.5,136000,40.21
