Date,Open,High,Low,Close,Volume,Adj Close
2007-03-29,168.0,170.0,158.6,160.05,525500,158.36
2007-03-30,161.45,164.5,160.55,162.55,201700,160.83
2007-04-02,160.0,161.0,151.1,151.95,288200,150.34
2007-04-03,152.1,153.8,147.75,150.35,257200,148.76
2007-04-04,151.8,158.0,151.5,153.8,485600,152.17
2007-04-05,155.95,157.5,151.05,154.1,247800,152.47
2007-04-09,156.9,161.75,155.75,160.05,360400,158.36
2007-04-10,162.0,163.95,158.0,159.6,245100,157.91
2007-04-11,160.4,173.1,159.15,169.8,1132500,168.0
2007-04-12,167.9,170.0,163.05,164.55,304600,162.81
2007-04-13,165.85,168.9,164.0,166.55,168500,164.79
2007-04-16,169.9,181.9,168.5,180.2,778100,178.29
2007-04-17,182.85,187.85,182.0,185.4,647200,183.44
2007-04-18,186.05,188.0,182.05,182.5,377100,180.57
2007-04-19,178.0,186.95,177.25,184.85,375500,182.89
2007-04-20,186.4,189.0,185.0,185.65,222700,183.68
2007-04-23,187.25,190.0,183.0,185.05,399100,183.09
2007-04-24,184.7,188.5,184.0,186.1,267600,184.13
2007-04-25,186.9,194.2,186.0,191.35,530500,189.32
2007-04-26,195.0,196.0,190.6,192.35,419400,190.31
2007-04-27,192.25,193.4,186.05,187.15,185700,185.17
2007-04-30,187.0,192.0,183.0,191.0,225200,188.98
2007-05-03,193.75,194.75,188.5,189.95,193500,187.94
2007-05-04,192.5,196.9,191.25,193.2,413000,191.15
2007-05-07,195.75,196.4,189.4,190.6,181300,188.58
2007-05-08,191.0,192.25,182.2,184.75,133200,182.79
2007-05-09,184.8,185.5,178.2,181.95,311900,180.02
2007-05-10,182.9,186.0,177.0,179.2,304400,177.3
2007-05-11,181.0,182.75,175.0,179.55,303700,177.65
2007-05-14,182.4,184.8,179.6,181.95,337500,180.02
2007-05-15,183.1,183.6,180.0,180.4,73000,178.49
2007-05-16,181.95,187.0,178.0,184.8,529100,182.84
2007-05-17,188.0,191.0,181.3,182.4,346300,180.47
2007-05-18,183.0,184.7,180.0,180.75,151500,178.84
2007-05-21,182.0,184.35,180.0,180.6,163100,178.69
2007-05-22,182.25,184.7,180.0,183.15,211400,181.21
2007-05-23,184.8,186.9,181.0,181.65,261200,179.73
2007-05-24,181.0,183.0,179.5,180.7,141800,178.79
2007-05-25,181.05,184.2,176.25,182.45,207900,180.52
2007-05-28,185.45,193.25,183.5,191.35,797200,189.32
2007-05-29,193.5,199.75,193.2,196.15,728000,194.07
2007-05-30,195.0,212.1,192.55,208.1,1783200,205.9
2007-05-31,212.1,222.5,210.55,216.25,2926200,213.96
2007-06-04,223.0,226.6,214.95,216.75,971700,214.46
2007-06-05,217.6,237.55,214.1,235.25,2968200,232.76
2007-06-06,237.0,248.25,231.75,236.15,3827000,233.65
2007-06-07,234.9,245.5,233.0,237.8,2072500,235.28
2007-06-08,232.0,244.0,230.0,239.6,1211200,237.06
2007-06-11,243.4,253.45,240.1,242.15,1494300,239.59
2007-06-12,244.4,245.65,231.9,238.45,1091500,235.93
2007-06-13,240.05,244.6,234.15,240.4,981400,237.85
2007-06-14,244.85,246.5,242.0,243.65,565000,241.07
2007-06-15,246.2,247.0,238.55,239.7,412700,237.16
2007-06-18,241.7,243.0,235.0,236.45,279400,233.95
2007-06-19,237.85,249.45,234.1,246.55,602800,243.94
2007-06-20,250.1,264.0,249.5,262.45,1669700,259.67
2007-06-21,265.0,268.0,258.2,263.8,942500,261.01
2007-06-22,263.8,265.5,256.25,259.35,513000,256.6
2007-06-25,260.0,264.2,257.5,260.55,356100,257.79
2007-06-26,261.05,267.0,259.0,262.85,550000,260.07
2007-06-27,263.0,264.0,256.0,256.8,375100,254.08
2007-06-28,258.0,261.0,249.0,251.9,402200,249.23
2007-06-29,254.0,261.0,253.3,256.9,529200,254.18
2007-07-02,258.95,279.0,257.0,276.4,1896600,273.47
2007-07-03,279.6,284.4,273.55,278.55,866000,275.6
2007-07-04,280.8,280.85,266.4,268.45,771400,265.61
2007-07-05,270.5,271.7,257.0,264.5,624400,261.7
2007-07-06,266.9,272.9,262.3,268.75,426300,265.9
2007-07-09,271.8,272.4,267.05,268.5,185400,265.66
2007-07-10,270.0,277.1,268.0,268.8,366600,265.95
2007-07-11,269.5,283.4,266.25,281.75,855900,278.77
2007-07-12,285.0,288.7,277.1,280.65,759100,277.68
2007-07-13,283.9,285.5,275.15,277.5,474000,274.56
2007-07-16,279.0,284.1,275.3,277.3,364100,274.36
2007-07-17,278.95,289.8,270.9,272.75,833000,269.86
2007-07-18,274.0,276.5,263.65,267.65,638100,265.11
2007-07-19,270.0,274.5,269.0,271.9,208800,269.32
2007-07-20,274.0,275.95,270.55,272.1,440200,269.52
2007-07-23,271.0,279.95,269.95,278.9,350700,276.25
2007-07-24,280.0,284.5,275.1,277.3,368500,274.67
2007-07-25,277.95,280.4,273.0,277.4,188200,274.77
2007-07-26,280.0,282.5,276.05,278.6,260500,275.95
2007-07-27,275.0,275.0,258.3,265.2,611200,262.68
2007-07-30,266.25,274.95,262.05,269.2,514000,266.64
2007-07-31,272.2,286.0,269.15,283.3,683300,280.61
2007-08-01,280.0,280.0,263.0,265.05,721400,262.53
2007-08-02,265.3,273.9,262.75,267.35,867100,264.81
2007-08-03,271.9,280.95,270.45,275.15,1203000,272.54
2007-08-06,270.0,279.25,264.3,277.7,585900,275.06
2007-08-07,281.9,296.5,281.9,289.25,1829100,286.5
2007-08-08,294.7,301.0,293.0,296.0,964500,293.19
2007-08-09,298.0,302.5,283.1,285.7,634800,282.99
2007-08-10,275.0,277.7,266.65,275.3,1378400,272.69
2007-08-13,283.0,285.0,270.5,271.15,1035900,268.57
2007-08-14,275.0,275.0,268.6,269.95,810500,267.39
2007-08-16,263.0,264.8,256.0,259.0,1049100,256.54
2007-08-17,258.0,265.0,239.9,262.5,3256500,260.01
2007-08-20,266.5,271.8,260.1,262.1,636000,259.61
2007-08-21,265.05,265.05,237.1,239.65,1349300,237.37
2007-08-22,242.0,248.85,228.5,245.9,1464200,243.56
2007-08-23,251.8,254.75,233.25,235.4,1134600,233.16
2007-08-24,238.7,249.0,234.8,246.6,867100,244.26
2007-08-27,252.0,261.5,250.0,258.55,1062100,256.09
2007-08-28,261.0,265.8,255.1,264.55,1159200,262.04
2007-08-29,255.0,268.5,255.0,267.65,785600,265.11
2007-08-30,272.0,278.6,271.0,274.2,922900,271.6
2007-08-31,274.8,281.45,274.0,278.85,1461000,276.2
2007-09-03,281.05,283.8,279.0,282.7,689600,280.01
2007-09-04,283.0,291.0,282.0,286.5,729900,283.78
2007-09-05,288.0,299.2,288.0,291.25,1117500,288.48
2007-09-06,293.5,298.5,285.5,294.8,440100,292.0
2007-09-07,297.8,307.8,292.55,305.05,1822500,302.15
2007-09-10,302.1,311.6,300.0,309.45,1149300,306.51
2007-09-11,311.0,313.05,301.1,303.05,681300,300.17
2007-09-12,306.0,308.2,300.5,301.55,385300,298.69
2007-09-13,303.0,305.1,291.25,295.2,1237200,292.4
2007-09-14,297.05,302.9,290.05,291.45,1847400,288.68
2007-09-17,295.0,295.95,289.0,291.3,507000,288.53
2007-09-18,291.2,297.75,291.2,295.8,433200,292.99
2007-09-19,302.9,306.5,300.0,303.4,671200,300.52
2007-09-20,308.0,313.7,303.6,306.5,779000,303.59
2007-09-21,307.0,318.7,307.0,312.85,833000,309.88
2007-09-24,315.0,318.1,310.5,313.3,294700,310.32
2007-09-25,314.0,315.0,297.0,306.4,755700,303.49
2007-09-26,309.0,309.7,298.05,300.0,378800,297.15
2007-09-27,305.0,307.0,297.25,299.15,521500,296.31
2007-09-28,302.0,311.0,299.0,309.35,1940500,306.41
2007-10-01,311.4,315.0,308.65,312.95,449000,309.98
2007-10-03,315.0,325.1,291.0,321.1,1571200,318.05
2007-10-04,318.0,331.0,315.0,320.85,1097900,317.8
2007-10-05,324.8,335.4,314.15,324.1,1149600,321.02
2007-10-08,325.55,329.0,299.15,308.85,947100,305.92
2007-10-09,307.0,317.8,296.1,316.0,686100,313.0
2007-10-10,320.95,343.4,317.0,337.4,2056100,334.2
2007-10-11,340.8,359.9,338.0,356.95,1954800,353.56
2007-10-12,353.0,369.8,348.1,353.8,1416400,350.44
2007-10-15,357.55,400.25,356.0,393.25,1767100,389.51
2007-10-16,394.0,405.0,383.25,394.5,870400,390.75
2007-10-17,365.1,382.5,330.0,376.45,937900,372.87
2007-10-18,380.0,391.55,360.0,371.05,734400,367.53
2007-10-19,369.0,370.0,340.05,344.45,835800,341.18
2007-10-22,333.0,348.0,325.0,341.85,608400,338.6
2007-10-23,351.0,394.0,349.9,386.55,732400,382.88
2007-10-24,394.0,415.2,392.0,398.4,887600,394.62
2007-10-25,408.9,427.4,395.05,420.95,926500,416.95
2007-10-26,420.0,449.4,410.0,443.35,790500,439.14
2007-10-29,447.0,489.0,447.0,473.1,968400,468.61
