Date,Open,High,Low,Close,Volume,Adj Close
2002-07-02,3.46667,3.46667,3.46667,3.46667,0,0.01707
2002-07-03,3.4,3.4,3.16667,3.16667,5400,0.01559
2002-07-04,2.97,2.97,2.9,2.9,1500,0.01428
2002-07-05,3.13333,3.13333,2.725,3.13,0,0.01541
2002-07-10,3.06667,3.15,3.0,3.00167,25200,0.01478
2002-07-11,3.0,3.26667,3.0,3.26167,27000,0.01606
2002-07-12,3.25833,3.25833,3.2,3.25,21000,0.016
2002-07-15,3.25,3.25,3.13333,3.13333,33000,0.01543
2002-07-16,3.26667,3.26667,3.16667,3.23333,27400,0.01592
2002-07-17,3.2,3.2,3.06667,3.07833,15000,0.01515
2002-07-18,3.26667,3.3,3.03333,3.03333,12600,0.01493
2002-07-19,3.23333,3.26667,3.2,3.2,13300,0.01575
2002-07-22,3.06667,3.06667,3.05833,3.05833,2100,0.01506
2002-07-23,3.16667,3.225,3.16667,3.20833,10800,0.01579
2002-07-24,3.15,3.16667,2.96667,3.1,5600,0.01526
2002-07-25,3.2,3.225,3.2,3.225,2400,0.01588
2002-07-26,3.16667,3.16667,2.96667,2.96667,3600,0.01461
2002-07-29,3.16667,3.16667,2.9,3.03333,3600,0.01493
2002-07-30,3.1,3.14167,3.1,3.14167,3600,0.01547
2002-07-31,3.06667,3.06667,3.06667,3.06667,3600,0.0151
2002-08-01,3.16667,3.16667,3.13333,3.13333,6000,0.01543
2002-08-02,3.1,3.1,3.08333,3.08333,2400,0.01518
2002-08-05,3.1,3.13333,3.1,3.13333,2400,0.01543
2002-08-06,3.06667,3.13333,3.06667,3.13333,2400,0.01543
2002-08-07,3.06667,3.1,3.06667,3.1,4200,0.01526
2002-08-08,3.16667,3.16667,3.06667,3.1,3600,0.01526
2002-08-12,3.0,3.0,2.83333,2.83333,700,0.01395
2002-08-13,3.0,3.03333,2.7,2.7,3600,0.01329
2002-08-14,2.96667,3.03333,2.96667,2.96667,5400,0.01461
2002-08-16,3.06667,3.13333,3.0,3.13333,3000,0.01543
2002-08-19,2.99333,2.99333,2.99333,2.99333,600,0.01474
2002-08-22,2.83333,2.9,2.83333,2.9,2400,0.01428
2002-08-23,2.83333,2.83333,2.8,2.8,3600,0.01378
2002-08-26,2.8,2.96667,2.66833,2.96667,4200,0.01461
2002-08-27,2.93333,2.95,2.93333,2.93333,4200,0.01444
2002-08-28,2.93333,2.95,2.93333,2.95,4200,0.01452
2002-08-29,2.66667,2.73333,2.66667,2.73333,800,0.01346
2002-08-30,2.96667,3.03333,2.96667,3.03333,3600,0.01493
2002-09-02,2.96667,2.98333,2.81667,2.81667,9600,0.01387
2002-09-03,3.0,3.0,2.9,2.925,18600,0.0144
2002-09-04,2.8,2.81667,2.7,2.81667,5100,0.01387
2002-09-05,2.8,2.825,2.7,2.7,6300,0.01329
2002-09-06,2.9,2.93333,2.7,2.7,8400,0.01329
2002-09-09,2.73333,2.73333,2.66667,2.66667,3600,0.01313
2002-09-11,2.93333,2.93333,2.66667,2.68333,1500,0.01321
2002-09-12,2.66667,2.7,2.66667,2.7,1200,0.01329
2002-09-23,2.75833,2.8,2.75833,2.8,4200,0.01381
2002-09-24,2.91333,3.0,2.83333,2.86667,9600,0.01414
2002-09-25,2.83333,2.9,2.83333,2.9,9600,0.01431
2002-09-26,2.83333,2.86667,2.83333,2.86667,4800,0.01414
2002-09-27,2.93333,2.93333,2.81667,2.81667,18600,0.01389
2002-09-30,3.0,3.01667,2.76667,2.9,10800,0.01431
2002-10-01,2.68333,2.96667,2.68333,2.735,15600,0.01349
2002-10-03,2.9,2.96667,2.86667,2.86667,14400,0.01414
2002-10-04,2.9,2.93333,2.9,2.9,9600,0.01431
2002-10-07,2.86667,2.9,2.73333,2.9,17100,0.01431
2002-10-08,2.9,2.955,2.9,2.9,11400,0.01431
2002-10-09,2.86667,3.0,2.86667,2.99833,6400,0.01479
2002-10-10,2.93333,3.06667,2.93333,3.06667,26100,0.01513
2002-10-11,3.0,3.0,2.98333,2.98333,21600,0.01472
2002-10-14,3.0,3.06667,3.0,3.03333,31200,0.01496
