Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,18.0,18.2,16.5,16.95,48800,10.34
2000-01-04,17.0,17.95,16.0,16.0,224200,9.76
2000-01-05,16.5,16.7,15.05,15.6,36700,9.52
2000-01-06,15.9,16.5,15.05,15.4,32800,9.4
2000-01-07,15.5,15.6,14.75,15.35,51200,9.36
2000-01-10,16.55,16.55,15.9,15.95,38500,9.73
2000-01-11,16.15,16.15,15.0,15.5,16600,9.46
2000-01-12,15.0,15.9,14.45,14.5,55400,8.85
2000-01-13,15.0,15.1,14.0,14.65,38300,8.94
2000-01-14,14.8,14.8,13.5,14.0,24100,8.54
2000-01-17,14.95,14.95,13.9,13.95,42300,8.51
2000-01-18,13.6,13.8,12.95,13.0,66800,7.93
2000-01-19,13.5,14.0,13.0,13.65,39800,8.33
2000-01-20,14.0,14.0,13.2,13.5,20100,8.24
2000-01-21,13.25,13.5,12.9,13.25,35300,8.08
2000-01-24,13.1,13.7,12.75,13.0,29600,7.93
2000-01-25,13.0,13.0,12.0,12.0,24600,7.32
2000-01-26,12.0,12.0,12.0,12.0,0,7.32
2000-01-27,12.9,12.9,11.5,11.75,68100,7.17
2000-01-28,12.35,12.5,10.85,10.85,87400,6.62
2000-01-31,11.0,11.25,10.5,10.5,97500,6.41
2000-02-01,10.4,10.75,10.0,10.6,118300,6.47
2000-02-02,10.6,11.1,10.0,10.0,225100,6.1
2000-02-03,10.0,10.0,10.0,10.0,0,6.1
2000-02-04,11.0,11.3,10.3,10.95,827100,6.68
2000-02-07,11.15,11.8,11.15,11.55,160700,7.05
2000-02-08,11.75,12.4,11.5,11.5,156300,7.02
2000-02-09,11.95,12.4,11.95,12.4,172600,7.57
2000-02-10,13.35,13.35,13.35,13.35,212600,8.14
2000-02-11,14.4,14.4,12.75,13.2,161800,8.05
2000-02-14,14.2,14.2,12.6,12.75,74100,7.78
2000-02-15,12.25,13.2,12.0,12.4,69000,7.57
2000-02-16,13.0,13.0,11.8,12.0,63200,7.32
2000-02-17,11.8,12.25,11.5,11.85,60000,7.23
2000-02-18,11.75,12.15,11.3,11.75,51200,7.17
2000-02-21,12.6,12.65,11.8,12.0,116300,7.32
2000-02-22,12.7,12.7,11.1,11.1,95000,6.77
2000-02-23,11.7,11.9,10.35,10.55,68600,6.44
2000-02-24,11.0,11.0,10.4,10.5,41500,6.41
2000-02-25,10.0,11.0,9.7,9.8,79500,5.98
2000-02-28,10.5,12.2,10.0,12.2,319600,7.44
2000-02-29,12.2,13.15,11.9,12.45,120800,7.6
2000-03-01,12.8,13.0,11.75,12.4,67900,7.57
2000-03-02,12.75,12.9,11.45,11.45,87200,6.99
2000-03-03,10.6,10.65,10.55,10.55,53000,6.44
2000-03-06,11.0,11.0,9.75,10.0,50000,6.1
2000-03-07,9.85,10.4,8.6,9.0,65400,5.49
2000-03-08,9.0,9.0,8.0,8.0,56300,4.88
2000-03-09,8.0,8.4,7.35,8.15,116000,4.97
2000-03-10,8.15,9.9,8.15,8.95,56700,5.46
2000-03-13,8.95,8.95,8.95,8.95,0,5.46
2000-03-14,9.2,9.3,8.15,8.85,24200,5.4
2000-03-15,9.0,9.45,8.5,9.35,60600,5.7
2000-03-16,9.0,10.35,8.6,8.75,339200,5.34
2000-03-17,8.75,8.75,8.75,8.75,0,5.34
2000-03-20,8.75,8.75,8.75,8.75,0,5.34
2000-03-21,10.9,10.9,8.9,9.0,58200,5.49
2000-03-22,9.3,9.75,9.1,9.6,23900,5.86
2000-03-23,9.8,9.8,8.5,8.7,50200,5.31
2000-03-24,8.5,9.0,8.1,8.5,31000,5.19
2000-03-27,10.25,10.3,8.05,8.15,79000,4.97
2000-03-28,8.5,8.55,8.0,8.4,32600,5.12
2000-03-29,8.15,9.25,8.0,8.5,35700,5.19
2000-03-30,9.0,9.0,8.6,8.75,9600,5.34
2000-03-31,8.95,8.95,7.75,8.15,81700,4.97
2000-04-03,8.7,8.7,8.0,8.2,23500,5.0
2000-04-04,7.65,7.85,7.25,7.45,18700,4.55
2000-04-05,7.25,8.0,7.25,7.35,16800,4.48
2000-04-06,7.15,7.85,7.15,7.85,20600,4.79
2000-04-07,8.2,8.2,7.35,7.55,84000,4.61
2000-04-10,8.0,8.3,7.05,7.1,73000,4.33
2000-04-11,7.1,7.1,7.1,7.1,0,4.33
2000-04-12,7.1,7.5,7.0,7.25,40500,4.42
2000-04-13,7.0,7.3,6.7,6.7,66400,4.09
2000-04-14,6.7,6.7,6.7,6.7,0,4.09
2000-04-17,7.0,7.25,6.6,7.25,8700,4.42
2000-04-18,7.45,7.7,7.0,7.2,28900,4.39
2000-04-19,7.05,7.35,7.0,7.0,26700,4.27
2000-04-20,6.8,6.9,6.4,6.75,62800,4.12
2000-04-21,6.75,6.75,6.75,6.75,0,4.12
2000-04-24,6.75,6.75,6.75,6.75,0,4.12
2000-04-25,6.5,6.75,6.05,6.65,30500,4.06
2000-04-26,6.65,6.65,6.65,6.65,0,4.06
2000-04-27,6.75,7.0,6.65,6.75,14800,4.12
2000-04-28,7.2,7.5,6.15,6.35,66300,3.87
2000-05-01,6.35,6.35,6.35,6.35,0,3.87
2000-05-02,6.5,7.0,6.1,6.35,66800,3.87
2000-05-03,6.35,6.35,6.35,6.35,0,3.87
2000-05-04,6.6,6.8,6.5,6.7,22400,4.09
2000-05-05,6.7,6.7,6.7,6.7,0,4.09
2000-05-08,7.5,8.0,7.5,7.95,33700,4.85
