Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,240.0,252.35,240.0,252.35,5731800,246.45
2000-01-04,255.1,272.5,251.0,272.5,11491300,266.13
2000-01-05,272.0,286.8,253.7,285.5,19501000,278.83
2000-01-06,287.9,299.5,287.9,292.95,11969500,286.11
2000-01-07,293.6,316.35,292.2,313.5,15282900,306.18
2000-01-10,318.0,325.0,307.0,307.25,10577700,300.07
2000-01-11,309.0,312.0,282.7,288.55,10047000,281.81
2000-01-12,290.0,304.0,282.0,303.8,7299500,296.7
2000-01-13,304.5,315.8,303.75,308.5,11374700,301.29
2000-01-14,310.0,320.5,309.0,315.9,12638200,308.52
2000-01-17,318.0,327.0,308.9,309.0,6237200,301.78
2000-01-18,309.5,322.0,308.0,320.0,9552700,312.52
2000-01-19,321.0,323.85,315.65,317.0,7978900,309.59
2000-01-20,318.0,324.5,309.0,310.95,9849300,303.69
2000-01-21,312.0,326.5,312.0,325.9,12712000,318.29
2000-01-24,328.25,333.9,325.5,328.15,9245600,320.48
2000-01-25,328.0,328.0,320.5,323.55,6857900,315.99
2000-01-26,323.55,323.55,323.55,323.55,0,315.99
2000-01-27,322.05,335.1,322.0,333.0,11499300,325.22
2000-01-28,333.5,339.5,330.65,335.75,9096700,327.91
2000-01-31,328.0,337.5,328.0,329.0,7301800,321.31
2000-02-01,328.65,339.45,328.45,339.25,8462400,331.32
2000-02-02,339.8,346.0,337.0,337.8,8383300,329.91
2000-02-03,337.8,337.8,337.8,337.8,0,329.91
2000-02-04,342.5,345.85,338.0,338.25,8910900,330.35
2000-02-07,340.0,351.85,340.0,344.0,8547400,335.96
2000-02-08,345.1,348.5,343.0,344.4,4123300,336.35
2000-02-09,345.7,352.5,343.25,345.5,7993700,337.43
2000-02-10,346.0,364.45,344.2,364.25,8800500,355.74
2000-02-11,364.9,380.0,356.0,357.5,8932300,349.15
2000-02-14,352.0,363.8,352.0,352.5,3931100,344.26
2000-02-15,352.0,357.0,347.5,348.1,5133500,339.97
2000-02-16,349.0,352.5,342.05,345.0,4563000,336.94
2000-02-17,346.0,355.5,344.0,353.5,5922000,345.24
