Date,Open,High,Low,Close,Volume,Adj Close
2007-11-21,311.811,577.873,311.811,502.461,11626800,498.257
2007-11-22,510.455,538.385,493.6,526.635,2840600,522.229
2007-11-23,538.0,542.912,505.639,510.455,888900,506.184
2007-11-26,529.717,529.717,500.823,505.061,586900,500.835
2007-11-27,505.061,509.203,476.745,486.04,592100,481.973
2007-11-28,490.229,523.746,485.414,487.821,1136900,483.739
2007-11-29,495.815,502.75,476.745,482.572,282500,478.534
2007-11-30,483.487,498.897,483.487,487.773,215500,483.692
2007-12-03,490.277,499.86,486.377,487.099,181800,483.023
2007-12-04,488.303,499.571,486.377,488.977,187800,484.886
2007-12-05,534.533,563.908,494.13,500.294,330500,496.108
2007-12-06,505.639,518.16,500.823,505.158,331100,500.931
2007-12-07,510.455,531.547,506.987,520.086,650900,515.734
2007-12-10,524.902,540.311,518.497,527.887,694500,523.47
2007-12-11,534.533,536.892,515.27,516.908,286600,512.583
2007-12-12,510.455,519.941,506.602,511.322,171500,507.044
2007-12-13,519.026,519.075,505.639,509.78,121100,505.515
2007-12-14,515.174,518.063,503.713,505.88,95000,501.647
2007-12-17,497.934,518.015,491.192,495.815,121100,491.667
2007-12-18,499.86,500.631,481.561,484.643,142600,480.588
2007-12-19,489.362,503.713,489.362,494.9,75700,490.759
2007-12-20,500.631,504.676,487.34,494.515,98500,490.377
2007-12-24,500.727,507.565,485.414,498.705,116300,494.532
2007-12-26,500.823,507.565,496.008,500.535,83600,496.347
2007-12-27,505.158,539.348,500.342,521.386,526400,517.024
2007-12-28,520.086,552.832,516.426,531.788,679700,527.339
2007-12-31,539.348,611.005,538.289,588.034,1756600,583.114
2008-01-01,589.431,616.398,587.842,592.946,664600,587.985
2008-01-02,597.136,702.983,595.787,668.503,2684200,662.91
2008-01-03,674.185,703.079,657.234,666.192,738800,660.618
2008-01-04,674.185,688.632,654.923,657.861,347100,652.357
2008-01-07,654.923,695.374,644.377,669.322,584300,663.722
2008-01-08,681.89,687.38,626.029,637.924,312100,632.587
2008-01-09,630.845,663.591,606.767,640.765,613400,635.404
2008-01-10,649.048,666.48,608.019,620.588,290400,615.396
2008-01-11,629.882,633.445,608.693,618.661,197600,613.485
2008-01-14,619.287,626.992,612.642,615.435,83600,610.286
2008-01-15,621.214,623.044,608.019,613.268,85000,608.137
2008-01-16,606.767,654.73,593.331,619.528,387800,614.344
2008-01-17,623.622,645.292,617.361,623.284,226900,618.069
2008-01-18,587.504,625.933,587.504,609.56,137500,604.46
2008-01-21,582.689,625.066,487.677,489.122,340700,485.03
2008-01-22,399.696,505.639,391.316,391.605,133300,388.328
2008-01-23,414.142,469.907,414.142,469.907,111900,465.975
2008-01-24,553.795,553.795,482.524,516.426,229700,512.105
2008-01-25,529.621,555.673,522.012,546.909,104300,542.333
2008-01-28,529.717,529.717,457.724,512.718,45800,508.428
2008-01-29,520.086,535.4,496.971,501.161,168500,496.968
2008-01-30,509.203,512.381,476.745,481.561,64300,477.532
2008-01-31,481.561,517.197,471.93,505.687,78600,501.456
2008-02-01,519.99,519.99,486.473,500.197,64700,496.012
2008-02-04,510.455,519.604,496.249,499.62,48800,495.44
2008-02-05,503.713,513.151,482.524,506.41,52600,502.173
2008-02-06,479.635,506.506,476.745,497.838,37500,493.673
2008-02-07,496.971,506.602,486.377,486.569,52600,482.498
2008-02-08,499.86,500.823,471.93,476.264,44400,472.279
2008-02-11,477.709,477.709,396.806,430.034,55500,426.436
2008-02-12,430.516,441.11,396.903,417.995,34500,414.498
2008-02-13,427.145,427.145,390.064,400.948,47400,397.593
2008-02-14,417.995,430.516,405.474,427.241,24300,423.666
2008-02-15,418.958,435.331,408.364,429.552,21500,425.958
2008-02-18,439.858,444.914,424.737,433.646,12800,430.018
2008-02-19,435.331,448.815,435.331,437.932,26800,434.268
2008-02-20,435.331,435.331,423.774,428.011,15000,424.43
2008-02-21,438.221,439.424,413.228,425.507,21800,421.947
2008-02-22,419.921,428.589,414.239,423.388,13400,419.846
2008-02-25,423.774,443.036,415.106,442.073,88600,438.374
2008-02-26,443.036,443.036,430.853,437.113,11400,433.456
2008-02-27,443.036,450.741,428.349,446.889,22200,443.15
2008-02-28,439.28,462.299,439.28,453.775,38100,449.978
2008-02-29,443.999,451.608,433.405,443.277,10100,439.568
2008-03-03,415.298,438.221,404.511,417.899,16800,414.402
2008-03-04,399.696,427.626,387.32,427.626,25500,424.048
2008-03-05,405.474,420.788,402.633,417.562,16300,414.068
2008-03-07,404.511,411.253,385.249,390.016,46800,386.753
2008-03-10,376.581,403.933,361.171,392.135,30900,388.854
2008-03-11,388.138,414.142,387.175,409.327,25700,405.902
2008-03-12,427.626,432.442,406.582,411.349,19500,407.907
2008-03-13,409.327,409.327,382.504,390.45,13200,387.183
2008-03-14,391.028,396.469,375.618,388.861,18800,385.607
2008-03-17,380.433,380.433,344.461,355.97,51700,352.992
2008-03-18,347.206,360.208,346.724,354.91,56200,351.941
2008-03-19,384.286,384.286,343.835,346.531,31300,343.632
2008-03-24,349.613,349.613,322.646,334.685,27400,331.885
2008-03-25,341.908,365.986,332.277,351.78,96500,348.837
2008-03-26,356.644,375.618,338.152,366.323,68200,363.258
2008-03-27,364.06,385.104,352.069,359.774,65100,356.764
2008-03-28,365.986,384.286,365.986,374.077,56200,370.947
2008-03-31,367.913,382.359,347.88,356.885,43800,353.899
2008-04-01,376.533,378.892,358.281,367.431,25900,364.357
2008-04-02,379.47,379.47,357.318,362.904,13200,359.868
2008-04-03,358.281,366.901,358.281,361.652,6400,358.626
2008-04-04,351.54,361.171,322.646,353.321,20700,350.365
2008-04-07,358.281,361.074,350.576,359.245,16400,356.239
2008-04-08,360.208,361.074,354.525,356.5,6100,353.517
2008-04-09,357.222,364.012,353.466,356.355,11400,353.373
2008-04-10,358.281,370.802,356.355,356.355,26800,353.373
2008-04-11,361.171,361.171,347.976,351.443,5600,348.503
2008-04-15,347.783,361.171,346.724,357.944,8300,354.949
2008-04-16,361.123,374.414,357.511,361.604,67200,358.579
2008-04-17,374.173,374.173,361.171,362.038,18500,359.009
2008-04-21,365.649,369.839,357.318,366.083,9400,363.02
2008-04-22,368.009,395.843,365.986,373.98,204500,370.851
2008-04-23,377.64,380.433,370.802,371.476,69100,368.368
2008-04-24,372.873,378.507,356.403,361.315,30400,358.292
2008-04-25,364.831,369.839,361.171,366.035,27700,362.972
2008-04-28,369.791,374.173,365.986,370.176,52200,367.079
2008-04-29,372.247,388.812,368.057,373.932,208100,370.803
2008-04-30,376.581,396.806,375.618,389.92,326800,386.658
2008-05-02,394.928,403.259,385.249,385.827,110800,382.599
2008-05-05,389.101,393.917,384.815,385.586,43600,382.36
2008-05-06,386.212,389.101,383.371,387.127,52100,383.888
2008-05-07,386.212,389.101,375.618,382.6,24900,379.399
2008-05-08,375.618,385.056,375.618,385.056,19200,381.834
2008-05-09,382.359,382.359,373.691,375.425,49900,372.284
2008-05-12,375.618,378.989,375.618,376.436,28100,373.286
2008-05-13,381.396,382.263,372.825,375.425,25500,372.284
2008-05-14,366.949,381.974,366.949,376.918,7500,373.764
2008-05-15,375.618,397.095,375.618,391.124,88800,387.852
2008-05-16,394.687,395.843,381.396,385.971,27300,382.742
2008-05-20,384.767,389.005,380.433,386.212,13200,382.981
2008-05-21,376.677,389.101,371.765,388.379,9200,385.129
2008-05-22,380.578,388.138,380.578,385.249,15200,382.026
2008-05-23,385.393,387.175,380.433,381.444,10200,378.253
2008-05-26,376.677,379.47,375.618,377.736,5700,374.576
2008-05-27,376.677,384.286,375.618,377.544,9800,374.385
2008-05-28,380.433,400.562,377.544,379.277,12500,376.104
2008-05-29,388.909,389.053,377.544,377.929,9900,374.767
2008-05-30,364.301,386.694,364.301,377.255,8300,374.099
2008-06-02,376.725,381.348,375.618,375.618,12400,372.475
2008-06-03,373.691,389.679,373.691,377.64,56100,374.48
2008-06-04,376.822,378.459,370.802,374.799,13000,371.663
2008-06-05,364.542,378.459,364.542,375.281,11200,372.141
2008-06-06,375.858,379.47,373.74,374.654,6200,371.519
2008-06-09,370.32,377.448,367.961,373.788,14400,370.661
2008-06-10,370.802,378.748,366.949,374.654,10100,371.519
2008-06-11,375.618,416.839,375.618,406.052,271700,402.655
2008-06-12,390.064,406.919,381.685,388.283,131400,385.034
2008-06-13,391.509,402.441,386.212,388.09,50100,384.843
2008-06-16,391.943,394.88,385.249,385.682,30500,382.455
2008-06-17,381.83,390.064,381.83,388.042,10900,384.795
2008-06-18,394.88,416.069,387.223,390.209,92300,386.944
2008-06-19,386.212,391.943,381.685,384.719,17300,381.5
2008-06-20,384.767,388.812,376.629,378.796,22700,375.627
