Date,Open,High,Low,Close,Volume,Adj Close
2006-03-01,229.957,330.747,195.708,313.622,155370700,24.0468
2006-03-02,313.329,371.845,313.329,333.144,63154600,25.5436
2006-03-03,329.768,340.924,315.188,322.38,32112200,24.7183
2006-03-06,322.918,339.26,313.622,316.117,11534900,24.2381
2006-03-07,316.949,319.494,301.048,303.494,8387100,23.2702
2006-03-08,303.201,319.004,298.944,301.88,10746500,23.1464
2006-03-09,300.901,311.078,299.923,305.06,4298300,23.3903
2006-03-10,305.99,320.961,305.305,317.194,6169100,24.3206
2006-03-13,319.983,324.729,308.338,312.252,1453100,23.9417
2006-03-14,314.014,314.992,301.782,304.571,1181900,23.3528
2006-03-16,307.262,309.219,299.433,300.803,755600,23.0639
2006-03-17,303.054,305.305,278.884,286.81,778900,21.991
2006-03-20,288.718,332.704,285.734,322.429,4129100,24.722
2006-03-21,322.869,324.875,298.553,301.342,4549800,23.1052
2006-03-22,303.348,317.145,296.498,302.614,4443600,23.2027
2006-03-23,304.228,313.622,300.51,302.271,1675700,23.1764
2006-03-24,304.864,309.219,301.635,302.858,822100,23.2214
2006-03-27,305.305,357.852,305.207,344.544,18223700,26.4177
2006-03-28,332.704,365.974,332.704,340.777,18710300,26.1288
2006-03-29,339.651,354.917,339.554,342.391,6220900,26.2526
2006-03-30,347.284,385.545,345.67,380.505,18940000,29.175
2006-03-31,381.631,402.425,374.781,382.267,12790000,29.3101
2006-04-03,388.187,396.26,379.772,382.609,3398300,29.3363
2006-04-04,386.279,388.481,364.555,372.579,2040600,28.5672
2006-04-05,373.705,380.652,358.733,360.739,2445100,27.6594
2006-04-07,363.773,374.292,336.031,341.266,2406100,26.1663
2006-04-10,343.957,362.06,342.489,357.852,1746100,27.4381
2006-04-12,360.984,393.373,360.886,374.585,6199400,28.721
2006-04-13,376.738,379.674,356.189,365.534,2193600,28.0271
2006-04-17,368.91,385.251,368.91,374.096,1080400,28.6836
2006-04-18,378.206,381.435,367.442,371.063,486300,28.451
2006-04-19,375.76,432.368,375.76,423.806,13004900,32.495
2006-04-20,428.503,508.548,415.88,504.633,17083600,38.6924
2006-04-21,518.627,604.738,518.627,593.534,32291200,45.5088
2006-04-24,585.852,624.309,563.639,587.809,17295100,45.0699
2006-04-25,587.124,626.07,587.124,592.947,10225100,45.4638
2006-04-26,596.91,618.927,589.375,596.029,4166600,45.7001
2006-04-27,605.423,642.706,601.9,610.316,7964900,46.7956
2006-04-28,587.124,606.695,549.94,589.081,3564500,45.1674
2006-05-02,601.802,605.423,565.597,571.712,1356200,43.8356
2006-05-03,576.36,580.275,540.203,545.292,1276400,41.8099
2006-05-04,552.729,593.974,538.197,569.266,5306300,43.6481
2006-05-05,574.354,577.094,540.399,544.362,1418000,41.7386
2006-05-08,547.885,555.811,529.488,535.36,1057800,41.0484
2006-05-09,541.378,566.575,536.24,558.698,2335800,42.8378
2006-05-10,563.639,564.373,543.335,547.494,919300,41.9787
