Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,36.45,36.825,36.0,36.825,34000,11.16374
2000-01-04,34.275,35.25,33.9,34.35,30300,10.41343
2000-01-05,36.675,36.675,33.375,35.325,35700,10.709
2000-01-06,35.85,36.675,34.5,34.65,10300,10.50437
2000-01-07,33.075,34.725,33.0,33.975,15400,10.29974
2000-01-10,34.5,35.625,33.375,33.75,30100,10.23153
2000-01-11,33.15,34.5,32.925,32.925,10500,9.98143
2000-01-12,33.075,33.075,32.85,32.925,2700,9.98143
2000-01-13,32.7,32.925,31.5,31.575,252300,9.57217
2000-01-14,31.5,32.55,30.9,31.65,9100,9.5949
2000-01-17,33.525,33.6,32.1,33.0,6600,10.00416
2000-01-18,32.4,32.7,30.375,30.75,23400,9.32206
2000-01-19,32.775,33.0,31.2,31.5,20500,9.54943
2000-01-20,32.25,32.25,30.75,32.175,33100,9.75406
2000-01-21,32.25,32.25,29.625,29.625,18400,8.98101
2000-01-24,30.0,30.0,28.5,29.625,7000,8.98101
2000-01-25,29.55,30.225,29.325,30.15,8200,9.14017
2000-01-26,20.1,20.1,20.1,20.1,0,6.09345
2000-01-27,31.2,31.95,29.025,30.0,32100,9.0947
2000-01-28,28.875,28.875,27.675,28.275,35700,8.57175
2000-01-31,26.025,26.925,26.025,26.025,9600,7.88965
2000-02-01,25.725,26.1,24.6,24.825,18400,7.52586
2000-02-02,24.375,26.775,24.3,24.9,27600,7.5486
2000-02-03,16.60005,16.60005,16.60005,16.60005,0,5.03241
2000-02-04,25.65,26.175,24.45,24.525,16800,7.43491
2000-02-07,26.4,26.4,23.475,25.5,1323700,7.73049
2000-02-08,27.45,27.45,23.85,24.075,73500,7.29849
2000-02-09,24.075,25.5,23.85,24.075,50800,7.29849
2000-02-10,24.0,25.5,23.7,23.85,14100,7.23028
2000-02-11,24.0,25.725,24.0,25.725,306900,7.7987
2000-02-14,27.75,27.75,27.375,27.75,191500,8.41259
2000-02-15,28.5,28.875,25.575,26.175,87100,7.93512
2000-02-16,26.25,27.0,24.15,24.225,50100,7.34397
2000-02-17,24.675,25.875,24.0,25.8,123300,7.82144
2000-02-18,25.5,25.5,23.85,24.075,35800,7.29849
2000-02-21,25.5,25.8,23.925,24.0,39000,7.27576
2000-02-22,25.05,25.425,23.85,24.6,91300,7.45765
2000-02-23,26.1,26.175,23.4,24.0,32400,7.27576
2000-02-24,23.25,24.225,22.5,23.175,32100,7.02565
2000-02-25,23.925,24.3,22.5,23.775,42400,7.20755
2000-02-28,25.5,25.65,23.25,25.575,99000,7.75323
2000-02-29,27.45,27.6,25.725,27.6,99100,8.36712
2000-03-01,27.6,28.35,26.25,28.35,38500,8.59449
2000-03-02,28.8,28.8,26.1,26.1,38800,7.91238
2000-03-03,26.55,26.55,24.075,24.075,34300,7.29849
2000-03-06,25.125,25.125,22.5,22.575,60600,6.84376
2000-03-07,23.85,23.925,21.375,21.525,343900,6.52544
2000-03-08,22.8,22.8,20.85,20.85,6700,6.32081
2000-03-09,21.375,22.275,19.5,20.1,122500,6.09345
2000-03-10,21.0,21.0,18.75,18.9,113800,5.72966
2000-03-13,12.6,12.6,12.6,12.6,0,3.81977
2000-03-14,19.5,21.75,19.5,21.525,9300,6.52544
2000-03-15,22.5,22.5,19.875,21.0,19200,6.36629
2000-03-16,21.6,22.65,21.6,22.65,48100,6.8665
2000-03-17,15.10005,15.10005,15.10005,15.10005,0,4.57768
2000-03-20,15.10005,15.10005,15.10005,15.10005,0,4.57768
2000-03-21,24.375,24.375,22.5,22.5,13200,6.82102
2000-03-22,23.925,23.925,20.775,21.525,91800,6.52544
2000-03-23,19.875,22.5,19.875,21.0,24700,6.36629
2000-03-24,20.85,21.0,19.35,19.5,61000,5.91155
2000-03-27,20.925,21.0,20.925,21.0,1000,6.36629
2000-03-28,21.0,21.0,20.025,20.325,6900,6.16166
2000-03-29,21.15,21.375,21.0,21.075,78900,6.38902
2000-03-30,22.275,22.425,20.55,21.0,3700,6.36629
2000-03-31,21.075,21.975,21.0,21.0,17400,6.36629
2000-04-03,22.65,22.65,21.975,21.975,3400,6.66186
2000-04-04,21.0,22.2,20.25,20.25,7000,6.13892
2000-04-05,21.0,21.825,21.0,21.75,3900,6.59365
