Date,Open,High,Low,Close,Volume,Adj Close
2014-09-23,254.1,273.85,225.0,231.45,9564400,225.19
2014-09-24,232.95,257.65,217.6,251.65,4133500,244.85
2014-09-25,259.0,268.8,254.0,260.95,2598900,253.89
2014-09-26,262.9,266.7,246.8,253.05,1131400,246.21
2014-09-29,254.75,263.4,243.0,255.35,969000,248.45
2014-09-30,257.0,273.0,251.05,260.25,1154200,253.21
2014-10-01,261.7,266.3,257.3,259.3,499500,252.29
2014-10-02,259.3,259.3,259.3,259.3,0,252.29
2014-10-03,259.3,259.3,259.3,259.3,0,252.29
2014-10-06,259.3,259.3,259.3,259.3,0,252.29
2014-10-07,259.5,263.75,252.5,256.0,474700,249.08
2014-10-08,258.3,267.4,256.0,265.15,542700,257.98
2014-10-09,267.1,273.2,263.8,266.4,562600,259.2
2014-10-10,264.8,265.0,256.2,257.2,212300,250.25
2014-10-13,256.0,260.2,251.1,255.7,192600,248.79
2014-10-14,260.0,262.9,255.35,257.2,193900,250.25
2014-10-15,257.2,257.2,257.2,257.2,0,250.25
2014-10-16,256.0,258.0,233.3,236.55,288400,230.15
2014-10-17,241.0,247.65,227.05,239.35,402700,232.88
2014-10-20,245.0,250.75,241.0,242.35,133700,235.8
2014-10-21,244.8,253.6,242.1,252.05,210400,245.23
2014-10-22,254.8,256.9,249.2,250.75,150400,243.97
2014-10-23,250.75,250.75,250.75,250.75,0,243.97
2014-10-24,250.75,250.75,250.75,250.75,0,243.97
2014-10-27,253.7,257.0,248.15,251.85,128000,245.04
2014-10-28,253.5,264.0,252.1,261.7,369200,254.62
2014-10-29,265.0,265.0,256.0,256.85,135300,249.9
2014-10-30,256.5,261.55,253.65,255.3,126300,248.4
2014-10-31,257.7,267.0,257.1,264.65,211600,257.49
2014-11-03,267.0,287.9,264.05,281.7,1116300,274.08
2014-11-04,281.7,281.7,281.7,281.7,0,274.08
2014-11-05,283.0,288.7,258.0,260.7,1174600,253.65
2014-11-06,260.7,260.7,260.7,260.7,0,253.65
2014-11-07,259.25,290.6,251.1,286.1,1014500,278.36
2014-11-10,290.15,299.9,278.5,293.9,552400,285.95
2014-11-11,293.5,299.95,289.15,291.95,411300,284.06
2014-11-12,292.7,304.0,290.4,296.7,493400,288.68
2014-11-13,297.3,301.6,289.0,290.45,246100,282.6
2014-11-14,291.95,296.45,289.15,293.5,130600,285.56
2014-11-17,293.0,302.05,291.5,295.6,160400,287.61
2014-11-18,295.5,309.6,293.0,296.25,404200,288.24
2014-11-19,297.55,299.45,281.0,286.05,200700,278.32
2014-11-20,289.0,289.45,271.15,279.25,192400,271.7
2014-11-21,282.9,282.9,270.7,272.6,147500,265.23
2014-11-24,274.2,282.5,272.0,274.65,620000,267.22
2014-11-25,274.65,277.0,258.0,266.7,596300,259.49
2014-11-26,266.25,274.0,265.05,270.9,89900,263.58
2014-11-27,272.8,281.7,270.4,277.45,265300,269.95
2014-11-28,278.75,282.8,271.9,272.9,57200,265.52
