Date,Open,High,Low,Close,Volume,Adj Close
2005-05-23,167.75,209.9,167.75,186.3,8445800,89.717
2005-05-24,186.95,188.9,173.025,174.85,2541100,84.203
2005-05-25,352.1,371.0,351.35,354.7,3187000,170.813
2005-05-26,355.5,361.95,353.0,356.6,780100,171.728
2005-05-27,359.0,376.7,356.1,369.75,2416100,178.061
2005-05-30,400.0,400.0,371.85,386.2,2295000,185.982
2005-05-31,385.0,391.4,383.5,385.9,1255100,185.838
2005-06-01,386.0,395.0,384.2,388.65,1045500,187.162
2005-06-02,389.0,390.35,379.2,385.3,548500,185.549
2005-06-03,193.05,194.5,190.85,192.575,323500,92.738
2005-06-06,192.25,193.975,190.575,191.1,119300,92.028
2005-06-07,382.65,386.5,382.6,385.6,175400,185.693
2005-06-08,390.0,390.0,384.5,386.5,116500,186.127
2005-06-09,386.25,401.1,383.0,395.1,1419100,190.268
2005-06-10,397.9,405.5,386.0,390.05,461800,187.836
2005-06-13,392.0,392.0,386.0,388.25,89500,186.97
2005-06-14,388.0,388.0,380.5,383.05,56100,184.465
2005-06-15,384.0,385.95,375.3,376.4,81000,181.263
2005-06-16,380.0,380.0,375.0,376.7,68500,181.407
2005-06-17,372.0,374.45,365.0,368.75,51600,177.579
2005-06-20,369.0,369.0,360.65,363.9,41700,175.243
2005-06-21,350.0,370.5,331.15,366.1,100400,176.303
2005-06-22,364.25,371.9,363.05,366.4,59800,176.447
2005-06-23,382.0,382.0,361.0,365.0,49700,175.773
2005-06-24,360.0,366.7,355.0,360.6,38500,173.654
2005-06-27,351.15,360.0,350.0,351.2,32300,169.127
2005-06-28,362.0,362.0,350.0,354.95,152100,170.933
2005-06-29,359.0,366.0,357.0,359.7,76100,173.221
2005-06-30,363.0,365.9,358.8,360.65,87100,173.678
2005-07-01,365.95,370.0,352.15,355.0,37100,170.957
2005-07-04,357.0,361.0,352.3,356.65,31000,171.752
2005-07-05,359.5,359.5,349.5,350.25,27500,168.67
2005-07-06,355.0,355.0,350.0,351.55,45100,169.296
2005-07-07,353.0,359.0,347.5,349.4,35500,168.261
2005-07-08,354.95,359.85,354.95,358.6,27200,172.691
2005-07-11,361.2,369.0,353.5,356.3,59000,171.583
2005-07-12,358.05,363.8,356.5,360.15,45700,173.437
2005-07-13,362.0,362.0,357.0,357.45,18000,172.137
2005-07-14,357.0,358.0,352.0,353.9,12900,170.428
2005-07-15,353.1,353.1,346.0,346.4,28700,166.816
2005-07-18,348.0,352.9,340.0,344.25,22600,165.781
2005-07-19,345.0,358.0,343.55,353.85,17900,170.404
2005-07-20,349.9,355.7,347.1,350.6,6900,168.838
2005-07-21,350.0,360.0,349.6,351.9,11200,169.465
2005-07-22,352.0,357.95,351.25,352.3,14800,169.657
2005-07-25,359.0,362.0,354.2,359.95,52300,173.341
2005-07-26,363.0,368.35,358.95,365.2,166900,175.869
2005-07-27,364.95,365.0,358.0,358.0,6800,172.402
2005-07-29,350.0,358.0,350.0,355.4,27000,171.15
2005-08-01,352.7,355.0,350.0,352.65,9600,169.826
2005-08-02,352.0,365.0,352.0,363.15,34900,174.882
2005-08-03,362.0,366.9,359.05,361.9,31900,174.28
2005-08-04,358.6,359.6,354.05,355.45,75500,171.174
2005-08-05,352.0,360.0,352.0,358.05,31800,172.426
2005-08-08,362.0,362.0,356.5,358.7,24300,172.739
2005-08-09,352.05,360.0,352.05,357.45,14000,172.137
2005-08-10,356.0,362.0,355.0,358.0,10600,172.402
2005-08-11,350.05,363.85,350.05,362.15,45200,174.401
2005-08-12,356.0,396.0,355.0,385.55,315400,185.669
2005-08-16,389.45,395.0,377.3,381.75,47600,183.839
2005-08-17,386.8,386.9,373.5,376.5,33700,181.311
2005-08-18,370.0,389.6,367.0,370.35,111200,178.349
2005-08-19,375.0,382.0,370.5,373.25,17300,179.746
2005-08-22,385.9,385.9,366.5,369.85,17400,178.109
2005-08-23,350.15,375.0,350.15,364.45,130000,175.508
2005-08-24,370.0,370.0,354.0,360.7,17000,173.702
2005-08-25,370.0,370.0,354.0,354.85,16300,170.885
2005-08-26,390.0,390.0,358.75,361.75,290700,174.208
2005-08-29,356.0,360.9,355.0,360.2,7900,173.462
2005-08-30,365.0,365.0,358.25,360.1,17700,173.413
2005-08-31,360.0,375.0,354.0,360.35,33900,173.534
2005-09-01,360.5,364.0,360.0,361.2,29100,173.943
2005-09-02,370.0,370.0,358.05,361.9,9000,174.28
2005-09-05,362.1,375.0,359.0,362.45,25900,174.545
2005-09-06,367.0,371.0,364.0,366.9,17900,176.688
2005-09-08,362.0,372.0,362.0,368.4,18500,177.41
2005-09-09,367.0,371.9,363.5,367.7,5300,177.073
2005-09-12,376.0,376.0,362.0,363.15,13900,174.882
2005-09-13,366.0,368.0,362.0,362.5,47800,174.569
2005-09-14,362.0,368.0,362.0,363.3,14800,174.954
2005-09-15,362.0,368.0,362.0,367.15,8600,176.808
2005-09-16,368.0,368.5,365.0,365.95,10300,176.231
2005-09-19,369.0,381.0,368.8,371.9,37800,179.096
2005-09-20,367.1,385.0,367.0,376.7,54500,181.407
2005-09-21,376.0,376.0,358.05,370.45,32500,178.398
2005-09-22,365.0,369.9,355.0,357.35,20600,172.089
2005-09-23,361.25,365.0,357.0,363.2,38300,174.906
2005-09-26,354.0,368.0,354.0,366.35,6800,176.423
2005-09-27,368.0,374.0,362.0,370.65,61800,178.494
2005-09-28,374.0,378.0,364.05,367.45,94400,176.953
2005-09-29,364.0,373.35,360.0,362.0,49300,174.328
2005-09-30,363.0,380.0,363.0,377.1,129300,181.6
2005-10-03,380.0,382.5,378.0,380.45,27400,183.213
2005-10-04,380.0,401.7,379.0,385.5,130500,185.645
2005-10-05,375.0,392.0,375.0,385.6,90100,185.693
2005-10-06,377.0,390.0,377.0,385.45,14200,185.621
2005-10-07,385.3,388.0,383.2,385.05,26200,185.429
2005-10-10,385.0,390.5,385.0,385.85,13100,185.814
2005-10-11,387.05,388.5,384.0,385.75,10900,185.766
2005-10-13,386.0,398.0,375.6,383.1,37600,184.49
2005-10-14,385.05,390.95,382.5,384.05,23400,184.947
2005-10-17,385.0,386.5,372.75,385.1,11500,185.453
2005-10-18,385.0,396.0,384.0,385.6,229700,185.693
2005-10-19,385.0,385.25,375.0,375.65,20800,180.902
2005-10-20,380.0,385.9,365.75,372.1,30600,179.192
2005-10-21,359.0,381.9,355.0,362.75,9900,174.69
2005-10-24,375.0,380.0,365.0,367.2,10500,176.833
2005-10-25,371.9,375.0,363.0,365.0,5100,175.773
2005-10-26,370.0,374.9,368.0,370.15,6300,178.253
2005-10-27,370.5,373.65,366.0,368.55,13300,177.483
2005-10-28,373.85,373.85,362.0,365.6,6200,176.062
2005-10-31,389.95,389.95,366.0,368.35,2000,177.386
2005-11-01,373.0,373.0,367.0,370.7,600,178.518
2005-11-02,371.9,376.45,368.05,371.0,12300,178.663
2005-11-07,362.75,378.0,362.75,376.7,7200,181.407
2005-11-08,370.0,377.6,369.0,374.85,2700,180.517
2005-11-09,377.7,387.0,375.0,383.15,9400,184.514
2005-11-10,385.0,414.0,382.0,411.55,106100,198.19
2005-11-11,414.0,420.0,407.0,414.85,65800,199.779
2005-11-14,405.5,408.1,398.0,401.15,21300,193.182
2005-11-16,401.0,413.0,401.0,408.4,24300,196.673
2005-11-17,404.0,413.0,397.05,411.75,13900,198.286
2005-11-18,380.9,413.85,380.9,409.0,7700,196.962
2005-11-21,403.0,406.0,398.05,401.9,7100,193.543
2005-11-22,402.1,407.0,394.0,399.75,7600,192.508
2005-11-23,397.0,401.0,395.0,399.8,3600,192.532
2005-11-24,401.0,430.0,401.0,419.25,64200,201.898
2005-11-25,415.0,442.8,415.0,432.0,196400,208.038
2005-11-28,452.0,473.0,445.0,465.3,143800,224.075
2005-11-29,460.0,466.0,442.35,445.9,70200,214.732
2005-11-30,448.9,458.75,422.0,425.75,26700,205.028
2005-12-01,431.85,445.0,425.0,442.35,21000,213.023
2005-12-02,444.25,446.0,437.0,440.5,17900,212.132
2005-12-05,441.95,443.0,436.15,440.95,4000,212.348
2005-12-06,441.0,445.0,436.0,438.7,5600,211.265
2005-12-07,463.0,463.0,430.55,436.15,5300,210.037
2005-12-08,438.45,438.45,431.0,431.4,5000,207.749
2005-12-09,431.4,455.0,430.1,443.5,13600,213.576
2005-12-12,456.0,456.0,440.0,442.75,12500,213.215
2005-12-13,441.05,447.0,440.05,444.75,10400,214.178
2005-12-14,454.0,454.0,430.25,438.75,6800,211.289
2005-12-15,444.0,445.0,437.0,442.35,5800,213.023
2005-12-16,442.1,455.0,436.85,451.8,6600,217.573
2005-12-19,451.0,469.5,445.35,459.8,17600,221.426
2005-12-20,458.0,465.0,455.0,460.05,54500,221.546
2005-12-21,460.0,470.0,453.05,456.3,6200,219.74
