Date,Open,High,Low,Close,Volume,Adj Close
2003-07-02,16.15,16.15,16.15,16.15,4400,11.64
2003-07-03,16.55,16.55,15.55,15.6,4700,11.24
2003-07-04,15.0,15.25,13.8,13.85,4900,9.98
2003-07-07,13.0,15.4,13.0,15.35,1700,11.06
2003-07-08,14.5,14.6,14.5,14.55,700,10.48
2003-07-09,14.25,14.25,14.25,14.25,400,10.27
2003-07-10,14.25,14.55,14.0,14.45,2800,10.41
2003-07-11,14.1,14.75,14.0,14.55,2300,10.48
2003-07-14,14.75,15.0,14.5,15.0,4000,10.81
2003-07-15,14.75,15.2,14.5,15.2,5500,10.95
2003-07-16,14.5,15.8,14.5,15.8,10200,11.38
2003-07-17,15.0,15.8,15.0,15.8,5500,11.38
2003-07-18,14.5,14.55,14.5,14.5,2000,10.45
2003-07-21,14.25,14.25,14.05,14.25,3300,10.27
2003-07-22,14.25,15.0,14.25,15.0,2800,10.81
2003-07-23,14.75,15.4,14.75,15.0,300,10.81
2003-07-24,15.8,15.8,14.85,14.85,1900,10.7
2003-07-25,14.75,14.75,14.75,14.75,1300,10.63
2003-07-28,13.05,15.25,13.05,15.0,1300,10.81
2003-07-29,13.8,15.8,13.8,15.3,1700,11.02
2003-07-30,16.0,16.5,15.7,16.25,4000,11.71
2003-07-31,16.0,16.5,15.6,16.1,2900,11.6
2003-08-01,15.0,15.75,14.9,15.3,2300,11.02
2003-08-04,14.6,16.0,14.6,15.75,1500,11.35
2003-08-05,15.75,16.25,15.55,15.75,2800,11.35
2003-08-06,16.65,17.0,16.0,17.0,3600,12.25
2003-08-07,17.0,18.5,17.0,17.95,8800,12.93
2003-08-08,18.15,18.15,16.45,17.2,3400,12.39
2003-08-11,17.2,17.5,16.45,16.75,11600,12.07
2003-08-12,16.5,17.2,16.5,17.15,5800,12.36
2003-08-13,16.05,17.5,16.05,16.9,4400,12.18
2003-08-14,16.75,18.95,16.55,17.0,2300,12.25
2003-08-18,18.1,19.9,15.0,18.15,6300,13.08
2003-08-19,18.6,18.8,18.15,18.3,6300,13.19
2003-08-20,18.4,18.9,17.1,17.1,3900,12.32
2003-08-21,17.75,18.5,17.45,17.5,6700,12.61
2003-08-22,17.5,18.5,17.5,18.4,7300,13.26
2003-08-25,18.0,18.5,17.25,17.25,2900,12.43
2003-08-26,16.55,17.4,16.55,17.4,900,12.54
2003-08-27,17.5,18.0,17.5,17.6,2300,12.68
2003-08-28,17.2,18.2,17.2,18.2,1200,13.11
2003-08-29,15.65,16.15,15.65,16.15,2800,12.24
2003-09-01,15.6,16.6,15.6,16.1,1600,12.2
2003-09-02,16.05,16.4,16.05,16.4,700,12.43
2003-09-03,16.25,16.6,16.25,16.6,2300,12.58
2003-09-04,16.25,16.25,15.75,15.75,1400,11.94
2003-09-05,15.7,16.1,15.65,15.75,1100,11.94
2003-09-08,15.95,16.0,15.7,15.75,2400,11.94
2003-09-09,16.5,16.8,15.75,15.8,1900,11.98
2003-09-10,15.7,18.9,15.7,17.65,600,13.38
2003-09-11,15.15,16.0,15.15,15.35,2000,11.64
2003-09-12,15.25,15.5,15.25,15.35,400,11.64
2003-09-15,15.8,16.0,15.8,16.0,600,12.13
2003-09-16,15.8,16.05,15.8,16.05,1000,12.17
2003-09-17,17.0,17.0,16.0,16.5,4500,12.51
2003-09-18,16.4,16.5,16.0,16.0,4300,12.13
2003-09-19,16.0,16.0,15.75,16.0,1200,12.13
2003-09-22,15.15,16.0,15.15,15.95,1400,12.09
2003-09-23,16.0,16.45,15.75,15.85,400,12.01
2003-09-24,15.8,15.9,15.75,15.8,1300,11.98
2003-09-25,15.85,15.85,15.85,15.85,100,12.01
2003-09-26,15.5,16.25,15.5,16.25,1300,12.32
2003-09-29,15.8,16.25,15.8,16.25,1100,12.32
2003-09-30,16.0,16.35,15.85,16.05,2000,12.17
2003-10-01,16.0,16.0,15.75,15.75,2200,11.94
2003-10-03,15.9,16.7,15.9,16.25,1400,12.32
2003-10-06,16.0,16.35,16.0,16.0,1000,12.13
2003-10-07,15.7,15.8,15.15,15.7,7100,11.9
2003-10-08,15.05,15.95,14.8,15.25,27800,11.56
2003-10-09,15.3,15.65,15.25,15.35,52700,11.64
2003-10-10,16.45,16.45,15.25,15.3,77100,11.6
2003-10-13,15.3,16.45,15.3,16.05,1700,12.17
2003-10-14,15.4,16.9,15.4,16.0,2300,12.13
2003-10-15,16.15,16.15,16.0,16.0,3300,12.13
2003-10-16,15.5,16.5,15.3,15.75,2700,11.94
2003-10-17,15.55,16.2,15.5,15.55,7000,11.79
2003-10-20,15.35,16.0,15.25,15.25,12000,11.56
2003-10-21,15.25,16.0,15.1,15.25,11300,11.56
2003-10-22,15.25,16.85,15.25,16.4,2000,12.43
2003-10-23,16.0,16.5,15.75,16.2,2400,12.28
2003-10-24,19.0,19.0,15.1,16.8,2300,12.74
2003-10-27,19.75,22.5,17.9,18.2,154500,13.8
2003-10-28,19.0,21.2,19.0,20.25,128300,15.35
2003-10-29,20.5,20.5,19.2,19.8,65000,15.01
2003-10-30,19.5,19.5,18.25,18.45,32800,13.99
2003-10-31,18.15,18.8,18.15,18.4,44500,13.95
2003-11-03,18.8,19.0,18.0,18.85,14400,14.29
2003-11-04,20.0,20.0,18.6,18.85,14200,14.29
2003-11-05,19.0,19.1,18.6,18.75,8100,14.21
2003-11-06,19.0,19.0,18.5,18.65,11300,14.14
2003-11-07,19.0,20.0,18.6,18.8,47900,14.25
2003-11-10,18.6,19.0,18.0,18.0,62700,13.64
2003-11-11,18.5,19.05,18.5,18.95,12800,14.36
2003-11-12,18.9,19.35,18.3,18.35,37800,13.91
2003-11-13,18.2,19.0,18.2,18.65,13700,14.14
2003-11-14,18.5,18.95,18.25,18.7,10800,14.18
2003-11-17,17.0,18.5,17.0,18.05,10400,13.68
2003-11-18,18.6,19.5,18.25,18.8,14900,14.25
2003-11-19,18.95,19.5,18.6,19.5,6100,14.78
2003-11-20,19.6,20.3,19.0,19.0,12400,14.4
2003-11-21,19.0,19.7,19.0,19.25,7400,14.59
2003-11-24,18.5,19.6,18.4,19.15,7500,14.52
2003-11-25,19.0,19.4,18.75,19.4,8100,14.71
2003-11-27,20.45,21.75,20.45,20.8,24300,15.77
2003-11-28,20.95,23.9,20.8,21.65,50900,16.41
2003-12-01,22.7,22.7,21.4,21.65,12300,16.41
2003-12-02,21.9,22.3,21.4,21.7,19100,16.45
2003-12-03,21.5,22.25,21.35,22.0,26000,16.68
2003-12-04,22.0,23.3,22.0,22.85,19500,17.32
2003-12-05,23.3,23.5,22.25,22.5,17600,17.06
2003-12-08,22.25,25.4,22.25,23.9,45300,18.12
2003-12-09,24.85,27.0,23.5,25.7,130700,19.48
2003-12-10,27.25,28.7,26.1,27.3,44100,20.69
2003-12-11,28.0,28.0,24.55,25.85,36400,19.6
2003-12-12,25.5,26.0,24.8,24.95,25300,18.91
2003-12-15,24.5,25.9,24.4,25.3,12900,19.18
2003-12-16,25.0,25.0,24.1,24.6,17200,18.65
2003-12-17,25.3,26.05,24.2,25.65,31900,19.44
2003-12-18,26.5,27.0,25.35,25.65,28000,19.44
2003-12-19,26.5,26.5,25.65,26.1,19100,19.78
2003-12-22,25.6,27.5,25.6,27.1,19100,21.36
2003-12-23,28.0,28.25,26.5,27.75,34900,21.87
2003-12-24,27.0,33.3,25.8,30.15,92000,23.77
2003-12-26,32.9,36.15,32.1,36.15,83500,28.49
2003-12-29,38.9,40.75,36.3,36.45,75400,28.73
2003-12-30,37.0,37.0,31.5,33.75,26000,26.6
2003-12-31,32.0,34.6,32.0,33.7,15500,26.56
2004-01-01,33.8,34.9,32.0,32.35,7500,25.5
2004-01-02,34.0,36.1,32.35,33.9,50500,26.72
2004-01-05,35.9,40.65,35.9,38.3,99500,30.19
2004-01-06,35.5,39.0,35.1,35.4,26600,27.9
