Date,Open,High,Low,Close,Volume,Adj Close
2006-04-03,219.9,286.9,219.9,263.1,30209700,29.4
2006-04-04,265.3,271.9,249.3,252.35,5944200,28.2
2006-04-05,252.0,256.7,243.0,246.25,4460000,27.52
2006-04-07,248.0,254.4,238.0,240.5,2341900,26.88
2006-04-10,240.4,261.3,237.0,254.7,3162500,28.46
2006-04-12,254.7,255.0,236.05,238.75,787100,26.68
2006-04-13,240.5,244.7,231.0,236.25,871200,26.4
2006-04-17,236.9,245.85,236.0,239.05,675200,26.71
2006-04-18,241.0,244.0,238.0,238.25,524100,26.62
2006-04-19,239.0,250.8,238.05,242.35,977000,27.08
2006-04-20,243.0,244.4,238.5,239.9,311600,26.81
2006-04-21,238.0,262.0,238.0,258.4,1437800,28.88
2006-04-24,257.9,272.0,250.3,268.05,2298300,29.95
2006-04-25,270.0,277.7,258.1,262.15,1748800,29.3
2006-04-26,262.5,303.85,258.3,283.25,3587800,31.65
2006-04-27,285.0,292.4,274.6,276.15,992700,30.86
2006-04-28,269.9,273.25,250.0,267.55,425800,29.9
2006-05-02,276.0,283.0,273.0,278.15,348500,31.08
2006-05-03,278.9,288.9,272.0,275.7,565300,30.81
2006-05-04,277.0,280.0,261.55,263.45,273300,29.44
2006-05-05,266.0,270.0,255.15,257.8,181100,28.81
2006-05-08,260.0,261.25,242.5,244.65,735000,27.34
2006-05-09,247.75,255.2,247.75,251.1,275900,28.06
2006-05-10,250.15,253.35,243.15,248.2,381000,27.74
2006-05-11,246.0,249.5,242.5,243.3,65300,27.19
2006-05-12,243.0,248.4,240.0,242.6,84200,27.11
2006-05-15,243.0,250.0,234.1,238.25,278700,26.62
2006-05-16,240.0,243.0,223.0,226.4,224400,25.3
2006-05-17,230.0,242.0,230.0,235.55,113400,26.32
2006-05-18,236.15,237.0,220.0,228.75,206500,25.56
2006-05-19,232.0,237.0,200.0,207.45,425000,23.18
2006-05-22,211.0,211.0,166.0,185.5,128300,20.73
2006-05-23,170.0,207.0,170.0,202.8,46700,22.66
2006-05-24,205.0,219.8,195.05,210.1,163600,23.48
2006-05-25,212.0,212.0,206.0,206.45,50400,23.07
2006-05-26,208.0,217.0,208.0,211.3,71600,23.61
2006-05-29,216.0,222.0,207.15,211.85,35000,23.67
2006-05-30,218.0,218.9,201.55,205.3,73900,22.94
2006-05-31,198.0,200.0,189.5,196.9,110000,22.0
2006-06-01,199.0,202.0,182.0,186.8,48500,20.87
2006-06-02,190.0,190.0,173.0,182.65,367800,20.41
2006-06-05,183.5,185.0,177.25,180.75,42900,20.2
2006-06-06,178.0,178.0,165.7,167.75,35700,18.75
2006-06-07,161.5,165.7,147.0,149.35,52100,16.69
2006-06-08,140.0,140.0,119.5,119.9,55800,13.4
2006-06-09,121.0,140.0,120.1,137.95,50200,15.42
2006-06-12,130.0,144.8,130.0,139.85,39600,15.63
2006-06-13,136.95,138.9,128.0,131.6,79300,14.71
2006-06-14,126.0,136.0,119.5,127.5,159900,14.25
2006-06-15,136.9,136.9,122.0,127.75,48700,14.28
2006-06-16,134.1,140.5,127.0,139.05,168300,15.54
2006-06-19,140.0,152.95,135.1,152.85,59000,17.08
2006-06-20,153.5,168.0,144.2,161.9,110200,18.09
2006-06-21,165.0,169.8,163.5,166.4,38900,18.6
2006-06-22,174.0,174.7,170.0,174.7,19400,19.52
2006-06-23,169.0,183.4,169.0,182.15,70100,20.36
2006-06-26,179.5,184.45,170.75,170.9,43300,19.1
2006-06-27,170.0,170.0,162.4,162.8,29500,18.19
2006-06-28,154.75,159.0,154.7,154.7,35600,17.29
2006-06-29,158.5,159.8,147.0,147.0,147500,16.43
2006-06-30,151.0,154.35,142.5,145.0,75300,16.2
2006-07-03,145.0,149.85,143.0,148.05,18400,16.54
2006-07-04,153.0,154.0,141.05,151.0,380500,16.87
2006-07-05,146.1,158.45,146.1,157.35,26100,17.58
2006-07-06,155.0,157.9,153.0,154.25,8200,17.24
2006-07-07,154.0,159.65,146.55,147.9,8700,16.53
2006-07-10,145.0,152.0,140.55,140.8,25400,15.73
2006-07-11,139.85,146.0,134.0,140.0,13100,15.65
2006-07-12,133.1,140.0,133.1,139.8,7800,15.62
2006-07-13,145.0,146.75,140.0,144.0,11100,16.09
2006-07-14,143.0,144.9,137.1,138.45,12900,15.47
2006-07-17,139.0,140.0,137.0,137.5,4400,15.37
2006-07-18,137.0,138.5,131.0,132.7,8500,14.83
2006-07-19,131.5,134.0,129.1,131.65,11600,14.71
2006-07-20,128.0,130.6,125.35,126.95,13300,14.19
2006-07-21,126.1,130.0,123.1,128.7,7100,14.38
2006-07-24,130.9,130.9,122.35,124.6,11100,13.92
2006-07-25,123.5,129.0,123.0,124.0,7700,13.86
2006-07-26,125.0,130.2,125.0,129.25,8200,14.44
2006-07-27,132.95,134.0,128.0,129.9,7100,14.52
2006-07-28,123.45,134.25,123.45,132.0,9700,14.75
2006-07-31,133.0,138.0,130.0,130.0,8700,14.53
2006-08-01,130.0,133.5,127.25,128.05,18100,14.31
2006-08-02,128.0,132.5,125.0,126.2,45800,14.1
2006-08-03,130.95,132.5,129.25,130.35,11300,14.57
2006-08-04,131.0,132.9,127.0,127.6,11400,14.26
2006-08-07,132.75,132.75,125.0,127.75,5400,14.28
2006-08-08,129.0,129.0,125.0,125.8,9100,14.06
2006-08-09,129.0,132.05,129.0,132.05,24100,14.76
2006-08-10,131.0,138.4,131.0,135.85,15300,15.18
2006-08-11,138.5,142.6,137.0,142.6,12700,15.94
2006-08-14,149.7,149.7,148.0,149.7,37900,16.73
2006-08-16,157.1,157.1,148.0,150.5,33500,16.82
2006-08-17,152.65,152.65,144.0,149.8,12900,16.74
2006-08-18,145.0,148.9,145.0,146.35,5900,16.35
2006-08-21,146.0,152.9,145.0,147.3,8100,16.46
2006-08-22,149.0,151.0,146.5,147.2,7200,16.45
2006-08-23,149.6,149.7,145.0,145.55,19500,16.27
2006-08-24,145.0,150.0,142.3,148.35,15500,16.58
2006-08-25,150.05,151.0,147.05,149.05,13200,16.66
2006-08-28,152.9,156.5,148.3,150.5,157200,16.82
2006-08-29,154.5,156.8,151.0,152.25,40700,17.01
2006-08-30,154.0,154.0,150.0,150.6,15100,16.83
2006-08-31,148.55,157.0,148.3,151.1,52400,16.89
2006-09-01,149.05,153.0,149.05,150.1,12200,16.77
2006-09-04,150.0,154.0,149.0,149.3,17300,16.68
2006-09-05,149.6,152.8,149.6,151.6,24400,16.94
2006-09-06,151.05,159.15,151.05,158.3,156400,17.69
2006-09-07,160.85,163.4,159.0,160.55,77500,17.94
2006-09-08,163.75,164.2,155.0,158.05,121800,17.66
2006-09-11,160.0,163.9,154.25,156.05,62600,17.44
2006-09-12,155.1,158.0,152.15,154.3,27500,17.24
2006-09-13,152.2,161.5,152.0,155.95,129200,17.43
2006-09-14,158.75,158.75,152.0,152.6,60400,17.05
2006-09-15,153.0,153.0,149.0,150.3,39200,16.8
2006-09-18,152.0,152.65,145.6,146.8,34900,17.27
2006-09-19,148.05,150.0,146.0,146.75,22800,17.26
2006-09-20,147.05,149.5,144.75,145.7,47200,17.14
