Date,Open,High,Low,Close,Volume,Adj Close
2006-04-24,555.5,750.0,530.5,733.026,42390900,288.769
2006-04-25,731.95,737.4,625.0,654.276,5694700,257.746
2006-04-26,675.0,675.0,639.0,650.0,1430800,256.061
2006-04-27,675.0,695.0,651.0,662.826,1287000,261.114
2006-04-28,600.0,650.0,552.576,637.15,632500,250.999
2006-05-02,637.5,667.5,617.5,651.35,744200,256.593
2006-05-03,653.5,665.0,644.0,648.5,287600,255.47
2006-05-04,650.5,655.5,627.5,635.55,131800,250.369
2006-05-05,639.95,642.376,626.25,630.326,72800,248.311
2006-05-08,633.5,649.0,632.5,641.15,77900,252.575
2006-05-09,655.0,705.0,650.0,691.924,930200,272.577
2006-05-10,695.0,747.5,681.076,739.9,1293500,291.477
2006-05-11,750.0,789.5,701.0,715.05,1280200,281.687
2006-05-12,700.0,750.0,660.0,690.326,503400,271.947
2006-05-15,690.5,694.5,625.526,644.3,669600,253.816
2006-05-16,646.0,685.0,640.5,666.026,367200,262.375
2006-05-17,671.0,680.0,642.75,649.8,199600,255.983
2006-05-18,649.5,655.0,600.0,615.3,295200,242.392
2006-05-19,645.0,645.0,587.5,596.174,134500,234.857
2006-05-22,600.0,600.0,500.0,579.776,138800,228.397
2006-05-23,575.0,595.0,555.0,584.826,73500,230.387
2006-05-24,580.0,590.0,575.0,575.15,74100,226.575
2006-05-25,575.0,599.0,538.0,588.224,72700,231.725
2006-05-26,595.0,616.0,592.5,606.776,69200,239.034
2006-05-29,610.026,627.5,605.25,613.026,52800,241.496
2006-05-30,615.0,618.0,592.75,596.2,40900,234.867
2006-05-31,590.0,615.5,570.276,601.7,76700,237.034
2006-06-01,612.5,617.5,605.0,608.65,55800,239.772
2006-06-02,609.5,609.5,568.5,587.5,61000,231.44
2006-06-05,605.0,607.5,575.0,575.85,28100,226.851
2006-06-06,559.974,587.5,550.5,583.0,74900,229.667
2006-06-07,570.5,583.0,530.0,545.724,71300,214.983
2006-06-08,530.5,530.5,430.0,442.124,172500,174.171
2006-06-09,439.95,525.0,420.124,511.75,200200,201.599
2006-06-12,512.5,512.5,462.5,473.9,70500,186.688
2006-06-13,450.0,462.5,445.5,450.35,53200,177.411
2006-06-14,470.0,481.45,450.0,451.674,77800,177.933
2006-06-15,237.0,239.95,230.375,234.262,42300,92.285
2006-06-16,244.75,251.25,238.762,248.962,65900,98.076
2006-06-19,500.0,500.0,477.5,486.6,17100,191.691
2006-06-20,487.5,487.5,467.5,471.65,27700,185.802
2006-06-21,483.0,486.976,475.0,478.05,11200,188.323
2006-06-22,489.5,505.0,476.6,481.85,31900,189.82
2006-06-23,485.0,492.424,479.5,487.5,18300,192.046
2006-06-26,480.024,493.0,480.0,489.024,17300,192.646
2006-06-27,494.5,495.0,481.674,488.376,19100,192.391
2006-06-28,476.0,486.0,475.0,483.8,2300,190.588
2006-06-29,501.5,506.0,484.024,499.25,32000,196.675
2006-06-30,505.0,512.45,495.0,498.95,17500,196.557
2006-07-03,499.774,525.0,499.774,519.924,40600,204.819
2006-07-04,525.0,572.224,525.0,565.776,72800,222.882
2006-07-05,545.0,562.5,545.0,552.326,103100,217.584
2006-07-06,552.5,564.95,533.0,537.424,62800,211.713
2006-07-07,538.0,558.0,528.0,531.35,30300,209.32
2006-07-10,532.55,541.5,530.0,536.1,7900,211.192
2006-07-11,529.0,536.0,517.65,531.55,18100,209.399
2006-07-12,520.0,552.5,500.2,544.8,29400,214.619
2006-07-13,538.5,538.5,523.0,526.474,14500,207.399
2006-07-14,520.5,537.5,513.0,532.95,26700,209.951
2006-07-17,533.5,543.95,519.0,531.674,27700,209.448
2006-07-18,539.0,547.224,532.25,543.15,49000,213.969
2006-07-19,549.5,550.0,521.076,522.75,13800,205.932
2006-07-20,545.0,545.0,522.45,541.8,14100,213.437
2006-07-21,525.0,537.5,525.0,534.276,9000,210.473
2006-07-24,521.026,545.0,520.5,535.326,13200,210.887
2006-07-25,539.924,544.45,525.5,537.65,16600,211.802
2006-07-26,533.05,560.0,533.05,545.3,26900,214.816
