Date,Open,High,Low,Close,Volume,Adj Close
2002-01-22,5.0,5.0,5.0,5.0,10000,0.37
2002-01-29,4.05,4.05,4.05,4.05,1000,0.3
2002-02-04,3.25,3.25,3.25,3.25,10000,0.241
2002-02-07,3.9,3.9,3.0,3.0,2000,0.222
2002-02-11,3.6,3.6,3.6,3.6,2000,0.267
2002-02-12,4.3,4.3,4.3,4.3,2000,0.318
2002-02-13,4.6,4.6,4.6,4.6,2000,0.341
2002-02-15,5.45,5.45,5.45,5.45,4000,0.404
2002-03-14,5.4,5.4,5.4,5.4,40000,0.4
2002-03-15,4.35,6.45,4.35,6.45,2000,0.478
2002-04-08,5.2,5.2,5.2,5.2,1000,0.385
2002-04-17,4.25,4.25,4.25,4.25,1000,0.315
2002-04-24,5.05,5.05,5.05,5.05,1000,0.374
2002-04-25,4.05,4.05,4.05,4.05,700,0.3
2002-04-29,3.35,3.35,3.25,3.25,10000,0.241
2002-05-02,3.9,3.9,3.9,3.9,500,0.289
2002-05-03,4.65,4.65,4.65,4.65,3000,0.344
2002-05-15,3.75,3.75,3.75,3.75,2000,0.278
2002-05-16,3.9,3.9,3.9,3.9,5000,0.289
2002-05-20,3.15,3.25,3.15,3.25,25000,0.241
2002-05-23,2.75,2.75,2.75,2.75,0,0.204
2002-05-31,2.75,2.75,2.75,2.75,4000,0.204
2002-06-05,3.3,3.3,3.3,3.3,4000,0.244
2002-06-06,3.6,3.6,3.6,3.6,1000,0.267
2002-06-07,3.8,3.8,3.65,3.65,15000,0.27
2002-06-11,4.0,4.0,4.0,4.0,1000,0.296
2002-06-12,3.3,3.3,3.3,3.3,3000,0.244
2002-06-14,3.95,3.95,3.95,3.95,1000,0.293
2002-06-17,4.7,4.7,4.7,4.7,1000,0.348
2002-06-18,5.6,5.6,5.6,5.6,10000,0.415
2002-06-19,6.2,6.6,5.5,6.25,10000,0.463
2002-06-20,5.2,6.1,5.2,6.1,6000,0.452
2002-06-21,6.1,6.1,5.0,5.0,11000,0.37
2002-06-24,4.95,5.5,4.95,5.05,10000,0.374
2002-06-25,5.0,5.5,4.8,5.5,1155000,0.407
2002-06-26,6.0,6.6,6.0,6.6,538000,0.489
2002-07-01,1.13,1.16,1.13,1.15,12000,0.085
2002-07-02,1.12,1.12,1.11,1.11,5000,0.082
2002-07-03,0.89,1.19,0.89,1.19,3000,0.088
2002-07-04,1.2,1.2,1.04,1.04,55000,0.077
2002-07-05,1.1,1.17,1.1,1.17,5000,0.087
2002-07-08,1.19,1.4,1.19,1.4,77400,0.104
2002-07-09,1.65,1.68,1.5,1.53,129500,0.113
2002-07-10,1.8,1.8,1.35,1.42,47500,0.105
2002-07-11,1.4,1.4,1.25,1.4,17000,0.104
2002-07-12,1.45,1.45,1.45,1.45,2000,0.107
2002-07-15,1.26,1.26,1.26,1.26,1000,0.093
2002-07-17,1.02,1.33,1.02,1.33,1000,0.099
2002-07-18,1.09,1.25,1.09,1.18,2000,0.087
2002-07-22,1.1,1.1,1.0,1.0,51000,0.074
2002-07-23,0.84,1.18,0.84,0.96,2000,0.071
2002-07-25,0.84,1.1,0.84,1.1,1500,0.081
2002-07-26,0.9,1.08,0.9,1.08,3500,0.08
