Date,Open,High,Low,Close,Volume,Adj Close
2008-11-05,60.0,70.0,40.0,50.12,20800,6.26
2008-11-06,50.0,59.0,46.0,50.0,500,6.24
2008-11-07,40.2,49.99,40.2,45.06,500,5.62
2008-11-10,45.06,45.06,45.06,45.06,100,5.62
2008-11-11,45.06,45.06,45.06,45.06,200,5.62
2008-11-12,37.1,42.0,37.1,40.2,0,5.02
2008-11-14,41.11,45.4,32.73,45.4,800,5.67
2008-11-17,40.52,40.54,28.52,40.54,100,5.06
2008-11-18,32.44,47.94,32.44,34.0,100,4.24
2008-11-19,28.03,39.8,28.03,32.0,100,3.99
2008-11-20,38.4,38.4,27.2,27.2,0,3.39
2008-11-21,25.4,29.6,25.4,29.6,0,3.69
2008-11-24,28.0,32.56,26.65,32.56,0,4.06
2008-11-25,32.56,32.56,32.56,32.56,200,4.06
2008-11-26,32.56,32.56,32.56,32.56,200,4.06
2008-11-28,32.56,32.56,32.56,32.56,100,4.06
2008-12-01,32.56,32.56,32.56,32.56,100,4.06
2008-12-02,32.8,32.8,32.8,32.8,0,4.09
2008-12-04,32.8,32.8,32.8,32.8,800,4.09
2008-12-05,32.8,32.8,32.8,32.8,100,4.09
2008-12-08,32.8,32.8,32.8,32.8,100,4.09
2008-12-10,32.8,32.8,32.8,32.8,0,4.09
2008-12-11,32.8,32.8,32.8,32.8,300,4.09
2008-12-12,32.8,32.8,32.8,32.8,0,4.09
2008-12-15,32.8,32.8,32.8,32.8,100,4.09
2008-12-16,36.08,36.08,36.08,36.08,0,4.5
2008-12-17,36.08,36.08,36.08,36.08,0,4.5
2008-12-18,36.08,36.08,36.08,36.08,100,4.5
2008-12-19,36.08,36.08,36.08,36.08,0,4.5
2008-12-22,36.08,36.08,36.08,36.08,0,4.5
2008-12-23,39.68,39.68,39.68,39.68,0,4.95
2008-12-24,39.68,39.68,39.68,39.68,0,4.95
2008-12-26,39.68,39.68,39.68,39.68,0,4.95
2008-12-30,39.68,39.68,39.68,39.68,0,4.95
2009-01-01,43.64,43.64,35.72,35.72,100,4.46
2009-01-02,45.82,45.82,45.82,45.82,0,5.72
2009-01-05,45.82,45.82,45.82,45.82,0,5.72
2009-01-06,45.82,45.82,45.82,45.82,200,5.72
2009-01-07,45.82,45.82,45.82,45.82,100,5.72
2009-01-13,41.24,50.4,41.24,50.4,0,6.29
2009-01-14,50.4,50.4,50.4,50.4,0,6.29
2009-01-15,50.4,50.4,50.4,50.4,0,6.29
2009-01-16,50.4,50.4,50.4,50.4,0,6.29
2009-01-19,50.4,50.4,50.4,50.4,0,6.29
2009-01-20,50.4,50.4,50.4,50.4,0,6.29
2009-01-21,50.4,50.4,50.4,50.4,0,6.29
2009-01-22,51.0,51.0,51.0,51.0,0,6.37
2009-01-23,51.0,51.0,51.0,51.0,300,6.37
2009-01-27,51.0,51.0,51.0,51.0,500,6.37
2009-01-28,51.0,51.0,51.0,51.0,100,6.37
2009-01-29,51.0,51.0,51.0,51.0,100,6.37
2009-02-03,53.4,53.4,53.4,53.4,0,6.66
2009-02-04,53.4,53.4,53.4,53.4,0,6.66
2009-02-10,53.4,53.4,53.4,53.4,0,6.66
2009-02-11,53.4,53.4,53.4,53.4,0,6.66
2009-02-13,53.4,53.4,53.4,53.4,0,6.66
2009-02-16,53.4,53.4,53.4,53.4,0,6.66
2009-02-17,53.4,53.4,53.4,53.4,0,6.66
2009-02-19,53.4,53.4,53.4,53.4,0,6.66
2009-02-20,53.4,53.4,53.4,53.4,0,6.66
2009-02-26,53.4,53.4,53.4,53.4,0,6.66
2009-02-27,56.0,56.0,56.0,56.0,0,6.99
2009-03-02,56.0,56.0,56.0,56.0,0,6.99
2009-03-03,56.0,56.0,56.0,56.0,0,6.99
2009-03-04,56.0,56.0,56.0,56.0,0,6.99
2009-03-05,58.6,58.6,58.6,58.6,0,7.31
2009-03-06,58.6,58.6,58.6,58.6,800,7.31
2009-03-09,58.6,58.6,58.6,58.6,0,7.31
2009-03-12,57.0,57.0,57.0,57.0,0,7.11
2009-03-13,54.16,54.2,54.16,54.2,100,6.76
2009-03-16,54.2,54.2,54.2,54.2,0,6.76
2009-03-17,54.2,54.2,54.2,54.2,0,6.76
2009-03-18,54.2,54.2,54.2,54.2,200,6.76
2009-03-19,54.2,54.2,54.2,54.2,0,6.76
2009-03-20,54.2,54.2,54.2,54.2,0,6.76
2009-03-23,54.2,54.2,54.2,54.2,200,6.76
2009-03-24,54.2,54.2,54.2,54.2,0,6.76
2009-03-25,54.2,54.2,54.2,54.2,400,6.76
2009-03-26,51.5,51.5,51.5,51.5,0,6.43
2009-03-27,51.5,51.5,51.5,51.5,100,6.43
2009-03-30,51.5,51.5,51.5,51.5,100,6.43
2009-03-31,51.5,51.5,51.5,51.5,0,6.43
2009-04-01,51.5,51.5,51.5,51.5,0,6.43
2009-04-02,54.07,54.07,54.07,54.07,0,6.75
2009-04-06,54.06,54.07,54.06,54.07,100,6.75
2009-04-08,54.07,54.07,54.07,54.07,100,6.75
2009-04-09,54.07,54.07,54.07,54.07,200,6.75
2009-04-13,54.07,54.07,54.07,54.07,200,6.75
2009-04-15,54.07,54.07,54.07,54.07,0,6.75
2009-04-16,54.07,54.07,54.07,54.07,0,6.75
2009-04-17,54.07,54.07,54.07,54.07,0,6.75
2009-04-20,54.07,54.07,54.07,54.07,0,6.75
2009-04-21,56.4,56.4,56.4,56.4,0,7.04
2009-04-22,56.4,56.4,56.4,56.4,200,7.04
2009-04-23,56.4,56.4,56.4,56.4,300,7.04
2009-04-24,56.4,56.4,56.4,56.4,0,7.04
2009-04-27,56.4,56.4,56.4,56.4,0,7.04
2009-04-28,56.4,56.4,56.4,56.4,0,7.04
2009-04-29,56.4,56.4,56.4,56.4,0,7.04
2009-05-04,56.4,56.4,56.4,56.4,0,7.04
2009-05-05,56.4,56.4,56.4,56.4,0,7.04
2009-05-06,56.4,56.4,56.4,56.4,0,7.04
2009-05-07,56.5,56.5,56.5,56.5,0,7.05
2009-05-08,56.2,56.2,56.2,56.2,0,7.01
2009-05-11,56.2,56.2,56.2,56.2,100,7.01
2009-05-12,56.2,56.2,56.2,56.2,100,7.01
2009-05-13,56.2,56.2,56.2,56.2,0,7.01
2009-05-15,56.2,56.2,56.2,56.2,100,7.01
2009-05-19,59.0,59.0,59.0,59.0,0,7.36
2009-05-20,61.95,61.95,61.95,61.95,400,7.73
2009-05-21,59.0,59.0,59.0,59.0,200,7.36
2009-05-22,58.2,61.95,58.06,58.06,100,7.25
2009-05-25,58.06,58.06,58.06,58.06,200,7.25
2009-05-26,58.06,58.06,58.06,58.06,200,7.25
2009-05-27,58.06,58.06,58.06,58.06,400,7.25
2009-05-28,60.96,60.96,60.96,60.96,0,7.61
2009-05-29,60.97,60.97,60.97,60.97,0,7.61
2009-06-01,61.0,61.0,60.0,61.0,900,7.61
2009-06-02,58.2,61.0,58.2,61.0,1000,7.61
