Date,Open,High,Low,Close,Volume,Adj Close
2002-01-14,308.0,316.0,304.5,307.2,41800,58.424
2002-01-15,304.9,309.8,297.2,299.3,23700,56.922
2002-01-16,304.4,308.0,297.0,301.6,25800,57.359
2002-01-17,290.0,310.0,290.0,306.7,42900,58.329
2002-01-18,310.0,319.8,305.2,308.4,39400,58.652
2002-01-21,304.2,305.6,298.2,301.6,10900,57.359
2002-01-22,299.8,309.4,299.8,303.3,19800,57.683
2002-01-23,296.1,305.5,292.5,295.6,15300,56.218
2002-01-24,304.0,306.0,295.6,297.3,21100,56.541
2002-01-25,290.5,299.0,284.0,288.6,29900,54.887
2002-01-28,280.0,284.0,271.5,275.1,26800,52.319
2002-01-29,279.9,286.0,273.2,277.2,18600,52.719
2002-01-30,277.0,280.0,267.0,267.4,6800,50.855
2002-01-31,268.0,281.0,268.0,279.5,11700,53.156
2002-02-01,284.0,286.0,276.0,280.0,19100,53.251
2002-02-04,274.0,277.7,272.1,275.5,11500,52.395
2002-02-05,275.9,278.2,271.0,271.8,5000,51.692
2002-02-06,314.8,314.8,284.0,306.0,64900,58.196
2002-02-07,297.0,307.2,288.0,290.1,33400,55.172
2002-02-08,293.8,295.9,285.0,286.3,11900,54.449
2002-02-11,292.0,305.0,292.0,295.4,32500,56.18
2002-02-12,306.0,313.5,296.0,298.2,23700,56.713
2002-02-13,304.0,307.8,286.0,294.1,25700,55.933
2002-02-14,308.7,308.8,292.0,292.6,23500,55.648
2002-02-15,288.9,299.8,288.9,295.6,16600,56.218
2002-02-18,286.2,300.0,286.2,294.5,11400,56.009
2002-02-19,301.0,320.0,290.4,305.6,81800,58.12
2002-02-20,317.6,349.4,312.1,328.9,590200,62.551
2002-02-21,338.0,349.0,326.0,331.4,217000,63.027
2002-02-22,318.0,334.0,317.0,326.3,108500,62.057
2002-02-25,324.0,330.0,320.2,321.7,36200,61.182
2002-02-26,329.9,330.2,318.1,322.2,30100,61.277
2002-02-27,325.5,330.0,309.0,311.0,37600,59.147
2002-02-28,313.7,320.0,283.0,287.6,46400,54.697
2002-03-01,288.0,299.8,276.6,294.3,31500,55.971
2002-03-04,315.8,315.8,294.0,297.1,22500,56.503
2002-03-05,310.0,313.6,298.0,299.6,36800,56.979
2002-03-06,305.9,307.7,296.0,298.3,19300,56.732
2002-03-07,305.3,305.4,298.1,301.9,27500,57.416
2002-03-08,305.0,314.0,303.6,311.6,53700,59.261
2002-03-11,317.5,317.5,304.0,305.5,37700,58.101
2002-03-12,305.2,305.2,296.5,298.5,25300,56.77
2002-03-13,296.3,306.0,295.4,302.5,24100,57.53
2002-03-14,320.0,320.0,296.5,304.2,23000,57.854
2002-03-15,307.5,307.5,301.0,304.8,16400,57.968
2002-03-18,316.0,365.7,310.0,365.7,311900,69.55
2002-03-19,380.0,387.6,340.3,343.6,419000,65.347
2002-03-20,348.0,402.0,348.0,397.0,1757300,75.503
2002-03-21,399.8,442.7,390.0,437.4,3185700,83.186
2002-03-22,440.3,455.4,412.2,415.3,2978500,78.983
2002-03-26,410.0,415.9,370.4,373.6,840200,71.052
2002-03-27,379.6,413.8,375.4,408.3,2489900,77.652
2002-04-01,428.0,429.8,403.5,414.7,1279500,78.869
2002-04-02,417.8,463.8,410.0,435.0,2278800,82.73
