Date,Open,High,Low,Close,Volume,Adj Close
2006-03-31,289.6,289.8,280.0,289.8,2100,65.43
2006-04-03,304.2,304.2,304.2,304.2,1400,68.68
2006-04-04,319.4,319.4,289.0,300.0,22000,67.73
2006-04-05,322.0,322.0,300.0,300.0,16900,67.73
2006-04-07,322.0,322.8,300.0,300.0,9700,67.73
2006-04-10,314.0,314.0,293.8,293.8,5500,66.33
2006-04-12,280.0,298.0,279.2,279.2,5300,63.03
2006-04-13,266.8,293.0,265.4,290.0,10700,65.47
2006-04-17,302.8,303.6,284.4,288.0,5700,65.02
2006-04-18,282.2,301.4,282.0,288.4,2300,65.11
2006-04-19,296.4,296.4,280.0,296.4,6700,66.92
2006-04-20,288.0,297.0,285.2,291.6,4200,65.83
2006-04-21,292.0,303.4,284.4,288.0,10300,65.02
2006-04-24,299.4,302.8,299.4,302.8,7600,68.36
2006-04-25,317.8,317.8,300.0,317.8,9300,71.75
2006-04-26,324.0,333.6,312.0,316.0,10800,71.34
2006-04-27,328.0,333.6,312.4,312.4,17600,70.53
2006-04-28,300.6,323.2,300.6,320.4,5600,72.34
2006-05-02,334.4,335.2,305.0,305.0,13000,68.86
2006-05-03,310.0,323.6,295.2,299.6,7000,67.64
2006-05-04,293.0,312.0,285.0,285.0,9400,64.34
2006-05-05,299.2,313.6,299.2,313.6,10200,70.8
2006-05-08,327.6,329.2,315.6,326.2,14800,73.65
2006-05-09,316.6,324.4,308.4,308.4,7200,69.63
2006-05-10,320.0,320.0,296.0,304.0,3500,68.63
2006-05-11,312.0,312.0,299.8,300.0,6900,67.73
2006-05-12,301.4,307.2,300.0,300.0,6500,67.73
2006-05-15,307.8,307.8,290.0,291.0,4700,65.7
2006-05-16,303.6,303.6,279.6,281.2,7900,63.49
2006-05-17,296.0,303.2,296.0,303.2,2500,68.45
2006-05-18,292.4,304.0,288.2,296.0,11100,66.83
2006-05-19,288.4,288.4,276.4,278.0,6900,62.76
2006-05-22,280.4,280.4,264.2,264.2,2800,59.65
2006-05-23,264.0,275.6,251.2,267.0,7300,60.28
2006-05-24,271.6,271.6,258.0,262.0,3900,59.15
2006-05-25,256.2,256.2,249.4,254.0,1700,57.35
2006-05-26,245.0,252.0,244.0,252.0,1200,56.89
2006-05-29,256.0,261.0,254.0,256.0,600,57.8
2006-05-30,252.4,257.0,242.6,254.0,4700,57.35
2006-05-31,244.0,259.0,237.2,259.0,1800,58.47
2006-06-01,244.0,250.0,235.4,235.4,1500,53.15
2006-06-02,223.8,242.0,223.8,236.0,3000,53.28
2006-06-05,226.0,245.8,224.4,245.6,2800,55.45
2006-06-06,226.0,235.6,218.4,235.6,2400,53.19
2006-06-07,226.2,238.0,224.0,234.0,8000,52.83
2006-06-09,221.2,236.0,221.2,236.0,3000,53.28
2006-06-12,236.0,236.0,220.6,228.4,6300,51.57
2006-06-13,228.0,228.0,220.8,222.0,3600,50.12
2006-06-14,220.4,227.4,212.8,213.0,8200,48.09
2006-06-19,223.0,223.6,214.2,223.6,5500,50.48
2006-06-20,221.0,225.4,215.8,225.4,4100,50.89
2006-06-21,224.0,234.0,224.0,233.8,4400,52.78
2006-06-22,232.0,238.0,229.4,232.0,3700,52.38
2006-06-23,224.2,237.8,224.2,236.6,1000,53.42
2006-06-26,221.2,232.4,220.6,232.4,4400,52.47
2006-06-27,222.6,231.0,222.6,228.0,1300,51.48
2006-06-28,217.2,227.6,217.2,224.0,2400,50.57
2006-06-29,231.6,231.6,219.4,228.0,1900,51.48
2006-06-30,234.6,234.6,216.0,216.0,5400,48.77
2006-07-03,224.0,232.0,220.2,229.6,2200,51.84
2006-07-04,236.0,236.8,229.2,236.0,2900,53.28
2006-07-05,224.8,245.2,224.8,242.8,5100,54.82
2006-07-06,232.4,240.0,231.0,239.4,1500,54.05
2006-07-07,239.6,240.0,228.2,238.0,1500,53.73
2006-07-10,230.0,235.0,216.6,235.0,2400,53.06
2006-07-11,224.0,240.0,224.0,226.8,2000,51.2
2006-07-12,222.0,236.0,222.0,236.0,2000,53.28
2006-07-13,221.4,232.0,221.2,232.0,1400,52.38
2006-07-14,233.8,234.0,222.0,234.0,900,52.83
2006-07-17,220.4,227.8,212.8,227.6,4200,51.38
2006-07-18,220.0,224.0,220.0,224.0,400,50.57
2006-07-19,216.4,231.4,204.0,204.0,1000,46.06
2006-07-20,212.0,212.0,199.6,210.0,1900,47.41
2006-07-21,223.6,227.0,216.0,222.8,3600,50.3
2006-07-24,241.2,243.2,230.0,243.0,12800,54.86
2006-07-25,258.8,258.8,236.2,253.6,10000,57.25
2006-07-26,268.0,268.0,238.0,241.6,11700,54.55
2006-07-27,246.0,254.0,236.0,254.0,5300,57.35
2006-07-28,233.0,253.8,233.0,252.0,13300,56.89
2006-07-31,267.8,267.8,237.2,244.0,5500,55.09
2006-08-01,248.0,267.6,248.0,252.0,51700,56.89
2006-08-02,251.2,263.8,248.0,260.0,1300,58.7
2006-08-03,259.0,260.0,250.2,260.0,400,58.7
2006-08-04,257.2,257.2,229.8,249.4,6600,56.31
2006-08-07,252.0,252.0,232.2,245.4,7600,55.4
2006-08-08,242.8,248.4,232.2,248.4,1900,56.08
2006-08-09,242.0,242.0,229.4,234.2,9000,52.87
2006-08-10,244.0,244.0,235.0,244.0,2000,55.09
2006-08-11,240.4,247.0,232.6,236.4,2600,53.37
2006-08-14,234.6,249.4,234.0,244.4,1900,55.18
2006-08-16,265.6,265.6,246.0,246.0,3700,55.54
2006-08-17,246.4,255.4,234.4,255.4,5900,57.66
2006-08-18,238.8,251.0,238.6,250.0,800,56.44
2006-08-21,259.6,261.2,244.0,244.0,2600,55.09
2006-08-22,234.8,255.4,225.6,246.8,4300,55.72
2006-08-23,255.2,256.0,246.0,256.0,1000,57.8
2006-08-24,248.0,253.4,246.4,250.6,500,56.58
2006-08-25,234.8,249.8,228.0,246.0,49700,55.54
2006-08-28,233.2,243.4,225.4,241.8,5300,54.59
2006-08-29,240.0,254.8,240.0,248.0,1800,55.99
2006-08-30,237.2,246.8,228.4,243.4,11800,54.95
2006-08-31,248.0,248.0,235.0,241.4,5300,54.5
2006-09-01,230.2,240.0,230.2,240.0,1200,54.18
2006-09-04,244.0,246.0,238.2,240.0,2300,54.18
2006-09-05,241.2,241.2,238.4,240.0,1200,54.18
2006-09-06,236.0,243.2,234.0,241.8,2000,54.59
2006-09-07,240.0,243.6,233.6,234.8,2800,53.01
2006-09-08,247.0,247.0,237.0,239.6,7100,54.09
2006-09-11,236.4,241.4,235.4,237.2,1800,53.55
2006-09-12,232.6,239.0,232.0,239.0,1600,53.96
2006-09-13,236.0,241.8,234.6,240.0,4500,54.18
2006-09-14,237.0,241.0,232.4,232.4,2100,52.47
2006-09-15,225.2,239.2,221.6,238.0,5400,53.73
2006-09-18,238.4,239.4,236.0,239.4,1500,54.05
2006-09-19,242.0,242.0,235.4,235.4,1300,53.15
2006-09-20,236.0,239.6,232.0,238.0,2200,53.73
2006-09-21,243.6,286.8,243.6,286.8,23800,64.75
2006-09-22,316.0,344.0,302.0,324.6,117900,73.28
2006-09-25,327.4,331.6,284.0,294.6,29300,66.51
2006-09-26,300.0,301.6,288.2,299.8,14200,67.69
2006-09-27,292.0,308.0,292.0,296.4,5000,66.92
2006-09-28,292.0,304.0,280.4,304.0,9800,68.63
2006-09-29,300.0,307.8,296.4,301.2,3900,68.0
2006-10-03,292.0,307.2,292.0,296.0,2300,66.83
2006-10-04,298.8,300.4,291.8,291.8,4400,65.88
2006-10-05,299.8,300.0,289.2,292.0,4300,65.92
2006-10-06,290.0,300.0,290.0,300.0,17200,67.73
2006-10-09,303.6,327.4,299.2,327.4,21900,73.92
2006-10-10,328.0,356.0,326.0,326.0,12800,73.6
2006-10-11,332.6,332.6,326.0,326.2,4100,73.65
2006-10-12,332.0,348.0,328.0,332.0,10400,74.96
2006-10-13,336.0,346.0,332.2,344.0,17300,77.66
2006-10-16,347.4,354.0,343.4,344.0,16700,77.66
2006-10-17,334.0,346.0,334.0,344.0,3100,77.66
2006-10-18,344.0,347.4,340.0,344.0,10400,77.66
2006-10-19,352.0,360.0,346.0,346.0,8100,78.12
2006-10-20,352.0,381.2,352.0,360.6,42500,81.41
2006-10-23,351.0,352.2,340.8,344.8,14300,77.84
2006-10-26,344.0,348.8,344.0,344.0,6400,77.66
2006-10-27,344.4,355.6,344.4,348.0,3200,78.57
2006-10-30,344.0,363.4,333.8,357.4,11900,80.69
2006-10-31,344.0,356.0,344.0,353.6,4800,79.83
2006-11-01,348.0,360.0,344.0,356.4,6100,80.46
2006-11-02,363.6,374.2,363.6,371.8,20700,83.94
2006-11-03,372.4,387.2,372.0,387.2,13000,87.42
2006-11-06,392.0,406.2,390.0,406.2,23900,91.71
2006-11-07,425.8,425.8,388.0,399.6,16000,90.22
2006-11-08,404.0,408.0,392.0,392.0,21400,88.5
2006-11-09,399.0,400.0,392.6,392.6,700,88.64
2006-11-10,392.4,395.8,376.0,376.6,8600,85.02
2006-11-13,376.0,376.0,357.8,359.4,15700,81.14
2006-11-14,356.0,368.0,343.0,352.0,36700,79.47
2006-11-15,348.2,356.0,340.0,340.0,3000,76.76
2006-11-16,348.2,360.0,340.0,340.0,12800,76.76
2006-11-17,345.0,356.8,336.0,336.0,4000,75.86
2006-11-20,332.0,345.2,328.6,340.0,1600,76.76
2006-11-21,336.2,351.4,336.2,347.6,3300,78.48
2006-11-22,359.2,360.0,348.2,348.8,9500,78.75
2006-11-23,355.6,358.0,348.0,348.0,7800,78.57
2006-11-24,348.0,365.4,348.0,365.4,21300,82.5
2006-11-27,383.2,383.6,383.2,383.6,5200,86.6
2006-11-28,385.0,402.6,377.2,398.0,41500,89.86
2006-11-29,415.2,415.2,392.0,392.0,43400,88.5
2006-11-30,394.2,406.2,380.4,404.0,9600,91.21
2006-12-01,405.2,415.4,388.0,415.4,19600,93.78
2006-12-04,420.0,428.0,404.8,406.0,12700,91.66
2006-12-05,408.0,410.0,388.0,396.0,10300,89.4
2006-12-06,408.0,408.0,388.0,396.0,12600,89.4
2006-12-07,413.2,413.2,400.0,413.2,52500,93.29
2006-12-08,432.0,433.8,432.0,433.8,1400,97.94
2006-12-11,455.4,455.4,422.4,455.4,71900,102.81
2006-12-12,478.0,478.0,436.0,465.6,92600,105.12
2006-12-13,478.0,482.0,442.4,443.6,32500,100.15
2006-12-14,440.0,464.0,429.2,451.2,23500,101.87
2006-12-15,460.0,473.6,428.8,473.6,122400,106.92
2006-12-18,479.6,491.4,448.0,491.4,19200,110.94
2006-12-19,496.0,515.8,492.4,513.2,78300,115.86
2006-12-20,530.0,538.8,516.0,538.8,29800,121.64
2006-12-21,559.8,565.6,528.0,565.6,21700,127.69
2006-12-22,593.8,593.8,537.4,558.6,50900,126.11
2006-12-26,548.0,571.6,536.0,536.4,13300,121.1
2006-12-27,543.8,543.8,513.2,513.2,22700,115.86
2006-12-28,528.4,529.2,504.6,518.4,4500,117.04
2006-12-29,528.0,528.0,498.0,502.2,5600,113.38
2007-01-02,524.0,525.6,506.0,514.8,5500,116.23
2007-01-03,536.0,536.0,489.4,502.0,8700,113.34
2007-01-04,488.0,504.0,488.0,495.8,10500,111.94
2007-01-05,512.0,514.0,485.0,486.0,18400,109.72
2007-01-08,496.0,500.0,492.0,499.0,2700,112.66
2007-01-09,502.0,507.6,474.2,482.2,14500,108.87
2007-01-10,480.0,496.0,460.0,472.0,21800,106.56
2007-01-11,487.8,487.8,458.2,479.6,8100,108.28
2007-01-12,464.0,498.4,464.0,487.0,10800,109.95
2007-01-15,498.0,510.0,490.0,504.6,10500,113.92
2007-01-16,499.8,510.0,480.8,491.6,7100,110.99
2007-01-17,489.6,516.0,489.6,516.0,19100,116.5
2007-01-18,541.8,541.8,541.8,541.8,1700,122.32
2007-01-19,568.8,568.8,534.0,568.8,59600,128.42
2007-01-22,596.0,597.2,541.6,555.6,19900,125.44
2007-01-23,544.6,567.0,532.0,540.6,3300,122.05
2007-01-24,552.0,569.0,536.0,563.2,104600,127.15
2007-01-25,555.0,572.0,545.0,558.2,6200,126.02
2007-01-29,540.0,571.4,540.0,544.0,7000,122.82
2007-01-31,542.0,552.0,532.2,535.6,9500,120.92
2007-02-01,520.0,544.0,508.0,511.6,15200,115.5
2007-02-02,531.2,531.2,504.0,504.0,4400,113.79
2007-02-05,519.0,520.0,488.4,488.4,7700,110.27
2007-02-06,492.0,504.0,480.0,484.0,9200,109.27
2007-02-07,490.0,507.6,464.0,464.0,28200,104.76
2007-02-08,488.0,488.0,444.2,450.0,14500,101.6
2007-02-09,432.4,464.0,432.4,448.0,106600,101.14
2007-02-12,442.8,448.0,432.0,437.6,8700,98.8
2007-02-13,415.8,448.0,415.8,424.6,10100,95.86
2007-02-14,436.0,445.0,420.0,431.8,3400,97.49
2007-02-15,445.2,453.2,440.0,453.2,3300,102.32
2007-02-19,457.0,460.0,436.0,440.0,11200,99.34
2007-02-20,452.0,458.0,420.0,431.2,4000,97.35
2007-02-21,412.0,420.0,411.6,412.0,10600,93.02
2007-02-22,428.0,432.4,402.2,408.0,8000,92.11
2007-02-23,400.0,414.0,386.2,386.4,7400,87.24
2007-02-26,379.6,380.0,368.4,368.6,11800,83.22
2007-02-27,370.2,380.0,350.0,355.8,15300,80.33
2007-02-28,352.0,367.6,352.0,367.6,18100,82.99
2007-03-01,385.8,385.8,349.4,363.4,18900,82.04
2007-03-02,360.0,360.0,346.0,346.0,4400,78.12
2007-03-05,351.2,351.2,332.6,332.6,6800,75.09
2007-03-06,320.4,344.0,316.6,324.0,14300,73.15
2007-03-07,340.0,340.2,313.2,320.0,7600,72.25
2007-03-08,324.0,336.0,314.0,336.0,29200,75.86
2007-03-09,340.0,352.8,340.0,352.0,8100,79.47
2007-03-12,360.0,369.6,360.0,369.6,9400,83.44
2007-03-13,386.0,388.0,374.8,388.0,2000,87.6
2007-03-14,372.2,407.2,372.2,388.8,13400,87.78
2007-03-15,400.0,411.2,386.0,411.2,10400,92.84
2007-03-16,431.0,431.6,390.8,390.8,27700,88.23
2007-03-19,389.0,412.0,388.4,389.0,7700,87.82
2007-03-20,404.0,409.4,400.0,404.0,6800,91.21
2007-03-21,411.8,411.8,396.0,399.2,3200,90.13
2007-03-22,414.0,414.6,404.0,408.0,2300,92.11
2007-03-23,406.0,413.8,400.0,408.0,2900,92.11
2007-03-26,407.8,407.8,392.0,392.2,5100,88.55
2007-03-28,387.2,392.0,381.8,381.8,8000,86.2
2007-03-29,370.2,399.8,370.2,399.8,200,90.26
2007-03-30,408.0,411.6,394.8,404.0,6700,91.21
2007-04-02,392.0,395.8,384.0,386.2,3000,87.19
2007-04-03,373.4,394.2,368.6,392.8,3600,88.68
2007-04-04,388.4,401.6,388.4,401.6,2000,90.67
2007-04-05,407.8,411.2,394.2,406.0,2100,91.66
2007-04-09,396.2,403.2,396.2,396.6,400,89.54
2007-04-10,392.0,404.0,392.0,404.0,2600,91.21
2007-04-11,410.0,415.6,396.0,408.6,1800,92.25
2007-04-12,388.4,419.6,388.4,408.0,1500,92.11
2007-04-13,419.8,419.8,390.0,413.6,2100,93.38
2007-04-16,419.6,420.0,394.2,401.4,15700,90.62
2007-04-17,400.0,404.0,392.0,392.0,2500,88.5
2007-04-18,396.0,399.8,394.8,394.8,300,89.13
2007-04-19,380.2,400.0,380.0,398.4,2700,89.95
2007-04-20,392.0,400.0,389.0,397.8,800,89.81
2007-04-23,392.0,392.0,384.0,392.0,4500,88.5
2007-04-24,390.0,396.0,376.4,390.0,1900,88.05
2007-04-25,372.0,388.0,372.0,376.0,1600,84.89
2007-04-26,379.0,391.8,374.4,384.0,22400,86.7
2007-04-27,392.0,402.6,384.2,384.6,2500,86.83
2007-04-30,403.8,403.8,403.8,403.8,1700,91.17
2007-05-03,423.8,423.8,423.8,423.8,2100,95.68
2007-05-04,444.8,444.8,423.8,440.0,8500,99.34
2007-05-07,452.0,452.0,418.2,420.2,5400,94.87
2007-05-08,420.2,427.6,412.6,419.4,4100,94.69
2007-05-09,431.0,431.0,404.2,424.0,2300,95.73
2007-05-10,412.0,427.2,412.0,420.0,1700,94.82
2007-05-11,423.8,423.8,402.2,418.0,2100,94.37
2007-05-14,430.6,432.0,416.0,428.0,4900,96.63
2007-05-15,422.2,434.0,422.0,434.0,4300,97.98
2007-05-16,427.0,440.0,424.4,427.4,1400,96.49
2007-05-17,420.4,438.0,420.0,420.0,3200,94.82
2007-05-18,404.0,436.0,404.0,435.6,2600,98.34
2007-05-21,432.0,440.0,432.0,432.2,4100,97.58
2007-05-22,424.0,425.0,424.0,424.0,500,95.73
2007-05-23,424.0,428.0,416.6,428.0,700,96.63
2007-05-24,401.0,436.0,401.0,427.4,1600,96.49
2007-05-25,409.2,432.0,408.4,424.0,2700,95.73
2007-05-28,432.6,451.4,409.0,413.4,3700,93.33
2007-05-29,440.0,440.0,414.0,425.6,4200,96.09
2007-05-30,420.0,431.6,412.6,431.6,3700,97.44
2007-05-31,428.0,430.0,419.6,428.0,6500,96.63
2007-06-04,416.0,416.0,400.0,416.0,2100,93.92
2007-06-05,400.2,412.0,400.2,403.4,2400,91.07
2007-06-06,396.4,411.6,396.4,398.6,3100,89.99
2007-06-07,411.8,416.0,402.2,402.4,1600,90.85
2007-06-08,398.0,416.0,398.0,416.0,800,93.92
2007-06-11,400.2,412.0,400.0,401.0,3200,90.53
2007-06-12,400.0,412.0,380.4,406.0,8500,91.66
2007-06-13,406.0,408.0,392.0,392.0,800,88.5
2007-06-14,427.0,427.0,385.2,385.6,2400,87.06
2007-06-15,376.2,399.6,376.2,384.0,1400,86.7
2007-06-18,399.0,399.0,380.0,380.0,1000,85.79
2007-06-19,384.0,392.0,384.0,391.2,500,88.32
2007-06-20,399.4,399.4,382.4,391.2,1800,88.32
2007-06-21,380.4,395.8,380.4,390.0,5500,88.05
2007-06-22,392.0,396.0,388.0,392.0,2700,88.5
2007-06-25,400.0,400.0,379.0,379.0,1900,85.57
2007-06-26,397.6,397.6,379.6,382.2,3200,86.29
2007-06-27,395.6,396.0,381.0,391.0,1400,88.28
2007-06-28,391.2,391.6,389.6,389.6,100,87.96
2007-06-29,392.0,404.0,392.0,394.0,1500,88.95
2007-07-02,400.0,401.8,384.0,386.0,1300,87.15
2007-07-03,384.6,397.8,384.0,385.2,4300,86.97
2007-07-04,399.6,399.6,381.4,381.4,1000,86.11
2007-07-05,393.2,412.0,377.6,378.0,2400,85.34
2007-07-06,388.0,396.0,376.0,376.0,3200,84.89
2007-07-09,389.4,389.4,374.0,377.2,1900,85.16
2007-07-10,388.4,392.0,376.4,387.4,800,87.46
2007-07-11,380.2,387.8,378.0,381.6,1300,86.15
2007-07-12,391.8,457.8,391.8,457.8,15500,103.36
2007-07-13,496.0,540.0,476.0,522.8,115900,118.03
2007-07-16,536.0,548.8,490.4,503.8,11000,113.74
2007-07-17,492.0,507.6,467.2,469.0,5900,105.89
2007-07-18,480.0,499.8,444.2,448.0,20000,101.14
2007-07-19,452.8,480.0,440.0,448.6,14400,101.28
2007-07-20,444.6,452.0,435.0,441.0,29000,99.56
2007-07-23,452.0,460.0,440.4,451.8,1900,102.0
2007-07-24,432.2,496.0,432.0,445.6,8800,100.6
2007-07-25,430.2,444.0,428.2,429.4,9600,96.94
2007-07-26,443.4,464.8,440.4,443.6,28100,100.15
2007-07-27,432.2,448.0,420.0,432.2,3700,97.58
2007-07-30,424.2,439.6,408.2,431.8,6000,97.49
2007-07-31,437.0,448.0,432.0,438.2,3500,98.93
2007-08-01,420.2,423.8,412.0,412.0,1100,93.02
2007-08-02,408.0,414.0,408.0,414.0,1900,93.47
2007-08-03,408.6,431.8,396.0,400.0,2200,90.31
2007-08-06,393.0,423.8,393.0,405.4,1000,91.53
2007-08-07,408.4,467.2,406.0,430.0,18400,97.08
2007-08-08,441.6,446.8,428.4,434.4,9600,98.07
2007-08-09,426.2,454.8,420.0,431.2,4300,97.35
2007-08-10,421.0,436.0,406.0,436.0,2600,98.43
2007-08-13,448.0,452.0,422.0,428.2,1800,96.67
2007-08-14,431.6,432.0,420.0,420.0,1500,94.82
2007-08-16,420.0,423.6,408.0,411.6,2800,92.93
2007-08-17,400.4,412.0,386.4,394.6,3300,89.09
2007-08-20,394.6,432.8,360.0,408.0,3100,92.11
2007-08-21,409.0,409.0,380.0,380.0,3900,85.79
2007-08-22,391.8,392.0,380.6,390.0,1100,88.05
2007-08-23,415.0,415.0,360.2,371.4,54600,83.85
2007-08-24,382.8,395.2,354.4,379.6,1400,85.7
2007-08-27,380.0,394.0,369.2,386.0,3500,87.15
2007-08-28,391.8,396.0,384.0,391.6,1200,88.41
2007-08-29,388.0,423.4,387.2,419.0,7500,94.6
2007-08-30,420.0,461.0,412.6,448.4,12400,101.23
2007-08-31,468.0,472.8,440.6,455.0,15500,102.72
2007-09-03,493.6,493.6,444.0,451.2,3900,101.87
2007-09-04,436.6,454.0,436.6,446.0,3400,100.69
2007-09-05,448.0,479.6,440.0,453.8,8500,102.45
2007-09-06,464.0,519.4,448.0,474.8,41200,107.19
2007-09-07,484.8,486.0,440.0,450.4,7100,101.69
2007-09-10,446.0,465.8,446.0,455.8,6000,102.91
2007-09-11,459.8,471.2,440.6,449.8,3400,101.55
2007-09-12,450.0,455.6,436.0,438.4,12700,98.98
2007-09-13,451.8,453.0,443.2,443.2,700,100.06
2007-09-14,447.0,447.4,425.0,439.0,5200,99.11
2007-09-17,430.2,440.0,424.0,428.0,2300,96.63
2007-09-18,428.0,440.4,428.0,440.0,1000,99.34
