Date,Open,High,Low,Close,Volume,Adj Close
2011-03-03,80.0,95.0,67.6,67.7,934800,61.66
2011-03-04,68.45,69.7,64.35,68.4,574900,62.3
2011-03-07,65.0,67.25,65.0,66.1,33800,60.21
2011-03-08,65.0,66.75,63.0,66.25,19600,60.34
2011-03-09,65.0,69.55,65.0,69.5,33300,63.3
2011-03-10,68.9,68.9,66.05,66.8,16600,60.84
2011-03-11,67.0,67.25,64.5,65.15,36200,59.34
2011-03-14,65.0,67.2,64.2,66.8,9800,60.84
2011-03-15,66.5,69.9,63.5,63.65,21400,57.98
2011-03-16,63.55,66.8,63.55,66.8,19800,60.84
2011-03-17,69.0,76.1,68.0,70.45,110400,64.17
2011-03-18,71.5,71.7,65.7,66.75,27000,60.8
2011-03-21,66.0,66.0,63.15,64.45,84600,58.7
2011-03-22,65.0,65.5,64.45,64.85,139600,59.07
2011-03-23,65.5,68.85,64.55,66.95,67600,60.98
2011-03-24,66.35,67.85,65.0,66.2,11500,60.3
2011-03-25,66.2,67.0,64.0,64.2,36800,58.48
2011-03-28,65.95,66.6,63.0,65.05,27900,59.25
2011-03-29,65.0,67.75,64.0,67.25,31300,61.25
2011-03-30,67.9,70.6,67.9,69.65,17800,63.44
2011-03-31,70.0,70.45,67.5,70.0,12400,63.76
2011-04-01,70.0,73.0,69.0,69.1,656100,62.94
2011-04-04,71.0,77.45,70.35,76.5,65000,69.68
2011-04-05,80.0,80.0,73.7,75.35,9500,68.63
2011-04-06,73.55,77.0,72.7,74.3,7200,67.68
2011-04-07,73.6,74.95,73.5,74.2,12000,67.59
2011-04-08,74.0,76.0,73.5,74.9,13800,68.22
2011-04-11,73.75,77.7,73.0,73.4,7600,66.86
2011-04-13,70.1,74.7,70.1,73.9,35000,67.31
2011-04-15,73.5,74.75,71.9,72.2,107400,65.76
2011-04-18,72.2,72.85,69.0,70.0,5000,63.76
2011-04-19,68.1,72.0,68.1,71.7,779300,65.31
2011-04-20,72.65,73.75,71.0,72.05,5700,65.63
2011-04-21,75.0,75.0,72.0,73.9,16200,67.31
2011-04-25,74.5,76.55,73.05,75.5,16300,68.77
2011-04-26,74.5,77.0,74.5,76.5,11400,69.68
2011-04-27,74.55,76.85,74.55,75.0,4800,68.31
2011-04-28,73.6,76.8,73.6,74.3,2400,67.68
2011-04-29,73.5,74.45,73.5,74.45,6800,67.81
2011-05-02,74.05,74.9,73.1,74.0,6700,67.4
2011-05-03,71.8,74.0,71.8,73.9,6600,67.31
2011-05-04,68.1,79.9,68.1,74.5,3700,67.86
