Date,Open,High,Low,Close,Volume,Adj Close
2006-03-31,299.0,315.0,280.0,311.4,164900,274.26
2006-04-03,313.5,320.0,310.0,316.35,57800,278.62
2006-04-04,319.0,372.0,318.0,363.35,360300,320.01
2006-04-05,365.0,399.9,360.2,375.5,503700,330.71
2006-04-07,379.7,386.0,359.0,365.15,176400,321.6
2006-04-10,368.9,377.95,347.05,354.0,149700,311.78
2006-04-12,360.0,384.0,355.0,372.8,334900,328.33
2006-04-13,378.9,399.4,349.25,392.1,398500,345.33
2006-04-17,399.9,410.0,372.1,374.5,424500,329.83
2006-04-18,378.9,383.9,362.05,364.3,257500,320.85
2006-04-19,368.0,384.0,362.0,365.25,395300,321.68
2006-04-20,370.0,374.0,360.25,361.7,142600,318.56
2006-04-21,363.4,377.5,357.5,373.9,167600,329.3
2006-04-24,382.3,386.4,376.0,378.1,166800,333.0
2006-04-25,381.7,381.7,365.0,366.3,100900,322.61
2006-04-26,361.0,374.65,361.0,366.8,52900,323.05
2006-04-27,371.3,374.0,361.05,363.45,41000,320.1
2006-04-28,341.0,367.5,300.0,361.05,58700,317.99
2006-05-02,367.7,371.8,362.0,364.1,56100,320.67
2006-05-03,366.5,369.4,356.0,356.9,37200,314.33
2006-05-04,360.0,362.0,355.0,355.5,49300,313.1
2006-05-05,358.65,358.65,348.25,349.75,29000,308.03
2006-05-08,352.5,354.0,342.0,344.4,37200,303.32
2006-05-09,348.0,360.0,345.0,347.3,56200,305.88
2006-05-10,351.4,352.85,344.25,345.0,28500,303.85
2006-05-11,341.0,349.0,335.25,337.8,30700,297.51
2006-05-12,334.0,344.95,333.45,337.85,32400,297.55
2006-05-15,337.7,341.0,325.0,328.35,31200,289.19
2006-05-16,332.0,335.0,305.0,314.25,56800,276.77
2006-05-17,319.7,337.8,319.7,334.4,35000,294.51
2006-05-18,333.4,335.0,315.0,322.9,28000,284.39
2006-05-19,385.0,385.0,280.05,315.4,152100,277.78
2006-05-22,324.4,324.4,252.35,290.6,51300,255.94
2006-05-23,290.0,313.95,270.05,301.9,66600,265.89
2006-05-24,314.95,317.95,285.0,290.4,65200,255.76
2006-05-25,297.85,308.9,289.0,296.75,91800,261.36
2006-05-26,308.4,310.0,290.05,293.7,48100,258.67
2006-05-29,299.0,299.0,288.15,293.5,49300,258.49
2006-05-30,296.5,309.0,291.5,303.4,60700,267.21
2006-05-31,300.0,300.0,290.0,297.15,45700,261.71
2006-06-01,304.0,305.0,280.0,286.85,35600,252.64
2006-06-02,285.0,299.0,275.0,296.1,69700,260.78
2006-06-05,307.8,307.8,280.0,283.1,26800,249.33
2006-06-06,271.0,284.7,260.0,268.25,37300,236.25
2006-06-07,268.0,272.5,249.15,253.65,55800,223.4
2006-06-08,241.0,245.0,207.25,231.45,104100,203.84
2006-06-09,224.5,252.7,224.5,246.35,52500,216.97
2006-06-12,245.0,250.0,232.05,245.6,36500,216.31
2006-06-13,240.1,240.1,211.0,213.9,85200,188.39
2006-06-14,215.0,231.95,206.0,209.55,67500,184.56
2006-06-19,230.0,241.9,225.0,239.85,58500,211.24
2006-06-20,232.0,252.0,225.0,244.05,58400,214.94
2006-06-21,245.0,267.75,237.0,261.9,102200,230.66
2006-06-22,265.0,276.0,265.0,268.6,32100,236.56
2006-06-23,266.7,270.0,254.0,258.3,50000,227.49
2006-06-26,266.7,269.4,250.25,252.7,31400,222.56
2006-06-27,251.4,259.0,244.0,251.35,35100,221.37
2006-06-28,245.15,262.9,241.1,256.9,39900,226.26
2006-06-29,260.0,264.0,251.05,252.5,18700,222.38
2006-06-30,260.0,265.0,258.0,261.9,65900,230.66
2006-07-03,263.5,276.0,260.0,273.7,42800,241.05
2006-07-04,278.4,279.4,273.1,274.75,24300,241.98
2006-07-05,270.0,276.5,265.2,274.0,11900,241.32
2006-07-06,270.0,272.5,266.0,267.6,11600,238.64
2006-07-07,273.95,274.0,255.0,258.05,18000,230.13
2006-07-10,259.0,261.5,252.25,254.8,16000,227.23
2006-07-11,254.0,263.0,247.65,254.2,30200,226.69
2006-07-12,253.0,260.8,250.0,259.1,65500,231.06
2006-07-13,260.3,263.0,256.0,259.4,12700,231.33
2006-07-14,258.0,258.0,250.15,254.1,24900,226.6
2006-07-17,256.0,259.75,253.0,254.4,39100,226.87
2006-07-18,253.75,258.0,245.0,250.2,15400,223.13
2006-07-19,252.05,256.0,232.2,234.55,28400,209.17
2006-07-20,239.0,252.0,239.0,245.25,123400,218.71
2006-07-21,246.0,246.9,239.0,242.45,29900,216.21
2006-07-24,240.0,243.0,232.5,235.6,28500,210.11
2006-07-25,239.0,246.0,239.0,240.55,52700,214.52
2006-07-26,241.0,260.0,240.6,249.85,49400,222.81
2006-07-27,250.1,255.4,250.1,254.35,18300,226.83
2006-07-28,257.0,272.0,253.5,270.15,83400,240.92
2006-07-31,274.4,278.0,265.05,268.7,49700,239.62
2006-08-01,270.35,270.35,261.15,263.85,17200,235.3
2006-08-02,265.0,271.0,262.0,268.3,17700,239.27
