Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,704.9914,736.4365,696.6431,730.8248,24677900,41.2905
2000-01-04,735.6032,780.1282,732.8198,776.4182,60039000,43.8664
2000-01-05,748.8215,768.9966,733.7465,745.6215,19045100,42.1265
2000-01-06,755.0832,767.0482,744.8782,751.1398,22099600,42.4382
2000-01-07,768.0699,768.0699,723.5431,725.5381,25112700,40.9918
2000-01-10,765.2865,783.5599,765.2865,783.5599,29627800,44.2699
2000-01-11,820.9433,825.4884,753.3199,779.1999,45537700,44.0236
2000-01-12,760.6482,779.1999,760.6482,777.9016,5212200,43.9502
2000-01-13,774.5633,788.4766,760.6482,764.5916,15304400,43.1982
2000-01-14,751.6032,765.2865,732.8665,746.7349,15453500,42.1894
2000-01-17,746.7349,769.9249,746.7349,756.0099,7589300,42.7134
2000-01-18,753.2282,758.6999,723.5431,725.3981,10521500,40.9839
2000-01-19,738.3848,741.8632,728.1815,734.6748,8311600,41.508
2000-01-20,737.4581,737.4581,716.1231,716.8181,6333400,40.4991
2000-01-21,716.8648,732.8198,696.6431,732.8198,15996100,41.4032
2000-01-24,742.0965,742.0965,707.8664,712.4114,7867800,40.2501
2000-01-25,714.2664,714.2664,700.3531,702.7647,7876800,39.7051
2000-01-26,1262.6693,1262.6693,1262.6693,1262.6693,0,71.3389
2000-01-27,697.6631,708.6081,684.5831,692.9314,4100100,39.1496
2000-01-28,686.3464,695.7148,677.163,686.438,10729900,38.7827
2000-01-31,686.438,698.9614,661.4863,667.793,7237100,37.7293
2000-02-01,664.1763,677.163,658.6096,672.0147,3649100,37.9678
2000-02-02,679.9447,679.9447,669.7413,672.0614,3049000,37.9704
2000-02-03,1207.5024,1207.5024,1207.5024,1207.5024,0,68.222
2000-02-04,661.8563,680.5481,641.913,680.5481,19426100,38.4499
2000-02-07,691.0764,693.8597,663.248,665.103,11197100,37.5773
2000-02-08,667.8864,676.2347,651.2813,653.9713,5485300,36.9484
2000-02-09,666.0313,706.2431,649.333,706.2431,21551600,39.9016
2000-02-10,739.3132,762.6882,732.8198,762.6882,48644300,43.0907
2000-02-11,823.68,823.68,823.68,823.68,32867300,46.5366
2000-02-14,889.5401,889.5401,853.41,889.5401,96316500,50.2576
2000-02-15,909.0668,950.8103,858.0484,937.3602,84181500,52.9594
2000-02-16,960.6903,987.6836,883.0935,890.5152,55908400,50.3127
2000-02-17,907.2118,909.0668,845.0617,877.5284,55931700,49.579
2000-02-18,884.9501,903.5018,807.3533,807.3533,65768800,45.6142
2000-02-21,817.2333,826.695,756.0099,793.1149,25863700,44.8098
2000-02-22,788.4766,804.2466,761.5765,767.9765,14990000,43.3895
2000-02-23,774.5633,783.7933,747.0115,756.6599,11157600,42.7501
2000-02-24,753.2282,778.7365,746.7349,765.2865,15302600,43.2375
2000-02-25,765.2865,771.7799,718.9981,724.9348,20737700,40.9577
2000-02-28,750.4448,782.9116,742.1415,782.8649,8863200,44.2307
2000-02-29,781.9832,802.2983,752.2999,757.8649,20707100,42.8182
2000-03-01,769.9249,778.2732,753.2282,777.3449,6444800,43.9188
2000-03-02,783.8383,788.4766,742.0965,742.3748,12334400,41.943
2000-03-03,742.0965,742.0965,697.5697,704.9914,16538700,39.8309
2000-03-06,725.3981,761.3432,719.8331,736.1131,11369600,41.5893
2000-03-07,724.4715,746.7349,696.6431,715.4264,8521800,40.4205
2000-03-08,687.4597,720.6682,681.8014,696.5031,6604700,39.3513
2000-03-09,685.5114,695.7148,665.103,676.003,6186000,38.1931
2000-03-10,664.268,677.163,636.348,642.0979,15926000,36.2775
2000-03-13,1153.669,1153.669,1153.669,1153.669,0,65.1805
2000-03-14,668.813,719.8331,664.1763,707.7748,9691400,39.9882
2000-03-15,707.7748,751.3715,704.9914,740.4265,11854700,41.8329
2000-03-16,737.4581,745.8065,695.7148,718.8598,15115700,40.6145
2000-03-17,1291.586,1291.586,1291.586,1291.586,0,72.9726
2000-03-20,1291.586,1291.586,1291.586,1291.586,0,72.9726
2000-03-21,751.3715,751.3715,714.2664,723.5431,2572800,40.8791
2000-03-22,715.1947,727.1148,707.7748,712.8764,3376000,40.2764
2000-03-23,721.6881,721.6881,686.438,695.7148,4775600,39.3068
2000-03-24,684.5831,695.7148,672.5247,686.9031,4076700,38.809
2000-03-27,723.5431,723.5431,672.5247,682.3114,4991200,38.5495
2000-03-28,686.438,686.438,667.8864,681.8014,3056200,38.5207
2000-03-29,664.1763,710.5564,664.1763,708.7014,11736100,40.0405
