Date,Open,High,Low,Close,Volume,Adj Close
2000-11-08,8.0,8.0,8.0,8.0,2600,5.54
2000-11-09,8.0,8.0,8.0,8.0,3900,5.54
2000-11-10,8.0,8.0,8.0,8.0,2400,5.54
2000-11-13,7.5,8.0,7.5,8.0,2100,5.54
2000-11-14,7.35,8.0,7.35,8.0,3700,5.54
2000-11-15,7.5,8.0,7.4,8.0,2900,5.54
2000-11-16,7.95,8.2,7.95,8.0,3000,5.54
2000-11-17,7.25,8.0,7.25,8.0,3800,5.54
2000-11-20,8.0,8.0,7.5,7.5,2100,5.19
2000-11-21,8.0,8.05,8.0,8.0,3100,5.54
2000-11-22,8.0,8.0,8.0,8.0,2500,5.54
2000-11-23,8.0,8.0,8.0,8.0,1300,5.54
2000-11-24,8.0,8.0,8.0,8.0,1100,5.54
2000-11-27,8.0,8.0,8.0,8.0,900,5.54
2000-11-28,8.0,8.05,8.0,8.0,800,5.54
2000-11-29,8.0,8.0,8.0,8.0,4900,5.54
2000-11-30,8.0,8.0,8.0,8.0,1000,5.54
2000-12-01,7.05,8.3,7.05,8.0,6300,5.54
2000-12-04,7.05,7.5,7.05,7.05,1000,4.88
2000-12-05,7.05,7.05,7.05,7.05,300,4.88
2000-12-06,6.25,6.95,5.45,6.95,300,4.81
2000-12-08,6.0,6.05,6.0,6.05,200,4.19
2002-01-01,4.15,4.2,4.15,4.2,500,2.91
2002-01-03,4.25,4.25,4.25,4.25,500,2.94
2002-01-10,4.1,4.1,4.1,4.1,200,2.84
2002-01-11,3.95,3.95,3.95,3.95,100,2.73
2002-01-14,3.8,3.8,3.8,3.8,100,2.63
2002-01-15,3.95,3.95,3.95,3.95,200,2.73
2002-01-16,3.8,3.8,3.8,3.8,200,2.63
2002-01-17,3.65,3.65,3.65,3.65,100,2.53
2002-01-18,3.55,3.55,3.55,3.55,100,2.46
2002-01-22,3.45,3.45,3.45,3.45,100,2.39
2002-01-23,3.35,3.5,3.35,3.5,100,2.42
2002-01-24,3.5,3.5,3.5,3.5,500,2.42
2002-01-28,3.5,3.5,3.5,3.5,100,2.42
2002-01-29,3.5,3.5,3.5,3.5,300,2.42
2002-01-30,3.6,3.6,3.6,3.6,100,2.49
2002-01-31,3.7,3.7,3.7,3.7,300,2.56
2002-02-01,3.8,3.8,3.75,3.75,200,2.6
