Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,203.0,203.4,199.5,203.1,18300,77.815
2000-01-04,215.0,219.2,210.0,219.2,65400,83.984
2000-01-05,219.8,236.7,210.0,236.4,32500,90.574
2000-01-06,250.0,255.2,247.5,255.2,66100,97.777
2000-01-07,275.5,275.5,242.0,255.6,40200,97.93
2000-01-10,269.0,275.1,236.1,274.4,33700,105.133
2000-01-11,296.0,296.0,254.0,255.0,17900,97.7
2000-01-12,259.8,260.0,234.7,239.8,7300,91.876
2000-01-13,222.0,240.0,220.7,220.7,1600,84.558
2000-01-14,216.0,216.0,203.1,203.1,13300,77.815
2000-01-17,187.0,219.0,187.0,203.7,6900,78.045
2000-01-18,216.0,218.0,194.0,216.7,23700,83.026
2000-01-19,214.0,228.0,211.2,214.1,8900,82.03
2000-01-20,228.0,229.0,197.0,200.6,5400,76.857
2000-01-21,213.8,213.8,193.0,209.1,29500,80.114
2000-01-24,202.0,209.0,193.0,198.0,19400,75.861
2000-01-25,199.9,199.9,186.6,193.0,2400,73.945
2000-01-26,193.0,193.0,193.0,193.0,0,73.945
2000-01-27,199.8,199.8,180.0,180.0,9200,68.965
2000-01-28,186.0,186.0,166.0,171.7,5000,65.785
2000-01-31,180.0,183.5,177.0,177.3,7800,67.93
2000-02-01,179.1,181.0,176.1,181.0,2000,69.348
2000-02-02,185.0,185.0,174.0,174.0,10000,66.666
2000-02-03,174.0,174.0,174.0,174.0,0,66.666
2000-02-04,174.8,194.3,173.0,188.3,18600,72.145
2000-02-07,200.0,203.0,196.0,200.0,11600,76.627
2000-02-08,192.0,200.0,188.1,190.0,5300,72.796
2000-02-09,190.0,190.0,177.1,177.1,2200,67.854
2000-02-10,166.0,170.0,164.4,166.6,4100,63.831
2000-02-11,174.8,179.8,164.0,178.0,23200,68.198
2000-02-14,188.0,192.0,180.0,181.5,7800,69.539
2000-02-15,188.0,188.0,175.0,175.0,2200,67.049
2000-02-16,176.1,176.1,175.0,175.5,1300,67.241
2000-02-17,176.0,180.0,172.0,172.0,1000,65.9
2000-02-18,185.7,185.7,160.0,179.4,2500,68.735
2000-02-21,192.0,192.0,166.0,191.9,19400,73.524
2000-02-22,199.0,207.2,184.0,207.2,16900,79.386
2000-02-23,223.6,223.6,212.0,220.5,24700,84.482
2000-02-24,236.0,238.1,210.0,225.4,35400,86.359
2000-02-25,223.0,230.0,207.4,207.6,35100,79.539
