Date,Open,High,Low,Close,Volume,Adj Close
2002-01-28,2.8,2.96,2.8,2.81,1588100,0.328
2002-01-29,2.835,2.93,2.8,2.83,825100,0.3303
2002-01-30,2.7,2.855,2.7,2.785,845200,0.3251
2002-01-31,2.855,3.05,2.815,2.985,1064600,0.3484
2002-02-01,3.2,3.325,3.04,3.15,2504500,0.3677
2002-02-04,3.25,3.35,3.125,3.17,1081200,0.37
2002-02-05,3.15,3.74,3.11,3.675,3570400,0.4289
2002-02-06,3.79,4.0,3.55,3.88,2566100,0.4529
2002-02-07,4.0,4.25,3.635,3.705,2656800,0.4324
2002-02-08,3.73,3.9,3.61,3.765,1278000,0.4394
2002-02-11,3.98,4.275,3.9,4.07,1930100,0.475
2002-02-12,4.19,4.2,3.955,4.0,1210200,0.4669
2002-02-13,4.19,4.19,3.925,3.94,1131400,0.4599
2002-02-14,4.075,4.075,3.76,3.815,1192200,0.4453
2002-02-15,3.73,3.8,3.31,3.485,1527000,0.4068
2002-02-18,3.6,4.07,3.6,3.645,2041400,0.4254
2002-02-19,3.7,3.82,3.325,3.375,1009400,0.3939
2002-02-20,3.35,3.6,3.3,3.385,842200,0.3951
2002-02-21,3.55,3.55,3.4,3.45,987800,0.4027
2002-02-22,3.74,3.74,3.425,3.51,811600,0.4097
2002-02-25,3.5,3.58,3.41,3.44,1046600,0.4015
2002-02-26,3.55,3.65,3.425,3.485,937600,0.4068
2002-02-27,3.55,3.645,3.4,3.425,781100,0.3998
2002-02-28,3.54,3.54,2.955,3.005,1114500,0.3507
2002-03-01,3.0,3.145,2.75,2.95,221600,0.3443
2002-03-04,3.055,3.315,3.055,3.145,1324000,0.3671
2002-03-05,3.19,3.3,3.005,3.2,1922800,0.3735
2002-03-06,3.125,3.19,3.005,3.01,1027000,0.3513
2002-03-07,3.09,3.09,3.005,3.05,706000,0.356
2002-03-08,3.03,3.045,2.93,2.955,633200,0.3449
2002-03-11,2.99,2.995,2.855,2.9,675000,0.3385
2002-03-12,2.855,2.935,2.77,2.815,889300,0.3286
2002-03-13,2.85,2.95,2.8,2.885,1977200,0.3367
2002-03-14,2.96,2.96,2.775,2.805,910300,0.3274
2002-03-15,2.84,2.95,2.75,2.79,705600,0.3256
2002-03-18,2.9,3.27,2.88,3.125,2534300,0.3647
2002-03-19,3.28,3.28,2.9,2.91,1271100,0.3397
2002-03-20,2.925,2.97,2.79,2.835,965600,0.3309
2002-03-21,2.95,3.09,2.89,2.915,616700,0.3402
2002-03-22,2.98,2.98,2.755,2.8,709500,0.3268
2002-03-26,3.03,3.03,2.705,2.75,712400,0.321
2002-03-27,2.775,2.845,2.775,2.805,742200,0.3274
2002-04-01,2.87,2.9,2.74,2.755,391400,0.3216
2002-04-02,2.75,2.79,2.675,2.72,276100,0.3175
2002-04-03,2.75,2.8,2.59,2.605,185500,0.3041
2002-04-04,2.575,2.675,2.55,2.595,180900,0.3029
2002-04-05,2.745,2.745,2.57,2.615,331800,0.3052
2002-04-08,2.55,2.665,2.505,2.535,310700,0.2959
2002-04-09,2.55,2.55,2.44,2.475,160200,0.2889
2002-04-10,2.51,2.645,2.475,2.6,979800,0.3035
2002-04-11,2.63,2.75,2.58,2.595,602600,0.3029
2002-04-12,2.51,2.6,2.51,2.535,367900,0.2959
2002-04-15,2.555,2.6,2.415,2.445,596700,0.2854
2002-04-16,2.5,2.5,2.35,2.4,454500,0.2801
2002-04-17,2.525,2.815,2.45,2.475,757000,0.2889
2002-04-18,2.595,2.68,2.425,2.47,331700,0.2883
2002-04-19,2.5,2.5,2.35,2.395,508500,0.2795
2002-04-22,2.365,2.42,2.34,2.365,161300,0.276
2002-04-23,2.4,2.49,2.35,2.375,256100,0.2772
2002-04-24,2.45,2.455,2.355,2.4,215000,0.2801
2002-04-25,2.41,2.41,2.29,2.315,341000,0.2702
2002-04-26,2.35,2.35,2.15,2.3,569900,0.2685
2002-04-29,2.24,2.24,2.17,2.18,195700,0.2544
2002-04-30,2.22,2.295,2.17,2.19,186900,0.2556
2002-05-02,2.225,2.285,2.185,2.235,419200,0.2609
2002-05-03,2.29,2.29,2.2,2.235,554300,0.2609
2002-05-06,2.275,2.45,2.275,2.4,552600,0.2801
2002-05-07,2.4,2.8,2.33,2.695,1708900,0.3146
2002-05-08,2.74,2.795,2.5,2.635,1225000,0.3076
2002-05-09,2.725,2.725,2.5,2.52,1161900,0.2941
2002-05-10,2.44,2.5,2.39,2.44,549400,0.2848
2002-05-13,2.505,2.555,2.43,2.455,521000,0.2865
2002-05-14,2.54,2.54,2.385,2.395,264400,0.2795
2002-05-15,2.4,2.45,2.225,2.26,556000,0.2638
2002-05-16,2.26,2.3,2.25,2.265,292700,0.2644
2002-05-17,2.215,2.24,2.105,2.115,485600,0.2469
2002-05-20,2.1,2.15,1.98,2.015,271000,0.2352
2002-05-21,1.9,1.98,1.77,1.785,530900,0.2083
2002-05-22,1.8,2.14,1.8,1.9,500800,0.2218
2002-05-23,1.97,1.97,1.805,1.89,534800,0.2206
2002-05-24,2.08,2.135,1.965,2.11,576100,0.2463
2002-05-27,2.14,2.425,2.01,2.31,862700,0.2696
2002-05-28,2.2,2.3,2.1,2.145,723600,0.2504
2002-05-29,2.05,2.25,2.05,2.17,320500,0.2533
2002-05-30,2.245,2.295,2.105,2.105,486500,0.2457
2002-05-31,2.14,2.14,2.05,2.1,161900,0.2451
2002-06-03,2.16,2.225,2.155,2.19,277500,0.2556
2002-06-04,2.24,2.525,2.195,2.44,1624600,0.2848
2002-06-05,2.5,2.925,2.5,2.86,4421400,0.3338
2002-06-06,3.0,3.04,2.825,2.865,3691500,0.3344
2002-06-07,2.755,2.85,2.5,2.515,1228800,0.2935
2002-06-10,2.675,2.7,2.6,2.62,705000,0.3058
2002-06-11,2.705,2.85,2.675,2.76,1340200,0.3221
2002-06-12,2.555,2.9,2.555,2.83,1509000,0.3303
2002-06-13,2.825,2.89,2.69,2.695,877200,0.3146
2002-06-14,2.7,2.7,2.615,2.635,1156900,0.3076
2002-06-17,2.79,2.79,2.66,2.685,572500,0.3134
2002-06-18,2.79,3.05,2.525,2.825,3126500,0.3297
2002-06-19,2.875,2.985,2.71,2.745,911200,0.3204
2002-06-20,2.77,2.875,2.76,2.855,882100,0.3332
2002-06-21,2.85,2.92,2.805,2.895,928000,0.3379
2002-06-24,2.97,3.2,2.925,2.97,1170300,0.3467
2002-06-25,3.02,3.05,2.95,3.005,806600,0.3507
2002-06-26,2.925,3.045,2.815,2.885,974500,0.3367
2002-07-01,1.4925,1.555,1.4625,1.5325,1545600,0.1789
2002-07-02,1.535,1.54,1.475,1.5125,848800,0.1765
2002-07-03,1.5,1.5475,1.475,1.5075,2086800,0.176
2002-07-04,1.5,1.535,1.435,1.4525,1786600,0.1695
2002-07-05,1.4125,1.4975,1.4125,1.43,908800,0.1669
2002-07-08,1.55,1.55,1.4375,1.4525,748600,0.1695
2002-07-09,1.4875,1.4925,1.4375,1.44,1247700,0.1681
2002-07-10,1.4625,1.4625,1.39,1.4125,522300,0.1649
2002-07-11,1.4,1.415,1.35,1.3675,792100,0.1596
2002-07-12,1.3975,1.4125,1.3525,1.3975,801900,0.1631
2002-07-15,1.36,1.425,1.3125,1.32,1341400,0.1541
2002-07-16,1.29,1.3375,1.2875,1.3,184100,0.1517
2002-07-17,1.3875,1.39,1.225,1.28,608100,0.1494
2002-07-18,1.2875,1.35,1.2875,1.33,724900,0.1552
2002-07-19,1.2875,1.325,1.2675,1.27,679700,0.1482
2002-07-22,1.2925,1.2925,1.175,1.2025,417900,0.1404
2002-07-23,1.2025,1.27,1.2025,1.26,288200,0.1471
2002-07-24,1.2625,1.2625,1.2125,1.24,253400,0.1447
2002-07-25,1.275,1.3025,1.2425,1.25,316300,0.1459
2002-07-26,1.245,1.25,1.15,1.1575,383900,0.1351
2002-07-29,1.0775,1.14,1.06,1.1125,278900,0.1299
2002-07-30,1.1425,1.195,1.05,1.065,558900,0.1243
2002-07-31,1.05,1.0525,1.0125,1.0275,439500,0.1199
2002-08-01,1.055,1.135,1.05,1.1,605700,0.1284
2002-08-02,1.07,1.125,1.05,1.095,973200,0.1278
2002-08-05,1.15,1.1525,1.1125,1.1375,655200,0.1328
2002-08-06,1.1575,1.1575,1.05,1.11,601700,0.1296
2002-08-07,1.1425,1.185,1.125,1.1425,752300,0.1334
2002-08-08,1.14,1.15,1.025,1.0725,829300,0.1252
2002-08-09,1.0925,1.11,1.01,1.1025,823100,0.1287
2002-08-12,2.25,2.325,2.16,2.305,559400,0.269
2002-08-13,2.35,2.475,2.325,2.325,848200,0.2714
2002-08-14,2.3,2.325,2.275,2.31,425500,0.2696
2002-08-16,2.35,2.375,2.2,2.28,773500,0.2661
2002-08-19,2.26,2.3,2.24,2.255,370200,0.2632
2002-08-20,2.26,2.285,2.175,2.26,634300,0.2638
2002-08-21,2.27,2.27,2.19,2.225,665200,0.2597
2002-08-22,2.26,2.3,2.15,2.195,291000,0.2562
2002-08-23,2.225,2.245,2.125,2.175,439300,0.2539
2002-08-26,2.225,2.23,2.125,2.16,380900,0.2521
2002-08-27,2.21,2.21,2.085,2.1,396400,0.2451
2002-08-28,2.135,2.135,2.035,2.07,193200,0.2416
2002-08-29,2.1,2.115,2.055,2.095,319000,0.2445
2002-08-30,2.105,2.12,2.08,2.1,546300,0.2451
2002-09-02,2.185,2.33,2.155,2.245,769000,0.262
2002-09-03,2.25,2.3,2.18,2.18,401200,0.2544
2002-09-04,2.15,2.245,2.15,2.225,420000,0.2597
2002-09-05,2.125,2.24,2.125,2.165,569300,0.2527
2002-09-06,2.225,2.225,2.025,2.04,564500,0.2381
