Date,Open,High,Low,Close,Volume,Adj Close
2008-03-13,821.5,989.0,707.0,734.5,19084700,62.23
2008-03-14,739.0,745.0,661.5,690.5,5293000,58.5
2008-03-17,660.0,778.0,602.0,712.0,13040200,60.32
2008-03-18,739.5,764.0,700.0,709.0,2505700,60.07
2008-03-19,740.0,743.0,665.0,682.0,918400,57.78
2008-03-24,700.0,700.0,579.0,608.5,881100,51.55
2008-03-25,630.0,650.0,590.5,635.0,751900,53.8
2008-03-26,640.0,663.0,610.0,634.5,538200,53.75
2008-03-27,630.0,639.0,618.0,625.5,219400,52.99
2008-03-28,625.0,682.5,625.0,667.0,880500,56.51
2008-03-31,630.0,672.0,610.0,640.0,197900,54.22
2008-04-01,658.0,662.0,635.0,648.0,99000,54.9
2008-04-02,675.0,690.0,621.0,634.0,90300,53.71
2008-04-03,648.0,660.0,627.0,640.0,90100,54.22
2008-04-04,633.5,739.0,633.5,700.5,3261500,59.35
2008-04-07,710.0,719.5,655.5,675.5,768600,57.23
2008-04-08,690.0,717.0,666.0,678.5,503600,57.48
2008-04-09,677.0,711.5,677.0,687.0,405300,58.2
2008-04-10,698.0,704.0,675.0,680.0,192400,57.61
2008-04-11,680.0,698.0,665.0,669.5,106200,56.72
2008-04-15,670.0,684.5,651.0,672.5,92500,56.97
2008-04-16,680.0,715.0,680.0,688.0,220800,58.29
2008-04-17,691.0,713.5,685.5,695.0,262200,58.88
2008-04-21,700.0,718.0,691.0,698.0,125300,59.13
2008-04-22,700.0,757.0,690.0,728.5,859500,61.72
2008-04-23,731.0,739.0,705.0,709.0,116300,60.07
2008-04-24,714.0,754.5,714.0,720.5,436800,61.04
2008-04-25,745.0,764.0,725.5,733.5,319600,62.14
2008-04-28,744.0,748.0,720.0,725.0,79000,61.42
2008-04-29,716.0,735.0,716.0,721.0,50300,61.08
2008-04-30,740.0,747.0,715.0,726.5,115400,61.55
2008-05-02,739.5,739.5,715.5,718.0,78200,60.83
2008-05-05,716.0,733.5,710.0,713.5,54900,60.45
2008-05-06,710.0,720.0,692.5,697.5,60400,59.09
2008-05-07,690.5,702.5,685.0,688.0,35600,58.29
2008-05-08,680.0,687.5,674.0,677.0,22100,57.35
2008-05-09,670.0,691.0,650.5,650.5,45500,55.11
2008-05-12,657.5,664.5,641.0,651.0,32000,55.15
2008-05-13,654.0,675.0,654.0,660.0,39900,55.91
2008-05-14,652.0,669.0,652.0,669.0,17300,56.68
2008-05-15,671.5,679.0,662.5,671.5,28600,56.89
2008-05-16,678.0,687.0,672.0,677.5,49600,57.4
2008-05-20,665.5,707.5,665.5,691.0,114600,58.54
2008-05-21,705.0,729.0,690.0,713.0,140100,60.4
2008-05-22,700.5,719.5,695.0,699.0,48100,59.22
2008-05-23,709.0,709.0,670.0,673.5,40400,57.06
2008-05-26,665.5,679.0,660.0,670.0,28700,56.76
2008-05-27,685.0,685.0,650.0,653.0,32200,55.32
2008-05-28,656.0,665.0,650.0,656.0,25400,55.58
2008-05-29,651.0,668.0,642.0,653.5,21900,55.36
2008-05-30,657.5,673.5,645.5,647.5,31900,54.86
2008-06-02,641.5,660.0,636.0,640.0,18000,54.22
2008-06-03,631.0,631.0,612.5,621.5,19800,52.65
2008-06-04,615.0,628.5,615.0,618.0,13900,52.36
2008-06-05,618.0,618.0,599.0,611.5,17800,51.81
2008-06-06,621.0,625.0,605.0,617.5,12500,52.31
2008-06-09,580.5,594.0,555.0,586.5,17800,49.69
2008-06-10,580.5,600.0,580.5,598.0,13900,50.66
2008-06-11,600.0,613.0,600.0,601.5,8700,50.96
2008-06-12,600.0,645.0,590.0,612.5,14400,51.89
2008-06-13,624.0,630.0,615.0,618.5,13300,52.4
2008-06-16,629.0,660.0,613.5,615.0,9000,52.1
2008-06-17,620.0,630.0,607.0,612.0,9700,51.85
2008-06-18,620.0,628.0,611.0,616.0,15100,52.19
2008-06-19,502.5,618.5,502.5,610.0,5000,51.68
2008-06-20,605.5,606.5,575.0,590.0,23600,49.98
2008-06-23,591.5,591.5,570.0,572.0,12300,48.46
2008-06-24,590.5,600.0,560.0,575.0,7500,48.71
2008-06-25,560.0,572.5,555.0,572.5,7400,48.5
2008-06-26,570.0,590.0,560.0,580.0,13200,49.14
2008-06-27,557.5,590.0,557.5,560.0,10300,47.44
2008-06-30,555.5,560.0,537.5,541.5,12700,45.88
2008-07-01,559.0,559.0,525.0,531.5,12500,45.03
2008-07-02,530.0,555.0,510.5,550.0,12500,46.6
2008-07-03,522.5,560.0,515.0,538.0,9900,45.58
2008-07-04,528.5,529.5,511.0,529.5,6700,47.04
2008-07-07,540.0,540.0,527.5,536.0,5600,47.62
2008-07-08,481.0,561.5,481.0,534.5,3100,47.49
2008-07-09,548.5,549.5,530.0,532.0,15000,47.27
2008-07-10,529.0,574.0,529.0,541.0,13800,48.07
2008-07-11,535.5,575.0,533.0,533.0,9800,47.36
2008-07-14,637.5,637.5,515.0,526.0,11900,46.73
2008-07-15,530.0,547.5,511.0,528.0,11300,46.91
2008-07-16,540.0,620.0,540.0,542.5,43400,48.2
2008-07-17,570.0,596.5,551.0,551.0,18000,48.95
2008-07-18,545.0,577.5,545.0,559.5,16500,49.71
2008-07-21,540.0,577.5,539.5,542.0,9800,48.16
2008-07-22,575.0,575.0,548.5,567.0,8200,50.38
2008-07-23,587.5,590.0,560.0,568.5,19800,50.51
2008-07-24,572.0,590.5,572.0,574.0,15100,51.0
2008-07-25,589.5,589.5,560.0,573.0,7600,50.91
2008-07-28,560.5,579.5,555.5,563.5,10000,50.07
2008-07-29,570.0,585.0,561.0,564.5,9700,50.15
2008-07-30,565.5,577.0,563.0,564.0,4400,50.11
2008-07-31,575.0,575.0,560.0,563.0,3900,50.02
2008-08-01,569.5,569.5,548.0,554.0,11800,49.22
2008-08-04,559.0,567.5,552.0,565.0,9500,50.2
2008-08-05,557.0,609.5,556.5,578.0,60000,51.35
2008-08-06,589.0,597.0,575.0,575.0,18900,51.09
2008-08-07,575.0,589.0,571.0,575.0,3900,51.09
2008-08-08,578.5,578.5,570.0,571.0,2400,50.73
2008-08-11,587.0,587.0,573.5,576.5,3900,51.22
2008-08-12,582.0,582.5,572.5,579.0,6000,51.44
2008-08-13,576.0,576.0,570.0,570.0,4400,50.64
2008-08-14,570.5,572.5,560.0,566.0,7200,50.29
2008-08-18,561.0,571.0,558.0,560.0,3500,49.75
2008-08-19,569.0,569.5,556.0,556.0,2000,49.4
2008-08-20,560.5,565.0,559.0,561.5,2100,49.89
2008-08-21,557.0,559.0,541.5,558.0,3200,49.58
2008-08-22,560.0,562.0,550.0,550.5,2000,48.91
2008-08-25,560.5,560.5,550.5,550.5,4400,48.91
2008-08-26,550.0,590.0,546.0,573.0,18800,50.91
2008-08-27,575.5,628.5,575.5,622.0,239000,55.26
2008-08-28,629.5,637.0,561.0,568.0,205000,50.47
2008-08-29,575.0,588.5,565.5,573.0,33100,50.91
2008-09-01,569.5,586.0,565.0,566.0,12500,50.29
2008-09-02,571.0,582.0,568.5,571.0,11300,50.73
2008-09-04,576.5,579.5,567.5,571.5,5200,50.78
2008-09-05,564.5,576.0,562.0,566.0,7300,50.29
2008-09-08,584.5,584.5,559.0,562.5,7200,49.98
2008-09-09,562.5,574.5,562.0,567.5,2000,50.42
2008-09-10,550.0,569.0,545.0,564.5,3600,50.15
2008-09-11,550.0,569.5,550.0,550.5,4900,48.91
2008-09-12,552.5,559.0,545.5,550.0,8100,48.87
2008-09-15,549.5,569.0,530.0,535.5,9500,47.58
2008-09-16,516.5,540.0,510.0,535.5,8300,47.58
2008-09-17,540.0,540.0,521.5,530.0,3200,47.09
2008-09-18,501.0,520.0,501.0,517.5,6500,45.98
2008-09-19,512.0,550.0,512.0,540.0,4100,47.98
2008-09-22,535.5,537.0,525.0,530.0,7200,47.09
2008-09-23,534.0,540.0,525.5,526.5,3200,46.78
2008-09-24,540.0,547.0,525.0,525.0,1800,46.64
2008-09-25,523.5,538.0,523.0,525.0,1400,46.64
2008-09-26,535.0,535.0,507.5,511.5,5900,45.45
2008-09-29,510.0,514.5,490.0,499.5,6900,44.38
2008-09-30,485.0,499.5,466.0,486.0,9800,43.18
2008-10-01,495.0,498.0,478.5,480.0,2900,42.65
2008-10-03,500.0,505.5,485.0,489.5,3000,43.49
2008-10-06,481.0,490.0,458.0,459.0,8500,40.78
2008-10-07,485.0,485.0,441.0,458.0,2800,40.69
2008-10-08,390.5,449.5,390.5,443.0,4400,39.36
2008-10-10,440.0,450.0,410.0,420.0,10800,37.32
2008-10-13,430.5,457.0,430.0,450.0,4600,39.98
2008-10-14,470.0,470.0,455.5,461.5,7500,41.0
2008-10-15,464.0,464.0,436.0,447.0,5700,39.71
2008-10-16,439.0,440.0,421.0,436.5,7100,38.78
2008-10-17,450.0,467.5,426.5,429.0,4100,38.12
2008-10-20,402.5,440.0,402.5,430.0,3700,38.2
2008-10-21,427.0,440.0,427.0,439.5,2700,39.05
2008-10-22,440.0,450.0,406.0,406.0,9500,36.07
2008-10-23,400.0,450.0,400.0,428.0,6700,38.03
2008-10-24,410.5,419.5,387.5,404.5,7100,35.94
2008-10-27,380.5,400.0,365.0,399.5,5200,35.49
2008-10-28,420.0,424.5,415.0,415.0,500,36.87
2008-10-29,429.5,429.5,402.5,420.0,4700,37.32
2008-10-31,440.0,440.0,400.0,415.0,3400,36.87
2008-11-03,440.0,449.0,411.0,428.5,7600,38.07
2008-11-04,421.5,435.0,420.0,425.0,4700,37.76
2008-11-05,440.0,487.0,430.0,430.0,4000,38.2
2008-11-06,420.5,440.0,420.0,420.0,4200,37.32
2008-11-07,425.0,437.0,417.5,419.0,7600,37.23
2008-11-10,449.0,449.0,426.0,428.0,11300,38.03
