Date,Open,High,Low,Close,Volume,Adj Close
1992-02-10,8.0,9.33333,8.0,8.0,0,0.13759
1992-02-12,9.33333,9.33333,9.0,9.33333,0,0.16052
1992-02-13,9.66667,10.3333,9.0,9.66667,0,0.16626
1992-02-17,9.66667,10.0,9.33333,9.66667,0,0.16626
1992-02-18,9.0,9.33333,8.33333,9.33333,0,0.16052
1992-02-19,8.33333,8.5,7.66667,8.33333,0,0.14332
1992-02-20,8.0,8.66667,8.0,8.66667,0,0.14906
1992-02-21,7.33333,8.0,7.0,8.0,0,0.13759
1992-02-24,7.0,7.33333,7.0,7.33333,0,0.12613
1992-02-26,7.0,8.0,7.0,7.66667,0,0.13186
1992-02-27,7.33333,7.83333,7.33333,7.33333,0,0.12613
1992-02-28,8.0,8.33333,8.0,8.33333,0,0.14332
1992-03-02,7.33333,8.0,7.33333,8.0,0,0.13759
1992-03-03,8.0,8.0,8.0,8.0,0,0.13759
1992-03-10,8.33333,9.0,8.33333,9.0,0,0.15479
1992-03-11,8.0,8.66667,8.0,8.66667,0,0.14906
1992-03-12,8.0,8.66667,8.0,8.66667,0,0.14906
1992-03-13,8.0,8.0,8.0,8.0,0,0.13759
1992-03-16,8.83333,10.0,8.66667,10.0,0,0.17199
1992-03-17,8.83333,10.0,8.66667,10.0,0,0.17199
1992-03-18,10.6667,10.6667,10.6667,10.6667,0,0.18346
1992-03-20,10.0,12.0,10.0,10.6667,0,0.18346
1992-03-24,13.3333,14.6667,12.0,14.6667,0,0.25225
1992-03-25,16.0,16.0,14.0,15.3333,0,0.26372
1992-03-27,13.3333,14.6667,13.3333,14.6667,0,0.25225
1992-03-30,15.3333,16.6667,15.3333,16.6667,0,0.28665
1992-03-31,13.3333,14.0,13.3333,14.0,0,0.24079
1992-04-02,13.3333,16.0,13.3333,16.0,0,0.27518
1992-04-03,13.3333,13.3333,10.6667,12.0,0,0.20639
1992-04-06,9.33333,10.6667,9.33333,10.6667,0,0.18346
1992-04-07,10.6667,10.6667,9.33333,10.6667,0,0.18346
1992-04-08,10.6667,13.3333,10.6667,13.3333,0,0.22932
1992-04-10,12.0,13.3333,12.0,13.3333,0,0.22932
1992-04-13,12.0,14.6667,12.0,14.6667,0,0.25225
1992-04-22,11.3333,12.6667,11.3333,12.6667,0,0.21785
1992-04-28,10.6667,12.0,10.6667,12.0,0,0.20639
1992-04-29,10.6667,12.0,9.33333,10.6667,0,0.18346
1992-04-30,10.6667,12.0,10.0,10.6667,0,0.18346
1992-05-06,8.66667,10.0,7.33333,10.0,0,0.17199
1992-05-07,8.0,9.33333,8.0,9.33333,0,0.16052
1992-05-11,9.33333,9.33333,6.66667,9.33333,0,0.16052
1992-05-12,6.66667,8.0,6.66667,8.0,0,0.13759
1992-05-13,8.0,9.33333,7.33333,8.66667,0,0.14906
1992-05-14,8.0,8.66667,7.33333,8.66667,0,0.14906
1992-05-18,8.0,9.33333,8.0,8.66667,0,0.14906
1992-05-19,8.0,9.33333,8.0,9.33333,0,0.16052
1992-05-20,8.0,9.33333,8.0,9.33333,0,0.16052
1992-05-22,8.0,9.33333,8.0,9.33333,0,0.16052
1992-05-25,8.0,9.33333,8.0,9.33333,0,0.16052
1992-05-26,8.0,9.33333,7.33333,8.66667,0,0.14906
1992-05-27,6.66667,8.0,6.33333,8.0,0,0.13759
1992-05-28,6.0,7.33333,6.0,7.33333,0,0.12613
1992-05-29,6.66667,8.0,6.66667,8.0,0,0.13759
1992-06-01,6.66667,8.0,6.0,8.0,0,0.13759
1992-06-02,6.66667,8.0,6.66667,7.33333,0,0.12613
1992-06-03,6.66667,8.0,6.66667,8.0,0,0.13759
1992-06-04,6.66667,8.0,6.0,7.33333,0,0.12613
1992-06-05,6.0,8.0,6.0,8.0,0,0.13759
1992-06-08,6.66667,7.33333,6.66667,7.33333,0,0.12613
1992-06-09,6.66667,8.0,6.66667,8.0,0,0.13759
1992-06-10,6.66667,7.33333,6.66667,7.33333,0,0.12613
1992-07-20,5.33333,6.66667,5.33333,6.66667,0,0.11466
1992-07-21,6.0,7.33333,6.0,7.33333,0,0.12613
1992-07-22,6.66667,6.66667,6.66667,6.66667,0,0.11466
1992-07-23,5.33333,6.33333,5.33333,6.0,0,0.10319
1992-07-27,6.66667,6.66667,6.0,6.66667,0,0.11466
1992-07-28,6.0,6.27333,6.0,6.0,0,0.10319
1992-07-29,6.0,6.66667,6.0,6.66667,0,0.11466
1992-07-30,6.0,6.66667,5.66667,6.0,0,0.10319
1992-07-31,5.66667,6.33333,5.66667,6.33333,0,0.10893
1992-08-03,5.66667,6.33333,5.66667,5.66667,0,0.09746
1992-08-04,5.33333,6.0,5.33333,6.0,0,0.10319
1992-08-05,5.33333,6.0,5.0,5.66667,0,0.09746
1992-08-06,4.66667,5.33333,4.66667,5.33333,0,0.09173
1992-08-07,4.66667,5.33333,4.66667,5.33333,0,0.09173
