Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,5.7,5.88,5.7,5.85,7600,1.34
2002-07-02,5.75,5.85,5.74,5.82,5900,1.34
2002-07-03,5.8,5.89,5.71,5.74,7000,1.32
2002-07-04,5.77,5.8,5.64,5.69,5400,1.31
2002-07-05,5.8,5.8,5.61,5.65,7600,1.3
2002-07-08,5.8,5.99,5.68,5.88,11700,1.35
2002-07-09,5.98,6.55,5.98,6.18,139800,1.42
2002-07-10,6.25,6.25,5.95,5.97,32000,1.37
2002-07-11,5.9,6.0,5.75,5.76,23900,1.89
2002-07-12,5.97,5.98,5.75,5.76,6300,1.89
2002-07-15,5.8,5.8,5.58,5.61,5600,1.84
2002-07-16,5.6,5.68,5.5,5.6,3800,1.84
2002-07-17,5.6,5.6,5.35,5.38,4900,1.77
2002-07-18,5.5,5.6,5.4,5.46,4500,1.79
2002-07-19,5.55,5.6,5.43,5.58,2700,1.83
2002-07-22,5.4,5.45,5.2,5.24,4600,1.72
2002-07-23,5.25,5.33,5.2,5.26,5800,1.73
2002-07-24,5.34,5.53,5.0,5.08,32400,1.67
2002-07-25,5.2,5.2,4.8,4.88,21900,1.6
2002-07-26,4.7,4.87,4.7,4.74,6900,1.56
2002-07-29,4.78,4.78,4.5,4.54,27600,1.49
2002-07-30,4.68,4.7,4.51,4.53,4500,1.49
2002-07-31,4.45,4.7,4.45,4.69,13700,1.54
2002-08-01,4.73,4.83,4.66,4.72,5100,1.55
2002-08-02,4.66,4.78,4.62,4.66,3200,1.53
2002-08-05,4.85,4.85,4.67,4.71,6600,1.55
2002-08-06,4.72,4.8,4.7,4.79,1200,1.57
2002-08-07,4.73,4.83,4.67,4.74,6000,1.56
2002-08-08,4.71,4.72,4.68,4.7,6900,1.54
2002-08-09,4.61,4.75,4.61,4.66,1800,1.53
2002-08-12,4.69,4.74,4.65,4.65,2300,1.53
2002-08-13,4.7,4.74,4.67,4.69,2000,1.54
2002-08-14,4.57,4.75,4.57,4.7,2200,1.54
2002-08-16,4.67,4.73,4.61,4.62,12000,1.52
2002-08-19,4.7,4.72,4.54,4.56,13100,1.5
2002-08-20,4.6,4.72,4.56,4.72,4200,1.55
2002-08-21,4.63,4.68,4.6,4.6,4400,1.51
2002-08-22,4.59,4.63,4.59,4.6,3200,1.51
