Date,Open,High,Low,Close,Volume,Adj Close
2002-01-14,117.0,119.6,117.0,119.6,400,115.61
2002-01-15,120.0,120.0,115.0,115.0,300,111.17
2002-01-16,115.25,119.6,115.25,117.0,1100,113.1
2002-01-17,119.5,120.0,117.0,117.0,200,113.1
2002-01-18,116.0,121.65,116.0,121.0,400,116.97
2002-01-21,125.0,125.8,125.0,125.8,0,121.61
2002-01-22,128.0,130.8,123.0,124.15,700,120.01
2002-01-23,128.0,129.0,124.1,124.1,800,119.96
2002-01-24,124.0,124.0,123.0,123.0,300,118.9
2002-01-28,118.2,118.2,118.1,118.1,800,114.16
2002-01-29,122.8,122.8,122.8,122.8,0,118.71
2002-01-30,127.7,127.7,127.7,127.7,300,123.44
2002-01-31,125.25,128.0,125.25,125.35,200,121.17
2002-02-01,125.0,127.5,125.0,127.5,200,123.25
2002-02-04,128.5,132.6,128.5,132.6,500,128.18
2002-02-05,132.0,133.75,129.0,133.75,1100,129.29
2002-02-06,134.0,135.0,131.0,131.0,100,126.63
2002-02-07,136.2,136.2,136.2,136.2,100,131.66
2002-02-08,141.0,141.0,140.0,140.0,400,135.33
2002-02-11,145.0,145.6,145.0,145.6,200,140.75
2002-02-12,151.0,151.4,151.0,151.4,100,146.35
2002-02-13,151.4,156.0,151.0,154.0,400,148.87
2002-02-14,150.0,150.15,150.0,150.05,600,145.05
2002-02-15,155.0,156.0,144.4,146.0,800,141.13
2002-02-18,141.1,145.15,141.1,145.15,200,140.31
2002-02-19,141.1,145.0,141.1,141.4,500,136.69
2002-02-20,136.0,136.0,136.0,136.0,100,131.47
2002-02-21,133.5,144.0,133.5,144.0,400,139.2
2002-02-22,141.3,141.5,141.3,141.3,0,136.59
2002-02-25,144.5,152.0,144.4,149.7,800,144.71
2002-02-26,150.0,152.0,144.3,149.15,300,144.18
2002-02-27,148.0,148.0,147.0,147.0,800,142.1
2002-02-28,150.0,150.0,145.0,148.0,900,143.07
2002-03-01,136.6,145.0,136.6,145.0,100,140.17
2002-03-04,142.7,156.6,142.7,156.6,800,151.38
2002-03-05,156.8,169.1,156.8,169.1,1000,163.46
2002-03-06,170.0,170.0,160.7,161.05,400,155.68
2002-03-07,164.5,172.9,164.0,167.15,1200,161.58
2002-03-08,161.0,174.9,161.0,165.0,800,159.5
2002-03-11,158.2,169.0,158.2,160.25,100,154.91
2002-03-12,158.0,158.0,150.0,150.0,100,145.0
2002-03-13,157.95,162.0,155.5,160.0,400,154.67
2002-03-14,155.25,160.4,155.25,160.4,400,155.05
2002-03-18,155.1,159.0,155.0,159.0,400,153.7
2002-03-19,150.0,158.0,150.0,151.55,2100,146.5
2002-03-20,147.0,154.0,145.1,154.0,800,148.87
2002-03-21,155.0,160.0,154.4,154.55,600,149.4
2002-03-22,155.0,155.0,150.5,152.0,400,146.93
2002-03-26,157.0,157.0,153.0,157.0,100,151.77
2002-03-27,167.45,167.45,154.15,154.15,100,149.01
2002-04-01,160.0,160.0,155.0,155.0,200,149.83
2002-04-02,152.0,153.0,152.0,153.0,100,147.9
2002-04-04,152.0,152.0,152.0,152.0,0,146.93
2002-04-05,152.5,155.5,152.5,155.0,5700,149.83
2002-04-08,154.0,167.4,154.0,167.4,24800,161.82
2002-04-09,167.5,178.8,165.4,172.2,7500,166.46
2002-04-10,170.05,179.5,170.0,178.1,17900,172.16
2002-04-11,180.0,187.0,175.5,179.7,4000,173.71
2002-04-12,178.0,178.0,175.0,176.35,6200,170.47
2002-04-15,177.0,180.0,175.0,177.3,1200,171.39
2002-04-16,176.0,179.95,176.0,176.0,200,170.13
2002-04-17,189.5,190.0,177.0,184.45,1200,178.3
2002-04-18,185.0,185.0,178.0,183.0,300,176.9
2002-04-22,175.0,175.0,170.05,170.75,300,165.06
2002-04-23,175.0,175.75,173.0,173.05,1000,167.28
2002-04-24,171.1,175.0,171.0,175.0,600,169.17
2002-04-25,173.0,175.0,173.0,175.0,200,169.17
2002-04-26,176.05,182.75,176.05,180.0,600,174.0
2002-04-29,188.0,198.0,187.5,198.0,1900,191.4
2002-04-30,214.85,217.8,206.0,213.75,2900,206.62
2002-05-02,214.0,216.0,211.1,211.1,1700,204.06
2002-05-03,220.0,221.65,210.1,210.1,3500,203.1
2002-05-06,215.0,216.0,209.0,209.1,1400,202.13
2002-05-07,208.0,209.0,208.0,209.0,900,202.03
2002-05-08,202.0,205.0,202.0,203.5,700,196.72
2002-05-09,205.0,205.0,194.0,194.0,300,187.53
2002-05-10,197.9,197.9,190.0,190.0,800,183.67
2002-05-13,189.05,199.95,187.0,199.0,1100,192.37
2002-05-14,195.0,196.0,195.0,195.0,600,188.5
2002-05-15,200.0,200.0,190.0,195.0,100,188.5
2002-05-16,211.0,211.0,185.0,191.0,200,184.63
2002-05-17,189.0,189.0,175.0,175.0,100,169.17
2002-05-20,192.5,192.5,175.0,175.0,1000,169.17
2002-05-21,185.0,185.0,157.55,165.1,900,159.6
2002-05-22,160.0,165.1,158.0,158.0,2400,152.73
2002-05-23,156.1,160.0,156.1,160.0,100,154.67
2002-05-24,164.0,171.0,163.0,168.0,400,162.4
2002-05-27,172.0,175.0,172.0,175.0,200,169.17
2002-05-28,175.0,175.0,165.0,165.0,300,159.5
2002-05-31,160.0,160.0,160.0,160.0,0,154.67
2002-06-03,165.0,165.0,157.0,157.3,200,152.06
2002-06-05,171.0,173.0,170.0,172.95,100,167.18
2002-06-06,175.0,175.0,173.0,173.0,0,167.23
2002-06-07,175.0,175.0,170.0,170.0,100,164.33
2002-06-10,169.0,178.0,163.0,168.8,800,163.17
2002-06-11,177.5,180.0,177.5,180.0,500,174.0
2002-06-12,180.0,185.0,177.0,177.0,300,171.1
2002-06-14,175.0,185.0,175.0,182.6,2300,176.51
2002-06-17,185.1,195.0,185.0,190.0,2100,183.67
2002-06-18,185.0,209.0,185.0,200.0,59400,193.33
2002-06-19,200.0,209.0,199.9,207.1,4900,200.2
2002-06-20,201.5,205.0,197.05,197.8,5300,191.21
2002-06-21,199.0,205.0,198.0,198.0,2200,191.4
2002-06-24,198.25,203.0,198.25,200.0,0,193.33
2002-06-25,204.0,205.0,201.15,201.15,1000,194.44
2002-06-26,200.0,204.9,200.0,204.2,500,197.39
2002-08-12,175.0,176.0,175.0,176.0,100,170.13
2002-08-14,165.75,177.95,165.5,176.95,100,171.05
2002-08-16,170.7,173.45,167.0,169.0,200,163.37
2002-08-20,161.0,166.5,161.0,166.5,100,160.95
2002-08-21,165.1,175.0,165.1,175.0,0,169.17
2002-08-22,169.5,170.0,169.5,170.0,100,164.33
2002-08-23,169.0,169.0,168.0,168.0,0,162.4
2002-08-27,168.0,169.0,168.0,169.0,100,163.37
2002-08-28,168.35,169.0,165.0,165.0,200,159.5
2002-08-30,169.75,181.5,169.75,177.35,600,171.44
2002-09-02,176.0,176.0,176.0,176.0,100,170.13
2002-09-04,171.0,175.0,171.0,172.0,3300,166.27
2002-09-05,175.0,175.5,172.1,173.0,900,167.23
2002-09-09,169.05,169.05,169.0,169.0,0,163.37
2002-09-11,166.0,166.0,165.0,165.35,100,159.84
2002-09-12,170.0,170.0,170.0,170.0,0,164.33
