Date,Open,High,Low,Close,Volume,Adj Close
2005-07-12,65.0,70.0,60.15,60.8,26141200,56.58
2005-07-13,61.45,62.35,57.4,58.5,5756800,54.44
2005-07-14,59.4,59.8,57.0,57.3,1362100,53.33
2005-07-15,57.8,64.4,56.25,61.75,7338600,57.47
2005-07-18,62.8,65.65,62.35,64.25,6084800,59.79
2005-07-19,64.9,64.9,63.1,64.05,2119300,59.61
2005-07-20,64.6,64.9,62.5,63.2,959900,58.82
2005-07-21,63.8,64.0,62.0,62.3,818000,57.98
2005-07-22,62.35,63.25,61.6,62.05,407300,57.75
2005-07-25,62.5,62.9,61.1,61.45,461900,57.19
2005-07-26,61.9,63.9,61.25,62.35,1071500,58.03
2005-07-27,62.8,64.4,62.0,63.4,859100,59.0
2005-07-29,63.0,64.4,61.8,62.3,582300,57.98
2005-08-01,62.9,64.4,62.75,63.4,1605500,59.0
2005-08-02,64.6,74.4,64.2,71.45,11291900,66.49
2005-08-03,71.85,72.8,68.15,69.6,4182600,64.77
2005-08-04,68.0,73.8,67.1,71.7,3356100,66.73
2005-08-05,71.8,72.9,71.0,71.55,1261200,66.59
2005-08-08,72.0,72.45,70.5,70.65,800100,65.75
2005-08-09,70.35,71.4,68.3,69.35,764200,64.54
2005-08-10,69.8,73.3,69.8,71.3,1238500,66.35
2005-08-11,72.0,73.25,71.2,71.55,659200,66.59
2005-08-12,72.0,72.2,70.3,70.65,327400,65.75
2005-08-16,71.55,71.55,69.05,69.25,356600,64.45
2005-08-17,69.95,70.9,68.9,69.05,423100,64.26
2005-08-18,69.9,70.4,68.25,68.7,285500,63.94
2005-08-19,69.6,69.65,67.2,67.6,316300,62.91
2005-08-22,68.5,68.5,66.25,66.65,492900,62.03
2005-08-23,66.7,67.35,64.0,64.7,433500,60.21
2005-08-24,64.95,65.2,64.0,64.65,192300,60.17
2005-08-25,65.0,67.4,64.5,65.5,242500,60.96
2005-08-26,65.75,66.6,65.75,66.0,282000,61.42
2005-08-29,66.05,66.4,64.3,65.4,113800,60.86
2005-08-30,66.0,67.2,65.7,66.4,139700,61.79
2005-08-31,67.0,68.5,66.15,67.1,352600,62.45
2005-09-01,67.4,68.4,66.7,67.05,99300,62.4
2005-09-02,67.95,73.8,65.9,70.5,1303000,65.61
2005-09-05,71.45,71.45,68.15,68.35,258800,63.61
2005-09-06,69.0,71.55,68.25,68.9,400500,64.12
2005-09-08,69.9,69.9,68.4,69.25,216300,64.45
2005-09-09,69.6,73.45,68.6,72.75,1770900,67.7
2005-09-12,73.5,74.0,71.1,71.65,598200,66.68
2005-09-13,74.35,74.35,70.75,71.55,494000,66.59
2005-09-14,72.35,73.5,70.05,71.5,932000,66.54
2005-09-15,72.35,72.35,71.0,71.1,269800,66.17
2005-09-16,71.9,71.9,70.5,70.7,176900,65.8
2005-09-19,71.15,73.3,69.1,69.6,307600,64.77
2005-09-20,70.0,70.4,68.0,68.75,276000,63.98
2005-09-21,69.0,69.05,63.5,65.3,1439300,60.77
2005-09-22,65.3,65.5,63.5,63.9,541500,59.47
2005-09-23,64.25,66.9,61.35,62.85,855500,58.49
2005-09-26,64.0,66.65,64.0,65.0,545500,60.49
2005-09-27,65.9,66.8,65.1,66.35,320400,61.75
2005-09-28,67.2,69.9,67.2,68.65,503500,63.89
2005-09-29,69.25,69.4,67.0,67.55,302500,62.86
2005-09-30,68.25,68.25,65.2,66.5,1308500,61.89
2005-10-03,66.0,68.0,65.0,66.6,141100,61.98
2005-10-04,67.7,67.8,66.8,67.2,196600,62.54
2005-10-05,67.5,69.6,66.7,67.7,385700,63.0
2005-10-06,67.0,71.5,66.5,68.35,1377800,63.61
2005-10-07,69.3,70.45,68.3,69.1,774800,64.31
2005-10-10,70.25,72.35,67.25,68.05,2440300,63.33
2005-10-11,68.5,69.0,66.85,67.3,526700,62.63
2005-10-13,67.65,67.9,65.4,65.7,600600,61.14
2005-10-14,66.2,66.4,64.3,64.75,354600,60.26
2005-10-17,65.1,65.65,62.55,62.9,366500,58.54
2005-10-18,63.8,66.0,63.05,65.65,323700,61.1
2005-10-19,62.0,65.45,62.0,64.65,320400,60.17
2005-10-20,65.0,65.9,64.0,64.85,370900,60.35
2005-10-21,65.2,65.2,62.1,63.75,209100,59.33
2005-10-24,63.0,65.4,63.0,64.35,131000,59.89
2005-10-25,65.25,65.55,64.1,65.1,108800,60.58
2005-10-26,65.0,65.5,64.4,65.3,70300,60.77
2005-10-27,65.5,65.5,64.75,65.2,85300,60.68
2005-10-28,64.6,64.65,63.0,63.4,167900,59.0
2005-10-31,63.55,65.3,63.55,64.95,118000,60.45
2005-11-01,66.75,66.75,65.5,66.0,44600,61.42
2005-11-02,65.0,66.0,64.4,65.8,63400,61.24
2005-11-07,65.8,66.0,65.15,65.35,70100,60.82
2005-11-08,65.5,66.6,65.15,65.45,89200,60.91
2005-11-09,65.8,66.2,64.8,65.0,79200,60.49
2005-11-10,65.6,65.6,64.7,65.3,55500,60.77
