Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,1130.0,1180.2,1125.0,1180.2,3303300,483.276
2000-01-04,1249.5,1274.6,1181.25,1274.6,8349500,521.931
2000-01-05,1255.0,1312.0,1172.65,1189.0,11132500,486.879
2000-01-06,1195.0,1200.0,1095.0,1107.0,7062400,453.301
2000-01-07,1104.0,1104.0,1018.45,1018.45,1867500,417.041
2000-01-10,1030.0,1099.9,945.0,968.2,6608700,396.465
2000-01-11,985.0,1045.6,900.0,1020.0,11727400,417.676
2000-01-12,1014.9,1085.0,996.0,1060.0,5421600,434.056
2000-01-13,1065.0,1093.0,1010.15,1016.0,3783300,416.038
2000-01-14,1028.0,1029.7,980.0,997.0,6915300,408.258
2000-01-17,1025.0,1063.4,1025.0,1039.0,3986000,425.456
2000-01-18,1050.0,1050.0,1008.8,1024.0,3708100,419.314
2000-01-19,1025.0,1105.9,1025.0,1105.9,7503800,452.851
2000-01-20,1125.0,1184.0,1118.1,1143.85,8110100,468.391
2000-01-21,1125.0,1177.4,1120.05,1172.0,6739400,479.918
2000-01-24,1210.0,1245.0,1208.0,1238.1,6934100,506.985
2000-01-25,1230.0,1242.65,1200.0,1212.5,6293100,496.502
2000-01-26,1212.5,1212.5,1212.5,1212.5,0,496.502
2000-01-27,1221.75,1261.0,1205.1,1216.0,6188500,497.935
2000-01-28,1220.0,1285.9,1215.0,1276.55,8421000,522.73
2000-01-31,1261.0,1305.0,1201.0,1211.3,6839500,496.011
2000-02-01,1225.0,1259.0,1220.0,1239.0,5232500,507.354
2000-02-02,1245.0,1293.8,1235.25,1242.0,8003100,508.582
2000-02-03,1242.0,1242.0,1242.0,1242.0,0,508.582
2000-02-04,1375.0,1401.0,1315.1,1327.5,7026100,543.593
2000-02-07,1345.0,1360.0,1301.15,1314.0,5174200,538.065
2000-02-08,1320.0,1394.9,1315.0,1345.0,10310200,550.759
2000-02-09,1354.0,1374.4,1314.0,1317.55,5038300,539.519
2000-02-10,1330.0,1364.2,1310.0,1338.0,4466800,547.893
2000-02-11,1340.0,1392.8,1335.0,1340.0,9577300,548.712
2000-02-14,1380.0,1428.9,1351.2,1398.0,10141600,572.462
2000-02-15,1395.0,1429.0,1360.0,1367.0,6705300,559.768
2000-02-16,1374.0,1399.0,1351.0,1369.9,4815700,560.955
2000-02-17,1377.5,1404.95,1361.0,1375.0,5511700,563.044
2000-02-18,1380.0,1405.0,1368.05,1371.15,7070300,561.467
2000-02-21,1430.0,1480.8,1420.15,1480.8,8622300,606.368
2000-02-22,1599.25,1599.25,1532.25,1544.1,7360800,632.288
2000-02-23,1558.0,1630.0,1432.15,1439.9,7085100,589.619
2000-02-24,1452.0,1555.05,1452.0,1555.05,6366900,636.772
2000-02-25,1585.0,1603.0,1430.65,1430.65,6697600,585.832
2000-02-28,1545.05,1545.05,1365.15,1417.0,4393400,580.242
2000-02-29,1424.9,1475.0,1303.65,1307.25,7791700,535.301
2000-03-01,1309.0,1411.8,1290.0,1411.8,6274700,578.113
