Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,160.0,163.0,159.0,161.75,659600,118.52
2002-07-02,161.05,163.35,160.0,160.4,282600,117.53
2002-07-03,161.0,162.0,158.85,159.8,500500,117.09
2002-07-04,159.15,160.9,157.5,158.0,284100,115.78
2002-07-05,158.05,159.75,157.1,157.55,252500,115.45
2002-07-08,157.65,164.35,157.65,163.55,587200,119.84
2002-07-09,164.8,166.0,160.6,160.95,986700,117.94
2002-07-10,161.15,161.9,158.8,160.3,397400,117.46
2002-07-11,160.8,161.9,157.5,158.1,332900,115.85
2002-07-12,160.2,160.2,157.55,157.95,148700,115.74
2002-07-15,158.25,158.25,154.1,154.9,268500,113.5
2002-07-16,156.0,156.0,150.55,151.75,1001400,111.2
2002-07-17,151.35,151.6,148.2,149.25,600900,109.36
2002-07-18,148.65,151.0,148.65,150.0,422700,109.91
2002-07-19,150.85,151.0,149.6,150.2,332200,110.06
2002-07-22,150.1,150.1,142.0,142.7,585800,104.56
2002-07-23,143.0,144.5,140.0,141.95,490200,104.01
2002-07-24,142.0,142.0,135.65,137.55,664700,100.79
2002-07-25,140.0,140.25,135.0,136.4,887300,99.95
2002-07-26,135.0,138.4,133.65,136.9,788700,100.31
2002-07-29,138.4,138.4,132.25,135.35,618500,99.18
2002-07-30,135.2,137.95,133.15,133.95,760300,98.15
2002-07-31,131.6,134.0,129.3,132.75,521000,97.27
2002-08-01,133.2,134.8,130.4,130.85,219700,95.88
2002-08-02,130.05,136.25,129.2,135.5,694300,99.29
2002-08-05,135.5,139.5,135.0,138.8,1575300,101.71
2002-08-06,137.95,139.25,134.65,138.15,453200,101.23
2002-08-07,140.1,140.8,137.2,137.7,298900,100.9
2002-08-08,142.4,142.4,134.75,135.0,318400,98.92
2002-08-09,133.75,136.3,131.3,134.65,449600,98.67
2002-08-12,134.6,137.4,134.3,136.4,313200,99.95
2002-08-13,139.0,139.0,135.55,136.3,294300,99.87
2002-08-14,135.65,136.9,135.05,136.35,157400,99.91
2002-08-16,137.5,137.5,134.6,136.3,403100,99.87
2002-08-19,136.0,137.8,135.8,136.3,365200,99.87
2002-08-20,136.85,137.35,135.85,136.65,237800,100.13
2002-08-21,136.4,140.8,136.15,139.2,815900,102.0
2002-08-22,140.0,141.25,139.15,139.9,571000,102.51
2002-08-23,140.0,140.75,138.6,140.1,330300,102.66
2002-08-26,140.25,142.15,139.6,140.25,415200,102.77
2002-08-27,140.0,140.6,138.05,138.8,368800,101.71
2002-08-28,138.0,138.5,135.4,137.1,463200,100.46
2002-08-29,137.8,138.0,136.2,136.55,368200,100.06
2002-08-30,137.75,138.6,136.2,138.1,303900,101.19
2002-09-02,139.2,140.5,138.4,139.85,249000,102.48
2002-09-03,140.55,141.5,139.0,139.35,378600,102.11
2002-09-04,138.55,139.5,137.3,137.45,350800,100.72
2002-09-05,140.0,143.35,137.4,141.1,1111400,103.39
2002-09-06,141.0,142.75,137.8,138.4,891800,101.41
2002-09-09,139.6,139.75,136.8,138.05,330700,101.16
2002-09-11,138.25,142.3,138.25,141.7,523800,103.83
2002-09-12,143.35,147.45,140.6,146.6,2199000,107.42
2002-09-13,145.15,146.5,144.2,145.0,465000,106.25
2002-09-16,146.0,146.8,141.15,142.55,384000,104.45
2002-09-17,143.3,145.0,142.6,143.3,141400,105.0
2002-09-18,143.0,144.0,139.5,139.85,341300,102.48
2002-09-19,139.8,141.0,137.5,138.75,290500,101.67
2002-09-20,137.5,139.45,136.55,138.6,333800,101.56
2002-09-23,139.1,140.0,137.0,138.7,245300,101.63
2002-09-24,137.0,138.35,136.65,136.95,331900,100.35
2002-09-25,135.6,136.9,135.1,136.45,234100,99.98
2002-09-26,136.6,137.45,135.8,136.45,213200,99.98
2002-09-27,138.3,139.5,136.4,139.05,323900,101.89
2002-09-30,139.1,139.1,137.0,137.75,233600,100.94
2002-10-01,136.55,138.65,136.55,138.15,238900,101.23
2002-10-03,137.3,139.1,136.85,137.65,214600,100.86
2002-10-04,137.6,138.75,137.25,138.45,138800,101.45
2002-10-07,138.25,142.0,138.15,141.85,337000,103.94
2002-10-08,142.0,143.0,140.25,140.9,287800,103.25
2002-10-09,141.7,141.75,140.1,140.7,228300,103.1
2002-10-10,141.35,142.0,137.7,140.75,208100,103.14
2002-10-11,143.0,143.0,139.05,141.0,206000,103.32
2002-10-14,141.75,144.2,141.75,143.0,319500,104.78
2002-10-16,144.5,145.45,143.65,144.5,651900,105.88
2002-10-17,144.0,144.9,142.8,143.55,240400,105.19
2002-10-18,145.0,146.45,143.5,145.3,517700,106.47
2002-10-21,146.0,146.5,144.1,144.55,359500,105.92
2002-10-22,145.0,145.5,139.4,139.95,396100,102.55
2002-10-23,140.0,140.9,137.25,137.6,531600,100.83
2002-10-24,138.65,139.0,137.0,137.4,349400,100.68
2002-10-25,137.75,137.75,134.5,135.4,264900,99.21
2002-10-28,140.0,140.15,129.45,130.5,669600,95.62
2002-10-29,133.8,154.1,129.8,133.7,703100,97.97
2002-10-30,134.3,135.25,130.6,131.7,319000,96.5
2002-10-31,132.0,136.7,131.3,132.9,1517500,97.38
2002-11-01,130.0,139.2,130.0,138.7,1266000,101.63
2002-11-04,139.9,139.9,138.2,138.95,193500,101.82
2002-11-05,140.5,143.65,137.5,142.6,1002300,104.49
2002-11-07,143.0,144.6,142.05,143.6,649300,105.22
2002-11-08,141.3,143.2,139.2,142.15,975600,104.16
2002-11-11,143.0,143.0,140.1,141.55,209600,103.72
2002-11-12,140.5,144.45,140.2,143.9,294900,105.44
2002-11-13,144.75,146.85,144.0,145.85,902400,106.87
2002-11-14,146.5,148.5,146.4,146.95,1222600,107.68
2002-11-15,148.15,154.95,147.5,153.55,1295500,112.51
2002-11-18,153.0,155.9,150.65,151.8,749800,111.23
2002-11-20,153.8,157.9,151.75,152.4,965600,111.67
2002-11-21,153.45,155.45,152.75,154.5,759100,113.21
2002-11-22,155.4,156.55,153.1,154.05,941700,112.88
2002-11-25,155.0,156.5,153.6,155.1,472700,113.65
2002-11-26,156.25,156.8,154.5,155.05,390400,113.61
2002-11-27,154.9,158.5,153.05,155.15,1368500,113.69
2002-11-28,156.9,164.75,156.15,162.65,1841300,119.18
2002-11-29,165.0,166.0,161.5,163.8,1212700,120.03
2002-12-02,164.15,166.0,162.5,163.45,514900,119.77
2002-12-03,163.8,165.0,158.25,159.15,552600,116.62
2002-12-04,156.8,161.9,155.1,156.15,861900,114.42
2002-12-05,157.05,161.0,156.0,159.7,508500,117.02
2002-12-06,161.9,165.0,159.65,164.0,809500,120.17
2002-12-09,165.0,167.65,159.25,160.25,599600,117.42
2002-12-10,159.5,160.4,157.0,157.65,741300,115.52
2002-12-11,158.9,159.9,156.55,157.3,367200,115.26
2002-12-12,157.9,158.95,155.6,157.95,509200,115.74
2002-12-13,158.9,160.2,158.1,158.8,280400,116.36
2002-12-16,161.0,161.45,158.45,159.05,456600,116.54
2002-12-17,160.0,160.0,156.5,157.15,352900,115.15
2002-12-18,156.7,159.45,156.2,157.35,445300,115.3
2002-12-19,158.25,158.25,154.5,156.2,279600,114.46
2002-12-20,158.8,158.8,155.9,156.5,194900,114.68
2002-12-23,157.0,157.7,155.4,157.25,212700,115.23
2002-12-24,157.45,159.3,156.8,158.6,463700,116.21
2002-12-26,158.0,162.0,158.0,159.25,729200,116.69
2002-12-27,159.6,162.6,159.5,162.05,508700,118.74
2002-12-30,163.0,166.5,162.55,164.9,1432800,120.83
2002-12-31,165.5,167.3,164.5,165.1,1204300,120.98
2003-01-01,166.0,167.0,164.0,164.35,252800,120.43
2003-01-02,164.1,166.25,163.05,164.85,621800,120.79
2003-01-03,165.6,166.25,158.2,159.25,1121200,116.69
2003-01-06,160.1,160.25,156.5,157.05,553600,115.08
2003-01-07,158.55,158.55,152.35,153.85,1169400,112.73
2003-01-08,155.0,157.6,154.1,157.05,927300,115.08
2003-01-09,158.0,158.85,156.6,158.2,488600,115.92
2003-01-10,157.5,158.45,156.05,156.85,334100,114.93
2003-01-13,157.0,158.45,153.85,155.05,743700,113.61
2003-01-14,155.0,159.7,153.1,158.9,1017500,116.43
2003-01-15,160.4,160.4,157.55,158.4,477400,116.07
2003-01-16,158.0,158.75,156.65,157.5,263100,115.41
2003-01-17,157.05,158.6,152.75,153.4,1553100,112.4
2003-01-20,153.0,153.85,149.4,150.1,1124700,109.99
2003-01-21,150.05,152.55,149.6,150.9,597700,110.57
2003-01-22,151.25,152.4,150.55,151.1,265400,110.72
2003-01-23,151.7,152.35,149.8,151.6,423200,111.09
2003-01-24,151.25,152.5,145.35,146.7,395400,107.49
2003-01-27,147.0,147.9,144.1,145.7,411600,106.76
