Date,Open,High,Low,Close,Volume,Adj Close
2007-11-27,770.0,1035.0,770.0,959.0,27262300,171.0
2007-11-28,970.0,989.0,874.65,885.0,21958900,157.8
2007-11-29,905.0,914.0,842.3,887.0,25616700,158.16
2007-11-30,890.0,957.0,890.0,929.0,23047000,165.65
2007-12-03,939.75,994.3,922.0,980.0,14578800,174.74
2007-12-04,986.75,1055.0,976.0,1049.0,22742800,187.05
2007-12-05,1050.0,1099.0,1050.0,1084.0,13806600,193.29
2007-12-06,1051.0,1107.6,1051.0,1090.1,8619600,194.37
2007-12-07,1100.0,1133.7,1078.0,1100.0,11182800,196.14
2007-12-10,1101.65,1110.0,1061.55,1073.55,5028300,191.42
2007-12-11,1081.05,1089.0,1041.0,1046.0,3990600,186.51
2007-12-12,1030.0,1063.0,1016.0,1036.9,3637800,184.89
2007-12-13,1040.0,1150.0,1037.1,1131.15,15317100,201.69
2007-12-14,1105.15,1139.9,1101.1,1107.0,5345900,197.39
2007-12-17,1140.0,1168.0,1021.5,1044.25,7024700,186.2
2007-12-18,1045.0,1109.9,1031.55,1085.0,6134900,193.46
2007-12-19,1091.0,1116.0,1046.3,1066.9,4228300,190.24
2007-12-20,1083.5,1083.5,1051.0,1060.2,3116400,189.04
2007-12-24,1095.0,1192.0,1085.25,1156.8,10304400,206.27
2007-12-26,1175.0,1214.0,1148.0,1199.9,7335100,213.95
2007-12-27,1215.0,1240.0,1204.0,1211.65,4887400,216.05
2007-12-28,1189.4,1274.0,1175.0,1249.1,5820600,222.72
2007-12-31,1263.35,1295.0,1261.0,1268.8,3686200,226.24
2008-01-01,1279.0,1319.0,1263.7,1296.85,2456700,231.24
2008-01-02,1310.25,1324.0,1270.0,1307.45,3519000,233.13
2008-01-03,1305.0,1314.7,1261.15,1275.8,2525200,227.49
2008-01-04,1278.8,1294.8,1233.0,1240.35,2753900,221.16
2008-01-07,1240.0,1278.9,1215.0,1227.25,3154800,218.83
2008-01-08,1240.0,1255.0,1185.0,1204.8,2652400,214.83
2008-01-09,1200.0,1210.0,1151.0,1180.25,3137500,210.45
2008-01-10,1185.0,1199.8,1110.0,1121.55,2194000,199.98
2008-01-11,1128.0,1130.0,1063.0,1085.85,3084600,193.62
2008-01-14,1082.4,1082.4,1031.1,1035.15,4179500,184.58
2008-01-15,1045.6,1078.7,1036.05,1049.55,4152400,187.14
2008-01-16,1046.0,1064.0,1000.0,1030.4,4080900,183.73
2008-01-17,1050.0,1053.5,1011.0,1020.9,1680000,182.03
2008-01-18,1010.0,1072.0,974.9,994.6,3384200,177.35
2008-01-21,995.0,1005.0,795.7,825.05,788600,147.11
2008-01-22,700.0,810.0,660.05,735.55,2730800,131.15
2008-01-23,760.0,881.9,760.0,857.0,2677300,152.81
2008-01-24,875.0,935.0,812.0,814.15,2555000,145.17
2008-01-25,820.0,883.0,820.0,865.7,2020200,154.36
2008-01-28,835.0,835.0,783.2,820.8,2335200,146.36
2008-01-29,840.0,860.0,820.05,840.75,1100300,149.91
2008-01-30,849.8,864.0,822.25,830.45,1430900,148.08
2008-01-31,831.0,849.9,812.55,837.65,971500,149.36
2008-02-01,831.65,852.3,820.0,825.35,1021900,147.17
2008-02-04,847.9,872.4,840.0,856.1,1401100,152.65
2008-02-05,856.0,857.0,830.0,834.3,810400,148.76
2008-02-06,803.0,824.9,780.0,807.5,966300,143.98
2008-02-07,825.0,830.0,792.0,796.25,1064600,141.98
2008-02-08,810.0,830.0,765.15,784.05,1425100,139.8
2008-02-11,785.0,785.0,695.0,711.2,1119700,126.81
2008-02-12,725.0,734.95,655.6,681.3,1517000,121.48
2008-02-13,815.9,815.9,664.0,670.95,214900,119.64
2008-02-14,680.0,714.0,680.0,709.8,1345100,126.56
2008-02-15,700.0,763.7,681.25,728.75,1765200,129.94
2008-02-18,735.0,775.0,735.0,771.6,1712900,137.58
2008-02-19,779.0,786.9,760.2,763.9,687000,136.21
2008-02-20,750.0,760.0,720.0,732.1,987400,130.54
2008-02-21,762.0,762.0,730.1,737.6,627700,131.52
2008-02-22,723.0,737.0,715.0,724.0,405300,129.1
2008-02-25,725.05,758.9,702.3,707.65,764000,126.18
2008-02-26,725.0,744.0,713.0,735.8,1256300,131.2
2008-02-27,749.7,783.4,741.0,746.4,1526600,133.09
2008-02-28,740.0,754.9,725.05,737.75,562400,131.55
2008-02-29,738.0,761.0,725.4,735.65,1019300,131.17
2008-03-03,725.0,725.0,692.3,699.25,912500,124.68
2008-03-04,705.0,708.95,642.0,669.25,2004900,119.33
2008-03-05,668.0,672.0,636.0,640.9,1316300,114.28
2008-03-07,630.0,630.0,577.0,609.75,2264700,108.72
2008-03-10,600.0,610.0,508.15,601.15,1179800,107.19
2008-03-11,593.0,635.75,575.0,623.7,1134100,111.21
2008-03-12,640.0,649.95,591.0,602.9,1053600,107.5
2008-03-13,585.0,600.0,562.05,566.3,827500,100.98
2008-03-14,569.0,577.0,554.05,561.0,785900,100.03
2008-03-17,549.0,549.0,507.0,511.45,1007800,91.2
2008-03-18,505.0,525.0,490.0,502.4,1288000,89.58
2008-03-19,530.0,530.0,495.0,497.75,980100,88.75
2008-03-24,502.0,505.9,465.0,469.2,2714500,83.66
2008-03-25,475.0,505.0,465.05,497.15,3733700,88.65
2008-03-26,502.0,522.0,490.25,504.05,1392000,89.88
2008-03-27,496.1,521.0,486.0,516.0,1798600,92.01
2008-03-28,515.0,619.2,515.0,619.2,1546300,110.41
2008-03-31,625.0,673.4,570.0,578.75,10674900,103.2
2008-04-01,585.0,617.0,584.75,592.2,3644100,105.59
2008-04-02,623.8,633.4,601.0,608.35,4337700,108.47
2008-04-03,611.0,621.4,592.1,602.3,3900100,107.39
2008-04-04,614.0,614.0,585.0,593.2,1934400,105.77
2008-04-07,595.0,605.3,570.0,593.4,2330800,105.81
2008-04-08,625.0,625.0,585.1,589.65,1088600,105.14
2008-04-09,580.5,623.0,575.15,597.75,2537100,106.58
2008-04-10,615.0,615.0,586.0,608.6,2475000,108.52
2008-04-11,610.0,620.0,605.0,610.2,1507600,108.8
2008-04-15,605.0,650.0,600.0,642.55,3662300,114.57
2008-04-16,657.0,662.0,632.0,637.4,2202700,113.65
2008-04-17,648.8,659.4,621.05,626.35,2212400,111.68
2008-04-21,640.0,654.95,633.1,645.15,1285800,115.04
2008-04-22,640.0,673.4,638.15,665.85,2873400,118.73
2008-04-23,675.0,677.9,652.4,666.7,1812700,118.88
2008-04-24,668.0,677.85,658.1,665.25,1279100,118.62
2008-04-25,670.0,718.0,659.1,712.15,7553000,126.98
2008-04-28,725.0,741.1,703.0,736.45,5360700,131.31
2008-04-29,738.25,748.0,711.1,740.6,3002800,132.05
2008-04-30,740.0,774.0,715.0,760.15,3655400,135.54
2008-05-02,766.25,788.0,763.65,766.65,3037300,136.7
2008-05-05,681.7,781.7,681.7,754.4,1242700,134.52
2008-05-06,730.0,767.9,725.1,757.9,2093200,135.14
2008-05-07,762.0,774.5,745.0,768.5,1476900,137.03
2008-05-08,760.0,785.0,752.0,781.5,2113100,139.35
2008-05-09,770.45,803.75,770.0,783.75,3288700,139.75
2008-05-12,719.2,814.8,719.2,807.55,6228700,143.99
2008-05-13,818.4,827.5,786.15,792.85,2345600,141.37
2008-05-14,790.0,802.25,782.0,789.2,842200,140.72
2008-05-15,795.0,808.9,785.0,790.85,698300,141.01
2008-05-16,795.0,800.0,771.2,775.6,924100,138.3
2008-05-20,776.0,904.7,770.0,884.05,17805600,157.63
2008-05-21,894.55,926.0,869.8,901.35,12583100,160.72
2008-05-22,897.8,914.95,868.05,884.4,6699300,157.7
2008-05-23,890.0,904.0,846.0,853.65,3459000,152.21
2008-05-26,848.45,905.4,829.0,887.45,5059000,158.24
2008-05-27,909.9,926.0,860.4,873.05,6401400,155.67
2008-05-28,873.0,883.0,835.0,841.0,3088300,149.96
2008-05-29,851.15,867.9,829.15,834.85,2239500,148.86
2008-05-30,843.1,847.7,760.0,790.4,4255700,140.93
2008-06-02,795.5,827.0,760.05,765.8,4245800,136.55
2008-06-03,741.0,769.9,733.35,739.4,2664200,131.84
