Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,94.0,97.5,93.3,96.7,20800,59.36
2002-07-02,96.45,100.9,96.05,98.25,29500,60.31
2002-07-03,99.7,101.0,98.05,98.75,13100,60.62
2002-07-04,100.0,107.4,98.1,104.15,72300,63.93
2002-07-05,105.25,109.5,104.7,105.5,64700,64.76
2002-07-08,108.0,111.0,106.2,109.45,47600,67.19
2002-07-09,109.0,111.4,108.1,109.5,38300,67.22
2002-07-10,103.0,111.75,103.0,110.8,41800,68.02
2002-07-11,101.55,103.0,100.1,100.3,38500,67.68
2002-07-12,101.0,102.85,96.5,97.3,22800,65.65
2002-07-15,95.2,97.95,91.5,91.8,19700,61.94
2002-07-16,90.75,92.7,89.75,90.85,12200,61.3
2002-07-17,90.65,91.5,85.9,87.25,15500,58.87
2002-07-18,89.95,93.9,88.0,92.85,19400,62.65
2002-07-19,92.0,92.5,90.15,91.5,12700,61.74
2002-07-22,88.0,91.45,86.25,87.05,15500,58.74
2002-07-23,87.75,89.0,87.25,88.4,8500,59.65
2002-07-24,87.0,87.9,86.1,86.6,6900,58.43
2002-07-25,88.7,88.7,86.5,86.75,3200,58.53
2002-07-26,86.5,86.85,83.5,84.05,7900,56.71
2002-07-29,83.0,83.1,78.3,80.65,7900,54.42
2002-07-30,81.5,84.8,81.5,81.95,13900,55.3
2002-07-31,78.0,83.5,76.3,81.7,15600,55.13
2002-08-01,83.85,85.95,82.3,85.05,12100,57.39
2002-08-02,83.4,84.7,82.75,83.15,6500,56.11
2002-08-05,85.5,88.9,84.55,87.9,16100,59.31
2002-08-06,86.0,89.0,86.0,88.55,7800,59.75
2002-08-07,88.5,92.1,88.5,90.0,21000,60.73
2002-08-08,89.5,89.9,86.05,86.35,8000,58.27
2002-08-09,86.25,87.95,86.1,87.65,2600,59.14
2002-08-12,87.9,89.0,87.0,87.8,4000,59.24
2002-08-13,85.0,88.45,85.0,87.55,3100,59.07
2002-08-14,87.75,88.5,87.2,87.45,2800,59.01
2002-08-16,88.0,89.0,87.2,88.85,4400,59.95
2002-08-19,89.0,89.0,87.1,87.35,4800,58.94
2002-08-20,88.6,89.35,87.25,88.95,7000,60.02
2002-08-21,89.2,89.95,88.15,88.45,10000,59.68
2002-08-22,89.7,95.0,89.7,94.2,35400,63.56
2002-08-23,95.3,96.05,93.2,95.3,22100,64.3
2002-08-26,95.0,96.65,93.0,93.15,10500,62.85
2002-08-27,92.8,93.55,91.5,92.0,5200,62.08
2002-08-28,91.75,91.9,89.55,90.0,6900,60.73
2002-08-29,92.0,92.0,89.2,89.8,3100,60.59
2002-08-30,90.9,91.2,89.55,90.05,4100,60.76
2002-09-02,90.0,93.0,85.5,90.1,4700,60.8
2002-09-03,90.1,92.0,90.1,91.15,7800,61.5
2002-09-04,87.5,90.75,87.5,89.9,3900,60.66
2002-09-05,96.0,96.0,89.6,89.95,7600,60.69
2002-09-06,90.0,93.0,89.0,89.65,8800,60.49
2002-09-09,87.0,88.5,86.5,88.2,9400,59.51
2002-09-11,94.75,95.0,88.5,90.4,6300,61.0
2002-09-12,90.3,91.45,89.65,91.2,4400,61.54
2002-09-13,92.25,92.25,89.05,89.85,7200,60.63
2002-09-16,89.1,90.45,89.0,89.85,6500,60.63
2002-09-17,90.0,92.0,90.0,91.45,8900,61.71
2002-09-18,91.05,91.75,90.0,91.05,11100,61.44
2002-09-19,91.0,91.75,90.5,91.25,11400,61.57
2002-09-20,88.0,94.0,88.0,92.2,15700,62.21
2002-09-23,92.0,99.9,92.0,98.4,68100,66.4
2002-09-24,103.0,103.0,96.0,98.4,52500,66.4
2002-09-25,96.1,97.5,95.0,96.7,21400,65.25
2002-09-26,96.25,99.5,96.25,98.3,9400,66.33
2002-09-27,99.0,104.5,97.65,101.6,39200,68.56
2002-09-30,102.95,104.0,100.0,100.7,19200,67.95
2002-10-01,100.25,102.0,98.5,101.3,9300,68.35
2002-10-03,102.5,102.6,100.5,101.25,10400,68.32
2002-10-04,100.25,101.9,100.25,101.15,7300,68.25
2002-10-07,101.55,105.0,101.55,104.3,15100,70.38
2002-10-08,104.0,104.65,102.8,103.9,12800,70.11
2002-10-09,104.0,104.0,101.25,101.95,6000,68.79
2002-10-10,103.0,104.0,100.7,102.55,12300,69.2
2002-10-11,101.2,103.1,101.2,102.95,5700,69.47
2002-10-14,101.85,103.4,101.55,102.7,1500,69.3
2002-10-16,103.0,103.7,101.5,101.95,4700,68.79
2002-10-17,102.5,102.5,101.15,101.65,1800,68.59
2002-10-18,103.8,104.3,102.15,103.35,7400,69.74
2002-10-21,103.8,105.0,103.25,104.65,4600,70.61
2002-10-22,105.0,105.55,103.5,103.75,9800,70.01
2002-10-23,106.9,106.9,101.15,101.95,11000,68.79
2002-10-24,103.35,104.75,99.25,99.9,14200,67.41
2002-10-25,101.0,101.85,99.3,99.6,8000,67.21
2002-10-28,99.2,100.2,99.0,99.2,2100,66.94
2002-10-29,99.1,101.8,99.0,101.15,4300,68.25
2002-10-30,101.3,101.5,99.35,100.1,2200,67.54
2002-10-31,100.25,101.95,100.0,100.6,3200,67.88
2002-11-01,101.8,101.8,100.55,100.75,800,67.98
2002-11-04,101.0,101.25,99.15,100.3,4400,67.68
2002-11-05,101.0,102.0,101.0,101.75,2700,68.66
2002-11-07,102.0,103.75,102.0,102.95,4200,69.47
2002-11-08,101.15,108.0,101.15,106.15,16300,71.63
2002-11-11,105.0,107.75,103.3,104.35,10100,70.41
2002-11-12,105.0,108.0,105.0,105.55,10100,71.22
2002-11-13,105.8,106.0,104.9,105.0,11000,70.85
2002-11-14,105.05,106.75,105.0,105.2,3900,70.98
2002-11-15,105.55,106.85,105.0,106.65,9700,71.96
2002-11-18,106.9,107.2,106.0,106.1,9800,71.59
2002-11-20,105.0,114.8,105.0,112.9,47100,76.18
2002-11-21,113.0,119.9,113.0,114.2,40800,77.06
2002-11-22,115.05,115.75,112.25,113.5,15400,76.58
2002-11-25,113.7,115.3,112.7,114.1,10300,76.99
2002-11-26,106.0,119.0,106.0,114.2,40000,77.06
2002-11-27,115.0,118.95,114.0,116.55,22000,78.64
2002-11-28,117.0,118.0,114.0,114.65,13000,77.36
2002-11-29,114.25,116.5,114.0,116.2,10100,78.41
2002-12-02,116.95,120.0,115.05,118.9,24300,80.23
2002-12-03,119.0,119.0,116.0,116.05,13200,78.31
2002-12-04,114.05,117.4,114.05,116.05,6500,78.31
2002-12-05,115.6,117.0,115.05,116.65,3900,78.71
2002-12-06,116.55,118.7,116.0,117.6,13500,79.35
2002-12-09,118.0,118.6,116.15,116.65,5800,78.71
2002-12-10,116.05,117.15,115.5,116.6,6900,78.68
2002-12-11,117.0,118.0,116.05,117.25,4200,79.11
2002-12-12,116.5,117.6,115.55,116.45,10400,78.58
