Date,Open,High,Low,Close,Volume,Adj Close
2006-06-23,665.0,685.0,572.1,669.6,43589100,49.926
2006-06-26,677.0,685.5,578.1,603.55,9980100,45.001000000000005
2006-06-27,594.0,602.0,566.1,581.5,5978700,43.357
2006-06-28,561.5,629.0,559.0,611.15,9713700,45.568000000000005
2006-06-29,621.0,667.0,616.15,649.85,10653400,48.453
2006-06-30,660.0,687.0,650.0,657.95,8120400,49.056999999999995
2006-07-03,660.0,667.0,650.0,655.1,1799600,48.843999999999994
2006-07-04,659.75,664.9,650.0,653.05,539700,48.692
2006-07-05,649.0,680.0,642.1,676.35,2019100,50.428999999999995
2006-07-06,669.0,699.9,653.9,661.9,5854700,49.352
2006-07-07,665.0,677.2,645.1,647.95,1363600,48.31100000000001
2006-07-10,635.0,663.0,635.0,653.75,744000,48.744
2006-07-11,656.9,667.0,654.0,661.75,604500,49.34
2006-07-12,650.1,668.0,630.15,656.25,212300,48.93
2006-07-13,650.15,667.9,650.15,654.6,306400,48.806999999999995
2006-07-14,641.0,655.0,633.6,640.5,232000,47.756
2006-07-17,633.15,652.5,615.2,626.45,187300,46.708
2006-07-18,633.9,635.6,610.0,617.9,181000,46.071000000000005
2006-07-19,621.0,628.45,614.0,615.15,362000,45.86600000000001
2006-07-20,628.9,628.9,601.0,606.7,261600,45.236000000000004
2006-07-21,601.1,612.5,584.0,594.1,58600,44.29600000000001
2006-07-24,600.0,600.0,564.25,572.65,38300,42.696999999999996
2006-07-25,576.0,584.0,572.55,575.3,29000,42.895
2006-07-26,575.0,597.9,572.1,593.75,94600,44.27
2006-07-27,604.0,608.75,590.25,596.3,36800,44.46
2006-07-28,588.0,601.0,565.5,569.9,48100,42.492
2006-07-31,590.0,616.0,576.0,598.35,70500,44.613
2006-08-01,590.0,597.0,586.25,591.55,17600,44.106
2006-08-02,590.0,611.7,590.0,603.45,168700,44.993
2006-08-03,60.65,63.1,60.6,62.09,121100,4.629
2006-08-04,622.0,624.9,615.05,620.4,22600,46.257
2006-08-07,618.0,618.0,606.0,608.4,10800,45.363
2006-08-08,612.0,640.0,612.0,632.3,79600,47.145
2006-08-09,639.0,659.0,626.5,653.6,90400,48.733000000000004
2006-08-10,653.6,694.0,605.0,671.45,1014700,50.06399999999999
2006-08-11,689.0,689.0,645.5,653.65,120200,48.736000000000004
2006-08-14,665.0,665.0,645.0,653.3,37400,48.71
2006-08-16,659.8,665.0,646.4,654.8,29600,48.821999999999996
2006-08-17,660.0,660.0,635.0,638.25,11900,47.588
2006-08-18,654.8,675.0,630.0,651.35,117500,48.565
2006-08-21,608.0,660.0,608.0,657.9,93900,49.053000000000004
2006-08-22,655.0,659.95,650.0,650.4,47700,48.494
2006-08-23,645.0,688.7,645.0,657.85,541800,49.05
2006-08-24,655.0,679.0,655.0,674.0,63600,50.254
2006-08-25,680.0,684.0,663.5,679.0,280900,50.626000000000005
2006-08-28,650.0,690.0,632.4,678.3,171900,50.574
2006-08-29,672.0,681.0,672.0,678.15,74300,50.563
2006-08-30,655.0,680.0,655.0,679.1,47800,50.63399999999999
2006-08-31,667.0,680.0,667.0,677.9,53900,50.544
2006-09-01,667.05,677.95,667.0,674.25,73200,50.272
2006-09-04,670.5,687.0,670.0,675.5,92700,50.36600000000001
2006-09-05,670.05,682.8,670.0,680.3,121400,50.723
2006-09-06,674.2,685.0,674.2,679.0,61500,50.626000000000005
2006-09-07,638.35,681.8,638.35,675.6,64500,50.373000000000005
2006-09-08,683.0,684.35,675.35,679.65,32300,50.675
2006-09-11,679.95,680.0,664.4,669.1,43700,49.888000000000005
2006-09-12,664.05,675.0,662.5,669.9,201700,49.948
2006-09-13,675.0,675.0,666.5,674.6,12000,50.298
2006-09-14,645.0,683.0,645.0,680.3,44500,50.723
2006-09-15,640.0,682.0,640.0,679.2,40500,50.641000000000005
2006-09-18,680.0,684.0,672.0,682.1,63800,50.858000000000004
2006-09-19,675.0,685.0,668.05,675.65,24700,50.376999999999995
2006-09-20,679.95,679.95,667.5,671.65,3200,50.078
2006-09-21,670.0,681.0,665.0,667.05,78700,50.872
2006-09-22,627.05,675.0,627.05,666.2,8300,50.806999999999995
2006-09-25,665.0,679.9,656.55,666.65,7300,50.841
2006-09-26,647.0,682.0,647.0,662.85,26600,50.551
2006-09-27,657.5,677.0,657.0,673.45,11100,51.36
2006-09-28,668.0,675.0,665.0,665.6,3000,50.761
2006-09-29,665.2,685.0,665.0,681.35,189400,51.961999999999996
2006-10-03,682.0,684.95,674.2,684.35,52300,52.191
2006-10-04,689.2,725.0,686.25,700.7,271600,53.438
2006-10-05,706.0,719.0,701.0,716.55,62200,54.647
2006-10-06,706.0,775.0,706.0,750.9,277000,57.266000000000005
2006-10-09,800.0,800.0,730.05,768.15,208600,58.582
2006-10-10,780.0,830.0,727.0,799.5,1237600,60.973
2006-10-11,809.75,833.5,796.7,800.95,588900,61.083
2006-10-12,808.0,815.0,801.0,812.8,442100,61.986999999999995
2006-10-13,820.0,829.5,810.0,817.2,283900,62.323
2006-10-16,810.0,818.0,806.1,811.3,186600,61.873000000000005
2006-10-17,805.1,810.0,800.0,807.15,79600,61.556000000000004
2006-10-18,807.05,813.0,785.1,786.45,118000,59.977
2006-10-19,791.0,795.9,781.1,786.95,36400,60.016000000000005
2006-10-20,798.0,829.85,795.05,809.5,246200,61.735
2006-10-23,840.0,845.0,805.1,806.1,325500,61.476000000000006
2006-10-26,809.0,835.0,809.0,828.0,59900,63.146
2006-10-27,835.0,849.0,782.0,844.0,135700,64.366
2006-10-30,839.0,844.0,821.0,828.1,186200,63.153999999999996
2006-10-31,778.4,844.9,778.4,838.9,116600,63.977
2006-11-01,844.9,852.0,823.0,829.15,204500,63.233999999999995
2006-11-02,820.0,839.9,820.0,830.05,98400,63.303000000000004
2006-11-03,835.0,835.0,821.4,830.25,138600,63.318000000000005
2006-11-06,825.0,845.0,825.0,843.5,340900,64.328
2006-11-07,839.95,845.0,822.0,830.75,152200,63.356
2006-11-08,838.95,839.15,820.0,826.1,26900,63.001000000000005
2006-11-09,824.95,848.5,823.9,844.35,109000,66.403
2006-11-10,830.0,854.0,820.0,822.25,238600,64.665
2006-11-13,843.0,851.0,825.0,835.25,81000,65.687
2006-11-14,849.0,969.0,835.0,940.45,1093700,73.96
2006-11-15,938.0,1014.8,908.65,968.75,1761000,76.186
2006-11-16,975.0,1024.0,965.0,976.45,573400,76.791
2006-11-17,967.0,1024.0,967.0,1014.55,825200,79.788
2006-11-20,999.0,1024.0,973.0,997.7,191400,78.46300000000001
2006-11-21,1018.0,1097.5,991.15,1097.5,714800,86.311
2006-11-22,1115.0,1154.0,1065.0,1091.3,849500,85.824
2006-11-23,1092.0,1115.0,1032.0,1051.75,328300,82.713
2006-11-24,1051.75,1079.9,1005.0,1011.05,208900,79.513
2006-11-27,1025.0,1039.9,977.5,1011.7,162500,79.564
2006-11-28,981.0,1023.75,975.0,982.05,175500,77.232
2006-11-29,998.0,1017.9,980.0,988.2,105900,77.71600000000001
2006-11-30,993.2,1015.0,960.0,985.4,129300,77.495
2006-12-01,998.85,1083.95,995.0,1075.85,713600,84.609
2006-12-04,1041.25,1076.0,1025.0,1058.7,319200,83.26
2006-12-05,1076.0,1118.0,1061.0,1078.55,766300,84.821
2006-12-06,1097.0,1099.0,1038.0,1050.9,91100,82.646
2006-12-07,1050.0,1075.0,1040.35,1060.65,70400,83.413
2006-12-08,1070.0,1071.0,1025.0,1040.1,76500,81.797
2006-12-11,1045.0,1075.0,960.0,1017.4,165300,80.012
2006-12-12,985.0,1030.0,982.0,1002.75,111500,78.86
2006-12-13,1015.0,1035.0,977.05,1029.4,54400,80.956
2006-12-14,1020.0,1039.65,1013.15,1022.95,32900,80.44800000000001
2006-12-15,1043.9,1075.0,1030.0,1031.2,41600,81.097
2006-12-18,1058.0,1058.0,1014.1,1029.95,20800,80.999
2006-12-19,1030.0,1033.0,1008.0,1024.65,21600,80.582
2006-12-20,1015.0,1036.65,992.1,1003.35,11500,78.907
2006-12-21,983.0,1035.0,983.0,1017.0,30100,79.98
2006-12-22,1094.0,1094.0,1000.0,1018.25,57300,80.079
2006-12-26,1033.0,1045.0,1010.05,1013.75,15200,79.725
2006-12-27,1040.0,1040.0,1002.6,1008.75,8800,79.332
2006-12-28,1020.0,1020.0,1000.0,1000.2,18200,78.65899999999999
2006-12-29,1029.0,1100.25,1016.0,1062.4,466900,83.551
2007-01-02,1083.0,1168.65,1083.0,1168.65,380600,91.90700000000001
2007-01-03,1207.9,1274.8,1200.0,1236.75,737200,97.262
2007-01-04,1249.8,1285.0,1212.5,1226.35,459300,96.444
2007-01-05,1231.9,1287.7,1205.15,1287.4,524700,101.24600000000001
2007-01-08,1290.0,1343.8,1240.0,1282.7,516400,100.876
2007-01-09,1296.9,1309.95,1260.05,1273.35,227600,100.141
2007-01-10,1285.0,1305.0,1245.05,1274.55,103500,100.235
2007-01-11,1278.0,1309.0,1248.0,1301.75,190000,102.374
2007-01-12,1335.0,1355.1,1275.5,1296.3,157600,101.946
2007-01-15,1328.0,1329.0,1277.05,1296.8,37800,101.985
2007-01-16,1288.45,1300.0,1270.0,1276.75,18500,100.40799999999999
2007-01-17,1275.0,1291.95,1256.2,1264.95,19500,99.48
2007-01-18,1250.0,1310.0,1250.0,1276.6,37800,100.396
2007-01-19,1307.0,1309.0,1256.3,1264.3,8300,99.429
2007-01-22,1270.0,1270.0,1252.0,1261.3,12400,99.193
2007-01-23,1277.0,1278.0,1256.3,1256.65,7000,98.82700000000001
2007-01-24,1226.0,1297.0,1225.05,1272.85,21200,100.101
2007-01-25,1261.0,1299.0,1261.0,1285.65,17200,101.10799999999999
2007-01-29,1290.0,1290.0,1255.0,1257.3,13500,98.87799999999999
2007-01-31,1298.0,1298.0,1253.1,1258.35,20500,98.961
2007-02-01,1259.9,1284.0,1258.0,1279.9,43100,100.656
2007-02-02,1280.0,1280.0,1260.1,1272.05,8600,100.038
2007-02-05,1265.1,1300.0,1235.0,1241.15,21700,97.60799999999999
2007-02-06,1270.9,1281.0,1245.0,1278.7,60000,100.561
2007-02-07,1232.9,1281.0,1232.9,1270.55,7700,99.921
2007-02-08,1265.0,1275.0,1211.0,1272.8,75700,100.09700000000001
2007-02-09,1251.35,1268.0,1220.0,1226.2,22900,96.43299999999999
2007-02-12,1211.0,1275.0,1135.0,1165.55,9100,91.663
2007-02-13,1156.0,1200.0,1150.0,1167.15,21500,91.789
2007-02-14,1220.0,1220.0,1112.35,1125.3,11700,88.49799999999999
2007-02-15,1190.0,1194.0,1145.0,1167.25,2900,91.79700000000001
2007-02-19,1175.0,1200.0,1112.0,1117.95,13600,87.92
2007-02-20,1126.5,1130.0,1098.0,1100.65,11700,86.559
2007-02-21,1051.05,1135.0,1051.0,1127.55,12000,88.67399999999999
2007-02-22,1199.0,1199.0,1090.0,1136.5,28200,89.37799999999999
2007-02-23,1165.0,1165.0,1085.0,1120.9,15800,88.152
2007-02-26,1071.0,1140.0,1065.0,1098.85,19000,86.417
2007-02-27,1134.9,1150.0,1105.0,1113.3,21200,87.554
2007-02-28,1002.5,1105.7,1002.5,1099.8,26700,86.492
2007-03-01,1071.0,1120.0,1071.0,1091.75,11200,85.859
2007-03-02,1090.0,1100.0,1046.0,1093.75,35300,86.016
2007-03-05,1099.9,1099.9,1005.05,1025.35,12500,80.637
2007-03-06,950.05,1076.85,950.05,1012.7,12300,79.642
2007-03-07,1002.0,1075.0,1001.0,1069.8,14700,84.133
2007-03-08,1087.9,1087.9,1025.0,1073.55,28600,84.428
2007-03-09,1097.9,1097.9,1025.0,1039.2,9800,81.726
2007-03-12,1088.0,1090.0,1051.0,1078.5,12900,84.81700000000001
2007-03-13,1050.0,1084.75,1050.0,1070.25,46100,84.16799999999999
2007-03-14,1055.0,1060.0,1010.0,1024.6,58700,80.578
2007-03-15,1031.0,1035.3,980.0,1014.7,58600,79.8
2007-03-16,1111.0,1111.0,1000.0,1019.55,14500,80.181
2007-03-19,990.0,1050.0,990.0,1044.65,12900,82.155
2007-03-20,1025.0,1050.0,1019.0,1045.3,51200,82.206
2007-03-21,1024.0,1040.0,1017.0,1020.3,25800,81.805
2007-03-22,1015.0,1070.0,968.5,1053.45,19600,84.463
2007-03-23,1050.0,1050.0,1022.0,1031.35,107200,82.691
2007-03-26,1017.0,1130.0,1002.05,1094.45,13600,87.75
2007-03-28,1108.0,1135.0,1045.0,1058.65,223900,84.88
2007-03-29,1020.05,1060.0,1020.05,1045.55,248200,83.83
2007-03-30,1061.0,1061.0,1045.0,1059.65,16300,84.96
2007-04-02,1049.9,1049.9,1001.0,1005.75,5300,80.639
2007-04-03,1000.0,1050.0,1000.0,1020.2,2100,81.797
2007-04-04,1025.0,1039.0,1021.0,1021.75,2700,81.921
2007-04-05,1029.95,1055.0,1013.1,1049.45,23100,84.14200000000001
2007-04-09,1060.0,1060.0,1031.0,1040.15,21500,83.397
2007-04-10,1060.0,1060.0,1017.1,1032.45,12600,82.779
2007-04-11,1030.0,1049.75,1016.05,1031.3,4900,82.68700000000001
2007-04-12,1058.8,1058.8,1022.0,1046.0,2900,83.866
2007-04-13,1021.05,1050.0,1021.05,1049.55,9800,84.15
2007-04-16,1060.05,1060.05,1045.0,1047.4,47000,83.978
2007-04-17,1059.0,1059.0,1020.2,1037.55,508100,83.18799999999999
2007-04-18,1027.0,1049.9,1027.0,1030.2,6900,82.59899999999999
2007-04-19,1040.5,1040.5,1020.0,1025.0,700,82.182
2007-04-20,1048.8,1048.8,1030.0,1030.0,31700,82.583
2007-04-23,1038.0,1045.0,1035.0,1037.4,3300,83.176
2007-04-24,1021.5,1050.0,1020.0,1034.05,5200,82.90799999999999
2007-04-25,1060.0,1072.0,1050.0,1057.8,79100,84.81200000000001
2007-04-26,1070.0,1070.0,1036.05,1054.45,114700,84.54299999999999
2007-04-27,1100.0,1148.0,1009.0,1055.55,30900,84.631
2007-04-30,1031.1,1050.0,1030.0,1048.4,23400,84.05799999999999
2007-05-03,1050.0,1059.95,1027.1,1053.85,47000,84.495
2007-05-04,1047.0,1054.0,1033.05,1041.05,3400,83.469
2007-05-07,1048.3,1057.0,1028.0,1029.7,7500,82.559
2007-05-08,1046.0,1048.0,1011.0,1020.25,3400,81.801
2007-05-09,1020.0,1039.95,1005.0,1013.95,6300,81.296
2007-05-10,1010.5,1029.0,1000.0,1007.95,26600,80.815
2007-05-11,1003.05,1030.0,1003.05,1029.0,4800,82.50299999999999
2007-05-14,1026.0,1033.95,1020.0,1023.1,2300,82.03
2007-05-15,1040.0,1040.0,1015.3,1027.8,5900,82.40700000000001
2007-05-16,1005.0,1036.3,1002.0,1019.7,11300,81.757
2007-05-17,1039.0,1039.0,1002.5,1008.65,7400,80.87100000000001
2007-05-18,1005.0,1029.0,995.0,1010.8,11200,81.043
2007-05-21,1035.0,1035.0,1001.0,1016.7,6100,81.517
2007-05-22,1006.0,1015.5,996.1,1014.45,2100,81.336
2007-05-23,1015.0,1017.9,994.5,1002.2,5300,80.354
2007-05-24,1000.0,1000.0,980.15,986.7,8400,79.111
2007-05-25,982.0,990.0,972.0,978.3,10200,78.438
2007-05-28,985.0,999.0,966.0,976.35,5500,78.281
2007-05-29,971.0,1012.9,960.0,1002.45,435600,80.374
2007-05-30,965.0,1000.0,965.0,976.2,7300,78.26899999999999
2007-05-31,997.6,997.6,977.1,992.35,2100,79.564
2007-06-01,98.245,99.3,97.0,97.665,9700,7.831
2007-06-04,993.5,993.5,971.0,971.65,2200,77.905
2007-06-05,975.0,1000.0,971.0,997.65,67500,79.98899999999999
2007-06-06,999.9,999.9,962.05,962.85,3400,77.199
2007-06-07,979.5,979.5,965.0,968.5,5500,77.652
2007-06-08,970.0,980.0,941.0,945.45,9000,75.804
2007-06-11,979.95,979.95,952.0,967.75,1700,77.592
2007-06-12,950.0,968.95,940.0,946.8,1900,75.91199999999999
2007-06-13,947.25,963.0,945.0,946.6,1300,75.896
2007-06-14,931.0,959.0,928.0,952.1,800,76.337
2007-06-15,950.15,958.5,935.0,943.8,91100,75.672
2007-06-18,940.0,955.0,920.05,950.15,10000,76.181
2007-06-19,979.0,979.0,945.05,954.95,16500,76.566
2007-06-20,945.7,980.0,940.0,970.85,60600,77.84
2007-06-21,966.4,979.9,952.1,970.6,11800,77.82
2007-06-22,970.0,974.0,950.1,963.55,2700,77.255
