Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,27.52,28.13,27.4,27.99,630400,7.355
2002-07-02,27.99,28.27,27.73,27.97,1007200,7.3498
2002-07-03,27.77,27.98,27.4,27.56,178000,7.242000000000001
2002-07-04,27.53,27.73,27.47,27.55,199200,7.2394
2002-07-05,27.47,27.97,27.36,27.57,138500,7.2447
2002-07-08,28.0,28.27,27.07,27.78,216400,7.2998
2002-07-09,28.0,28.27,26.95,27.2,1158400,7.1474
2002-07-10,27.32,27.32,26.7,26.89,384800,7.066
2002-07-11,26.87,26.93,26.37,26.49,1189300,6.9609
2002-07-12,26.47,26.93,26.41,26.51,1100700,6.9661
2002-07-15,26.4,26.53,26.17,26.39,758500,6.9346
2002-07-16,26.67,26.67,26.15,26.26,573500,6.9004
2002-07-17,26.27,26.37,26.09,26.22,147100,6.8899
2002-07-18,26.01,26.53,26.01,26.28,112000,6.9057
2002-07-19,26.13,26.27,25.8,25.93,249900,6.8137
2002-07-22,26.0,26.0,25.27,25.47,341400,6.6928
2002-07-23,25.33,26.53,24.81,24.95,457700,6.5562
2002-07-24,24.8,24.8,24.53,24.67,298400,6.4826
2002-07-25,25.33,25.33,23.73,24.05,1339500,6.3197
2002-07-26,24.0,24.4,23.27,23.53,1189300,6.1831
2002-07-29,24.27,24.27,23.07,23.28,451400,6.1174
2002-07-30,22.68,23.6,22.68,22.96,899800,6.0333
2002-07-31,22.69,23.32,22.6,22.66,732400,5.9544
2002-08-01,23.2,23.2,22.28,22.59,724000,5.936
2002-08-02,22.44,22.57,22.15,22.37,465900,5.8782
2002-08-05,22.4,22.67,21.74,21.95,1924500,5.7679
2002-08-06,22.26,22.47,21.81,22.29,1673600,5.8572
2002-08-07,22.67,22.93,22.27,22.62,893800,5.9439
2002-08-08,22.8,22.8,22.0,22.21,304300,5.8362
2002-08-09,22.09,22.6,21.87,22.23,455300,5.8414
2002-08-12,34.185,34.185,33.21,33.375,239200,8.7701
2002-08-13,34.005,34.005,33.405,33.6,232600,8.8292
2002-08-14,33.6,33.6,32.325,33.015,532300,9.526
2002-08-16,33.6,33.6,32.925,32.985,960500,9.5173
2002-08-19,33.405,33.465,33.105,33.195,418300,9.5779
2002-08-20,33.795,33.795,32.7,32.955,1445800,9.5087
2002-08-21,32.82,33.405,32.82,33.015,2020500,9.526
2002-08-22,33.195,33.555,33.15,33.195,1757700,9.5779
2002-08-23,33.285,33.345,33.105,33.15,616200,9.5649
2002-08-26,33.24,33.24,32.895,32.955,2135900,9.5087
2002-08-27,32.82,33.0,32.625,32.79,619100,9.4611
2002-08-28,33.165,33.165,32.625,32.745,567000,9.4481
2002-08-29,33.0,33.0,32.595,32.745,592500,9.4481
2002-08-30,33.0,33.015,32.475,32.97,1051900,9.513
2002-09-02,33.405,34.605,32.805,33.465,1408400,9.6558
2002-09-03,33.495,33.495,32.925,32.985,852000,9.5173
2002-09-04,33.195,33.195,32.91,33.015,283500,9.526
2002-09-05,33.195,33.795,32.46,33.525,1242200,9.6731
2002-09-06,33.78,33.96,33.045,33.225,1146500,9.5866
2002-09-09,32.4,33.345,32.4,33.24,454100,9.5909
2002-09-11,33.405,33.6,33.285,33.36,546200,9.6255
2002-09-12,33.405,35.7,33.3,35.385,4144200,10.2098
2002-09-13,35.355,36.975,34.89,34.95,820200,10.0843
2002-09-16,34.995,35.805,34.41,34.575,522700,9.9761
2002-09-17,34.8,34.905,34.545,34.665,185000,10.0021
2002-09-18,34.35,34.8,34.35,34.59,310700,9.9804
2002-09-19,33.81,34.635,33.81,34.11,312800,9.8419
2002-09-20,34.875,34.875,33.495,34.065,503800,9.829
2002-09-23,33.855,34.65,33.72,33.75,430700,9.7381
2002-09-24,34.08,34.08,33.075,33.51,290700,9.6688
2002-09-25,33.24,33.555,33.105,33.27,330200,9.5996
2002-09-26,33.225,33.495,33.105,33.165,355000,9.5693
2002-09-27,33.555,33.555,33.045,33.225,684300,9.5866
2002-09-30,32.745,33.285,32.595,32.715,1091700,9.4394
2002-10-01,33.0,33.0,32.205,32.565,943500,9.3962
2002-10-03,32.595,33.165,32.4,32.88,745000,9.487
2002-10-04,33.0,33.105,32.295,32.625,1164800,9.4135
2002-10-07,32.535,32.895,32.535,32.655,1797300,9.4221
2002-10-08,32.31,33.09,32.31,32.985,851500,9.5173
2002-10-09,33.0,33.255,32.82,33.18,546200,9.5736
2002-10-10,33.6,33.6,33.045,33.27,508000,9.5996
2002-10-11,33.6,33.93,33.015,33.795,481900,9.7511
2002-10-14,34.605,34.605,33.855,33.915,376100,9.7857
2002-10-16,34.005,34.545,33.705,33.885,1161300,9.777000000000001
2002-10-17,34.095,34.095,33.405,33.585,515800,9.6905
2002-10-18,33.66,34.095,33.6,33.675,397400,9.7164
2002-10-21,33.645,34.2,32.595,33.99,182200,9.8073
2002-10-22,33.195,34.575,33.105,33.495,323400,9.6645
2002-10-23,33.765,33.765,33.105,33.24,306300,9.5909
2002-10-24,33.195,33.735,33.0,33.18,200300,9.5736
2002-10-25,33.405,33.705,31.905,32.265,1335100,9.3096
2002-10-28,32.01,33.09,31.095,31.305,638600,9.0326
2002-10-29,32.205,32.205,31.095,31.41,663400,9.0629
2002-10-30,30.795,31.185,30.795,31.035,1902300,8.9547
2002-10-31,31.035,35.205,30.795,31.14,1362300,8.985
2002-11-01,31.2,31.605,30.06,30.315,1417000,8.7469
2002-11-04,35.79,35.79,30.405,30.705,365000,8.8595
2002-11-05,30.405,30.975,30.405,30.81,762500,8.8898
2002-11-07,30.765,31.575,30.6,31.455,1556700,9.0759
2002-11-08,31.8,31.8,31.41,31.605,772500,9.1192
2002-11-11,31.395,31.755,31.095,31.425,492000,9.0672
2002-11-12,31.2,31.785,31.2,31.695,252900,9.1451
2002-11-13,31.95,32.385,31.8,32.025,810000,9.2403
2002-11-14,32.385,32.4,32.025,32.295,1954600,9.3182
2002-11-15,32.4,32.595,31.905,32.025,1543900,9.2403
2002-11-18,32.505,32.505,32.055,32.16,1156400,9.2793
2002-11-20,32.205,32.355,31.725,31.965,1166800,9.222999999999999
2002-11-21,31.995,32.175,31.725,31.86,858800,9.1927
2002-11-22,31.605,33.405,31.395,32.85,1498900,9.4784
2002-11-25,32.595,33.15,32.595,32.865,551900,9.4827
2002-11-26,33.36,33.36,32.805,32.865,279900,9.4827
2002-11-27,33.495,33.795,32.595,32.775,502800,9.4567
2002-11-28,32.85,33.15,32.73,32.835,1026600,9.4741
2002-11-29,22.13,22.25,21.33,21.91,499400,6.3218
2002-12-02,32.835,34.395,32.835,34.2,2044000,9.8679
2002-12-03,34.2,34.575,31.995,33.285,1061500,9.6039
2002-12-04,32.91,33.6,32.895,33.21,389600,9.5823
2002-12-05,33.015,33.885,32.895,33.315,231800,9.6126
2002-12-06,33.48,33.795,32.82,33.675,380800,9.7164
2002-12-09,31.665,34.005,31.665,33.255,296500,9.5952
2002-12-10,33.36,33.495,32.805,33.315,218200,9.6126
2002-12-11,32.64,33.645,32.625,33.495,561000,9.6645
2002-12-12,34.005,34.005,32.625,33.3,238600,9.6082
2002-12-13,33.0,33.675,32.82,33.615,187200,9.6991
2002-12-16,32.82,33.885,32.805,33.495,370500,9.6645
