Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,16.5,16.95,16.25,16.6,916500,8.9
2002-07-02,16.55,16.75,16.05,16.1,688300,8.63
2002-07-03,16.4,16.4,15.55,15.75,493000,8.45
2002-07-04,16.0,16.0,15.5,15.55,335300,8.34
2002-07-05,15.85,16.15,15.35,15.85,808300,8.5
2002-07-08,15.95,16.3,15.8,15.85,901400,8.5
2002-07-09,15.85,16.8,15.85,16.55,1611600,8.88
2002-07-10,16.7,16.85,16.05,16.1,600400,8.63
2002-07-11,15.95,16.4,15.7,15.8,513900,8.47
2002-07-12,16.2,16.2,15.65,15.75,372200,8.45
2002-07-15,16.25,16.45,15.4,15.45,454700,8.29
2002-07-16,15.3,15.6,15.1,15.15,302600,8.12
2002-07-17,15.25,15.35,14.85,15.05,380500,8.07
2002-07-18,15.2,15.35,14.9,15.0,409300,8.04
2002-07-19,15.1,15.15,14.8,14.85,231600,7.96
2002-07-22,15.05,15.2,14.55,14.55,308500,7.8
2002-07-23,14.05,15.0,14.05,14.9,262100,7.99
2002-07-24,15.0,15.0,14.5,14.55,421900,7.8
2002-07-25,14.75,14.8,14.4,14.5,256700,7.78
2002-07-26,14.85,14.9,13.85,13.9,392900,7.45
2002-07-29,14.0,14.05,13.1,13.75,425100,7.37
2002-07-30,13.95,14.25,13.65,13.85,308800,7.43
2002-07-31,14.0,14.0,13.05,13.7,719700,7.35
2002-08-01,13.8,14.5,13.7,14.1,251100,7.56
2002-08-02,14.0,14.3,13.75,14.1,199200,7.56
2002-08-05,14.15,14.4,14.1,14.3,117500,7.67
2002-08-06,14.15,14.6,14.1,14.5,178800,7.78
2002-08-07,14.5,14.85,14.3,14.35,196700,7.7
2002-08-08,14.0,14.5,13.95,14.0,239200,7.51
2002-08-09,14.0,14.3,13.95,14.15,129700,7.59
2002-08-12,14.2,14.45,13.9,13.95,158200,7.48
2002-08-13,14.1,14.35,14.0,14.2,77800,7.62
2002-08-14,14.0,14.2,13.95,14.0,106200,7.51
2002-08-16,14.05,14.15,13.85,13.9,345800,7.45
2002-08-19,14.1,14.1,13.85,13.9,156800,7.45
2002-08-20,14.0,14.0,13.9,13.95,117200,7.48
2002-08-21,14.0,14.0,13.85,13.85,83900,7.43
2002-08-22,13.85,14.0,13.85,13.85,55800,7.43
2002-08-23,13.95,14.0,13.85,13.9,149700,7.45
2002-08-26,13.9,13.95,13.8,13.85,90000,7.43
2002-08-27,13.9,13.9,13.55,13.65,161000,7.32
2002-08-28,13.85,13.95,13.55,13.6,118900,7.29
2002-08-29,13.6,13.8,13.5,13.6,182100,7.29
2002-08-30,13.75,13.75,13.3,13.4,167000,7.19
2002-09-02,13.45,13.6,13.15,13.3,321600,7.13
2002-09-03,13.4,13.4,12.95,13.0,261800,6.97
2002-09-04,13.0,13.05,12.7,12.8,187000,6.86
2002-09-05,13.25,13.25,12.75,13.0,245400,6.97
2002-09-06,13.1,13.1,12.85,12.9,143300,6.92
2002-09-09,13.2,14.5,13.15,13.25,453100,7.11
2002-09-11,13.35,13.5,13.2,13.35,176000,7.16
2002-09-12,13.5,13.8,13.2,13.55,157800,7.27
2002-09-13,13.5,13.75,13.5,13.6,127500,7.29
2002-09-16,13.7,13.7,13.15,13.2,228600,7.08
2002-09-17,13.2,13.4,13.2,13.3,109900,7.13
2002-09-18,13.25,13.5,13.2,13.25,129300,7.11
2002-09-19,13.1,13.5,13.05,13.2,116200,7.08
2002-09-20,13.2,13.5,13.2,13.35,114900,7.16
2002-09-23,13.5,13.5,13.25,13.3,87200,7.13
2002-09-24,13.3,13.4,13.2,13.25,110400,7.11
2002-09-25,13.2,13.35,13.2,13.3,62100,7.13
2002-09-26,13.2,13.45,13.2,13.3,40300,7.13
2002-09-27,13.35,13.45,13.3,13.35,51900,7.16
2002-09-30,13.35,13.45,13.3,13.3,118300,7.13
2002-10-01,14.0,14.0,13.3,13.3,71900,7.13
2002-10-03,13.3,13.4,13.25,13.3,61900,7.13
2002-10-04,13.3,13.35,13.2,13.3,112500,7.13
2002-10-07,13.45,13.5,13.25,13.4,148800,7.19
2002-10-08,13.5,13.85,13.4,13.75,234600,7.37
2002-10-09,13.8,14.0,13.6,13.7,175500,7.35
2002-10-10,13.75,13.85,13.5,13.65,82300,7.32
2002-10-11,13.95,14.0,13.5,13.5,91700,7.24
2002-10-14,13.55,13.75,13.5,13.65,111800,7.32
2002-10-16,14.0,14.0,13.65,13.7,156900,7.35
2002-10-17,13.75,13.75,13.55,13.55,88000,7.27
2002-10-18,13.65,13.75,13.55,13.55,100900,7.27
2002-10-21,13.65,13.75,13.6,13.6,81300,7.29
2002-10-22,13.7,13.7,13.6,13.65,120100,7.32
2002-10-23,13.65,13.7,13.5,13.5,120300,7.24
2002-10-24,13.6,13.6,13.4,13.4,91800,7.19
2002-10-25,13.55,13.55,13.3,13.35,135300,7.16
2002-10-28,13.6,14.0,13.6,13.75,298700,7.37
2002-10-29,14.0,14.45,14.0,14.35,499900,7.7
2002-10-30,14.35,14.5,14.2,14.2,240100,7.62
2002-10-31,14.5,14.5,14.1,14.15,121200,7.59
2002-11-01,14.15,14.35,14.0,14.25,181600,7.64
2002-11-04,14.4,14.8,14.4,14.75,214400,7.91
2002-11-05,14.75,15.25,14.6,15.2,323800,8.15
2002-11-07,15.5,15.8,15.0,15.05,627900,8.07
2002-11-08,15.2,15.7,14.9,14.95,322500,8.02
2002-11-11,15.05,15.2,14.95,15.0,183700,8.04
2002-11-12,15.0,15.15,14.75,14.8,171900,7.94
2002-11-13,14.8,15.0,14.8,14.85,120600,7.96
2002-11-14,15.0,15.1,14.8,14.95,215400,8.02
2002-11-15,15.0,15.4,14.95,15.2,244800,8.15
2002-11-18,15.25,15.6,15.1,15.4,257900,8.26
2002-11-20,15.5,15.7,15.4,15.5,275400,8.31
2002-11-21,15.5,15.6,15.2,15.25,195300,8.18
2002-11-22,15.5,15.75,15.3,15.45,449500,8.29
2002-11-25,15.6,15.8,15.5,15.6,373300,8.37
2002-11-26,15.5,15.9,15.5,15.75,257100,8.45
2002-11-27,15.8,16.45,15.6,16.0,705800,8.58
2002-11-28,16.2,17.0,16.0,16.7,1084000,8.96
2002-11-29,17.0,17.1,16.5,16.7,484900,8.96
2002-12-02,16.95,17.1,16.75,16.9,568400,9.06
2002-12-03,17.25,17.25,16.5,16.55,384800,8.88
2002-12-04,16.25,16.5,16.15,16.35,326700,8.77
2002-12-05,16.65,16.75,16.3,16.55,279000,8.88
2002-12-06,16.85,17.2,16.7,17.1,705200,9.17
2002-12-09,17.0,17.95,17.0,17.1,1062500,9.17
2002-12-10,17.25,17.4,17.0,17.25,464800,9.25
2002-12-11,17.75,18.0,17.4,17.7,1454000,9.49
2002-12-12,18.0,18.25,17.6,18.0,1635400,9.65
2002-12-13,18.2,18.2,17.85,18.05,978300,9.68
2002-12-16,18.2,18.45,17.45,17.6,1206500,9.44
2002-12-17,17.7,18.2,17.0,17.9,989300,9.6
2002-12-18,18.5,19.55,18.2,19.3,3427000,10.35
2002-12-19,19.15,21.4,18.65,20.1,9019400,10.78
2002-12-20,20.1,21.75,20.1,21.2,4819700,11.37
2002-12-23,21.35,21.8,20.6,21.15,2619100,11.34
2002-12-24,21.3,22.1,20.8,21.25,3398500,11.4
2002-12-26,21.45,21.65,21.0,21.1,1179500,11.32
2002-12-27,21.0,21.3,20.6,20.85,1380700,11.18
2002-12-30,20.75,20.8,19.75,20.1,1256500,10.78
2002-12-31,20.2,21.25,19.9,20.85,1910200,11.18
2003-01-01,21.0,21.25,20.75,20.9,1352000,11.21
2003-01-02,21.1,21.45,20.8,21.0,1307100,11.26
2003-01-03,21.4,21.4,20.5,20.55,945100,11.02
2003-01-06,20.7,21.0,19.75,19.85,919100,10.65
2003-01-07,20.0,20.25,19.5,20.0,1235300,10.73
2003-01-08,20.1,21.2,20.1,20.9,1905900,11.21
2003-01-09,20.6,22.95,20.6,22.7,5839000,12.17
2003-01-10,23.0,24.85,22.25,24.15,8092700,12.95
2003-01-13,24.0,25.75,24.0,25.5,5218800,13.68
2003-01-14,25.5,25.9,24.4,24.85,3745500,13.33
2003-01-15,25.0,25.7,24.8,25.35,2187700,13.6
2003-01-16,25.5,25.65,24.65,25.0,2433700,13.41
2003-01-17,25.0,25.65,24.2,25.35,2564300,13.6
2003-01-20,26.15,27.25,25.0,27.0,5683800,14.48
2003-01-21,27.2,29.45,27.0,29.05,6181200,15.58
2003-01-22,29.5,29.9,27.3,28.15,5483300,15.1
2003-01-23,28.0,29.65,27.35,29.0,4670300,15.55
2003-01-24,29.5,29.55,26.0,26.3,3549300,14.1
2003-01-27,26.9,26.9,24.45,25.1,3992800,13.46
2003-01-28,24.65,27.85,24.65,27.15,5614400,14.56
2003-01-29,28.4,29.15,27.75,28.15,6459300,15.1
2003-01-30,28.3,28.9,27.05,27.2,2716000,14.59
2003-01-31,27.55,27.55,25.25,25.95,3371600,13.92
2003-02-03,26.3,27.85,26.05,27.55,2852800,14.77
2003-02-04,28.1,28.7,27.65,27.85,3597300,14.94
2003-02-05,27.8,28.1,26.65,27.05,2600300,14.51
2003-02-06,27.0,27.4,25.5,27.15,3720300,14.56
2003-02-07,27.1,28.5,26.65,27.9,6199100,14.96
2003-02-10,27.9,27.9,25.9,26.05,2956500,13.97
2003-02-11,26.25,26.6,24.8,25.3,3117900,13.57
2003-02-12,25.1,26.45,25.1,25.65,3666900,13.76
2003-02-14,25.75,25.8,24.25,24.75,2640000,13.27
2003-02-17,25.5,26.9,25.25,26.45,2752800,14.19
2003-02-18,26.85,27.5,26.5,26.65,2270900,14.29
2003-02-19,26.9,29.9,26.65,29.6,15235600,15.87
2003-02-20,29.5,30.9,28.6,28.85,10049500,15.47
2003-02-21,28.95,29.9,27.85,29.35,6628100,15.74
2003-02-24,30.2,31.55,30.0,30.95,9474200,16.6
2003-02-25,30.7,30.8,28.75,28.9,5353000,15.5
2003-02-26,29.25,29.6,27.9,28.1,6811400,15.07
2003-02-27,28.05,29.5,27.7,29.15,5526500,15.63
2003-02-28,30.05,30.15,27.05,27.4,8727500,14.69
2003-03-03,28.0,29.0,27.65,28.15,3754200,15.1
2003-03-04,28.5,28.5,27.45,27.9,2183000,14.96
2003-03-05,27.7,28.7,27.0,28.15,3993500,15.1
2003-03-06,28.45,28.9,27.7,27.95,4926200,14.99
2003-03-07,27.05,27.6,26.65,26.9,3001100,14.43
2003-03-10,26.9,27.25,25.55,25.7,2042400,13.78
2003-03-11,26.25,26.25,24.1,25.4,4381400,13.62
2003-03-12,25.7,26.8,25.4,25.7,4403000,13.78
2003-03-13,26.05,26.25,25.4,25.9,2587400,13.89
2003-03-17,26.0,26.15,24.85,25.6,2164200,13.73
2003-03-19,25.9,26.85,25.8,26.65,3996500,14.29
2003-03-20,26.75,27.5,26.15,27.35,2953500,14.67
2003-03-21,25.0,27.9,25.0,27.4,1840800,14.69
2003-03-24,27.4,27.5,26.4,26.55,1260700,14.24
2003-03-25,26.0,26.25,25.6,26.1,1483100,14.0
