Date,Open,High,Low,Close,Volume,Adj Close
2010-10-14,171.0,181.35,154.05,165.375,43760900,100.4311
2010-10-15,162.4995,165.225,152.5755,157.7745,5360200,95.8154
2010-10-18,157.3245,160.6995,151.6245,153.2505,734300,93.068
2010-10-19,153.7995,175.5495,153.2505,158.9745,5604900,96.5442
2010-10-20,158.9745,166.9995,155.55,159.0255,1808700,96.5751
2010-10-21,181.5,181.5,158.5005,159.4005,548400,96.8029
2010-10-22,154.9995,162.4005,154.9995,157.875,352800,95.8764
2010-10-25,157.9995,160.8495,155.025,155.925,276100,94.6922
2010-10-26,156.1245,158.3745,151.6995,153.1005,160000,92.9769
2010-10-27,151.0005,157.9995,150.4995,155.2245,189000,94.2668
2010-10-28,153.525,155.8755,151.9995,153.375,143000,93.1436
2010-10-29,152.0505,158.25,152.0505,156.0495,262500,94.7678
2010-11-01,157.6245,159.0,154.5495,155.85,90900,94.6467
2010-11-02,154.9995,156.2505,151.5,154.5,91300,93.8268
2010-11-03,155.5005,156.0495,152.5995,153.3495,36300,93.1281
2010-11-04,151.05,156.1245,150.7755,155.1,64700,94.1912
2010-11-05,155.8755,155.8755,153.1245,153.4995,8100,93.2192
2010-11-08,154.9995,157.0005,150.7755,154.725,51900,93.9635
2010-11-09,153.15,156.7995,153.1245,156.0495,107400,94.7678
2010-11-10,153.4995,157.35,153.2505,156.2505,43200,94.8899
2010-11-11,155.0745,156.9,154.575,156.1755,40800,94.8443
2010-11-12,154.9995,163.9995,154.9995,160.05,202500,97.1973
2010-11-15,160.0245,161.0505,151.9995,153.075,48100,92.9614
2010-11-16,153.8505,156.0,153.0495,153.7005,378700,93.3413
2010-11-18,153.4995,155.625,152.8245,154.3005,270600,93.7057
2010-11-19,153.1245,154.9995,152.1495,153.525,24100,93.2347
2010-11-22,152.625,154.7745,152.5005,154.05,20900,93.5535
2010-11-23,152.55,154.0005,152.5005,153.1995,87400,93.037
2010-11-24,152.5755,153.4995,150.4995,152.3505,185500,92.5214
2010-11-25,150.75,151.9995,142.5251,151.0245,57500,91.7162
2010-11-26,147.4999,151.0005,147.4999,147.6,34800,89.6365
2010-11-29,148.05,151.0005,146.55,147.7249,24300,89.7124
2010-11-30,145.5251,148.8499,145.05,146.575,10300,89.0141
2010-12-01,149.8751,149.8999,145.9999,146.4,22200,88.9077
2010-12-02,146.05,153.4995,146.05,152.025,10300,92.3238
2010-12-03,148.5251,149.45,146.075,146.825,9900,89.1658
2010-12-06,147.4999,148.9999,146.1251,147.4999,8500,89.5757
