Date,Open,High,Low,Close,Volume,Adj Close
2007-03-20,10.3,11.365,10.0,10.535,48262000,0.296
2007-03-21,10.5,10.755,9.77,9.89,12334100,0.278
2007-03-22,10.2,10.4,9.73,9.825,4392700,0.276
2007-03-23,9.995,9.995,9.015,9.29,2001200,0.261
2007-03-26,9.2,9.205,8.61,8.69,1195600,0.244
2007-03-28,8.85,8.85,7.9,8.025,604600,0.225
2007-03-29,8.0,8.1,7.615,7.76,872100,0.218
2007-03-30,8.1,8.5,7.605,8.29,1380700,0.233
2007-04-02,7.85,8.49,7.815,8.02,356300,0.225
2007-04-03,8.025,8.3,7.91,8.025,189700,0.225
2007-04-04,8.14,8.14,7.725,7.78,164100,0.218
2007-04-05,7.75,8.35,7.725,7.86,274700,0.221
2007-04-09,7.945,8.25,7.875,7.935,211200,0.223
2007-04-10,7.82,8.06,7.61,7.975,128200,0.224
2007-04-11,7.95,8.175,7.93,7.975,155400,0.224
2007-04-12,7.85,8.035,7.8,7.835,35200,0.22
2007-04-13,7.65,7.975,7.605,7.785,60500,0.219
2007-04-16,7.865,8.53,7.815,8.385,538100,0.235
2007-04-17,8.32,8.78,8.2,8.475,273000,0.238
2007-04-18,8.5,9.74,8.5,9.305,2462100,0.261
2007-04-19,9.4,9.47,8.8,9.14,350200,0.257
2007-04-20,9.165,9.36,8.75,8.805,187000,0.247
2007-04-23,9.02,9.145,8.725,8.795,126300,0.247
2007-04-24,8.7,9.77,8.65,9.27,1014300,0.26
2007-04-25,9.25,10.55,9.23,9.845,2493500,0.276
2007-04-26,10.125,10.5,9.51,9.6,927600,0.269
2007-04-27,9.72,10.0,9.555,9.785,328200,0.275
2007-04-30,9.62,10.385,9.62,10.215,338600,0.287
2007-05-03,10.29,10.51,9.925,10.075,230500,0.283
2007-05-04,10.1,10.855,10.1,10.425,1016400,0.293
2007-05-07,11.0,11.2,10.625,10.725,590900,0.301
2007-05-08,10.5,10.8,10.35,10.54,269000,0.296
2007-05-09,10.35,10.68,10.15,10.36,178700,0.291
2007-05-10,10.205,10.99,10.205,10.805,308600,0.303
2007-05-11,11.4,11.4,10.2,10.84,347000,0.304
2007-05-14,10.91,11.24,10.88,11.01,198800,0.309
2007-05-15,11.24,11.745,10.91,11.4,1311900,0.32
2007-05-16,11.55,11.74,11.1,11.21,264500,0.315
2007-05-17,11.3,11.39,10.81,10.895,183500,0.306
2007-05-18,10.815,11.25,10.8,10.955,141600,0.307
2007-05-21,11.0,11.5,11.0,11.22,206400,0.315
2007-05-22,11.115,11.69,11.115,11.465,855900,0.322
2007-05-23,11.55,11.81,11.21,11.305,449900,0.317
2007-05-24,11.035,11.4,11.035,11.225,72800,0.315
2007-05-25,11.25,11.585,11.1,11.425,188000,0.321
2007-05-28,11.47,11.525,11.3,11.45,126300,0.321
2007-05-29,11.45,11.45,11.21,11.38,86700,0.319
2007-05-30,11.38,11.4,11.2,11.255,108900,0.316
2007-05-31,10.8,11.25,10.8,10.94,160300,0.307
2007-06-01,11.09,11.525,11.09,11.475,259600,0.322
2007-06-04,11.5,11.555,11.305,11.365,115800,0.319
2007-06-05,11.35,11.49,11.1,11.14,43500,0.313
2007-06-06,11.4,11.43,10.81,10.835,73500,0.304
2007-06-07,10.97,10.995,10.51,10.72,58900,0.301
2007-06-08,10.51,11.0,10.5,10.925,51300,0.307
2007-06-11,10.8,11.1,10.61,10.735,34100,0.301
2007-06-12,10.3,10.55,10.3,10.39,49900,0.292
2007-06-13,10.23,10.56,10.055,10.13,27000,0.284
2007-06-14,10.49,10.49,10.06,10.255,12500,0.288
2007-06-15,10.275,10.735,10.275,10.715,23400,0.301
2007-06-18,10.95,10.95,10.31,10.555,18300,0.296
2007-06-19,10.9,10.9,10.2,10.48,17600,0.294
2007-06-20,10.59,10.63,10.3,10.44,32600,0.293
2007-06-21,10.41,10.695,10.4,10.56,31700,0.296
2007-06-22,10.5,10.755,10.42,10.535,33300,0.296
2007-06-25,10.7,10.8,10.205,10.31,35500,0.289
2007-06-26,10.51,10.78,10.3,10.605,335400,0.298
2007-06-27,10.75,10.8,10.55,10.68,296800,0.3
2007-06-28,10.505,10.7,10.5,10.66,36900,0.299
2007-06-29,10.4,10.7,10.2,10.525,52800,0.295
2007-07-02,10.7,10.95,10.455,10.88,83500,0.305
2007-07-03,11.4,11.4,10.75,11.06,43800,0.31
2007-07-04,11.29,11.29,10.8,10.875,26300,0.305
2007-07-05,10.775,10.89,10.66,10.705,43600,0.3
2007-07-06,10.705,11.64,10.56,11.455,206400,0.322
2007-07-09,13.0,13.5,12.2,12.45,1630000,0.349
2007-07-10,12.7,12.88,12.005,12.285,961100,0.345
2007-07-11,12.0,13.66,12.0,13.505,1786300,0.379
2007-07-12,13.8,13.89,13.45,13.6,1077300,0.382
2007-07-13,13.025,13.725,12.705,12.835,423300,0.36
2007-07-16,12.86,13.0,12.55,12.675,274400,0.356
2007-07-17,12.95,13.39,12.505,12.705,467700,0.357
2007-07-18,12.625,12.9,12.41,12.515,146500,0.351
2007-07-19,12.555,13.0,12.5,12.945,316600,0.363
2007-07-20,12.9,12.9,12.305,12.395,208200,0.348
2007-07-23,12.2,12.57,11.605,12.18,113400,0.342
2007-07-24,12.19,12.305,11.905,11.96,390300,0.336
2007-07-25,11.52,12.155,11.52,11.61,159100,0.326
2007-07-26,11.7,11.75,11.6,11.645,53000,0.327
2007-07-27,11.61,12.25,11.5,12.055,128800,0.338
2007-07-30,12.0,12.6,11.9,12.0,224000,0.337
2007-07-31,12.25,12.345,11.715,12.245,359400,0.344
2007-08-01,12.3,12.3,11.5,11.61,106800,0.326
2007-08-02,11.65,11.9,11.51,11.705,25700,0.329
2007-08-03,11.7,11.85,11.5,11.55,50600,0.324
2007-08-06,11.5,11.7,11.5,11.5,69900,0.323
2007-08-07,11.99,11.99,11.515,11.78,30900,0.331
2007-08-08,11.66,11.95,11.55,11.81,57900,0.331
2007-08-09,11.9,11.9,11.5,11.56,49800,0.324
2007-08-10,11.2,11.7,11.2,11.48,93300,0.322
2007-08-13,11.55,11.7,11.5,11.52,70700,0.323
2007-08-14,11.52,11.87,11.4,11.54,18400,0.324
2007-08-16,11.49,11.585,11.205,11.46,117100,0.322
2007-08-17,10.525,11.415,10.525,11.095,81200,0.311
2007-08-20,11.35,11.6,11.2,11.49,55300,0.323
