Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,68.9,71.6333,68.3833,70.9333,2003200,12.4664
2002-07-02,70.9,71.9333,69.5833,69.9,1619700,12.2848
2002-07-03,70.2833,70.2833,67.7333,68.35,767900,12.0124
2002-07-04,68.0333,69.2667,67.35,68.0167,560500,11.9538
2002-07-05,67.75,69.0,67.75,68.4333,511600,12.027
2002-07-08,68.95,69.0167,67.3333,67.75,312000,11.9069
2002-07-09,67.75,69.0,67.1667,67.4833,634000,11.8601
2002-07-10,67.6333,67.9667,66.0,66.1667,331300,11.6287
2002-07-11,66.1667,67.3333,64.1667,64.45,617500,11.327
2002-07-12,65.2333,66.0,64.55,65.1,547000,11.4412
2002-07-15,65.0,65.3333,62.6667,64.4167,401200,11.3211
2002-07-16,63.9667,66.3333,63.5333,65.4667,612200,11.5056
2002-07-17,65.3333,65.5667,60.5333,61.5667,1002300,10.8202
2002-07-18,61.6333,64.2333,61.6333,63.6333,663800,11.1834
2002-07-19,63.3,70.1167,62.55,69.25,5400100,12.1706
2002-07-22,67.5333,70.6333,65.75,67.4167,7320800,11.8484
2002-07-23,66.6333,72.5833,65.8333,71.6667,7427000,12.5953
2002-07-24,70.3333,71.7333,67.3667,68.05,4648800,11.9597
2002-07-25,69.3333,72.9833,69.0667,71.6167,4626700,12.5865
2002-07-26,70.6333,71.6333,65.6667,66.4333,2185700,11.6755
2002-07-29,66.9,67.2667,61.8333,64.2333,3182800,11.2889
2002-07-30,65.9,66.6667,59.7167,61.3333,1249700,10.7792
2002-07-31,60.0,65.3333,55.8333,63.55,3622100,11.1688
2002-08-01,65.9333,65.9333,61.4,61.9167,1934600,10.8817
2002-08-02,61.3167,61.8333,58.4167,59.9333,1459400,10.5332
2002-08-05,59.8,62.8,59.8,61.45,1229700,10.7997
2002-08-06,60.6333,64.6667,60.0333,64.3667,1885700,11.3123
2002-08-07,65.3667,71.1667,64.6667,69.2833,4991700,12.1764
2002-08-08,69.5,69.9667,66.45,67.1833,2057100,11.8073
2002-08-09,68.6667,70.6667,67.4167,70.2167,2808400,12.3404
2002-08-12,211.5,215.9499,206.4999,213.6501,2165000,37.5486
2002-08-13,212.0499,216.5001,210.0,211.2,1854000,37.118
2002-08-14,208.8999,211.4001,207.5499,208.95,1277100,36.7226
2002-08-16,209.4999,212.4,204.6,205.8,1137300,36.169
2002-08-19,207.0,209.6499,205.05,206.0001,795500,36.2041
2002-08-20,207.9,207.9,200.3001,201.9999,867600,35.5011
2002-08-21,202.5,207.0,202.4499,203.9001,620600,35.835
2002-08-22,204.9,212.4,204.2499,209.3499,2550400,36.7928
2002-08-23,210.15,214.4001,209.85,212.1501,1461800,37.285
2002-08-26,211.5,216.9999,209.0001,213.8499,993100,37.5837
2002-08-27,213.0,214.8,208.5,211.8,1594800,37.2234
2002-08-28,210.0,216.0,207.0,209.55,1319400,36.828
2002-08-29,208.8999,209.0001,201.2001,202.2501,1017000,35.5451
2002-08-30,200.9499,203.0499,196.2,201.3501,1101700,35.3869
2002-09-02,202.8999,205.4001,193.5,194.6499,913000,34.2093
2002-09-03,195.0,198.3999,187.65,189.6501,1701400,33.3306
2002-09-04,186.9999,196.65,186.0,193.5501,1800900,34.0161
2002-09-05,195.0,197.7501,193.1001,193.8999,589000,34.0775
2002-09-06,193.7499,193.7499,185.3499,188.0499,818700,33.0494
2002-09-09,186.9999,186.9999,170.0001,173.9499,1954600,30.5714
2002-09-11,174.3999,182.0001,174.0,179.55,1866100,31.5556
2002-09-12,178.8999,182.3001,177.0999,177.6,805300,34.0581
2002-09-13,177.0,183.0999,174.9999,177.75,1015500,34.0869
2002-09-16,179.6499,180.2001,167.3001,169.1499,953400,32.4377
2002-09-17,170.7501,173.7501,164.1,166.8999,1199300,32.0062
2002-09-18,168.3999,171.3999,163.5999,164.9499,841400,31.6323
2002-09-19,165.0,165.6999,156.2499,159.2001,1090200,30.5296
2002-09-20,157.8501,159.3,135.0,149.3001,2121700,28.6311
2002-09-23,150.0501,159.0,149.0499,156.5001,2160500,30.0118
2002-09-24,153.2499,155.0001,150.2001,152.4999,814200,29.2447
2002-09-25,149.0499,153.0,149.0001,150.5499,654100,28.8708
2002-09-26,152.0001,153.9999,150.2001,151.1001,411500,28.9763
2002-09-27,152.9001,156.9999,151.05,154.2,973500,29.5708
2002-09-30,153.5001,154.65,145.2501,146.7501,817500,28.1421
2002-10-01,146.0001,151.2501,145.5,150.0501,1325400,28.7749
