Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,102.95,114.35,99.0,110.8,2845800,95.99
2002-07-02,111.0,114.95,108.6,110.9,1508000,96.08
2002-07-03,110.0,112.5,108.0,109.35,822100,94.74
2002-07-04,110.8,112.5,109.0,110.75,653500,95.95
2002-07-05,110.75,112.0,106.1,107.0,382100,92.7
2002-07-08,107.0,108.0,102.0,102.7,264900,88.97
2002-07-09,102.75,108.5,101.1,106.2,491300,92.01
2002-07-10,106.7,106.7,101.05,102.1,206500,88.45
2002-07-11,103.0,105.0,97.15,97.8,369300,84.73
2002-07-12,99.4,102.45,98.25,99.3,271000,86.03
2002-07-15,100.25,100.75,93.25,95.5,299800,82.74
2002-07-16,96.0,98.9,94.0,95.5,244700,82.74
2002-07-17,95.0,96.4,84.1,87.4,917100,75.72
2002-07-18,87.15,94.75,87.0,93.85,955400,81.31
2002-07-19,91.1,96.3,90.0,93.3,1847300,80.83
2002-07-22,90.1,93.0,85.3,88.05,856100,76.28
2002-07-23,102.0,102.0,86.05,90.1,839100,78.06
2002-07-24,90.0,93.4,87.5,88.7,1390100,76.85
2002-07-25,90.15,92.85,88.0,89.0,529800,77.11
2002-07-26,89.25,89.4,81.6,83.2,378100,72.08
2002-07-29,84.0,84.45,67.4,72.65,1102700,62.94
2002-07-30,83.5,83.5,66.0,67.45,625500,58.44
2002-07-31,67.0,72.0,61.0,70.55,924300,61.12
2002-08-01,71.0,73.15,68.5,69.45,680500,60.17
2002-08-02,66.25,70.85,65.5,69.2,458300,59.95
2002-08-05,69.7,72.5,69.05,71.05,426600,61.55
2002-08-06,70.05,76.2,69.5,75.25,857700,65.19
2002-08-07,76.7,80.65,76.55,77.35,899800,67.01
2002-08-08,77.8,78.2,72.2,72.85,421900,63.11
2002-08-09,73.7,75.5,72.6,74.4,366100,64.46
2002-08-12,75.5,75.5,73.3,74.9,295400,64.89
2002-08-13,75.0,78.8,74.6,76.0,552800,65.84
2002-08-14,75.0,76.65,74.55,75.15,230700,65.11
2002-08-16,76.0,76.2,74.5,75.05,145200,65.02
2002-08-19,75.4,76.25,72.5,73.3,345900,63.5
2002-08-20,73.7,75.2,73.0,74.6,247100,64.63
2002-08-21,74.5,75.4,73.8,74.35,146600,64.41
2002-08-22,74.75,77.25,74.2,75.5,377100,65.41
2002-08-23,75.7,75.8,73.55,74.2,151200,64.28
2002-08-26,74.1,74.85,73.1,73.6,126200,63.76
2002-08-27,73.9,73.9,70.05,70.35,155100,60.95
2002-08-28,70.5,72.0,70.1,70.95,104800,61.47
2002-08-29,70.3,70.8,67.05,67.3,127000,58.31
2002-08-30,66.5,67.75,64.1,66.75,189200,57.83
2002-09-02,67.7,68.5,65.5,65.8,111400,57.01
2002-09-03,64.0,70.85,64.0,68.15,427700,59.04
2002-09-04,67.5,71.65,66.5,70.75,540600,61.29
2002-09-05,71.6,72.4,69.2,69.65,182900,60.34
2002-09-06,69.8,69.8,66.1,67.3,122800,58.31
2002-09-09,61.25,61.75,55.3,56.4,427300,48.86
2002-09-11,57.4,60.5,56.95,58.8,248100,50.94
2002-09-12,60.0,62.0,58.1,59.4,132400,51.46
2002-09-13,59.0,63.7,59.0,60.25,248900,52.2
2002-09-16,60.55,61.5,53.65,54.25,199800,47.0
2002-09-17,58.0,60.0,51.7,52.7,343300,45.66
2002-09-18,53.0,54.2,52.1,52.45,192900,45.44
2002-09-19,52.7,53.2,50.25,52.55,234700,45.53
2002-09-20,51.0,54.35,49.9,52.3,405900,45.31
2002-09-23,52.5,53.3,51.0,51.5,180400,44.62
2002-09-24,50.5,51.65,50.05,50.2,138800,43.49
2002-09-25,49.8,50.7,49.3,49.6,67000,42.97
2002-09-26,51.0,51.0,49.1,49.35,46000,42.75
2002-09-27,50.9,50.9,48.45,50.15,91300,43.45
2002-09-30,49.0,50.0,45.4,46.0,125400,39.85
2002-10-01,46.0,47.25,44.05,44.75,214800,38.77
2002-10-03,45.5,47.8,45.5,46.7,188800,40.46
2002-10-04,46.8,48.5,46.15,47.8,120600,41.41
2002-10-07,54.0,57.4,49.55,57.4,768900,49.73
