Date,Open,High,Low,Close,Volume,Adj Close
2010-08-16,1040.0,1162.0,1040.0,1088.65,13782300,1088.65
2010-08-17,1091.0,1188.0,1076.25,1177.7,5931800,1177.7
2010-08-18,1180.2,1186.4,1142.5,1165.15,1601300,1165.15
2010-08-19,1172.5,1172.5,1150.25,1162.4,574500,1162.4
2010-08-20,1160.0,1238.85,1155.0,1215.9,2057700,1215.9
2010-08-23,1215.0,1219.7,1168.0,1173.55,391500,1173.55
2010-08-24,1173.55,1199.0,1148.0,1157.15,536200,1157.15
2010-08-25,1155.0,1194.9,1152.1,1159.9,500500,1159.9
2010-08-26,1163.6,1169.0,1153.0,1161.4,131600,1161.4
2010-08-27,1160.0,1173.95,1151.75,1165.8,140900,1165.8
2010-08-30,1170.0,1212.9,1156.1,1185.55,401000,1185.55
2010-08-31,1170.1,1301.7,1170.1,1221.35,2137500,1221.35
2010-09-01,1230.35,1265.0,1226.05,1257.3,477100,1257.3
2010-09-02,1263.0,1312.8,1240.0,1288.6,942500,1288.6
2010-09-03,1297.4,1315.65,1282.3,1289.55,272200,1289.55
2010-09-06,1295.0,1308.4,1280.0,1287.2,137800,1287.2
2010-09-07,1292.0,1294.7,1250.0,1260.8,153900,1260.8
2010-09-08,1245.0,1310.0,1243.0,1286.2,329500,1286.2
2010-09-09,1295.0,1303.7,1266.35,1277.35,145100,1277.35
2010-09-13,1277.35,1358.0,1277.35,1342.3,787800,1342.3
2010-09-14,1345.2,1429.5,1344.0,1384.45,1102500,1384.45
2010-09-15,1385.0,1436.95,1368.5,1404.85,895900,1404.85
2010-09-16,1402.6,1413.9,1355.8,1364.3,361000,1364.3
2010-09-17,1371.85,1410.0,1371.0,1395.35,239400,1395.35
2010-09-20,1390.0,1405.4,1380.1,1385.35,176500,1385.35
2010-09-21,1380.0,1394.95,1368.1,1380.05,99200,1380.05
2010-09-22,1391.0,1413.0,1381.25,1389.3,164000,1389.3
2010-09-23,1390.0,1395.0,1358.25,1364.4,59100,1364.4
2010-09-24,1372.0,1373.95,1327.0,1333.05,95600,1333.05
2010-09-27,1348.0,1409.0,1348.0,1374.75,188600,1374.75
2010-09-28,1385.0,1491.5,1380.0,1400.55,1592500,1400.55
2010-09-29,1414.55,1421.9,1367.15,1374.95,292100,1374.95
2010-09-30,1379.4,1379.4,1315.85,1337.35,326300,1337.35
2010-10-01,1349.0,1377.65,1340.0,1361.45,167100,1361.45
2010-10-04,1370.0,1392.0,1235.0,1279.95,666200,1279.95
2010-10-05,1300.0,1324.0,1241.65,1260.35,757000,1260.35
2010-10-06,1261.0,1324.0,1260.0,1305.85,538500,1305.85
2010-10-07,1310.95,1315.0,1291.05,1303.85,160900,1303.85
2010-10-08,1292.2,1300.0,1201.1,1229.45,734900,1229.45
