Date,Open,High,Low,Close,Volume,Adj Close
1996-01-01,8.6,8.825,8.6,8.825,1001000,0.151
1996-01-02,8.825,8.425,8.425,8.425,1000,0.144
1996-01-03,8.425,8.55,8.405,8.55,3000,0.146
1996-01-04,8.55,8.4,8.4,8.4,1000,0.144
1996-01-05,8.4,8.55,8.3,8.55,959000,0.146
1996-01-08,8.55,8.425,8.425,8.425,1000,0.144
1996-01-09,8.425,8.5,8.4,8.4,3000,0.144
1996-01-10,8.3,8.3,8.25,8.25,6000,0.141
1996-01-12,8.31,8.31,8.3,8.3,2000,0.142
1996-01-15,8.3,8.2,8.2,8.2,2000,0.14
1996-01-16,8.1,8.3,8.1,8.3,3000,0.142
1996-01-17,7.9,7.9,7.9,7.9,1000,0.135
1996-01-18,7.9,7.9,7.61,7.9,2000,0.135
1996-01-19,7.9,8.0,7.825,7.825,2000,0.134
1996-01-22,7.825,7.8,7.8,7.8,2000,0.134
1996-01-23,7.9,7.9,7.9,7.9,1000,0.135
1996-01-24,7.9,7.9,7.8,7.8,3000,0.134
1996-01-25,7.7,7.7,7.7,7.7,1000,0.132
1996-01-29,7.7,7.7,7.7,7.7,1000,0.132
1996-01-30,7.7,8.1,8.1,8.1,2000,0.139
1996-01-31,8.0,8.0,7.8,7.805,3000,0.134
1996-02-01,7.805,8.1,8.1,8.1,3000,0.139
1996-02-02,8.1,8.77,8.675,8.77,6000,0.15
1996-02-05,8.425,8.425,8.425,8.425,1000,0.144
1996-02-06,8.425,8.525,8.4,8.4,3000,0.144
1996-02-07,8.4,8.4,8.4,8.4,1000,0.144
1996-02-08,8.5,8.575,8.5,8.5,501000,0.146
1996-02-09,9.15,9.7,9.1,9.7,16000,0.166
1996-02-12,9.8,10.72,9.8,10.72,12000,0.184
1996-02-13,10.72,11.8,10.7,11.15,514000,0.191
1996-02-14,11.15,12.325,11.61,12.0,79000,0.205
1996-02-15,12.0,12.2,11.56,12.0,27000,0.205
1996-02-16,12.0,11.5,11.055,11.25,12000,0.193
1996-02-19,11.25,11.475,11.0,11.475,32000,0.196
1996-02-20,11.475,11.4,11.0,11.235,76000,0.192
1996-02-22,11.235,11.2,11.15,11.2,54000,0.192
1996-02-23,11.2,12.0,11.105,11.8,1142000,0.202
1996-02-26,11.625,11.95,11.61,11.8,27000,0.202
1996-02-27,11.8,12.2,11.7,12.09,87000,0.207
1996-02-28,12.09,11.975,11.53,11.53,45000,0.197
1996-02-29,11.53,11.31,10.6,11.0,15000,0.188
1996-03-01,11.0,11.5,10.9,11.5,34000,0.197
1996-03-04,11.5,12.1,11.495,11.925,10022000,0.204
1996-03-06,11.925,11.725,11.6,11.67,30000,0.2
1996-03-07,11.67,11.8,11.2,11.525,30000,0.197
1996-03-08,11.525,11.5,11.25,11.5,12000,0.197
1996-03-11,11.4,11.4,11.3,11.3,8000,0.193
1996-03-12,11.3,11.395,10.8,11.01,67000,0.189
1996-03-13,11.01,11.205,11.19,11.205,7000,0.192
1996-03-14,11.205,11.35,11.2,11.3,7000,0.193
1996-03-15,11.3,11.4,11.35,11.395,45000,0.195
1996-03-18,11.395,11.015,11.015,11.015,1000,0.189
1996-03-19,11.015,11.1,10.825,11.1,24000,0.19
1996-03-21,11.1,11.0,11.0,11.0,1000,0.188
1996-03-22,11.0,11.59,11.0,11.585,27000,0.198
1996-03-25,11.585,11.55,11.38,11.5,46000,0.197
1996-03-26,11.5,11.8,11.505,11.8,59000,0.202
1996-03-27,11.8,12.0,11.765,11.865,165000,0.203
1996-03-28,11.865,13.0,12.095,12.66,1016000,0.217
1996-03-29,12.66,12.605,12.05,12.065,265000,0.207
1996-04-01,12.065,12.5,12.3,12.38,2521000,0.212
1996-04-02,12.395,13.595,12.15,13.155,444000,0.225
1996-04-03,14.2,14.5,13.85,14.035,365000,0.24
1996-04-04,14.7,14.7,13.75,14.05,1645000,0.241
1996-04-08,15.2,15.49,14.975,15.285,236000,0.262
1996-04-09,15.285,15.785,14.7,15.2,465000,0.26
1996-04-10,15.2,15.38,14.93,15.075,71000,0.258
1996-04-11,15.075,15.3,15.0,15.24,95000,0.261
1996-04-12,15.24,15.55,15.25,15.335,74000,0.263
1996-04-15,15.335,15.645,15.4,15.4,44000,0.264
1996-04-16,15.4,15.77,15.345,15.61,210000,0.267
1996-04-17,15.61,16.0,15.5,15.6,28000,0.267
1996-04-18,15.6,16.2,15.8,15.9,51000,0.272
