Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,73.95,75.0,73.2,74.9,8600,65.11
2002-07-02,75.0,75.9,73.0,74.3,10000,64.59
2002-07-03,74.5,75.5,74.2,74.65,2800,64.89
2002-07-04,75.5,77.6,75.0,77.25,14600,67.15
2002-07-05,75.05,85.0,75.05,83.65,63800,72.71
2002-07-08,84.0,87.85,83.0,85.1,34800,73.97
2002-07-09,85.5,85.5,78.7,79.75,18000,69.32
2002-07-10,81.0,83.95,78.25,79.3,7700,68.93
2002-07-11,77.15,79.9,76.15,77.35,4500,67.24
2002-07-12,79.95,80.0,77.4,77.6,7600,67.46
2002-07-15,74.0,76.0,74.0,74.65,6000,64.89
2002-07-16,75.0,75.65,74.2,74.45,2200,64.72
2002-07-17,74.5,74.5,72.0,73.15,6400,63.59
2002-07-18,73.5,74.9,73.5,74.2,3600,64.5
2002-07-19,74.0,75.0,73.7,74.7,3700,64.93
2002-07-22,72.5,74.8,72.5,72.9,12400,63.37
2002-07-23,72.5,73.85,72.5,73.3,2800,63.72
2002-07-24,73.9,73.9,70.5,71.25,7000,61.94
2002-07-25,72.1,73.35,71.0,71.65,4400,62.28
2002-07-26,71.7,72.25,70.0,71.55,5300,62.2
2002-07-29,71.5,71.5,68.0,70.65,5200,61.41
2002-07-30,71.1,71.55,68.0,68.25,7200,59.33
2002-07-31,68.0,68.85,66.6,68.0,3500,59.11
2002-08-01,68.55,69.9,67.05,67.65,5700,58.81
2002-08-02,66.5,68.45,66.5,67.95,4200,59.07
2002-08-05,69.5,71.9,68.3,70.25,4600,61.07
2002-08-06,71.0,71.0,69.0,70.1,2400,60.94
2002-08-07,70.3,72.75,70.25,70.95,2800,61.67
2002-08-08,71.05,71.05,69.25,69.75,4000,60.63
2002-08-09,69.5,70.6,69.0,69.6,1700,60.5
2002-08-12,68.4,69.0,65.2,67.2,9100,58.41
2002-08-13,58.3,67.4,58.3,66.0,10100,57.37
2002-08-14,65.8,65.8,62.5,62.75,11900,54.55
2002-08-16,62.55,66.0,62.55,65.25,7800,56.72
2002-08-19,64.2,66.15,64.0,64.4,4600,55.98
2002-08-20,64.1,65.7,63.5,64.1,2300,55.72
2002-08-21,64.0,64.7,63.7,63.8,6600,55.46
2002-08-22,64.45,64.45,63.7,63.85,2000,55.5
2002-08-23,65.5,65.5,63.7,64.0,2400,55.63
2002-08-26,63.95,63.95,61.95,62.15,10000,54.02
2002-08-27,63.5,63.5,60.1,60.9,9700,52.94
2002-08-28,60.25,61.9,59.1,60.4,4900,52.5
2002-08-29,60.35,61.7,60.1,61.1,3300,53.11
2002-08-30,61.1,62.1,60.6,62.0,4800,53.89
2002-09-02,62.5,63.8,61.5,62.0,2100,53.89
2002-09-03,62.0,62.8,61.55,62.1,2200,53.98
2002-09-04,61.5,62.85,61.3,62.35,1300,54.2
2002-09-05,62.4,63.6,62.35,63.3,2000,55.02
2002-09-06,62.0,63.0,61.75,62.25,2600,54.11
2002-09-09,61.0,63.5,58.1,62.3,3200,54.16
2002-09-11,61.25,63.5,61.2,62.6,1900,54.42
2002-09-12,63.4,75.15,63.0,75.15,56800,65.33
2002-09-13,76.6,82.0,76.55,78.15,433900,67.93
2002-09-16,79.0,80.55,74.55,75.7,72100,65.8
2002-09-17,75.1,76.8,74.0,75.6,20300,65.72
2002-09-18,75.0,75.85,74.1,75.1,14000,65.28
2002-09-19,75.5,75.5,73.0,73.1,4800,63.54
2002-09-20,72.5,74.0,68.5,73.4,9700,63.8
2002-09-23,73.1,76.7,73.1,76.15,90700,66.19
2002-09-24,76.55,76.55,74.15,75.05,44700,65.24
2002-09-25,74.0,79.0,74.0,78.85,56900,68.54
2002-09-26,79.0,79.1,74.25,74.85,34600,65.06
2002-09-27,76.2,81.9,76.15,80.6,82600,70.06
2002-09-30,81.5,82.0,75.0,77.35,32700,67.24
2002-10-01,76.95,78.0,73.1,73.55,21600,63.93
2002-10-03,73.0,76.95,69.0,74.1,26800,64.41
2002-10-04,73.3,77.0,73.05,75.25,9600,65.41
2002-10-07,76.0,77.35,74.0,74.15,12900,64.46
2002-10-08,74.1,74.5,73.0,73.4,9300,63.8
2002-10-09,73.65,79.95,72.7,77.0,27500,66.93
2002-10-10,77.05,83.1,74.85,78.95,179600,68.63
2002-10-11,83.0,83.0,78.3,80.3,17200,69.8
2002-10-14,79.45,80.5,79.0,79.3,4400,68.93
2002-10-16,79.5,80.0,75.65,76.25,4500,66.28
2002-10-17,76.15,77.7,74.55,75.5,7100,65.63
2002-10-18,76.9,77.5,75.3,75.7,4200,65.8
2002-10-21,77.0,77.75,74.8,74.95,3000,65.15
2002-10-22,75.0,76.05,72.2,73.0,5900,63.46
2002-10-23,73.8,75.35,73.6,73.75,3300,64.11
2002-10-24,74.95,74.95,73.1,73.75,1400,64.11
2002-10-25,72.7,73.5,72.0,73.3,4300,63.72
2002-10-28,70.3,72.85,70.3,72.4,1400,62.93
2002-10-29,72.55,73.5,71.9,72.9,2100,63.37
2002-10-30,73.45,74.0,73.0,73.4,1700,63.8
2002-10-31,72.75,73.0,71.85,72.35,900,62.89
2002-11-01,71.55,73.0,71.55,71.65,1400,62.28
2002-11-04,73.0,73.0,72.3,72.55,1000,63.07
2002-11-05,73.0,73.0,72.2,73.0,700,63.46
2002-11-07,70.0,72.7,70.0,71.95,900,62.54
2002-11-08,70.9,71.95,70.75,71.5,1400,62.15
2002-11-11,71.45,73.0,71.45,72.15,2100,62.72
2002-11-12,71.5,71.9,71.1,71.85,1100,62.46
2002-11-13,71.5,72.5,71.25,72.0,2000,62.59
2002-11-14,71.5,72.4,68.0,69.85,4700,60.72
2002-11-15,70.25,71.0,70.0,71.0,1400,61.72
2002-11-18,71.1,73.0,70.5,73.0,1800,63.46
2002-11-20,72.0,73.0,71.3,72.5,1500,63.02
2002-11-21,73.4,73.4,72.25,72.55,1400,63.07
2002-11-22,72.45,74.0,72.45,73.9,2600,64.24
2002-11-25,74.0,74.75,73.25,73.9,2800,64.24
2002-11-26,74.0,74.25,73.25,73.3,1600,63.72
2002-11-27,71.6,79.4,71.6,74.45,1400,64.72
2002-11-28,74.5,75.0,73.0,73.2,3900,63.63
2002-11-29,72.9,75.5,72.5,74.85,4000,65.06
2002-12-02,74.0,75.1,73.9,74.6,11000,64.85
2002-12-03,73.5,79.0,73.5,78.45,22400,68.19
2002-12-04,77.5,78.9,76.75,77.4,8400,67.28
2002-12-05,80.15,89.6,80.15,83.3,127000,72.41
2002-12-06,83.9,84.6,79.0,80.7,42100,70.15
2002-12-09,82.0,82.0,75.25,75.95,16600,66.02
2002-12-10,76.0,78.55,76.0,76.85,6300,66.8
2002-12-11,70.0,79.75,70.0,75.6,18100,65.72
2002-12-12,88.0,88.0,73.1,75.2,2900,65.37
