Date,Open,High,Low,Close,Volume,Adj Close
2007-01-09,152.0,162.0,128.8,137.4,67909100,109.27
2007-01-10,137.2,141.7,132.1,134.35,13707100,106.84
2007-01-11,135.0,137.55,130.25,133.25,8041000,105.97
2007-01-12,134.15,139.9,132.7,134.75,5819800,107.16
2007-01-15,136.85,145.0,136.25,141.05,7557500,112.17
2007-01-16,144.95,146.4,139.85,142.65,6249000,113.44
2007-01-17,143.0,145.4,142.4,145.1,4916300,115.39
2007-01-18,145.5,150.75,145.15,146.65,6154500,116.62
2007-01-19,148.5,148.5,145.0,146.3,2303500,116.35
2007-01-22,148.0,148.0,145.4,146.25,4286400,116.31
2007-01-23,146.05,148.85,145.4,146.25,3427000,116.31
2007-01-24,147.0,148.5,146.2,148.05,3328800,117.74
2007-01-25,150.0,150.0,147.5,147.9,1258900,117.62
2007-01-29,148.0,155.0,146.1,150.1,7960300,119.37
2007-01-31,151.0,151.3,145.0,147.6,6228100,117.38
2007-02-01,151.0,151.0,146.6,147.65,1402800,117.42
2007-02-02,147.0,149.25,147.0,148.2,3831700,117.86
2007-02-05,148.65,149.4,144.6,145.95,2569000,116.07
2007-02-06,146.8,147.7,145.0,145.55,2073600,115.75
2007-02-07,145.4,146.7,145.0,145.75,2379900,115.91
2007-02-08,145.05,146.0,142.3,143.15,1176500,113.84
2007-02-09,145.0,145.0,136.1,138.75,2427200,110.34
2007-02-12,138.4,138.4,130.75,133.35,3447700,106.05
2007-02-13,134.1,134.1,121.95,127.35,6210700,101.28
2007-02-14,127.9,134.9,122.7,133.0,4260600,105.77
2007-02-15,134.0,135.05,130.55,133.5,1576700,106.17
2007-02-19,133.7,134.8,131.6,132.15,322000,105.09
2007-02-20,132.75,132.75,130.3,132.0,711000,104.97
2007-02-21,132.0,133.7,130.55,131.5,903300,104.58
2007-02-22,131.5,132.15,128.3,128.75,672700,102.39
2007-02-23,129.0,130.95,124.2,125.2,701900,99.57
2007-02-26,128.0,128.0,118.8,125.0,445900,99.41
2007-02-27,125.0,125.45,121.85,122.7,2101600,97.58
2007-02-28,120.5,121.8,115.0,118.5,1061200,94.24
2007-03-01,119.7,121.4,114.7,115.65,1586600,91.97
2007-03-02,117.0,125.3,115.65,118.95,1822100,94.6
2007-03-05,118.0,118.0,111.15,112.15,1075200,89.19
2007-03-06,114.5,115.85,111.0,113.4,486100,90.18
2007-03-07,116.0,118.5,113.0,116.05,775100,92.29
2007-03-08,115.85,118.4,113.55,117.35,352300,93.32
2007-03-09,115.3,123.9,115.3,122.85,667400,97.7
2007-03-12,124.35,126.8,122.05,126.05,888800,100.24
2007-03-13,126.5,128.0,125.0,127.75,471400,101.59
2007-03-14,122.0,124.6,120.0,123.1,278500,97.9
2007-03-15,124.0,127.2,124.0,126.3,333000,100.44
2007-03-16,126.0,128.0,123.7,124.65,315000,99.13
2007-03-19,128.0,128.0,123.6,126.7,344500,100.76
2007-03-20,129.9,130.25,125.5,126.55,555500,100.64
2007-03-21,126.75,128.0,124.75,127.15,511800,101.12
2007-03-22,127.5,128.45,125.75,126.25,512200,100.4
2007-03-23,127.5,127.7,124.1,125.4,484700,99.73
2007-03-26,127.9,127.9,125.0,126.2,561300,100.36
2007-03-28,125.5,126.5,121.2,124.65,537300,99.13
2007-03-29,124.65,128.0,123.1,127.1,1491400,101.08
2007-03-30,128.25,135.0,127.5,132.15,1412400,105.09
2007-04-02,130.0,131.0,128.05,129.05,666200,102.63
2007-04-03,129.05,131.9,128.1,128.75,1104500,102.39
2007-04-04,130.0,130.0,126.5,127.55,405800,101.44
2007-04-05,127.55,128.4,126.2,126.75,284900,100.8
2007-04-09,127.0,128.65,127.0,128.0,372300,101.79
2007-04-10,128.5,128.5,126.1,126.6,326400,100.68
2007-04-11,127.4,127.4,124.5,125.0,799400,99.41
2007-04-12,124.8,128.3,123.55,127.7,2484000,101.55
2007-04-13,127.55,130.4,127.5,129.75,663300,103.18
2007-04-16,130.0,133.5,130.0,132.85,455300,105.65
2007-04-17,133.1,134.0,130.2,130.6,848000,103.86
2007-04-18,139.95,139.95,130.6,131.95,845800,104.93
2007-04-19,131.0,131.5,128.5,130.9,384400,104.1
2007-04-20,132.0,132.4,130.5,131.05,2532600,104.22
2007-04-23,131.05,132.5,130.1,130.9,756900,104.1
2007-04-24,128.1,133.3,128.1,132.0,1217100,104.97
2007-04-25,132.5,138.25,129.0,136.55,3366100,108.59
2007-04-26,140.0,141.9,138.2,139.1,1877600,110.62
