Date,Open,High,Low,Close,Volume,Adj Close
2002-12-23,42.0,49.75,41.85,48.65,17189100,32.47
2002-12-24,49.4,52.0,49.0,49.6,15267100,33.11
2002-12-26,50.0,50.75,48.8,49.05,4068000,32.74
2002-12-27,50.45,51.6,49.0,50.35,5734700,33.61
2002-12-30,50.0,50.0,48.7,49.05,2078900,32.74
2002-12-31,48.95,50.45,48.8,49.65,2629300,33.14
2003-01-01,50.0,50.3,49.1,49.55,1926300,33.08
2003-01-02,49.75,50.2,48.75,49.0,1626600,32.71
2003-01-03,49.5,50.0,49.05,49.5,2426200,33.04
2003-01-06,49.65,49.7,46.2,46.4,2038400,30.97
2003-01-07,46.45,47.65,45.1,47.15,3025000,31.47
2003-01-08,47.2,48.1,47.15,47.45,1461300,31.67
2003-01-09,47.5,51.95,47.4,51.3,7319400,34.24
2003-01-10,51.95,54.55,50.5,52.4,8681300,34.98
2003-01-13,52.9,54.4,52.2,53.65,3482100,35.81
2003-01-14,54.15,54.9,53.0,54.2,3621200,36.18
2003-01-15,54.7,55.75,54.1,55.25,4026200,36.88
2003-01-16,55.1,56.4,55.1,55.75,3640000,37.21
2003-01-17,56.0,56.4,54.85,55.6,2468800,37.11
2003-01-20,55.75,59.3,55.75,58.75,8025700,39.22
2003-01-21,60.5,68.7,59.2,67.85,17884100,45.29
2003-01-22,69.0,72.65,65.95,67.6,17788300,45.12
2003-01-23,67.5,72.05,66.1,69.75,15688400,46.56
2003-01-24,69.75,70.7,64.4,65.3,7941800,43.59
2003-01-27,66.5,66.5,60.25,61.45,6117100,41.02
2003-01-28,62.0,65.3,61.15,64.6,6654500,43.12
2003-01-29,65.5,67.75,64.6,65.4,7201800,43.66
2003-01-30,65.95,66.5,63.65,64.05,3502800,42.75
2003-01-31,64.0,64.2,61.5,62.25,4687300,41.55
2003-02-03,63.0,65.3,62.65,64.95,3985900,43.35
2003-02-04,65.8,70.65,65.8,67.75,15789100,45.22
2003-02-05,68.0,69.2,66.4,67.15,6702300,44.82
2003-02-06,67.0,69.2,65.3,68.75,9594100,45.89
2003-02-07,69.35,69.35,66.5,66.85,5427900,44.62
2003-02-10,67.0,67.0,63.35,63.8,4150400,42.59
