Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,5.535,5.7,5.5,5.605,6300,0.0614
2002-07-02,5.55,5.7,5.55,5.7,21400,0.0624
2002-07-03,5.8,5.85,5.725,5.82,7500,0.0637
2002-07-04,5.865,6.0,5.85,5.915,14900,0.0648
2002-07-05,6.0,6.05,5.95,5.995,14000,0.0656
2002-07-08,6.1,6.5,6.1,6.42,34800,0.0703
2002-07-09,6.315,6.4,6.225,6.255,9700,0.0685
2002-07-10,6.14,6.225,6.0,6.045,17900,0.0662
2002-07-11,6.085,6.195,6.055,6.1,2800,0.0668
2002-07-12,6.095,6.145,6.025,6.085,7000,0.0666
2002-07-15,6.0,6.0,5.81,5.935,7000,0.065
2002-07-16,5.75,5.8,5.455,5.645,12800,0.0618
2002-07-17,5.555,5.69,5.5,5.665,12500,0.062
2002-07-18,5.5,5.975,5.45,5.935,11400,0.065
2002-07-19,5.605,5.95,5.605,5.9,11000,0.0646
2002-07-22,5.95,6.1,5.625,5.73,9000,0.0627
2002-07-23,5.75,5.895,5.655,5.785,1300,0.0633
2002-07-24,5.825,5.85,5.7,5.745,3900,0.0629
2002-07-25,5.9,5.9,5.5,5.51,6700,0.0603
2002-07-26,5.505,5.545,5.3,5.43,11900,0.0594
2002-07-29,5.2,5.225,4.98,5.07,6700,0.0555
2002-07-30,5.295,5.295,4.85,4.925,3100,0.0539
2002-07-31,4.85,5.085,4.85,5.085,2300,0.0557
2002-08-01,5.245,5.5,5.05,5.1,5300,0.0558
2002-08-02,5.1,5.2,5.05,5.055,2800,0.0553
2002-08-05,5.03,5.245,5.015,5.215,19200,0.0571
2002-08-06,5.235,5.24,5.135,5.215,1700,0.0571
2002-08-07,5.15,5.35,5.105,5.2,11200,0.0569
2002-08-08,5.32,5.32,5.155,5.16,2800,0.0565
2002-08-09,5.155,5.22,5.125,5.2,900,0.0569
2002-08-12,5.2,5.35,5.2,5.33,4700,0.0584
2002-08-13,5.26,5.275,5.2,5.25,1800,0.0575
2002-08-14,5.2,5.3,5.2,5.25,2400,0.0575
2002-08-16,5.255,5.325,5.255,5.325,700,0.0583
2002-08-19,5.195,5.275,5.195,5.25,600,0.0575
2002-08-20,5.25,5.35,5.165,5.325,1600,0.0583
2002-08-21,5.28,5.325,5.205,5.26,400,0.0576
2002-08-22,5.45,5.45,5.23,5.23,1300,0.0573
2002-08-23,5.275,5.3,5.25,5.3,2000,0.057999999999999996
2002-08-26,5.255,5.5,5.25,5.45,6800,0.0597
2002-08-27,5.4,5.5,5.255,5.375,3900,0.0588
2002-08-28,5.735,5.735,5.365,5.395,1400,0.0591
2002-08-29,5.985,5.985,5.31,5.315,1200,0.0582
2002-08-30,5.35,5.445,5.255,5.38,3200,0.0589
2002-09-02,5.35,5.5,5.35,5.35,1100,0.0586
2002-09-03,5.25,5.475,5.25,5.425,4700,0.0594
2002-09-04,5.445,5.495,5.345,5.46,1600,0.0598
2002-09-05,5.45,5.45,5.385,5.39,500,0.059000000000000004
2002-09-06,5.4,5.46,5.28,5.325,1800,0.0583
2002-09-09,5.32,5.495,5.32,5.475,1100,0.0599
2002-09-11,5.4,5.4,5.35,5.365,900,0.0587
2002-09-12,5.62,5.62,5.255,5.45,600,0.0597
2002-09-13,5.33,5.33,5.33,5.33,100,0.0584
2002-09-16,5.25,5.5,5.215,5.46,3000,0.0598
2002-09-17,5.305,5.42,5.305,5.355,500,0.0586
2002-09-18,5.375,5.5,5.27,5.48,4900,0.06
2002-09-19,5.44,5.5,5.345,5.465,2900,0.0598
2002-09-20,5.305,5.5,5.3,5.415,8800,0.0593
2002-09-23,5.36,5.545,5.36,5.5,18700,0.0602
2002-09-24,5.405,5.405,5.325,5.4,700,0.0591
2002-09-25,5.33,5.35,5.325,5.35,400,0.0586
2002-09-27,5.35,5.42,5.31,5.38,14800,0.0589
2002-09-30,5.4,5.4,5.365,5.39,800,0.059000000000000004
2002-10-01,5.335,5.395,5.205,5.205,500,0.057
2002-10-03,5.215,5.315,5.2,5.215,300,0.0571
2002-10-04,5.25,5.25,5.165,5.225,700,0.0572
2002-10-07,5.245,5.29,5.175,5.175,400,0.0567
2002-10-08,5.135,5.27,5.13,5.265,500,0.0576
2002-10-09,5.335,5.34,5.335,5.34,100,0.0585
2002-10-10,5.3,5.3,5.205,5.225,1200,0.0572
2002-10-11,5.23,5.335,5.15,5.25,1500,0.0575
2002-10-14,5.0,5.0,5.0,5.0,0,0.0547
2002-10-16,5.415,5.415,5.255,5.255,200,0.0575
2002-10-17,5.385,5.495,5.305,5.305,2100,0.0581
2002-10-18,5.325,5.325,5.145,5.19,1100,0.0568
2002-10-21,5.25,5.325,5.25,5.31,1900,0.0581
2002-10-22,5.265,5.325,5.265,5.28,1800,0.0578
2002-10-23,5.21,5.35,5.21,5.35,100,0.0586
2002-10-24,5.115,5.275,5.115,5.225,600,0.0572
2002-10-25,5.335,5.335,5.19,5.3,200,0.057999999999999996
