Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,940.0,985.0,895.0,922.55,10188200,824.58
2012-12-27,924.8,948.0,915.55,934.55,1617200,835.3
2012-12-28,932.55,944.7,923.35,927.0,418200,828.55
2012-12-31,935.0,935.0,912.55,914.8,257700,817.65
2013-01-01,916.25,930.9,910.0,918.95,369600,821.36
2013-01-02,920.1,935.5,915.0,923.95,346800,825.83
2013-01-03,925.2,957.1,924.8,934.85,678400,835.57
2013-01-04,932.3,940.0,926.75,934.75,184100,835.48
2013-01-07,936.95,948.0,926.6,929.25,177000,830.56
2013-01-08,933.8,934.0,917.55,920.85,102900,823.06
2013-01-09,923.8,931.4,919.0,923.7,192200,825.6
2013-01-10,926.0,948.9,925.0,936.7,627000,837.22
2013-01-11,939.5,955.8,935.75,938.65,306500,838.97
2013-01-14,940.0,944.35,921.5,923.45,138500,825.38
2013-01-15,926.0,936.0,920.0,931.05,100300,832.17
2013-01-16,932.95,934.6,916.0,919.35,47500,821.72
2013-01-17,920.0,932.0,920.0,925.65,58200,827.35
2013-01-18,927.65,928.45,922.15,924.85,58700,826.63
2013-01-21,925.0,932.0,923.0,925.05,59500,826.81
2013-01-22,927.0,930.7,925.0,926.0,63500,827.66
2013-01-23,928.1,941.95,920.8,929.6,252800,830.88
2013-01-24,928.0,932.9,918.0,920.85,115600,823.06
2013-01-25,921.45,928.7,919.55,924.85,28600,826.63
2013-01-28,926.95,930.0,913.0,917.1,208600,819.7
2013-01-29,920.1,920.1,867.35,877.8,237900,784.58
2013-01-30,877.9,891.5,861.0,865.1,48700,773.23
2013-01-31,856.1,865.25,836.55,842.25,125900,752.8
2013-02-01,845.0,872.0,844.95,852.15,56700,761.65
2013-02-04,853.0,859.75,825.7,831.15,35000,742.88
2013-02-05,829.7,836.0,820.1,823.25,27700,735.82
2013-02-06,822.5,829.9,821.8,822.2,26500,734.88
2013-02-07,823.5,848.0,821.7,829.4,32300,741.32
2013-02-08,831.9,832.3,823.25,826.9,20500,739.08
2013-02-11,832.7,833.0,822.0,825.1,22900,737.47
2013-02-12,825.15,830.25,824.65,825.4,16300,737.74
2013-02-13,827.75,837.7,824.25,826.35,63100,738.59
2013-02-14,832.45,845.0,824.0,827.05,50500,739.22
2013-02-15,825.1,833.0,824.0,830.4,26300,742.21
2013-02-18,833.0,837.1,830.4,835.8,20500,747.04
2013-02-19,837.25,837.7,821.0,824.3,18700,736.76
2013-02-20,828.85,828.85,821.0,822.95,10600,735.55
2013-02-21,821.0,822.95,810.0,813.0,8400,726.66
2013-02-22,813.0,822.0,804.8,812.55,113400,726.26
2013-02-25,848.4,848.4,792.0,796.4,16200,711.82
2013-02-26,797.8,799.8,763.0,766.95,30200,685.5
2013-02-27,770.0,814.0,765.95,807.7,119900,721.92
2013-02-28,812.05,820.0,804.0,813.45,58000,727.06
2013-03-01,814.95,815.0,780.0,788.25,13400,704.54
2013-03-04,794.0,797.65,778.0,781.95,11600,698.91
2013-03-05,782.0,800.0,780.0,797.65,35900,712.94
2013-03-06,804.35,804.35,792.15,794.35,36900,709.99
2013-03-07,787.45,788.4,766.5,771.4,25300,700.05
2013-03-08,776.0,805.0,775.0,795.05,74400,721.52
2013-03-11,792.3,802.75,785.2,797.0,14300,723.29
2013-03-12,797.0,800.95,791.0,798.95,79000,725.05
2013-03-13,799.9,805.0,792.35,798.65,14700,724.78
2013-03-14,803.95,807.7,790.1,798.2,13800,724.37
2013-03-15,789.8,833.7,783.1,826.0,61100,749.6
2013-03-18,814.0,818.9,801.0,814.75,9900,739.39
2013-03-19,812.3,814.0,792.25,795.5,5900,721.92
2013-03-20,795.5,805.0,775.0,791.15,22100,717.98
2013-03-21,792.0,795.6,771.1,773.75,8000,702.19
2013-03-22,773.75,802.85,765.0,793.8,23400,720.38
2013-03-25,798.0,819.75,782.0,785.05,38800,712.44
2013-03-26,794.0,799.45,782.05,796.25,34200,722.6
2013-03-28,786.1,819.0,771.0,810.5,207200,735.54
2013-04-01,814.0,814.4,799.95,809.15,4900,734.31
2013-04-02,809.15,817.95,802.0,808.4,14500,733.63
2013-04-03,802.2,815.0,782.0,786.3,115600,713.57
2013-04-04,780.0,792.0,776.1,781.55,7900,709.26
2013-04-05,788.0,795.0,771.0,773.15,7000,701.64
2013-04-08,773.25,777.95,765.1,767.0,8200,696.06
2013-04-09,767.0,782.15,765.0,765.8,5400,694.97
2013-04-10,760.0,773.0,752.45,754.5,9400,684.72
2013-04-11,750.0,771.95,750.0,761.45,30600,691.02
2013-04-12,760.0,763.05,751.0,756.65,5500,686.67
2013-04-15,750.0,753.0,746.0,749.5,7600,680.18
2013-04-16,745.0,762.2,742.0,754.35,4300,684.58
2013-04-17,747.0,761.45,747.0,752.5,4400,682.9
2013-04-18,754.0,754.0,742.0,745.1,7800,676.19
2013-04-22,748.0,753.75,745.0,748.1,15500,678.91
2013-04-23,747.0,765.0,747.0,753.35,8900,683.67
2013-04-25,747.35,756.95,722.2,725.35,22400,658.26
2013-04-26,726.0,737.0,720.0,729.1,60900,661.67
2013-04-29,731.0,737.45,722.05,724.15,45800,657.17
2013-04-30,721.0,731.65,717.8,719.2,12700,652.68
2013-05-02,726.45,732.5,709.2,710.8,16300,645.06
2013-05-03,712.0,720.0,692.0,694.3,29000,630.08
2013-05-06,696.0,728.9,694.0,698.85,38800,634.21
2013-05-07,699.65,707.7,685.0,687.85,34900,624.23
2013-05-08,694.75,727.15,692.1,709.45,79000,643.83
2013-05-09,711.75,720.25,710.0,713.55,65500,647.55
2013-05-10,712.0,740.0,712.0,736.7,32900,668.56
2013-05-13,726.0,746.0,726.0,740.75,39900,672.24
2013-05-14,740.0,744.85,707.0,714.1,17100,648.05
2013-05-15,709.0,728.0,705.0,707.7,35400,642.24
2013-05-16,720.1,770.0,720.1,728.25,95000,660.89
2013-05-17,735.8,746.0,716.1,718.8,26100,652.32
2013-05-20,722.0,731.6,717.0,718.25,11300,651.82
2013-05-21,723.05,737.9,719.1,729.9,25600,662.39
2013-05-22,736.9,736.9,720.0,721.4,8900,654.68
2013-05-23,720.0,720.4,702.0,703.85,13500,638.75
2013-05-24,709.0,713.75,696.0,698.75,15400,634.12
2013-05-27,703.0,712.0,698.25,699.8,13400,635.08
2013-05-28,701.0,704.75,696.0,697.15,7600,632.67
2013-05-29,700.0,703.15,695.1,696.4,5800,631.99
2013-05-30,700.0,713.95,694.1,696.0,6300,631.63
2013-05-31,696.0,715.75,691.0,711.3,24400,645.51
2013-06-03,750.0,765.1,718.0,726.25,164100,659.08
2013-06-04,729.0,729.0,710.15,712.75,18000,646.83
2013-06-05,710.0,712.6,701.5,703.55,12400,638.48
2013-06-06,700.1,705.7,690.5,693.6,14900,629.45
2013-06-07,697.8,700.0,695.0,697.8,17000,633.26
2013-06-10,700.0,714.5,699.95,704.8,10300,639.61
2013-06-11,704.0,705.35,693.8,696.05,18300,631.67
2013-06-12,699.8,709.95,698.0,707.55,44900,642.11
2013-06-13,705.0,705.0,690.1,691.95,8500,627.95
2013-06-14,699.95,707.5,690.0,698.3,6800,633.71
2013-06-17,704.0,710.0,697.0,699.25,16400,634.58
2013-06-18,699.0,705.0,697.6,700.05,2600,635.3
2013-06-19,700.0,702.85,696.1,700.4,3600,635.62
2013-06-20,697.8,697.8,684.0,685.8,7800,622.37
2013-06-21,684.0,689.0,651.2,660.6,24300,599.5
2013-06-24,680.0,680.0,630.25,638.75,15800,579.67
2013-06-25,640.0,640.0,627.25,628.75,6200,570.6
2013-06-26,630.0,638.7,600.05,602.6,20200,546.87
2013-06-27,603.0,615.95,594.0,597.8,25000,542.51
2013-06-28,600.0,607.5,594.5,599.15,33800,543.73
2013-07-01,604.0,606.0,596.05,599.1,48100,543.69
2013-07-02,600.25,626.0,597.0,599.8,70000,544.32
2013-07-03,598.0,601.85,596.15,598.1,19300,542.78
2013-07-04,599.0,601.8,595.05,596.55,7900,541.37
2013-07-05,596.55,609.0,592.3,593.9,11700,538.97
2013-07-08,591.05,597.9,580.3,590.55,203000,535.93
2013-07-09,585.0,602.4,582.0,583.45,12200,529.49
2013-07-10,592.0,592.9,585.15,590.0,22000,535.43
2013-07-11,591.0,602.0,587.05,595.45,9200,540.38
