Date,Open,High,Low,Close,Volume,Adj Close
2004-06-07,13.3,13.3,12.66,13.1,51700,1.323
2004-06-08,13.45,13.95,13.0,13.52,77700,1.366
2004-06-09,13.98,14.6,13.46,14.08,30500,1.422
2004-06-10,14.6,14.7,13.42,13.7,38800,1.384
2004-06-11,14.7,14.7,13.2,13.38,29600,1.352
2004-06-14,13.14,13.18,12.62,12.89,31100,1.302
2004-06-15,12.63,13.29,12.45,13.18,39400,1.332
2004-06-16,12.63,13.2,12.63,12.78,40400,1.291
2004-06-17,12.8,13.0,12.6,12.63,34000,1.276
2004-06-18,12.8,12.8,12.54,12.61,42200,1.274
2004-06-21,12.32,13.16,12.12,12.12,59200,1.224
2004-06-22,12.4,12.69,11.7,12.4,33300,1.253
2004-06-23,12.4,12.43,12.0,12.27,38200,1.24
2004-06-24,12.96,12.98,12.1,12.27,49000,1.24
2004-06-25,12.86,13.04,12.56,12.7,69600,1.283
2004-06-28,13.38,13.38,12.6,12.91,45200,1.304
2004-06-29,13.6,13.6,12.6,13.14,40200,1.328
2004-06-30,13.8,13.8,12.2,12.34,39400,1.247
2004-07-01,13.2,13.2,12.2,12.3,49800,1.243
2004-07-02,6.3,6.3,6.1,6.115,10900,0.618
2004-07-05,12.98,12.98,12.25,12.32,38600,1.245
2004-07-06,12.65,12.65,12.24,12.37,30500,1.25
2004-07-07,13.3,13.3,12.24,12.48,2600,1.261
2004-07-08,12.6,12.6,11.62,12.1,62600,1.222
2004-07-09,12.5,12.75,12.0,12.58,30600,1.271
2004-07-12,13.18,13.18,12.08,12.24,3600,1.237
2004-07-13,13.0,13.0,12.0,12.2,37500,1.233
2004-07-14,12.4,12.9,12.0,12.11,12800,1.223
2004-07-15,12.8,12.8,12.1,12.28,20100,1.241
2004-07-16,13.2,13.2,12.06,12.35,41200,1.248
2004-07-19,12.22,12.58,12.0,12.39,26000,1.252
2004-07-20,13.39,13.6,12.0,13.44,150500,1.358
2004-07-21,13.6,14.29,13.02,14.16,93600,1.431
2004-07-22,15.0,15.4,12.8,15.0,210800,1.515
2004-07-23,15.9,15.9,14.6,15.14,122300,1.53
2004-07-26,15.6,15.7,15.1,15.33,61300,1.549
2004-07-27,8.2,8.2,7.31,7.325,62000,0.74
2004-07-28,14.8,14.8,14.62,14.8,49200,1.495
2004-07-29,15.94,15.98,14.83,15.01,82100,1.516
2004-07-30,15.2,16.2,15.1,15.68,73000,1.584
2004-08-02,15.0,15.3,14.9,15.19,96200,1.535
2004-08-03,15.71,15.71,14.53,14.67,71700,1.482
2004-08-04,14.68,15.2,14.67,15.04,9300,1.519
2004-08-05,15.4,15.78,15.01,15.29,77700,1.545
2004-08-06,15.0,15.1,14.81,14.82,62300,1.497
2004-08-09,15.09,15.09,14.4,14.64,40200,1.479
2004-08-10,15.0,15.0,14.8,14.8,61300,1.495
2004-08-11,14.6,15.17,14.21,14.82,32800,1.497
2004-08-12,7.5,7.5,7.2,7.335,27300,0.741
2004-08-13,14.8,15.0,14.45,14.51,48000,1.466
2004-08-16,14.4,15.2,14.22,14.92,69900,1.507
2004-08-17,15.19,15.19,15.19,15.19,1000,1.535
2004-08-18,15.3,15.3,14.72,14.81,48500,1.496
2004-08-19,14.9,16.2,14.6,15.99,190600,1.615
2004-08-20,16.42,17.4,15.9,17.13,180000,1.731
2004-08-23,16.21,17.1,15.51,16.01,89100,1.617
2004-08-24,15.1,16.6,15.1,16.22,6300,1.639
2004-08-25,17.16,17.16,15.52,15.93,11000,1.609
2004-08-26,16.76,17.4,16.5,17.0,30600,1.717
2004-08-27,17.0,17.2,16.2,16.43,2600,1.66
2004-08-30,17.0,18.08,15.2,18.08,6798800,1.827
2004-08-31,18.62,19.8,18.4,18.88,820400,1.907
2004-09-01,19.8,20.77,19.03,20.77,536200,2.098
