Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,13.5,13.75,13.4,13.6,442600,6.7
2002-07-02,13.6,14.7,13.6,14.3,1886200,7.04
2002-07-03,14.4,14.7,14.05,14.1,736200,6.94
2002-07-04,14.2,14.5,14.1,14.15,556700,6.97
2002-07-05,14.25,14.5,14.0,14.05,541600,6.92
2002-07-08,14.5,15.1,14.2,14.75,1305100,7.26
2002-07-09,15.0,15.0,14.4,14.55,894500,7.16
2002-07-10,14.1,14.2,14.1,14.2,514400,6.99
2002-07-11,14.25,14.4,13.9,14.2,721000,6.99
2002-07-12,14.9,14.9,14.1,14.25,457400,7.02
2002-07-15,14.3,14.3,13.7,13.8,779400,6.79
2002-07-16,13.8,14.0,13.55,13.75,812800,6.77
2002-07-17,13.9,13.95,13.3,13.6,638200,6.7
2002-07-18,13.5,13.7,13.35,13.6,563800,6.7
2002-07-19,13.95,13.95,13.45,13.7,210900,6.75
2002-07-22,13.6,13.8,13.4,13.45,659700,6.62
2002-07-23,13.25,13.4,13.15,13.25,252600,6.52
2002-07-24,13.2,13.3,12.85,13.0,386800,6.4
2002-07-25,13.1,13.15,12.8,12.9,235500,6.35
2002-07-26,13.0,13.0,12.7,12.8,370200,6.3
2002-07-29,11.85,11.9,10.15,10.5,344600,5.86
2002-07-30,10.9,10.9,10.2,10.4,193600,5.8
2002-07-31,10.2,10.5,9.95,10.35,223200,5.77
2002-08-01,10.5,10.55,10.2,10.3,98300,5.74
2002-08-02,10.3,10.3,10.1,10.15,90600,5.66
2002-08-05,10.55,10.7,10.4,10.55,102800,5.88
2002-08-06,10.55,10.6,10.35,10.4,82100,5.8
2002-08-07,10.75,10.75,10.55,10.6,110900,5.91
2002-08-08,10.65,10.8,10.45,10.5,92300,5.86
2002-08-09,10.55,10.55,10.15,10.35,77700,5.77
2002-08-12,10.4,10.55,10.25,10.3,76500,5.74
2002-08-13,10.5,10.6,10.4,10.5,34700,5.86
2002-08-14,10.4,10.55,10.35,10.45,47900,5.83
2002-08-16,10.55,10.65,10.4,10.45,44900,5.83
2002-08-19,10.3,10.55,10.3,10.45,72600,5.83
2002-08-20,10.45,10.6,10.4,10.55,99900,5.88
2002-08-21,10.6,10.6,10.4,10.45,97600,5.83
2002-08-22,10.5,10.6,10.5,10.55,66400,5.88
2002-08-23,10.5,10.6,10.5,10.55,78900,5.88
2002-08-26,10.45,10.6,10.45,10.5,97000,5.86
2002-08-27,10.55,10.55,10.35,10.35,117000,5.77
2002-08-28,10.35,10.5,10.3,10.35,70100,5.77
2002-08-29,10.3,10.35,10.2,10.2,41300,5.69
2002-08-30,10.35,10.4,10.25,10.3,50400,5.74
2002-09-02,10.5,11.15,10.3,10.5,180600,5.86
2002-09-03,10.5,10.6,10.5,10.55,53100,5.88
2002-09-04,10.5,10.6,10.4,10.45,72500,5.83
2002-09-05,10.45,10.5,10.25,10.3,142700,5.74
2002-09-06,10.3,10.4,10.25,10.3,91800,5.74
2002-09-09,10.3,10.35,10.1,10.15,100800,5.66
2002-09-11,10.3,10.35,10.2,10.25,59000,5.72
2002-09-12,10.3,10.35,10.25,10.3,54500,5.74
2002-09-13,10.3,10.4,10.2,10.25,150100,5.72
2002-09-16,10.25,10.35,10.25,10.35,293400,5.77
2002-09-17,10.25,10.45,10.2,10.35,115200,5.77
2002-09-18,10.4,10.45,10.3,10.3,62600,5.74
2002-09-19,10.5,10.65,10.25,10.3,81100,5.74
2002-09-20,10.3,10.45,10.25,10.4,56600,5.8
2002-09-23,10.4,10.45,10.35,10.35,52400,5.77
2002-09-24,10.35,10.35,10.25,10.3,100400,5.74
2002-09-25,10.45,10.45,10.25,10.3,52000,5.74
2002-09-26,10.35,10.4,10.3,10.3,66400,5.74
2002-09-27,10.35,10.4,10.3,10.4,37500,5.8
2002-09-30,10.3,10.4,10.25,10.25,97500,5.72
2002-10-01,10.3,10.35,10.25,10.35,61700,5.77
2002-10-03,10.35,10.35,10.3,10.3,63100,5.74
2002-10-04,10.3,10.35,10.25,10.25,93400,5.72
2002-10-07,10.35,10.4,10.3,10.4,91600,5.8
2002-10-08,10.35,10.5,10.35,10.4,56300,5.8
2002-10-09,10.4,10.55,10.4,10.4,53600,5.8
2002-10-10,11.0,11.0,10.4,10.4,41100,5.8
2002-10-11,10.55,10.55,10.4,10.4,47100,5.8
2002-10-14,10.5,10.6,10.5,10.55,46200,5.88
2002-10-16,10.6,10.8,10.6,10.6,90000,5.91
2002-10-17,10.65,10.65,10.45,10.5,105300,5.86
2002-10-18,10.6,10.6,10.5,10.55,28200,5.88
2002-10-21,10.65,10.75,10.55,10.7,91500,5.97
2002-10-22,10.7,10.75,10.6,10.7,52600,5.97
2002-10-23,10.7,10.75,10.65,10.65,38500,5.94
