Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,100.817,100.817,98.85,99.8333,271600,18.888
2002-07-02,100.933,104.367,100.333,102.233,818100,19.342
2002-07-03,102.667,104.467,100.333,101.017,433700,19.1119
2002-07-04,101.667,102.233,99.5,99.85,253400,18.8911
2002-07-05,101.267,101.333,100.0,100.883,140000,19.0866
2002-07-08,101.0,101.5,100.033,100.917,99900,19.093
2002-07-09,101.733,101.733,98.7,99.15,205600,18.7587
2002-07-10,99.6,100.267,98.3333,98.5833,155600,18.6515
2002-07-11,99.15,99.15,97.2,97.9833,98700,18.538
2002-07-12,98.9333,100.0,97.0,97.4167,76100,18.4308
2002-07-15,97.8333,98.0333,94.3333,94.65,208900,17.9073
2002-07-16,94.3333,97.3333,93.6667,94.2333,212000,17.8285
2002-07-17,95.2667,98.1667,92.6667,94.7333,435600,17.9231
2002-07-18,94.1667,97.3333,93.3667,96.6167,124900,18.2794
2002-07-19,95.6667,97.3,93.6667,95.1,180200,17.9925
2002-07-22,94.0833,95.6667,93.75,94.2667,198700,17.8348
2002-07-23,94.6333,94.6667,93.3333,94.0167,80200,17.7875
2002-07-24,94.0,94.1667,93.3333,93.5,234600,17.6898
2002-07-25,95.0,95.0,89.0167,90.05,320600,17.037
2002-07-26,90.0,91.3333,88.3333,88.8333,198300,16.8068
2002-07-29,89.6,92.3333,86.0,89.95,539100,17.0181
2002-07-30,91.6667,91.6667,89.3333,89.5667,82200,16.9456
2002-07-31,89.9333,91.6667,84.6667,90.6,136100,17.1411
2002-08-01,87.6667,91.0,86.6667,89.6,64900,16.9519
2002-08-02,88.3333,91.5,88.3333,90.0,77900,17.0276
2002-08-05,90.6667,90.6667,87.9167,88.2333,212700,16.6933
2002-08-06,85.0333,89.7,85.0333,89.4167,91400,16.9172
2002-08-07,90.0,91.15,89.5667,90.1167,64400,17.0497
2002-08-08,90.9333,90.9333,89.0,89.0833,41900,16.8541
2002-08-09,88.6667,89.6667,88.3333,89.3833,32300,16.9109
2002-08-12,267.0,273.9999,265.1499,269.6001,207200,51.0071
2002-08-13,275.0001,276.8499,269.0499,270.15,55100,51.1111
2002-08-14,270.9,271.7001,267.5001,269.85,35800,51.0543
2002-08-16,270.8001,271.5,267.2499,267.9501,32700,50.6949
2002-08-19,279.8001,282.0,262.1499,263.3499,250000,49.8246
2002-08-20,279.0,279.0,255.0501,257.7501,353900,48.7651
2002-08-21,255.0,261.45,252.9999,260.1999,212600,49.2286
2002-08-22,261.75,261.75,258.2499,258.8499,129500,48.9732
2002-08-23,259.7499,261.8001,257.7,259.1499,81600,49.0299
2002-08-26,260.7999,264.8499,259.1001,259.7499,87200,49.1435
2002-08-27,261.8001,263.0001,257.6001,258.3,53200,48.8691
2002-08-28,259.8,264.45,258.3,262.2,92400,49.607
2002-08-29,263.0001,269.7,261.9999,267.0501,140300,50.5246
2002-08-30,268.5,272.0001,264.2499,270.6,64900,51.1962
2002-09-02,273.0,275.0001,266.1501,272.3499,144800,51.5273
2002-09-03,273.75,276.9501,270.2001,274.2501,105900,51.8868
2002-09-04,273.9501,282.9999,267.0,277.5,176200,52.5017
