Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,100.81700000000001,100.81700000000001,98.85,99.8333,271600,19.0376
2002-07-02,100.93299999999999,104.367,100.333,102.23299999999999,818100,19.4952
2002-07-03,102.667,104.46700000000001,100.333,101.01700000000001,433700,19.2633
2002-07-04,101.667,102.23299999999999,99.5,99.85,253400,19.0408
2002-07-05,101.26700000000001,101.333,100.0,100.883,140000,19.2378
2002-07-08,101.0,101.5,100.03299999999999,100.917,99900,19.2443
2002-07-09,101.73299999999999,101.73299999999999,98.7,99.15,205600,18.9073
2002-07-10,99.6,100.26700000000001,98.3333,98.5833,155600,18.7992
2002-07-11,99.15,99.15,97.2,97.9833,98700,18.6848
2002-07-12,98.9333,100.0,97.0,97.4167,76100,18.5768
2002-07-15,97.8333,98.0333,94.3333,94.65,208900,18.0492
2002-07-16,94.3333,97.3333,93.6667,94.2333,212000,17.9697
2002-07-17,95.2667,98.1667,92.6667,94.7333,435600,18.0651
2002-07-18,94.1667,97.3333,93.3667,96.6167,124900,18.4242
2002-07-19,95.6667,97.3,93.6667,95.1,180200,18.135
2002-07-22,94.0833,95.6667,93.75,94.2667,198700,17.9761
2002-07-23,94.6333,94.6667,93.3333,94.0167,80200,17.9284
2002-07-24,94.0,94.1667,93.3333,93.5,234600,17.8299
2002-07-25,95.0,95.0,89.0167,90.05,320600,17.172
2002-07-26,90.0,91.3333,88.3333,88.8333,198300,16.94
2002-07-29,89.6,92.3333,86.0,89.95,539100,17.1529
2002-07-30,91.6667,91.6667,89.3333,89.5667,82200,17.0798
2002-07-31,89.9333,91.6667,84.6667,90.6,136100,17.2769
2002-08-01,87.6667,91.0,86.6667,89.6,64900,17.0862
2002-08-02,88.3333,91.5,88.3333,90.0,77900,17.1625
2002-08-05,90.6667,90.6667,87.9167,88.2333,212700,16.8256
2002-08-06,85.0333,89.7,85.0333,89.4167,91400,17.0512
2002-08-07,90.0,91.15,89.5667,90.1167,64400,17.1847
2002-08-08,90.9333,90.9333,89.0,89.0833,41900,16.9876
2002-08-09,88.6667,89.6667,88.3333,89.3833,32300,17.0449
2002-08-12,267.0,273.9999,265.1499,269.6001,207200,51.4111
2002-08-13,275.0001,276.8499,269.0499,270.15,55100,51.516000000000005
2002-08-14,270.9,271.7001,267.5001,269.85,35800,51.4588
2002-08-16,270.8001,271.5,267.2499,267.9501,32700,51.0965
2002-08-19,279.8001,282.0,262.1499,263.3499,250000,50.2192
2002-08-20,279.0,279.0,255.0501,257.7501,353900,49.1514
2002-08-21,255.0,261.45,252.9999,260.1999,212600,49.6186
2002-08-22,261.75,261.75,258.2499,258.8499,129500,49.3611
2002-08-23,259.7499,261.8001,257.7,259.1499,81600,49.4183
2002-08-26,260.7999,264.8499,259.1001,259.7499,87200,49.5327
2002-08-27,261.8001,263.0001,257.6001,258.3,53200,49.2563
2002-08-28,259.8,264.45,258.3,262.2,92400,50.0
2002-08-29,263.0001,269.7,261.9999,267.0501,140300,50.9249
2002-08-30,268.5,272.0001,264.2499,270.6,64900,51.6018
2002-09-02,273.0,275.0001,266.1501,272.3499,144800,51.9355
2002-09-03,273.75,276.9501,270.2001,274.2501,105900,52.2978
2002-09-04,273.9501,282.9999,267.0,277.5,176200,52.9176
2002-09-05,279.0,282.0,278.0001,280.8999,172600,53.5659
2002-09-06,269.0001,281.4999,269.0001,278.9499,103000,53.1941
2002-09-09,264.9,264.9,245.0001,251.3499,272700,53.7069
2002-09-11,246.8001,254.9001,246.8001,249.6999,174500,53.3543
2002-09-12,251.0001,253.5,249.6,251.7501,131900,53.7924
2002-09-13,255.9999,258.0,249.5001,250.4499,58400,53.5146
2002-09-16,254.0001,254.0001,228.9999,235.5999,259500,50.3415
2002-09-17,230.0001,249.2001,224.0001,229.8999,198600,49.1236
