Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,23.18,23.4,23.02,23.12,180900,0.47
2002-07-02,23.2,23.88,23.1,23.38,525000,0.48
2002-07-03,23.76,23.99,23.56,23.72,624700,0.48
2002-07-04,23.95,23.95,23.64,23.81,262200,0.49
2002-07-05,23.81,23.95,23.22,23.34,150000,0.48
2002-07-08,23.4,24.0,23.4,23.7,281700,0.48
2002-07-09,23.6,23.68,23.4,23.54,152300,0.48
2002-07-10,23.3,23.6,23.21,23.39,631100,0.48
2002-07-11,22.98,22.99,22.77,22.84,195300,0.56
2002-07-12,23.72,23.72,22.81,22.97,155300,0.57
2002-07-15,23.05,23.05,22.75,22.97,174300,0.57
2002-07-16,23.03,23.2,22.71,23.1,333400,0.57
2002-07-17,22.8,23.0,22.61,22.67,131700,0.56
2002-07-18,22.82,23.09,22.75,22.99,219100,0.57
2002-07-19,23.01,23.01,22.6,22.69,239800,0.56
2002-07-22,23.43,23.43,22.54,22.68,202000,0.56
2002-07-23,22.54,22.8,22.42,22.75,101000,0.56
2002-07-24,22.52,23.0,22.52,22.9,149600,0.56
2002-07-25,22.99,23.6,22.9,22.94,113300,0.56
2002-07-26,23.0,23.0,21.68,21.87,276700,0.54
2002-07-29,22.39,22.39,21.59,21.97,149600,0.54
2002-07-30,22.38,22.39,21.74,21.76,109300,0.54
2002-07-31,21.5,21.8,21.0,21.59,151500,0.53
2002-08-01,21.8,21.8,21.35,21.41,133500,0.53
2002-08-02,21.38,21.4,21.0,21.06,127600,0.52
2002-08-05,21.6,21.6,21.15,21.27,60600,0.52
2002-08-06,21.48,21.48,21.2,21.25,193900,0.52
2002-08-07,21.6,21.74,21.47,21.56,135400,0.53
2002-08-08,21.59,21.64,21.2,21.38,350400,0.53
2002-08-09,21.38,21.4,21.04,21.17,150600,0.52
2002-08-12,108.0,108.0,106.6,106.75,83600,2.63
2002-08-13,107.25,107.8,106.0,106.7,89200,2.62
2002-08-14,106.0,106.0,105.15,105.4,148300,2.59
2002-08-16,105.5,106.5,105.4,105.6,56700,2.6
2002-08-19,107.9,108.0,104.0,104.35,111800,2.57
2002-08-20,105.4,105.45,104.1,104.3,64300,2.57
2002-08-21,105.7,105.7,103.75,104.75,104600,2.58
2002-08-22,105.25,105.9,104.3,105.1,100500,2.59
2002-08-23,105.15,107.5,104.05,104.3,127700,2.57
2002-08-26,106.0,107.1,104.3,104.4,78600,2.57
2002-08-27,104.95,106.0,104.0,104.75,193400,2.58
2002-08-28,105.8,105.85,104.25,104.4,48300,2.57
2002-08-29,105.0,105.1,104.2,105.0,212000,2.58
2002-08-30,105.05,105.25,104.3,104.95,187900,2.58
2002-09-02,106.5,107.5,104.8,104.95,107600,2.58
2002-09-03,106.0,106.0,104.3,104.65,32000,2.57
2002-09-04,104.75,106.9,104.05,106.4,175100,2.62
2002-09-05,106.4,107.0,104.55,104.8,84000,2.58
2002-09-06,105.25,105.35,104.75,104.9,55400,2.58
2002-09-09,104.15,106.1,104.1,104.95,50700,2.58
2002-09-11,105.8,105.95,104.5,105.4,52100,2.59
2002-09-12,106.75,107.0,104.75,104.85,47400,2.58
2002-09-13,105.1,106.0,104.85,104.95,50300,2.58
2002-09-16,105.75,105.75,104.7,104.9,58200,2.58
2002-09-17,105.0,105.0,104.0,104.8,63400,2.58
